Symbol,Company,Market,Industry,Sector,MySector,ESector,SET50,SET100
2S,2S METAL PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
2S-W1,2S METAL PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
7UP,SEVEN UTILITIES AND POWER PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,,
7UP-W2,SEVEN UTILITIES AND POWER PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,,
A,AREEYA PROPERTY PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
A5,ASSET FIVE GROUP PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
AAV,ASIA AVIATION PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,Transport,TRANS,,1
ABC,ASSET BRIGHT PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
ABC-W1,ASSET BRIGHT PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
ABC-W2,ASSET BRIGHT PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
ABICO,ABICO HOLDINGS PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ABM,ASIA BIOMASS PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ABPIF,AMATA B. GRIMM POWER POWER PLANT INFRASTRUCTURE FUND,SET,Resources,Energy & Utilities,Energy,ENERG,,
ACAP,ACAP ADVISORY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ACAP-W1,ACAP ADVISORY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ACAP-W2,ACAP ADVISORY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ACC,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY,SET,Consumer Products,Home & Office Products,HomeOffice,HOME,,
ACC-W1,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY,SET,Consumer Products,Home & Office Products,HomeOffice,HOME,,
ACD,ASIA CORPORATE DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,Tourism,TOURISM,,
ACD-W2,ASIA CORPORATE DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,Tourism,TOURISM,,
ACD-W4,ASIA CORPORATE DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,Tourism,TOURISM,,
ACG,AUTOCORP HOLDING PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ADAM,ADAMAS INCORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ADB,APPLIED DB PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,1,1
AEC,AEC SECURITIES PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
AEC-W2,AEC SECURITIES PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
AEC-W4,AEC SECURITIES PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
