Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,2S,3.84,3.92,3.78,3.8,-0.52,29800,114000,455000,8488000.0,42342000.0,3.8,,,,,29800.0,,
1/6/2015,2S,3.88,3.88,3.76,3.8,0.0,55700,211000,544000,7983000.0,38591000.0,3.8,,,,,42750.0,,
1/7/2015,2S,3.78,3.92,3.76,3.84,1.05,111400,424000,874000,8069000.0,33766000.0,3.813333333333333,,,,,65633.33333333333,,
1/8/2015,2S,3.88,3.88,3.76,3.84,0.0,150800,579000,1412000,8507000.0,31914000.0,3.82,,,,,86925.0,,
1/9/2015,2S,3.86,3.86,3.76,3.8,-1.04,176000,667000,1995000,9001000.0,30368000.0,3.816,,,,,104740.0,,
1/12/2015,2S,3.8,3.84,3.76,3.76,-1.05,97400,368000,2249000,9181000.0,28043000.0,3.808,,,,,118260.0,,
1/13/2015,2S,3.76,3.92,3.76,3.88,3.19,184900,708000,2746000,6421000.0,26553000.0,3.8240000000000003,,,,,144100.0,,
1/14/2015,2S,3.92,4.66,3.88,4.26,9.79,6809803,29563000,31885000,33497000.0,53553000.0,3.908,,,,,1483780.6,,
1/15/2015,2S,4.24,4.32,4.16,4.22,-0.94,772300,3282000,34588000,36257000.0,55719000.0,3.9839999999999995,,,,,1608080.6,,
1/16/2015,2S,4.3,4.3,4.14,4.14,-1.9,242501,1012000,34933000,37147000.0,55907000.0,4.052,,,,,1621380.8,,
1/19/2015,2S,4.14,4.34,4.14,4.16,0.48,938400,3982000,38547000,41035000.0,59448000.0,4.132,,,,,1789580.8,,
1/20/2015,2S,4.16,4.18,3.98,3.98,-4.33,637900,2604000,40443000,43598000.0,60852000.0,4.152,3.9566666666666666,,,,1880180.8,,
1/21/2015,2S,4.0,4.04,3.94,4.0,0.5,322200,1282000,12162000,44796000.0,61134000.0,4.1,3.973333333333333,,,,582660.2,,
1/22/2015,2S,4.04,4.04,3.96,3.98,-0.5,187300,747000,9627000,45429000.0,60360000.0,4.0520000000000005,3.9883333333333333,,,,465660.2,35.71428571428572,35.71428571428572
1/23/2015,2S,4.02,4.1,3.96,3.98,0.0,539300,2155000,10770000,47373000.0,62067000.0,4.0200000000000005,3.9999999999999996,,,,525020.0,35.71428571428572,35.71428571428572
1/26/2015,2S,4.02,4.04,3.82,3.98,0.0,157900,620000,7408000,47569000.0,61410000.0,3.9840000000000004,4.011666666666666,,,,368920.0,35.71428571428572,35.71428571428572
1/27/2015,2S,3.86,4.0,3.86,3.98,0.0,208900,821000,5625000,47811000.0,60974000.0,3.9840000000000004,4.0266666666666655,,,,283120.0,28.57142857142857,33.92857142857143
1/28/2015,2S,3.98,4.04,3.82,3.92,-1.51,164500,648000,4991000,47792000.0,60611000.0,3.968,4.039999999999999,,,,251580.0,28.57142857142857,32.857142857142854
1/29/2015,2S,3.92,3.96,3.88,3.94,0.51,82602,323000,4567000,47747000.0,60210000.0,3.96,4.044999999999999,,,,230640.4,35.71428571428572,32.85714285714286
1/30/2015,2S,3.88,3.96,3.88,3.94,0.0,101000,394000,2806000,47433000.0,60095000.0,3.9519999999999995,4.018333333333333,,,,142980.4,35.71428571428572,32.85714285714286
2/2/2015,2S,3.9,3.94,3.88,3.9,-1.02,104500,408000,2594000,18278000.0,59742000.0,3.936,3.9916666666666667,,,,132300.4,28.57142857142857,31.428571428571434
2/3/2015,2S,3.94,4.06,3.9,3.92,0.51,194600,770000,2543000,15766000.0,60056000.0,3.9239999999999995,3.973333333333333,,,,129440.4,28.57142857142857,31.428571428571434
