Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,A,5.5,5.5,5.45,5.5,0.92,16900,93000,434000,1710000.0,5159000.0,5.5,,,,,16900.0,,
1/6/2015,A,5.45,5.45,5.45,5.45,-0.91,23300,127000,428000,1636000.0,5124000.0,5.475,,,,,20100.0,,
1/7/2015,A,5.5,5.55,5.5,5.55,1.83,17500,97000,471000,1636000.0,4975000.0,5.5,,,,,19233.333333333332,,
1/8/2015,A,5.55,5.55,5.5,5.55,0.0,30000,166000,565000,1656000.0,4997000.0,5.5125,,,,,21925.0,,
1/9/2015,A,5.55,5.55,5.5,5.5,-0.9,22700,125000,608000,1588000.0,4984000.0,5.51,,,,,22080.0,,
1/12/2015,A,5.45,5.5,5.45,5.5,0.0,22400,123000,638000,1572000.0,4884000.0,5.51,,,,,23180.0,,
1/13/2015,A,5.5,5.5,5.5,5.5,0.0,22600,124000,635000,1530000.0,4840000.0,5.5200000000000005,,,,,23040.0,,
1/14/2015,A,5.5,5.5,5.5,5.5,0.0,19400,107000,645000,1470000.0,4804000.0,5.51,,,,,23420.0,,
1/15/2015,A,5.5,5.55,5.5,5.55,0.91,20600,114000,593000,1417000.0,4779000.0,5.51,,,,,21540.0,,
1/16/2015,A,5.5,5.5,5.5,5.5,-0.9,19500,107000,575000,1391000.0,4720000.0,5.51,,,,,20900.0,,
1/19/2015,A,5.55,5.55,5.5,5.5,0.0,20000,110000,562000,1447000.0,4665000.0,5.51,,,,,20420.0,,
1/20/2015,A,5.5,5.5,5.5,5.5,0.0,25000,138000,576000,1513000.0,4665000.0,5.51,5.508333333333333,,,,20900.0,,
1/21/2015,A,5.5,5.5,5.45,5.5,0.0,25101,138000,607000,1569000.0,4659000.0,5.51,5.508333333333333,,,,22040.2,,
1/22/2015,A,5.5,5.55,5.5,5.55,0.91,35100,195000,688000,1671000.0,4667000.0,5.51,5.516666666666667,,,,24940.2,28.57142857142857,28.57142857142857
1/23/2015,A,5.55,5.6,5.55,5.6,0.9,49900,278000,859000,1822000.0,4773000.0,5.529999999999999,5.520833333333333,,,,31020.2,28.57142857142857,28.57142857142857
1/26/2015,A,5.6,5.6,5.6,5.6,0.0,35600,199000,948000,1924000.0,4812000.0,5.55,5.5249999999999995,,,,34140.2,28.57142857142857,28.57142857142857
