Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,ABPIF,9.0,9.0,8.95,9.0,0.0,26000,233000,969000,12148000.0,31624000.0,9.0,,,,,26000.0,,
1/6/2015,ABPIF,9.0,9.0,8.95,9.0,0.0,37500,337000,923000,8690000.0,31432000.0,9.0,,,,,31750.0,,
1/7/2015,ABPIF,9.0,9.0,8.95,9.0,0.0,51000,458000,1232000,7469000.0,28784000.0,9.0,,,,,38166.666666666664,,
1/8/2015,ABPIF,9.0,9.0,9.0,9.0,0.0,59300,534000,1617000,5386000.0,28832000.0,9.0,,,,,43450.0,,
1/9/2015,ABPIF,9.0,9.05,9.0,9.05,0.56,146600,1319000,2881000,6231000.0,29491000.0,9.01,,,,,64080.0,,
1/12/2015,ABPIF,9.05,9.05,9.0,9.05,0.0,76200,686000,3334000,6663000.0,29454000.0,9.02,,,,,74120.0,,
1/13/2015,ABPIF,9.05,9.05,9.05,9.05,0.0,33100,300000,3297000,6571000.0,29370000.0,9.030000000000001,,,,,73240.0,,
1/14/2015,ABPIF,9.0,9.05,9.0,9.05,0.0,108700,979000,3818000,7538000.0,29533000.0,9.040000000000001,,,,,84780.0,,
1/15/2015,ABPIF,9.05,9.1,9.05,9.1,0.55,61000,553000,3837000,6135000.0,29796000.0,9.06,,,,,85120.0,,
1/16/2015,ABPIF,9.1,9.15,9.1,9.15,0.55,50100,456000,2974000,6208000.0,30005000.0,9.08,,,,,65820.0,,
1/19/2015,ABPIF,9.1,9.15,9.1,9.15,0.0,19300,176000,2464000,6235000.0,29734000.0,9.1,,,,,54440.0,,
1/20/2015,ABPIF,9.15,9.15,9.1,9.1,-0.55,448200,4079000,6243000,10165000.0,33411000.0,9.11,9.058333333333332,,,,137460.0,,
1/21/2015,ABPIF,9.15,9.15,9.1,9.15,0.55,121000,1104000,6368000,11214000.0,31618000.0,9.129999999999999,9.070833333333333,,,,139920.0,,
1/22/2015,ABPIF,9.1,9.1,9.1,9.1,-0.55,42000,382000,6197000,11363000.0,31130000.0,9.129999999999999,9.079166666666667,,,,136120.0,28.57142857142857,28.57142857142857
1/23/2015,ABPIF,9.1,9.15,9.1,9.1,0.0,309500,2817000,8558000,13843000.0,31424000.0,9.120000000000001,9.0875,,,,188000.0,28.57142857142857,28.57142857142857
1/26/2015,ABPIF,9.15,9.15,9.1,9.1,0.0,29200,266000,8648000,13651000.0,31447000.0,9.110000000000001,9.095833333333333,,,,189980.0,28.57142857142857,28.57142857142857
1/27/2015,ABPIF,9.15,9.2,9.1,9.1,0.0,176400,1612000,6181000,14729000.0,32806000.0,9.110000000000001,9.099999999999998,,,,135620.0,28.57142857142857,28.57142857142857
1/28/2015,ABPIF,9.15,9.2,9.15,9.15,0.55,19800,181000,5258000,13591000.0,30973000.0,9.11,9.108333333333333,,,,115380.0,35.71428571428572,30.0
1/29/2015,ABPIF,9.15,9.15,9.1,9.15,0.0,91400,832000,5708000,13737000.0,31347000.0,9.12,9.116666666666665,,,,125260.0,28.57142857142857,30.0
1/30/2015,ABPIF,9.15,9.15,9.1,9.15,0.0,11700,107000,2998000,13544000.0,31092000.0,9.129999999999999,9.125000000000002,,,,65700.0,28.57142857142857,30.0
2/2/2015,ABPIF,9.15,9.15,9.15,9.15,0.0,51300,469000,3201000,13034000.0,30042000.0,9.139999999999999,9.129166666666668,,,,70120.0,28.57142857142857,30.0
