Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
6/14/2016,ACC-W1,0.23,0.27,0.16,0.23,0.0,248067763,56398510,56398510,56398510.0,56398510.0,0.23,,,,,248067763.0,,,56398510.0,0.0
6/15/2016,ACC-W1,0.22,0.22,0.19,0.2,-13.04,40193277,8332300,64730810,64730810.0,64730810.0,0.215,,,,,144130520.0,,,32365405.0,0.0
6/16/2016,ACC-W1,0.2,0.21,0.19,0.19,-5.0,14883708,2924560,67655370,67655370.0,67655370.0,0.2066666666666667,,,,,101048249.33333331,,,22551790.0,0.0
6/17/2016,ACC-W1,0.2,0.29,0.19,0.24,26.32,260449534,62355600,130010970,130010970.0,130010970.0,0.215,,,,,140898570.5,,,32502742.5,0.0
6/20/2016,ACC-W1,0.24,0.41,0.23,0.33,37.5,739681655,245428020,375438990,375438990.0,375438990.0,0.23800000000000004,,,,,260655187.4,,,75087798.0,0.0
6/21/2016,ACC-W1,0.35,0.38,0.31,0.31,-6.06,175062191,60621370,379661850,436060360.0,436060360.0,0.254,,,,,246054073.0,,,75932370.0,0.0
6/22/2016,ACC-W1,0.32,0.33,0.29,0.31,0.0,99071315,31075670,402405220,467136030.0,467136030.0,0.276,,,,,257829680.6,,,80481044.0,0.0
6/23/2016,ACC-W1,0.31,0.31,0.29,0.29,-6.45,58683958,17712400,417193060,484848430.0,484848430.0,0.29600000000000004,,,,,266589730.6,,,83438612.0,0.0
6/24/2016,ACC-W1,0.28,0.3,0.28,0.28,-3.45,36113142,10447230,365284690,495295660.0,495295660.0,0.304,,,,,221722452.2,,,73056938.0,0.0
6/27/2016,ACC-W1,0.28,0.3,0.25,0.26,-7.14,51519491,14614950,134471620,509910610.0,509910610.0,0.29,,,,,84090019.4,,,26894324.0,0.0
6/28/2016,ACC-W1,0.27,0.32,0.26,0.3,15.38,109431500,32679120,106529370,542589730.0,542589730.0,0.28800000000000003,,,,,70963881.2,,,21305874.0,0.0
6/29/2016,ACC-W1,0.31,0.32,0.29,0.3,0.0,80110689,24544550,99998250,567134280.0,567134280.0,0.28600000000000003,0.27,,,,67171756.0,,,19999650.0,0.0
6/30/2016,ACC-W1,0.3,0.32,0.29,0.29,-3.33,24612325,7479680,89765530,574613960.0,574613960.0,0.28600000000000003,0.275,,,,60357429.4,,,17953106.0,0.0
7/4/2016,ACC-W1,0.3,0.3,0.28,0.28,-3.45,13038824,3795350,83113650,522010800.0,578409310.0,0.28600000000000003,0.2816666666666667,,,,55742565.8,21.42857142857143,21.42857142857143,16622730.0,0.0
7/5/2016,ACC-W1,0.29,0.32,0.26,0.27,-3.57,89803739,26717940,95216640,540396440.0,605127250.0,0.28800000000000003,0.2883333333333334,,,,63399415.4,21.42857142857143,21.42857142857143,19043328.0,0.0
7/6/2016,ACC-W1,0.28,0.29,0.27,0.27,0.0,19948401,5475690,68013210,542947570.0,610602940.0,0.28200000000000003,0.2908333333333333,,,,45502795.6,21.42857142857143,21.42857142857143,13602642.0,0.0
7/7/2016,ACC-W1,0.27,0.28,0.26,0.26,-3.7,6560725,1753620,45222280,482345590.0,612356560.0,0.274,0.285,,,,30792802.8,21.42857142857143,21.42857142857143,9044456.0,0.0
7/8/2016,ACC-W1,0.27,0.27,0.26,0.26,0.0,7877280,2052870,39795470,238970440.0,614409430.0,0.268,0.2808333333333333,,,,27445793.8,14.285714285714292,20.000000000000004,7959094.0,0.0
7/11/2016,ACC-W1,0.27,0.28,0.26,0.26,0.0,9309400,2476420,38476540,180825490.0,616885850.0,0.264,0.2766666666666666,,,,26699909.0,7.142857142857139,17.142857142857142,7695308.0,0.0
7/12/2016,ACC-W1,0.26,0.28,0.26,0.27,3.85,29573225,8140660,19899260,157890480.0,625026510.0,0.264,0.275,,,,14653806.2,14.285714285714292,15.714285714285715,3979852.0,0.0
7/13/2016,ACC-W1,0.27,0.28,0.26,0.26,-3.7,8137058,2160530,16584100,142338610.0,627187040.0,0.262,0.2733333333333334,,,,12291537.6,14.285714285714292,14.285714285714288,3316820.0,0.0
7/14/2016,ACC-W1,0.27,0.28,0.26,0.26,0.0,15275752,4054230,18884710,135945610.0,631241270.0,0.262,0.2733333333333334,,,,14034543.0,14.285714285714292,12.857142857142858,3776942.0,0.0
7/15/2016,ACC-W1,0.26,0.27,0.25,0.26,0.0,3412998,880930,17712770,122211590.0,632122200.0,0.262,0.27,,,,13141686.6,14.285714285714292,12.857142857142858,3542554.0,0.0
7/20/2016,ACC-W1,0.26,0.27,0.25,0.25,-3.85,4285202,1106950,16343300,90639420.0,633229150.0,0.26,0.2658333333333333,,,,12136847.0,14.285714285714292,14.285714285714292,3268660.0,0.0
7/21/2016,ACC-W1,0.26,0.27,0.25,0.25,0.0,5911700,1497010,9699650,67591880.0,634726160.0,0.256,0.2625,,,,7404542.0,7.142857142857139,12.857142857142858,1939930.0,0.0
7/22/2016,ACC-W1,0.25,0.26,0.23,0.23,-8.0,10805061,2603200,10142320,62715400.0,637329360.0,0.25,0.25833333333333336,0.2657692307692307,-0.009145299145299044,-0.009145299145299044,7938142.6,7.142857142857139,11.428571428571427,2028464.0,0.0
7/25/2016,ACC-W1,0.23,0.24,0.22,0.23,0.0,6271649,1443740,7531830,60363790.0,638773100.0,0.244,0.255,0.2657692307692308,-0.011965811965811923,-0.010555555555555485,6137322.0,7.142857142857139,10.0,1506366.0,0.0
7/26/2016,ACC-W1,0.24,0.24,0.23,0.23,0.0,2940250,689090,7339990,34334940.0,639462190.0,0.238,0.25166666666666665,0.2669230769230769,-0.015854700854700917,-0.012321937321937296,6042772.4,7.142857142857139,8.571428571428571,1467998.0,0.0
7/27/2016,ACC-W1,0.23,0.24,0.22,0.23,0.0,3208996,733270,6966310,29592520.0,640195460.0,0.23399999999999999,0.2491666666666667,0.2684615384615385,-0.019394586894586896,-0.014090099715099696,5827531.2,7.142857142857139,7.142857142857139,1393262.0,0.0
7/28/2016,ACC-W1,0.24,0.26,0.24,0.24,4.35,35190266,8622970,14092270,36461870.0,648818430.0,0.23200000000000004,0.2475,0.2684615384615385,-0.020007122507122558,-0.015273504273504268,11683244.4,14.285714285714292,8.571428571428571,2818454.0,0.0
7/29/2016,ACC-W1,0.25,0.25,0.24,0.24,0.0,4563125,1095590,12584660,35504590.0,649914020.0,0.23399999999999999,0.2458333333333333,0.265,-0.018212250712250688,-0.017086894586894597,10434857.2,14.285714285714292,10.0,2516932.0,0.0
8/1/2016,ACC-W1,0.24,0.25,0.23,0.23,-4.17,6185010,1444630,12585550,34472800.0,651358650.0,0.23399999999999999,0.24250000000000005,0.26192307692307704,-0.018981481481481544,-0.01849002849002852,10417529.4,14.285714285714292,11.428571428571427,2517110.0,0.0
8/2/2016,ACC-W1,0.23,0.24,0.22,0.23,0.0,3020472,694140,12590600,27026280.0,652052790.0,0.23399999999999999,0.24,0.25884615384615395,-0.01824786324786337,-0.01896866096866101,10433573.8,14.285714285714292,12.857142857142858,2518120.0,0.0
8/3/2016,ACC-W1,0.23,0.24,0.23,0.23,0.0,2456600,565090,12422420,25430840.0,652617880.0,0.23399999999999999,0.2375,0.2565384615384617,-0.018226495726495817,-0.0187350427350428,10283094.6,7.142857142857139,12.857142857142858,2484484.0,0.0
8/4/2016,ACC-W1,0.24,0.24,0.23,0.23,0.0,1249358,287710,4087160,21664320.0,596507080.0,0.23199999999999998,0.235,0.25461538461538474,-0.018561253561253654,-0.018445868945869016,3494913.0,7.142857142857139,11.428571428571427,817432.0,0.0
8/5/2016,ACC-W1,0.24,0.24,0.22,0.23,0.0,1879400,432260,3423830,21215650.0,588607040.0,0.23000000000000004,0.2333333333333333,0.2534615384615386,-0.018903133903134084,-0.01858404558404569,2958168.0,7.142857142857139,10.0,684766.0,0.0
8/8/2016,ACC-W1,0.24,0.24,0.22,0.22,-4.35,3143215,707720,2686920,20816420.0,586390200.0,0.2280000000000001,0.23083333333333336,0.25038461538461554,-0.01896723646723658,-0.018581196581196703,2349809.0,7.142857142857139,8.571428571428571,537384.0,0.0
