Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,ACD,7.2,7.3,6.9,6.95,-0.71,3590730,25427000,160536000,1360860000.0,5683135000.0,6.95,,,,,3590730.0,,,25427000.0,0.0
1/6/2015,ACD,6.7,6.85,6.6,6.75,-2.88,2204000,14804000,153958000,1315306000.0,5504533000.0,6.85,,,,,2897365.0,,,20115500.0,0.0
1/7/2015,ACD,6.7,6.9,6.5,6.75,0.0,2481600,16612000,147445000,1272599000.0,5247900000.0,6.816666666666666,,,,,2758776.666666666,,,18947666.666666668,0.0
1/8/2015,ACD,6.7,7.0,6.7,6.8,0.74,3269874,22430000,126243000,1252332000.0,5188327000.0,6.8125,,,,,2886551.0,,,19818250.0,0.0
1/9/2015,ACD,6.8,7.8,6.8,7.65,12.5,37146537,275654000,354927000,796359000.0,5118538000.0,6.98,,,,,9738548.2,,,70985400.0,0.0
1/12/2015,ACD,7.8,7.85,6.7,6.85,-10.46,31314840,226467000,555967000,823016000.0,5147352000.0,6.960000000000001,,,,,15283370.2,,,111193400.0,0.0
1/13/2015,ACD,6.8,7.0,6.6,6.6,-3.65,11695200,78907000,620070000,852466000.0,5091988000.0,6.9300000000000015,,,,,17181610.2,,,124014000.0,0.0
1/14/2015,ACD,6.65,6.75,6.2,6.25,-5.3,12389090,79958000,683416000,902132000.0,5080114000.0,6.83,,,,,19163108.2,,,136683200.0,0.0
1/15/2015,ACD,6.2,6.6,6.0,6.25,0.0,9426800,59025000,720011000,934393000.0,5088858000.0,6.7200000000000015,,,,,20394493.4,,,144002200.0,0.0
1/16/2015,ACD,6.25,6.6,6.15,6.5,4.0,7656200,49334000,493691000,962345000.0,5082766000.0,6.49,,,,,14496426.0,,,98738200.0,0.0
1/19/2015,ACD,6.55,7.0,6.4,6.8,4.62,14388300,97281000,364505000,1036501000.0,5040241000.0,6.48,,,,,11111118.0,,,72901000.0,0.0
1/20/2015,ACD,6.9,6.9,6.4,6.5,-4.41,5302210,35208000,320806000,1028077000.0,4687605000.0,6.459999999999999,6.720833333333332,,,,9832520.0,,,64161200.0,0.0
1/21/2015,ACD,6.5,6.55,6.3,6.45,-0.77,2884602,18437000,259285000,999544000.0,3730538000.0,6.5,6.679166666666667,,,,7931622.4,,,51857000.0,0.0
1/22/2015,ACD,6.45,6.45,6.1,6.35,-1.55,6734230,42150000,242410000,1016267000.0,3357932000.0,6.5200000000000005,6.645833333333332,,,,7393108.4,28.57142857142857,28.57142857142857,48482000.0,0.0
1/23/2015,ACD,6.3,6.35,5.55,5.9,-7.09,13972280,82954000,276030000,1084417000.0,3287940000.0,6.4,6.5749999999999975,,,,8656324.4,28.57142857142857,28.57142857142857,55206000.0,0.0
1/26/2015,ACD,5.8,5.95,4.94,5.15,-12.71,14168211,75569000,254318000,1143374000.0,3240286000.0,6.0699999999999985,6.437500000000001,,,,8612306.6,28.57142857142857,28.57142857142857,50863600.0,0.0
1/27/2015,ACD,5.15,5.15,4.96,5.0,-2.91,5126500,25687000,244797000,1146631000.0,3031217000.0,5.7700000000000005,6.216666666666668,,,,8577164.6,28.57142857142857,28.57142857142857,48959400.0,0.0
1/28/2015,ACD,5.1,5.85,4.98,5.6,12.0,17185532,94935000,321295000,965912000.0,2945403000.0,5.6,6.1125,,,,11437350.6,28.57142857142857,28.57142857142857,64259000.0,0.0
1/29/2015,ACD,5.7,5.75,5.2,5.3,-5.36,4878650,26272000,305417000,765717000.0,2823415000.0,5.39,6.004166666666666,,,,11066234.6,21.42857142857143,27.142857142857146,61083400.0,0.0
1/30/2015,ACD,5.25,5.45,5.05,5.3,0.0,4807318,25168000,247631000,711978000.0,2813260000.0,5.2700000000000005,5.925,,,,9233242.2,21.42857142857143,25.71428571428571,49526200.0,0.0
2/2/2015,ACD,5.4,5.4,5.0,5.05,-4.72,9016800,46440000,218502000,678460000.0,2802459000.0,5.25,5.8249999999999975,,,,8202960.0,21.42857142857143,24.285714285714285,43700400.0,0.0
2/3/2015,ACD,5.05,5.2,4.98,5.05,0.0,5055013,25498000,218313000,644933000.0,2779650000.0,5.26,5.7041666666666675,,,,8188662.6,21.42857142857143,22.857142857142854,43662600.0,0.0
2/4/2015,ACD,5.35,5.35,5.05,5.1,0.99,7813702,40587000,163965000,636186000.0,2759879000.0,5.159999999999998,5.562499999999999,,,,6314296.6,28.57142857142857,22.857142857142854,32793000.0,0.0
2/5/2015,ACD,5.15,5.15,5.0,5.05,-0.98,4715201,23769000,161462000,562674000.0,2724329000.0,5.11,5.441666666666666,,,,6281606.8,21.42857142857143,22.857142857142854,32292400.0,0.0
2/6/2015,ACD,5.05,5.1,4.8,4.88,-3.37,11027600,54566000,190860000,582032000.0,2736198000.0,5.026,5.310833333333332,,,,7525663.2,14.285714285714292,21.42857142857143,38172000.0,0.0
2/9/2015,ACD,4.86,4.9,4.36,4.36,-10.66,11206100,51277000,195697000,614872000.0,2055848000.0,4.888,5.145,5.968846153846156,-0.8254415954415961,-0.8254415954415961,7963523.2,14.285714285714292,20.000000000000004,39139400.0,0.0
2/10/2015,ACD,4.32,4.7,4.2,4.6,5.5,10890200,49195000,219394000,621917000.0,1905233000.0,4.797999999999999,5.036666666666667,5.878461538461537,-0.8142735042735039,-0.8198575498575501,9130560.6,21.42857142857143,20.000000000000004,43878800.0,2.0
2/11/2015,ACD,4.52,4.64,4.36,4.36,-5.22,5186400,23222000,202029000,562185000.0,1878998000.0,4.65,4.970833333333333,5.786538461538463,-0.8040099715099718,-0.8145750237416906,8605100.2,21.42857142857143,18.571428571428573,40405800.0,0.0
2/12/2015,ACD,4.5,4.5,4.36,4.38,0.46,2955400,13084000,191344000,499700000.0,1861790000.0,4.516,4.9191666666666665,5.695384615384616,-0.7617307692307698,-0.8013639601139604,8253140.0,28.57142857142857,20.000000000000004,38268800.0,0.0
2/13/2015,ACD,4.42,4.44,4.18,4.22,-3.65,4833201,20770000,157548000,494783000.0,1855796000.0,4.3839999999999995,4.804166666666666,5.596153846153847,-0.7799216524216517,-0.7970754985754986,7014260.2,28.57142857142857,22.857142857142854,31509600.0,0.0
2/16/2015,ACD,4.2,4.26,3.96,4.0,-5.21,9057000,36741000,143012000,436589000.0,1871155000.0,4.311999999999999,4.695833333333334,5.455769230769231,-0.7591524216524208,-0.7838176638176636,6584440.2,28.57142857142857,25.71428571428571,28602400.0,2.0
2/17/2015,ACD,4.0,4.0,3.7,3.7,-7.5,8874700,33923000,127740000,444240000.0,1881953000.0,4.132,4.5625,5.334615384615383,-0.7837250712250698,-0.7777079772079768,6181340.2,21.42857142857143,25.71428571428571,25548000.0,0.0
2/18/2015,ACD,3.66,4.38,3.66,4.08,10.27,38494200,152477000,256995000,571549000.0,1990798000.0,4.0760000000000005,4.4816666666666665,5.237692307692306,-0.7320655270655267,-0.7633190883190878,12842900.2,28.57142857142857,27.142857142857146,51399000.0,2.0
2/19/2015,ACD,4.12,4.24,4.04,4.04,-0.98,13457501,55896000,299807000,581005000.0,1999724000.0,4.008,4.3975,5.152692307692306,-0.7277706552706542,-0.7565270655270646,14943320.4,28.57142857142857,27.142857142857146,59961400.0,0.0
2/20/2015,ACD,4.06,4.08,3.86,3.92,-2.97,6308900,24765000,303802000,580272000.0,1999062000.0,3.948,4.299166666666666,5.063076923076921,-0.7375712250712239,-0.7480569800569791,15238460.2,28.57142857142857,27.142857142857146,60760400.0,0.0
2/23/2015,ACD,3.98,3.98,3.78,3.8,-3.06,3079500,11800000,278861000,551485000.0,1996058000.0,3.908,4.194999999999999,4.959230769230769,-0.7391310541310538,-0.7440527065527057,14042960.2,28.57142857142857,27.142857142857146,55772200.0,0.0
2/24/2015,ACD,3.8,4.36,3.74,4.28,12.63,44034400,185358000,430296000,713074000.0,2164804000.0,4.024,4.145,4.8623076923076916,-0.6534045584045582,-0.7179886039886034,21074900.2,28.57142857142857,28.57142857142857,86059200.0,2.0
2/25/2015,ACD,4.46,4.9,4.4,4.54,6.07,93119746,428952000,706771000,1087460000.0,2571326000.0,4.1160000000000005,4.159999999999998,4.7869230769230775,-0.5501709401709398,-0.681609686609686,32000009.4,35.714285714285715,30.0,141354200.0,2.0
2/26/2015,ACD,4.7,4.72,4.26,4.26,-6.17,21801346,97397000,748272000,1133580000.0,2393069000.0,4.159999999999998,4.131666666666667,4.702692307692309,-0.5184900284900289,-0.639753561253561,33668778.4,35.714285714285715,31.428571428571434,149654400.0,0.0
2/27/2015,ACD,4.26,4.4,4.12,4.12,-3.29,9452101,40338000,763845000,1124723000.0,2206940000.0,4.200000000000001,4.111666666666666,4.616923076923079,-0.467165242165243,-0.5856723646723647,34297418.6,35.714285714285715,32.85714285714286,152769000.0,0.0
3/2/2015,ACD,4.12,4.12,3.9,3.9,-5.34,4588400,18224000,770269000,1119725000.0,2146257000.0,4.22,4.071666666666666,4.540000000000001,-0.4473361823361833,-0.5273133903133906,34599198.6,28.57142857142857,32.857142857142854,154053800.0,0.0
