Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
6/27/2019,ACG,1.66,1.7,1.56,1.56,8.33,291608732,481302290,481302290,481302290.0,481302290.0,1.56,,,,,291608732.0,,,481302290.0,0.0
6/28/2019,ACG,1.57,1.62,1.57,1.59,1.92,52624253,83975890,565278180,565278180.0,565278180.0,1.5750000000000002,,,,,172116492.5,,,282639090.0,0.0
7/1/2019,ACG,1.59,1.59,1.43,1.44,-9.43,37314243,55117250,620395430,620395430.0,620395430.0,1.53,,,,,127182409.33333331,,,206798476.66666663,0.0
7/2/2019,ACG,1.45,1.53,1.45,1.49,3.47,21210006,31615680,652011110,652011110.0,652011110.0,1.52,,,,,100689308.5,,,163002777.5,0.0
7/3/2019,ACG,1.51,1.57,1.49,1.55,4.03,19158948,29478330,681489440,681489440.0,681489440.0,1.526,,,,,84383236.4,,,136297888.0,0.0
7/4/2019,ACG,1.57,1.57,1.48,1.51,-2.58,14672500,22345040,222532190,703834480.0,703834480.0,1.516,,,,,28995990.0,,,44506438.0,0.0
7/5/2019,ACG,1.51,1.54,1.5,1.5,-0.66,6155101,9328080,147884380,713162560.0,713162560.0,1.4979999999999998,,,,,19702159.6,,,29576876.0,0.0
7/8/2019,ACG,1.49,1.5,1.48,1.5,0.0,3683425,5504350,98271480,718666910.0,718666910.0,1.51,,,,,12975996.0,,,19654296.0,0.0
7/9/2019,ACG,1.5,1.52,1.49,1.5,0.0,5911723,8876060,75531860,727542970.0,727542970.0,1.5119999999999998,,,,,9916339.4,,,15106372.0,0.0
7/10/2019,ACG,1.51,1.51,1.48,1.49,-0.67,4664834,6959730,53013260,734502700.0,734502700.0,1.5,,,,,7017516.6,,,10602652.0,0.0
7/11/2019,ACG,1.5,1.52,1.49,1.51,1.34,7975319,12020440,42688660,746523140.0,746523140.0,1.5,,,,,5678080.4,,,8537732.0,0.0
7/12/2019,ACG,1.52,1.58,1.51,1.56,3.31,18236549,28205710,61566290,774728850.0,774728850.0,1.5119999999999998,1.5166666666666666,,,,8094370.0,,,12313258.0,0.0
7/15/2019,ACG,1.56,1.56,1.53,1.53,-1.92,2978905,4595710,60657650,779324560.0,779324560.0,1.5180000000000002,1.5141666666666669,,,,7953466.0,,,12131530.0,0.0
7/17/2019,ACG,1.55,1.63,1.53,1.6,4.58,16416000,26075830,77857420,324098100.0,805400390.0,1.5380000000000005,1.515,,,,10054321.4,50.0,50.0,15571484.0,0.0
7/18/2019,ACG,1.6,1.66,1.59,1.6,0.0,25552661,41528590,112426280,281650800.0,846928980.0,1.56,1.5283333333333335,,,,14231886.8,42.857142857142854,46.42857142857143,22485256.0,0.0
7/19/2019,ACG,1.64,1.64,1.58,1.6,0.0,5041600,8126050,108531890,234659600.0,855055030.0,1.5779999999999998,1.5375000000000003,,,,13645143.0,35.714285714285715,42.85714285714286,21706378.0,0.0
7/22/2019,ACG,1.62,1.62,1.6,1.6,0.0,2459100,3941760,84267940,206985680.0,858996790.0,1.5859999999999999,1.5416666666666667,,,,10489653.2,35.714285714285715,41.071428571428584,16853588.0,0.0
7/23/2019,ACG,1.61,1.64,1.59,1.6,0.0,5202516,8398950,88071180,185906300.0,867395740.0,1.6,1.5491666666666666,,,,10934375.4,28.57142857142857,38.571428571428584,17614236.0,0.0
7/24/2019,ACG,1.6,1.6,1.56,1.56,-2.5,3529410,5553470,67548820,169114730.0,872949210.0,1.592,1.5541666666666665,,,,8357057.4,21.42857142857143,32.857142857142875,13509764.0,0.0
7/25/2019,ACG,1.56,1.61,1.56,1.57,0.64,3952139,6268150,32288380,166054800.0,879217360.0,1.5860000000000003,1.5599999999999998,,,,4036953.0,28.57142857142857,30.0,6457676.0,0.0
7/26/2019,ACG,1.58,1.58,1.54,1.54,-1.91,2693408,4168700,28331030,164719150.0,883386060.0,1.574,1.5633333333333332,,,,3567314.6,28.57142857142857,28.57142857142857,5666206.0,0.0
7/30/2019,ACG,1.55,1.58,1.53,1.53,-0.65,2590300,4012480,28401750,159855570.0,887398540.0,1.56,1.5666666666666669,,,,3593554.6,28.57142857142857,27.142857142857146,5680350.0,0.0
7/31/2019,ACG,1.52,1.56,1.52,1.52,-0.65,2717208,4182810,24185610,157078650.0,891581350.0,1.544,1.5675,,,,3096493.0,28.57142857142857,27.142857142857146,4837122.0,0.0
8/1/2019,ACG,1.53,1.53,1.5,1.5,-1.32,1047600,1579850,20211990,146638060.0,893161200.0,1.5319999999999998,1.5625,,,,2600131.0,28.57142857142857,28.57142857142857,4042398.0,0.0
8/2/2019,ACG,1.49,1.49,1.46,1.48,-1.33,3004700,4434030,18377870,122866380.0,897595230.0,1.514,1.5583333333333331,,,,2410643.2,21.42857142857143,27.142857142857146,3675574.0,0.0
8/5/2019,ACG,1.48,1.5,1.47,1.49,0.68,229500,340050,14549220,118610720.0,897935280.0,1.504,1.5491666666666664,1.5353846153846158,0.008041310541309743,0.008041310541309743,1917861.6,21.42857142857143,25.71428571428571,2909844.0,0.0
