Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,AEC-W2,0.8,0.81,0.78,0.8,1.27,3853400,3072000,37655000,273668000.0,419795000.0,0.8,,,,,3853400.0,,
1/6/2015,AEC-W2,0.79,0.8,0.76,0.77,-3.75,1857800,1447000,17949000,273133000.0,411035000.0,0.785,,,,,2855600.0,,
1/7/2015,AEC-W2,0.78,0.85,0.77,0.81,5.19,4938200,4007000,16052000,276100000.0,380975000.0,0.7933333333333333,,,,,3549800.0,,
1/8/2015,AEC-W2,0.81,0.93,0.81,0.86,6.17,19784600,17368000,28852000,291132000.0,382753000.0,0.8099999999999999,,,,,7608500.0,,
1/9/2015,AEC-W2,0.86,0.87,0.83,0.83,-3.49,5584500,4724000,30618000,292106000.0,382418000.0,0.8139999999999998,,,,,7203700.0,,
1/12/2015,AEC-W2,0.83,0.87,0.8,0.84,1.2,4751100,3974000,31520000,292342000.0,378827000.0,0.8220000000000001,,,,,7383240.0,,
1/13/2015,AEC-W2,0.84,0.87,0.82,0.86,2.38,4502100,3816000,33889000,204645000.0,367252000.0,0.8400000000000001,,,,,7912100.0,,
1/14/2015,AEC-W2,0.87,0.96,0.86,0.88,2.33,23789400,21655000,51537000,123675000.0,382654000.0,0.8539999999999999,,,,,11682340.0,,
1/15/2015,AEC-W2,0.88,0.9,0.87,0.87,-1.14,6731200,5956000,40125000,100602000.0,384998000.0,0.8559999999999999,,,,,9071660.0,,
1/16/2015,AEC-W2,0.88,0.96,0.87,0.9,3.45,20197300,18542000,53943000,97991000.0,401565000.0,0.8700000000000001,,,,,11994220.0,,
1/19/2015,AEC-W2,0.92,0.97,0.91,0.92,2.22,13015104,12195000,62164000,104282000.0,395727000.0,0.8859999999999999,,,,,13647020.8,,
