Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,AEC,1.46,1.46,1.44,1.45,-0.68,1479200,2146000,25915000,205123000.0,501960000.0,1.45,,,,,1479200.0,,
1/6/2015,AEC,1.43,1.43,1.4,1.42,-2.07,6110600,8614000,24900000,204467000.0,489505000.0,1.435,,,,,3794900.0,,
1/7/2015,AEC,1.42,1.45,1.39,1.41,-0.7,6895900,9725000,26603000,209830000.0,468674000.0,1.4266666666666667,,,,,4828566.666666667,,
1/8/2015,AEC,1.42,1.47,1.42,1.44,2.13,12353600,17911000,42403000,223738000.0,457455000.0,1.4300000000000002,,,,,6709825.0,,
1/9/2015,AEC,1.46,1.46,1.42,1.43,-0.69,3890400,5579000,43975000,218278000.0,454640000.0,1.4300000000000002,,,,,6145940.0,,
1/12/2015,AEC,1.42,1.45,1.42,1.42,-0.7,3157902,4522000,46351000,215884000.0,447147000.0,1.424,,,,,6481680.4,,
1/13/2015,AEC,1.43,1.45,1.41,1.42,0.0,3678701,5252000,42989000,149376000.0,435200000.0,1.424,,,,,5995300.6,,
1/14/2015,AEC,1.43,1.48,1.43,1.43,0.7,14424600,20945000,54209000,114503000.0,445503000.0,1.428,,,,,7501040.6,,
1/15/2015,AEC,1.45,1.46,1.42,1.44,0.7,5745178,8282000,44580000,106745000.0,445366000.0,1.4279999999999997,,,,,6179356.2,,
1/16/2015,AEC,1.45,1.5,1.44,1.47,2.08,16883700,24948000,63949000,122064000.0,460560000.0,1.4359999999999997,,,,,8778016.2,,
1/19/2015,AEC,1.49,1.53,1.48,1.49,1.36,14657701,22032000,81459000,136074000.0,432998000.0,1.4499999999999997,,,,,11077976.0,,
1/20/2015,AEC,1.51,1.53,1.48,1.49,0.0,16886100,25411000,101618000,159374000.0,446622000.0,1.464,1.4425,,,,13719455.8,,
1/21/2015,AEC,1.49,1.57,1.49,1.55,4.03,39631800,60954000,141627000,216321000.0,480172000.0,1.488,1.4508333333333334,,,,18760895.8,,
1/22/2015,AEC,1.58,1.58,1.54,1.55,0.0,23572600,36719000,170064000,250894000.0,513579000.0,1.51,1.4616666666666667,,,,22326380.2,42.857142857142854,42.857142857142854
1/23/2015,AEC,1.56,1.61,1.51,1.52,-1.94,46146400,72253000,217369000,314533000.0,578644000.0,1.52,1.4708333333333334,,,,28178920.2,42.857142857142854,42.857142857142854
