Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,AEONTS,107.5,108.0,107.5,108.0,-0.46,54201,5850000,22457000,93073000.0,254061000.0,108.0,,,,,54201.0,,
1/6/2015,AEONTS,107.0,108.5,107.0,108.5,0.46,85000,9178000,21190000,70100000.0,261163000.0,108.25,,,,,69600.5,,
1/7/2015,AEONTS,109.0,109.0,108.0,109.0,0.46,54006,5838000,25242000,64968000.0,263463000.0,108.5,,,,,64402.333333333336,,
1/8/2015,AEONTS,109.0,110.5,108.0,110.0,0.92,44101,4815000,27921000,63173000.0,266853000.0,108.875,,,,,59327.0,,
1/9/2015,AEONTS,109.0,110.0,108.0,110.0,0.0,115030,12494000,38175000,69894000.0,275454000.0,109.1,,,,,70467.6,,
1/12/2015,AEONTS,110.0,111.0,109.0,111.0,0.91,5200,574000,32899000,65951000.0,266148000.0,109.7,,,,,60667.4,,
1/13/2015,AEONTS,111.0,111.5,111.0,111.5,0.45,26500,2954000,26675000,60199000.0,267093000.0,110.3,,,,,48967.4,,
1/14/2015,AEONTS,111.5,111.5,110.0,111.5,0.0,19900,2217000,23054000,61495000.0,267505000.0,110.8,,,,,42146.2,,
1/15/2015,AEONTS,112.0,112.0,111.5,111.5,0.0,7200,803000,19042000,61330000.0,265173000.0,111.1,,,,,34766.0,,
1/16/2015,AEONTS,111.5,112.0,111.0,112.0,0.45,21801,2431000,8979000,53316000.0,264401000.0,111.5,,,,,16120.2,,
1/19/2015,AEONTS,112.0,113.0,112.0,112.5,0.45,5525,621000,9026000,52151000.0,250352000.0,111.8,,,,,16185.2,,
1/20/2015,AEONTS,112.5,117.0,112.5,117.0,4.0,72500,8366000,14438000,58381000.0,230482000.0,112.9,111.04166666666667,,,,25385.2,,
1/21/2015,AEONTS,119.0,119.5,116.0,118.0,0.85,26700,3160000,15381000,59301000.0,222856000.0,114.2,111.875,,,,26745.2,,
1/22/2015,AEONTS,118.5,118.5,115.0,116.0,-1.69,21500,2501000,17079000,55952000.0,224263000.0,115.1,112.5,,,,29605.2,64.28571428571428,64.28571428571428
1/23/2015,AEONTS,116.0,116.0,114.0,115.0,-0.86,13410,1541000,16189000,48315000.0,222768000.0,115.7,113.0,,,,27927.0,64.28571428571428,64.28571428571428
1/26/2015,AEONTS,115.0,115.0,113.5,113.5,-1.3,18100,2062000,17630000,44539000.0,205993000.0,115.9,113.29166666666667,,,,30442.0,57.14285714285714,61.9047619047619
1/27/2015,AEONTS,113.5,113.5,113.0,113.5,0.0,20202,2293000,11557000,42017000.0,203864000.0,115.2,113.58333333333333,,,,19982.4,50.0,58.92857142857142
1/28/2015,AEONTS,112.5,112.5,109.0,110.0,-3.08,166500,18346000,26743000,47869000.0,212037000.0,113.6,113.5,,,,47942.4,42.857142857142854,55.71428571428571
1/29/2015,AEONTS,110.0,110.0,109.5,110.0,0.0,31100,3419000,27661000,50714000.0,205090000.0,112.4,113.375,,,,49862.4,42.857142857142854,51.42857142857142
