Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/9/2018,AIMIRT,10.0,10.1,9.95,10.0,0.0,10636921,106600820,106600820,106600820.0,106600820.0,10.0,,,,,10636921.0,,
1/10/2018,AIMIRT,10.0,10.1,9.95,10.0,0.0,6174468,61727150,168327970,168327970.0,168327970.0,10.0,,,,,8405694.5,,
1/12/2018,AIMIRT,10.0,10.0,9.95,9.95,0.0,463011,4623920,172951890,172951890.0,172951890.0,9.983333333333333,,,,,5758133.333333333,,
1/15/2018,AIMIRT,10.0,10.0,9.95,10.0,0.5,661501,6614960,179566850,179566850.0,179566850.0,9.9875,,,,,4483975.25,,
1/16/2018,AIMIRT,10.0,10.0,9.95,10.0,0.0,372902,3723990,183290840,183290840.0,183290840.0,9.99,,,,,3661760.6,,
1/17/2018,AIMIRT,10.0,10.1,10.0,10.1,1.0,363800,3650190,80340210,186941030.0,186941030.0,10.010000000000002,,,,,1607136.4,,
1/18/2018,AIMIRT,10.0,10.1,10.0,10.0,-0.99,987900,9913270,28526330,196854300.0,196854300.0,10.01,,,,,569822.8,,
1/19/2018,AIMIRT,10.0,10.1,10.0,10.0,0.0,78300,784900,24687310,197639200.0,197639200.0,10.02,,,,,492880.6,,
1/22/2018,AIMIRT,10.0,10.1,10.0,10.0,0.0,144300,1443600,19515950,199082800.0,199082800.0,10.02,,,,,389440.4,,
1/23/2018,AIMIRT,10.0,10.0,10.0,10.0,0.0,307900,3079000,18870960,202161800.0,202161800.0,10.02,,,,,376440.0,,
1/24/2018,AIMIRT,10.0,10.1,10.0,10.1,1.0,506400,5106600,20327370,207268400.0,207268400.0,10.02,,,,,404960.0,,
1/25/2018,AIMIRT,10.1,10.1,10.1,10.1,0.0,716600,7237660,17651760,214506060.0,214506060.0,10.040000000000001,10.020833333333334,,,,350700.0,,
1/26/2018,AIMIRT,10.1,10.1,10.0,10.1,0.0,63917,645150,17512010,215151210.0,215151210.0,10.06,10.029166666666667,,,,347823.4,,
1/29/2018,AIMIRT,10.1,10.1,10.0,10.1,0.0,15600,157550,16225960,108707940.0,215308760.0,10.080000000000002,10.037499999999998,,,,322083.4,21.42857142857143,21.42857142857143
1/30/2018,AIMIRT,10.0,10.1,10.0,10.1,0.0,6900,69020,13215980,47049810.0,215377780.0,10.1,10.049999999999997,,,,261883.4,21.42857142857143,21.42857142857143
1/31/2018,AIMIRT,10.1,10.1,10.0,10.1,0.0,34300,346230,8455610,42772120.0,215724010.0,10.1,10.058333333333332,,,,167463.4,21.42857142857143,21.42857142857143
2/1/2018,AIMIRT,10.1,10.1,10.0,10.0,-0.99,52500,527010,1744960,36684170.0,216251020.0,10.08,10.058333333333332,,,,34643.4,21.42857142857143,21.42857142857143
2/2/2018,AIMIRT,10.0,10.1,10.0,10.0,0.0,247700,2477320,3577130,35437500.0,218728340.0,10.059999999999999,10.049999999999999,,,,71400.0,14.285714285714292,20.000000000000004
2/5/2018,AIMIRT,10.0,10.1,10.0,10.0,0.0,110000,1100550,4520130,32887860.0,219828890.0,10.040000000000001,10.049999999999999,,,,90280.0,14.285714285714292,18.571428571428577
2/6/2018,AIMIRT,10.0,10.1,10.0,10.0,0.0,1251301,12513030,16964140,35487620.0,232341920.0,10.02,10.049999999999999,,,,339160.2,7.142857142857139,15.714285714285717
