Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
9/29/2017,AJA,0.83,0.91,0.83,0.83,-29.66,884455744,748881990,748881990,748881990.0,748881990.0,0.83,,,,,884455744.0,,
10/2/2017,AJA,0.76,0.81,0.59,0.69,-16.87,2033374067,1372718630,2121600620,2121600620.0,2121600620.0,0.76,,,,,1458914905.5,,
10/3/2017,AJA,0.7,0.75,0.67,0.71,2.9,813714036,585842770,2707443390,2707443390.0,2707443390.0,0.7433333333333333,,,,,1243847949.0,,
10/4/2017,AJA,0.72,0.76,0.71,0.72,1.41,423367862,310288650,3017732040,3017732040.0,3017732040.0,0.7375,,,,,1038727927.25,,
10/5/2017,AJA,0.72,0.73,0.69,0.69,-4.17,101900618,71566500,3089298540,3089298540.0,3089298540.0,0.728,,,,,851362465.4,,
10/6/2017,AJA,0.7,0.7,0.67,0.68,-1.45,71303359,48869220,2389285770,3138167760.0,3138167760.0,0.6980000000000001,,,,,688731988.4,,
10/9/2017,AJA,0.67,0.68,0.6,0.62,-8.82,67784454,42259420,1058826560,3180427180.0,3180427180.0,0.684,,,,,295614065.8,,
10/10/2017,AJA,0.61,0.64,0.6,0.64,3.23,33398419,20789650,493773440,3201216830.0,3201216830.0,0.67,,,,,139550942.4,,
10/11/2017,AJA,0.64,0.65,0.61,0.63,-1.56,24580483,15373030,198857820,3216589860.0,3216589860.0,0.652,,,,,59793466.6,,
10/12/2017,AJA,0.62,0.62,0.6,0.61,-3.17,18903796,11538480,138829800,3228128340.0,3228128340.0,0.6359999999999999,,,,,43194102.2,,
10/16/2017,AJA,0.64,0.67,0.64,0.65,6.56,63294963,41195650,131156230,3269323990.0,3269323990.0,0.63,,,,,41592423.0,,
10/17/2017,AJA,0.65,0.67,0.62,0.63,-3.08,36658792,23567860,112464670,3292891850.0,3292891850.0,0.6319999999999999,0.6750000000000002,,,,35367290.6,,
10/18/2017,AJA,0.63,0.64,0.61,0.61,-3.17,13819900,8560900,100235920,3301452750.0,3301452750.0,0.626,0.6566666666666667,,,,31451586.8,,
10/19/2017,AJA,0.61,0.63,0.6,0.62,1.64,18122674,11138800,96001690,2563709560.0,3312591550.0,0.624,0.6508333333333335,,,,30160025.0,35.71428571428572,35.71428571428572
10/20/2017,AJA,0.62,0.62,0.6,0.61,-1.61,6742333,4117370,88580580,1195108300.0,3316708920.0,0.624,0.6425000000000001,,,,27727732.4,35.71428571428572,35.71428571428572
10/24/2017,AJA,0.62,0.62,0.6,0.61,-1.61,6742333,4117370,51502300,613382900.0,3320826290.0,0.6159999999999999,0.6333333333333334,,,,16417206.4,35.71428571428572,35.71428571428572
10/25/2017,AJA,0.61,0.61,0.6,0.6,0.0,4031344,2424170,30358610,305518420.0,3323250460.0,0.61,0.6258333333333334,,,,9891716.8,28.57142857142857,33.92857142857143
10/27/2017,AJA,0.6,0.61,0.54,0.58,-3.33,48474794,27829160,49626870,261781080.0,3351079620.0,0.604,0.6175,,,,16822695.6,21.42857142857143,31.428571428571434
10/30/2017,AJA,0.58,0.59,0.56,0.57,-1.72,8249878,4714530,43202600,217626390.0,3355794150.0,0.594,0.6133333333333334,,,,14848136.4,21.42857142857143,28.571428571428577
10/31/2017,AJA,0.56,0.57,0.55,0.56,-1.75,14202968,7946830,47032060,183313800.0,3363740980.0,0.584,0.6066666666666668,,,,16340263.4,21.42857142857143,25.714285714285715
11/1/2017,AJA,0.56,0.56,0.54,0.56,0.0,8199901,4526380,47441070,167050530.0,3368267360.0,0.5740000000000001,0.6008333333333334,,,,16631777.0,21.42857142857143,22.857142857142858
11/2/2017,AJA,0.56,0.56,0.54,0.55,-1.79,7307300,4021920,49038820,155699420.0,3372289280.0,0.5640000000000001,0.5958333333333334,,,,17286968.2,14.285714285714292,20.000000000000004
11/3/2017,AJA,0.55,0.55,0.54,0.54,-1.82,8576040,4657390,25867050,148818330.0,3376946670.0,0.556,0.5866666666666668,,,,9307217.4,14.285714285714292,18.571428571428577
11/6/2017,AJA,0.54,0.55,0.51,0.51,-5.56,16638146,8760070,29912590,116382750.0,3385706740.0,0.5439999999999999,0.5766666666666667,,,,10984871.0,14.285714285714292,17.142857142857146
11/7/2017,AJA,0.51,0.51,0.47,0.49,-3.92,33394710,16087240,38053000,108902130.0,3401793980.0,0.53,0.5666666666666668,,,,14823219.4,7.142857142857139,14.285714285714288
11/8/2017,AJA,0.48,0.49,0.47,0.47,-4.08,11957041,5697030,39223650,106038260.0,3407491010.0,0.5119999999999999,0.5541666666666666,0.6146153846153847,-0.06268518518518529,-0.06268518518518529,15574647.4,7.142857142857139,11.42857142857143
11/9/2017,AJA,0.47,0.48,0.39,0.41,-12.77,58355084,24697520,59899250,119596980.0,3432188530.0,0.484,0.5375,0.5984615384615385,-0.06661680911680912,-0.0646509971509972,25784204.2,7.142857142857139,10.0
11/10/2017,AJA,0.41,0.45,0.37,0.44,7.32,48630781,20053200,75295060,135532810.0,3452241730.0,0.46399999999999997,0.5233333333333333,0.5888461538461539,-0.0673076923076924,-0.06553656220322894,33795152.4,7.142857142857139,8.57142857142857
11/13/2017,AJA,0.44,0.44,0.42,0.43,-2.27,6806300,2910890,69445880,134326330.0,3455152620.0,0.44799999999999995,0.5091666666666667,0.5780769230769232,-0.07012108262108263,-0.06668269230769236,31828783.2,7.142857142857139,7.142857142857139
11/14/2017,AJA,0.42,0.44,0.42,0.42,-2.33,10803979,4626350,57984990,136528510.0,3459778970.0,0.434,0.49583333333333335,0.5665384615384617,-0.07151709401709411,-0.0676495726495727,27310637.0,7.142857142857139,7.142857142857139
11/16/2017,AJA,0.47,0.49,0.45,0.47,2.17,23647800,11164960,63452920,119864310.0,3470943930.0,0.434,0.4875,0.5580769230769231,-0.06674501424501433,-0.06846153846153852,29648788.8,14.285714285714292,8.57142857142857
11/17/2017,AJA,0.47,0.48,0.46,0.48,2.13,11261000,5307000,44062400,120456780.0,3476250930.0,0.44800000000000006,0.4808333333333333,0.5503846153846155,-0.06446581196581208,-0.06803133903133911,20229972.0,21.42857142857143,11.428571428571427
11/20/2017,AJA,0.48,0.6,0.48,0.57,18.75,266722143,148397010,172406210,260906960.0,3624647940.0,0.4739999999999999,0.48166666666666663,0.5484615384615386,-0.05480056980056991,-0.0655299145299146,63848244.4,28.57142857142857,15.714285714285714
11/21/2017,AJA,0.61,0.63,0.58,0.61,7.02,148196699,89610670,259105990,345991250.0,3714258610.0,0.51,0.48666666666666675,0.5473076923076925,-0.046310541310541464,-0.06076780626780638,92126324.2,35.71428571428572,21.42857142857143
11/22/2017,AJA,0.6,0.61,0.57,0.58,-4.92,49259940,28982210,283461850,370951540.0,2994358830.0,0.542,0.49,0.5453846153846155,-0.04410256410256419,-0.05528490028490039,99817516.4,35.71428571428572,27.142857142857146
