Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,AJD-W1,2.0,2.18,1.93,2.08,0.97,56929702,117778000,2973144000,2973144000.0,2973144000.0,2.08,,,,,56929702.0,,
1/6/2015,AJD-W1,2.04,2.12,2.0,2.06,-0.96,27198486,56046000,3029190000,3029190000.0,3029190000.0,2.0700000000000003,,,,,42064094.0,,
1/7/2015,AJD-W1,2.06,2.12,1.99,2.02,-1.94,65424749,133653000,2053957000,3162843000.0,3162843000.0,2.0533333333333332,,,,,49850979.0,,
1/8/2015,AJD-W1,2.02,2.14,1.98,2.02,0.0,100691705,206090000,807101000,3368933000.0,3368933000.0,2.045,,,,,62561160.5,,
1/9/2015,AJD-W1,2.02,2.02,1.94,1.97,-2.48,33963298,66841000,580408000,3435774000.0,3435774000.0,2.0300000000000002,,,,,56841588.0,,
1/12/2015,AJD-W1,1.93,2.0,1.93,1.96,-0.51,39918172,78045000,540675000,3513819000.0,3513819000.0,2.0060000000000002,,,,,53439282.0,,
1/13/2015,AJD-W1,1.94,2.0,1.79,1.95,-0.51,77270217,149083000,633712000,3662902000.0,3662902000.0,1.984,,,,,63453628.2,,
1/14/2015,AJD-W1,1.96,2.24,1.93,2.14,9.74,129974421,275106000,775165000,3938008000.0,3938008000.0,2.008,,,,,76363562.6,,
1/15/2015,AJD-W1,2.08,2.22,2.0,2.06,-3.74,159624142,338242000,907317000,4276250000.0,4276250000.0,2.016,,,,,88150050.0,,
1/16/2015,AJD-W1,2.06,2.08,2.0,2.04,-0.97,20106682,41222000,881698000,4317472000.0,4317472000.0,2.0300000000000002,,,,,85378726.8,,
1/19/2015,AJD-W1,2.08,2.1,2.02,2.04,0.0,18855586,38765000,842418000,3247351000.0,4356237000.0,2.0460000000000003,,,,,81166209.6,,
1/20/2015,AJD-W1,2.02,2.08,2.0,2.04,0.0,8856577,18139000,711474000,1812544000.0,4374376000.0,2.064,2.0316666666666663,,,,67483481.6,,
1/21/2015,AJD-W1,2.04,2.1,1.99,2.04,0.0,11312166,22928000,459296000,1541938000.0,4397304000.0,2.0439999999999996,2.028333333333333,,,,43751030.6,,
1/22/2015,AJD-W1,2.04,2.1,2.02,2.06,0.98,10417951,21478000,142532000,1445638000.0,4418782000.0,2.044,2.028333333333333,,,,13909792.4,21.42857142857143,21.42857142857143
1/23/2015,AJD-W1,2.1,2.16,1.98,2.08,0.97,34937757,71764000,173074000,1461356000.0,4490546000.0,2.052,2.033333333333333,,,,16876007.4,21.42857142857143,21.42857142857143
1/26/2015,AJD-W1,2.1,2.18,2.08,2.12,1.92,19802571,42113000,176422000,1369816000.0,4532659000.0,2.068,2.0416666666666665,,,,17065404.4,28.57142857142857,23.80952380952381
1/27/2015,AJD-W1,2.12,2.12,2.06,2.08,-1.89,4537632,9477000,167760000,1173203000.0,4542136000.0,2.076,2.0508333333333333,,,,16201615.4,28.57142857142857,25.0
1/28/2015,AJD-W1,2.06,2.08,1.99,2.02,-2.88,12696855,25558000,170390000,1131920000.0,4567694000.0,2.072,2.055833333333333,,,,16478553.2,28.57142857142857,25.71428571428571
1/29/2015,AJD-W1,2.02,2.14,2.0,2.12,4.95,22152827,46702000,195614000,1100577000.0,4614396000.0,2.0840000000000005,2.0700000000000003,,,,18825528.4,35.71428571428572,28.571428571428573
1/30/2015,AJD-W1,2.14,2.14,2.08,2.14,0.94,7532550,15943000,139793000,967437000.0,4630339000.0,2.096,2.0700000000000003,,,,13344487.0,42.857142857142854,32.857142857142854
2/2/2015,AJD-W1,2.12,2.14,2.06,2.08,-2.8,3461914,7247000,104927000,699578000.0,4637586000.0,2.088,2.0716666666666668,,,,10076355.6,42.857142857142854,35.714285714285715
2/3/2015,AJD-W1,2.1,2.1,2.06,2.06,-0.96,1471744,3047000,98497000,364383000.0,4640633000.0,2.0840000000000005,2.0733333333333333,,,,9463178.0,35.71428571428572,37.142857142857146
2/4/2015,AJD-W1,2.1,2.1,2.04,2.08,0.97,1438975,2965000,75904000,326126000.0,4643598000.0,2.096,2.0766666666666667,,,,7211602.0,42.857142857142854,40.00000000000001
2/5/2015,AJD-W1,2.02,2.08,2.0,2.04,-1.92,2619325,5313000,34515000,292674000.0,4648911000.0,2.0800000000000005,2.0766666666666667,,,,3304901.6,42.857142857142854,41.42857142857143
2/6/2015,AJD-W1,2.08,2.18,2.04,2.14,4.9,8398750,17855000,36427000,292390000.0,4666766000.0,2.0800000000000005,2.0850000000000004,,,,3478141.6,50.0,42.85714285714286
2/9/2015,AJD-W1,2.14,2.2,2.1,2.16,0.93,20142400,43500000,72680000,312962000.0,4710266000.0,2.096,2.0933333333333333,2.0615384615384613,0.03475783475783478,0.03475783475783478,6814238.8,57.14285714285714,45.714285714285715
2/10/2015,AJD-W1,2.12,2.12,2.04,2.1,-2.78,4063025,8514000,78147000,299998000.0,4718780000.0,2.104,2.095,2.062307692307692,0.030669515669516034,0.03271367521367541,7332495.0,57.14285714285714,50.0
2/11/2015,AJD-W1,2.12,2.12,2.04,2.08,-0.95,2679803,5523000,80705000,233757000.0,4724303000.0,2.104,2.091666666666667,2.063076923076923,0.025541310541310924,0.030322886989553915,7580660.6,50.0,51.42857142857142
2/12/2015,AJD-W1,2.06,2.08,2.04,2.06,-0.96,2033849,4183000,79575000,195827000.0,4728486000.0,2.108,2.0900000000000003,2.0646153846153847,0.021111111111111303,0.02801994301994326,7463565.4,42.857142857142854,51.42857142857142
2/13/2015,AJD-W1,2.04,2.06,2.0,2.06,0.0,7046150,14231000,75951000,200581000.0,4742717000.0,2.092,2.0933333333333333,2.0661538461538465,0.02250712250712228,0.026917378917379064,7193045.4,35.71428571428572,48.57142857142857
2/16/2015,AJD-W1,2.02,2.06,2.0,2.04,-0.97,2612500,5274000,37725000,180297000.0,4747991000.0,2.068,2.0866666666666664,2.0688461538461542,0.01277777777777711,0.02252136752136753,3687065.4,35.71428571428572,44.28571428571429
2/17/2015,AJD-W1,2.02,2.08,1.98,2.04,0.0,11593425,23425000,52636000,157020000.0,3662530000.0,2.056,2.078333333333333,2.0719230769230768,0.0028774928774932818,0.01696296296296298,5193145.4,35.71428571428572,40.00000000000001
2/18/2015,AJD-W1,2.06,2.06,2.0,2.0,-1.96,1175350,2369000,49482000,143446000.0,2211953000.0,2.04,2.0716666666666663,2.073846153846154,-0.007735042735043329,0.010307692307692129,4892254.8,28.57142857142857,35.71428571428572
2/19/2015,AJD-W1,1.99,2.12,1.99,2.04,2.0,16947900,34972000,80271000,171171000.0,1953391000.0,2.036,2.07,2.0700000000000003,-0.0023931623931630064,0.005606837606837267,7875065.0,28.57142857142857,32.857142857142854
2/20/2015,AJD-W1,2.06,2.08,2.02,2.06,0.98,5118777,10489000,76529000,178613000.0,1846102000.0,2.0360000000000005,2.068333333333333,2.0700000000000003,-0.0022079772079779403,0.0006638176638172233,7489590.4,35.71428571428572,32.85714285714286
