Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,AJP,14.4,14.7,14.4,14.4,-0.69,1533700,22241000,164414000,571103000.0,2566187000.0,14.4,,,,,1533700.0,,,22241000.0,0.0
1/6/2015,AJP,14.5,14.9,14.1,14.6,1.39,1319900,19075000,148732000,537126000.0,2346634000.0,14.5,,,,,1426800.0,,,20658000.0,0.0
1/7/2015,AJP,14.6,15.3,14.6,15.1,3.42,2799900,42048000,168679000,548718000.0,2277098000.0,14.7,,,,,1884500.0,,,27788000.0,0.0
1/8/2015,AJP,15.1,15.8,15.1,15.3,1.32,2699400,41807000,164400000,571695000.0,2074107000.0,14.85,,,,,2088225.0,,,31292750.0,0.0
1/9/2015,AJP,15.5,15.9,15.3,15.7,2.61,4234900,65858000,191029000,601848000.0,2013880000.0,15.02,,,,,2517560.0,,,38205800.0,0.0
1/12/2015,AJP,16.0,16.0,14.6,14.6,-7.01,7106100,108014000,276802000,687268000.0,2016798000.0,15.06,,,,,3632040.0,,,55360400.0,0.0
1/13/2015,AJP,14.6,14.9,14.4,14.6,0.0,3896200,56884000,314611000,724458000.0,1976833000.0,15.06,,,,,4147300.0,,,62922200.0,0.0
1/14/2015,AJP,14.7,15.6,14.6,14.9,2.05,6240218,93347000,365910000,735181000.0,2007872000.0,15.02,,,,,4835363.6,,,73182000.0,0.0
1/15/2015,AJP,14.8,15.0,14.7,14.7,-1.34,1746100,25860000,349963000,617307000.0,1967124000.0,14.9,,,,,4644703.6,,,69992600.0,0.0
1/16/2015,AJP,14.6,14.8,14.6,14.7,0.0,1494300,22001000,306106000,604551000.0,1934186000.0,14.7,,,,,4096583.6,,,61221200.0,0.0
1/19/2015,AJP,14.6,15.4,14.5,14.7,0.0,4416100,65838000,263930000,648288000.0,1824272000.0,14.720000000000002,,,,,3558583.6,,,52786000.0,0.0
1/20/2015,AJP,15.2,15.2,14.7,14.8,0.68,4186400,62603000,269649000,664805000.0,1780017000.0,14.76,14.841666666666667,,,,3616623.6,,,53929800.0,0.0
1/21/2015,AJP,15.5,16.8,15.4,16.6,12.16,46352455,752541000,928843000,1378117000.0,2368985000.0,15.1,15.025,,,,11639071.0,,,185768600.0,0.0
1/22/2015,AJP,16.0,17.8,15.4,15.8,-4.82,69041399,1159215000,2062198000,2515091000.0,3383617000.0,15.320000000000002,15.125000000000002,,,,25098130.8,50.0,50.0,412439600.0,0.0
1/23/2015,AJP,15.9,16.1,14.8,14.8,-6.33,16076000,245665000,2285862000,2741681000.0,3601240000.0,15.34,15.100000000000005,,,,28014470.8,50.0,50.0,457172400.0,0.0
1/26/2015,AJP,14.8,14.8,13.5,14.0,-5.41,6670304,93085000,2313109000,2792718000.0,3657494000.0,15.2,14.991666666666667,,,,28465311.6,42.857142857142854,47.61904761904761,462621800.0,0.0
1/27/2015,AJP,13.5,14.2,13.1,14.0,0.0,4258300,57950000,2308456000,2808861000.0,3681834000.0,15.04,14.85,,,,28479691.6,35.714285714285715,44.64285714285715,461691200.0,0.0
1/28/2015,AJP,13.8,14.1,13.4,13.5,-3.57,2496070,34163000,1590078000,2777166000.0,3665800000.0,14.419999999999998,14.758333333333333,,,,19708414.6,28.57142857142857,41.42857142857143,318015600.0,0.0
1/29/2015,AJP,13.7,13.7,13.3,13.3,-1.48,1004200,13535000,444398000,2682687000.0,3654548000.0,13.919999999999998,14.65,,,,6100974.8,21.42857142857143,35.714285714285715,88879600.0,0.0
1/30/2015,AJP,13.4,13.4,9.8,11.9,-10.53,12882400,144382000,343115000,2770185000.0,3743175000.0,13.34,14.4,,,,5462254.8,21.42857142857143,30.0,68623000.0,0.0
2/2/2015,AJP,12.0,12.0,11.1,11.6,-2.52,1075702,12311000,262341000,2689149000.0,3707319000.0,12.86,14.141666666666667,,,,4343334.4,21.42857142857143,25.714285714285715,52468200.0,0.0
2/3/2015,AJP,11.8,11.8,11.3,11.4,-1.72,736202,8426000,212817000,2671715000.0,3695711000.0,12.34,13.866666666666667,,,,3638914.8,14.285714285714292,21.42857142857143,42563400.0,0.0
2/4/2015,AJP,11.3,12.2,11.1,11.7,2.63,1816300,21157000,199811000,2670871000.0,3663816000.0,11.98,13.616666666666665,,,,3502960.8,21.42857142857143,20.000000000000004,39962200.0,0.0
2/5/2015,AJP,12.0,12.0,11.4,11.5,-1.71,1655000,19113000,205389000,2624146000.0,3652473000.0,11.62,13.341666666666667,,,,3633120.8,21.42857142857143,20.000000000000004,41077800.0,0.0
