Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
5/9/2019,ALL,4.86,4.98,4.76,4.76,-1.24,64070084,312445170,312445170,312445170.0,312445170.0,4.76,,,,,64070084.0,,,312445170.0,0.0
5/10/2019,ALL,4.8,4.84,4.72,4.74,-0.42,14613496,69868530,382313700,382313700.0,382313700.0,4.75,,,,,39341790.0,,,191156850.0,0.0
5/13/2019,ALL,4.78,4.86,4.74,4.8,1.27,8389976,40242970,422556670,422556670.0,422556670.0,4.766666666666667,,,,,29024518.66666667,,,140852223.33333334,0.0
5/14/2019,ALL,4.78,4.82,4.72,4.72,-1.67,4654340,22154250,444710920,444710920.0,444710920.0,4.755,,,,,22931974.0,,,111177730.0,0.0
5/15/2019,ALL,4.74,4.8,4.72,4.74,0.42,4774010,22710320,467421240,467421240.0,467421240.0,4.752,,,,,19300381.2,,,93484248.0,0.0
5/16/2019,ALL,4.76,4.76,4.64,4.64,-2.11,3387201,15857610,170833680,483278850.0,483278850.0,4.728,,,,,7163804.6,,,34166736.0,0.0
5/17/2019,ALL,4.68,4.72,4.62,4.62,-0.43,2800411,13076540,114041690,496355390.0,496355390.0,4.704,,,,,4801187.6,,,22808338.0,0.0
5/21/2019,ALL,4.62,4.64,4.38,4.38,-5.19,3931300,17662030,91460750,514017420.0,514017420.0,4.62,,,,,3909452.4,,,18292150.0,0.0
5/22/2019,ALL,4.42,4.44,4.02,4.1,-6.39,6947765,29043220,98349720,543060640.0,543060640.0,4.496,,,,,4368137.4,,,19669944.0,0.0
5/23/2019,ALL,4.12,4.18,4.06,4.08,-0.49,3258300,13417060,89056460,556477700.0,556477700.0,4.364,,,,,4064995.4,,,17811292.0,0.0
5/24/2019,ALL,4.14,4.38,4.12,4.22,3.43,15625749,66846140,140044990,623323840.0,623323840.0,4.279999999999999,,,,,6512705.0,,,28008998.0,0.0
5/27/2019,ALL,4.24,4.24,4.02,4.02,-4.74,7633757,31425330,158393780,654749170.0,654749170.0,4.16,4.484999999999999,,,,7479374.2,,,31678756.0,0.0
5/28/2019,ALL,4.0,4.0,3.94,3.94,-1.99,4884801,19376280,160108030,674125450.0,674125450.0,4.072,4.416666666666667,,,,7670074.4,,,32021606.0,0.0
5/29/2019,ALL,3.98,4.02,3.86,3.88,-1.52,9449411,37352960,168417770,399033240.0,711478410.0,4.0280000000000005,4.345,,,,8170403.6,21.42857142857143,21.42857142857143,33683554.0,0.0
5/30/2019,ALL,3.9,3.9,3.76,3.82,-1.55,6057490,23198670,178199380,352363380.0,734677080.0,3.976,4.263333333333333,,,,8730241.6,21.42857142857143,21.42857142857143,35639876.0,0.0
5/31/2019,ALL,3.82,3.94,3.82,3.88,1.57,4679002,17757570,129110810,329877980.0,752434650.0,3.908,4.193333333333333,,,,6540892.2,28.57142857142857,23.809523809523807,25822162.0,0.0
6/4/2019,ALL,3.9,3.94,3.88,3.9,0.52,1776710,6945700,104631180,314669430.0,759380350.0,3.884,4.123333333333334,,,,5369482.8,28.57142857142857,25.0,20926236.0,0.0
6/5/2019,ALL,3.96,4.12,3.94,4.08,4.62,10579901,42800960,128055860,334760070.0,802181310.0,3.912,4.076666666666667,,,,6508502.8,35.714285714285715,27.142857142857146,25611172.0,0.0
6/10/2019,ALL,4.1,4.18,4.06,4.16,1.46,2435629,10044740,100747640,328947200.0,812226050.0,3.968,4.038333333333333,,,,5105746.4,35.714285714285715,30.0,20149528.0,0.0
6/11/2019,ALL,4.2,4.22,4.16,4.2,0.96,2665700,11178870,88727840,327049530.0,823404920.0,4.044,4.023333333333333,,,,4427388.4,42.857142857142854,34.285714285714285,17745568.0,0.0
6/12/2019,ALL,4.24,4.36,4.22,4.34,3.33,11125502,47848130,118818400,357235630.0,871253050.0,4.136,4.043333333333334,,,,5716688.4,50.0,38.57142857142857,23763680.0,0.0
6/13/2019,ALL,4.36,4.44,4.36,4.36,0.46,6557649,28773730,140646430,356966140.0,900026780.0,4.228,4.066666666666666,,,,6672876.2,57.14285714285714,44.28571428571429,28129286.0,0.0
6/14/2019,ALL,4.4,4.4,4.3,4.34,-0.46,4701501,20436620,118282090,363985700.0,920463400.0,4.279999999999999,4.076666666666667,,,,5497196.2,57.14285714285714,48.57142857142857,23656418.0,0.0
6/17/2019,ALL,4.36,4.36,4.34,4.34,0.0,1724031,7502050,115739400,304641610.0,927965450.0,4.316,4.1033333333333335,,,,5354876.6,57.14285714285714,52.85714285714285,23147880.0,0.0
6/18/2019,ALL,4.36,4.5,4.34,4.5,3.69,7176499,31876160,136436690,305092440.0,959841610.0,4.376,4.15,,,,6257036.4,57.14285714285714,55.71428571428571,27287338.0,0.0
6/19/2019,ALL,4.54,4.54,4.48,4.52,0.44,5017700,22684900,111273460,308401060.0,982526510.0,4.412,4.203333333333333,4.310769230769231,-0.07421652421652425,-0.07421652421652425,5035476.0,64.28571428571428,58.57142857142857,22254692.0,0.0
6/20/2019,ALL,4.52,4.66,4.52,4.6,1.77,4095716,18857040,101356770,289905140.0,1001383550.0,4.459999999999999,4.2683333333333335,4.304615384615385,-0.007136752136753798,-0.040676638176639024,4543089.4,71.42857142857143,61.42857142857142,20271354.0,0.0
6/21/2019,ALL,4.64,4.66,4.58,4.58,-0.43,2927581,13474830,94394980,280181300.0,1014858380.0,4.508,4.326666666666666,4.298461538461538,0.04632478632478598,-0.011676163342830687,4188305.4,71.42857142857143,64.28571428571429,18878996.0,0.0
6/24/2019,ALL,4.6,4.6,4.42,4.5,-1.75,2903603,13052900,99945830,275476630.0,1027911280.0,4.54,4.376666666666667,4.286923076923077,0.09293447293447343,0.01447649572649534,4424219.8,71.42857142857143,67.14285714285714,19989166.0,0.0
6/25/2019,ALL,4.46,4.58,4.46,4.54,0.89,2934364,13265830,81335500,281796760.0,1041177110.0,4.548,4.415,4.28,0.13497150997150964,0.038575498575498204,3575792.8,71.42857142857143,70.00000000000001,16267100.0,0.0
6/27/2019,ALL,4.5,4.56,4.48,4.5,-0.44,1020700,4609010,63259610,243604810.0,1045786120.0,4.544,4.4433333333333325,4.270769230769232,0.16430199430199274,0.0862792022792016,2776392.8,64.28571428571428,70.0,12651922.0,0.0
6/28/2019,ALL,4.5,4.54,4.46,4.48,-0.44,588600,2648830,47051400,236208900.0,1048434950.0,4.5200000000000005,4.466666666666666,4.264615384615385,0.18814814814814795,0.12533618233618196,2074969.6,57.14285714285714,67.14285714285714,9410280.0,0.0
7/1/2019,ALL,4.5,4.52,4.44,4.46,-0.45,893020,3996360,37572930,229026390.0,1052431310.0,4.496,4.476666666666667,4.258461538461538,0.2007122507122503,0.15621367521367482,1668057.4,50.0,62.85714285714285,7514586.0,0.0
7/2/2019,ALL,4.46,4.48,4.34,4.36,-2.24,2247400,9860920,34380950,191039180.0,1062292230.0,4.468,4.476666666666667,4.257692307692308,0.1934472934472921,0.17631623931623858,1536816.8,42.857142857142854,57.14285714285714,6876190.0,2.0
7/3/2019,ALL,4.36,4.42,4.34,4.36,0.0,2031400,8884790,29999910,171150240.0,758731850.0,4.432,4.4783333333333335,4.267692307692308,0.18559829059829008,0.18644159544159464,1356224.0,35.714285714285715,50.0,5999982.0,0.0
7/4/2019,ALL,4.36,4.38,4.3,4.32,-0.92,2005020,8724870,34115770,159438490.0,697588190.0,4.396,4.476666666666667,4.276923076923077,0.17245014245014278,0.18807122507122465,1553088.0,28.57142857142857,42.857142857142854,6823154.0,0.0
7/5/2019,ALL,4.34,4.34,4.28,4.34,0.46,1056400,4563850,36030790,156500290.0,661909070.0,4.368,4.463333333333334,4.281538461538461,0.15849002849002858,0.1821396011396008,1646648.0,35.714285714285715,38.571428571428584,7206158.0,0.0
7/8/2019,ALL,4.34,4.54,4.32,4.42,1.84,10288400,46059790,78094220,170683920.0,685814610.0,4.360000000000001,4.455000000000001,4.2969230769230755,0.14357549857549845,0.1707122507122504,3525724.0,42.857142857142854,37.142857142857146,15618844.0,0.0
7/9/2019,ALL,4.44,4.5,4.44,4.44,0.45,3943600,17627850,85861150,165626870.0,680732140.0,4.376,4.441666666666666,4.3161538461538465,0.11608262108262045,0.15523931623931606,3864964.0,42.857142857142854,37.142857142857146,17172230.0,0.0
7/10/2019,ALL,4.46,4.48,4.34,4.42,-0.45,1937300,8561710,85538070,155331540.0,673436240.0,4.388,4.428333333333334,4.3369230769230755,0.08397435897435912,0.13491452991452987,3846144.0,35.714285714285715,37.142857142857146,17107614.0,0.0
7/11/2019,ALL,4.44,4.5,4.42,4.44,0.45,1666601,7422340,84235540,149279050.0,667782040.0,4.412,4.423333333333333,4.360769230769232,0.05925925925925935,0.1122763532763532,3778460.2,35.714285714285715,38.571428571428584,16847108.0,0.0
7/12/2019,ALL,4.48,4.76,4.44,4.74,6.76,26433527,123044390,202716080,259270540.0,773164400.0,4.492,4.44,4.3938461538461535,0.06666666666666733,0.09391168091168094,8853885.6,42.857142857142854,40.00000000000001,40543216.0,0.0
7/15/2019,ALL,4.82,4.9,4.8,4.82,1.69,13185807,63955460,220611750,309960170.0,808076640.0,4.572,4.466666666666667,4.429230769230768,0.06284900284900274,0.0777663817663818,9433367.0,50.0,41.42857142857143,44122350.0,0.0
7/17/2019,ALL,4.88,4.88,4.78,4.8,-0.41,4927807,23768150,226752050,329119310.0,818427730.0,4.644,4.493333333333333,4.4569230769230765,0.058176638176638214,0.06618518518518535,9630208.4,42.857142857142854,41.42857142857143,45350410.0,0.0
7/18/2019,ALL,4.8,4.8,4.72,4.76,-0.83,2314300,10988740,229179080,337459220.0,762570330.0,4.7120000000000015,4.5183333333333335,4.48,0.05477207977207943,0.06034472934472941,9705608.4,42.857142857142854,42.85714285714286,45835816.0,0.0
7/19/2019,ALL,4.76,4.94,4.76,4.88,2.52,16718593,81684580,303441320,415147440.0,812829580.0,4.799999999999999,4.5616666666666665,4.506153846153846,0.07679487179487142,0.06385185185185183,12716006.8,50.0,45.714285714285715,60688264.0,2.0
7/22/2019,ALL,4.92,5.05,4.9,4.94,1.23,14907837,73909890,254306820,479196410.0,867363190.0,4.840000000000002,4.609999999999999,4.529230769230769,0.10111111111111093,0.07074074074074055,10410868.8,57.14285714285714,48.57142857142857,50861364.0,2.0
7/23/2019,ALL,4.96,4.98,4.88,4.88,-1.21,4500258,22184460,212535820,492496080.0,852194690.0,4.851999999999999,4.656666666666666,4.5492307692307685,0.11729344729344685,0.08162962962962936,8673759.0,57.14285714285714,50.0,42507164.0,0.0
7/24/2019,ALL,4.9,4.94,4.86,4.88,0.0,2928300,14321620,203089290,498092830.0,843317640.0,4.868,4.701666666666667,4.569999999999999,0.13613960113960122,0.09722222222222196,8273857.6,57.14285714285714,52.85714285714285,40617858.0,0.0
7/25/2019,ALL,4.9,4.9,4.84,4.88,0.0,1878800,9160060,201260610,502689040.0,834720130.0,4.8919999999999995,4.740000000000001,4.590769230769231,0.14934472934473053,0.1161367521367522,8186757.6,57.14285714285714,55.71428571428571,40252122.0,0.0
7/26/2019,ALL,4.9,4.96,4.82,4.94,1.23,7659800,37654510,157230540,494283760.0,865428940.0,4.904,4.781666666666667,4.607692307692306,0.17371794871794946,0.1355213675213678,6374999.0,57.14285714285714,57.14285714285713,31446108.0,2.0
7/30/2019,ALL,4.94,4.94,4.78,4.78,-3.24,4008400,19500520,102821170,496156430.0,842128500.0,4.872000000000001,4.8116666666666665,4.617692307692306,0.17707977207977255,0.1507150997151001,4195111.6,50.0,55.71428571428571,20564234.0,0.0
7/31/2019,ALL,4.68,4.76,4.5,4.52,-5.44,6348279,29298900,109935610,516893620.0,861382660.0,4.8,4.818333333333333,4.614615384615384,0.16482905982906182,0.1602222222222231,4564715.8,42.857142857142854,52.85714285714285,21987122.0,2.0
