Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
11/8/2016,ALLA,4.02,4.06,3.42,3.42,18.75,339743243,1297657130,1297657130,1297657130.0,1297657130.0,3.42,,,,,339743243.0,,
11/9/2016,ALLA,3.4,3.54,3.38,3.4,-0.58,61387557,211572560,1509229690,1509229690.0,1509229690.0,3.41,,,,,200565400.0,,
11/10/2016,ALLA,3.46,3.5,3.3,3.32,-2.35,40651671,138990820,1648220510,1648220510.0,1648220510.0,3.3800000000000003,,,,,147260823.66666666,,
11/11/2016,ALLA,3.34,3.34,3.1,3.1,-6.63,29032867,92928790,1741149300,1741149300.0,1741149300.0,3.31,,,,,117703834.5,,
11/14/2016,ALLA,2.96,2.98,2.9,2.9,-6.45,16866884,49500520,1790649820,1790649820.0,1790649820.0,3.228,,,,,97536444.4,,
11/15/2016,ALLA,2.94,3.06,2.92,2.94,1.38,14992200,44536480,537529170,1835186300.0,1835186300.0,3.132,,,,,32586235.8,,
11/16/2016,ALLA,2.96,2.98,2.9,2.9,-1.36,6997000,20476640,346433250,1855662940.0,1855662940.0,3.032,,,,,21708124.4,,
11/18/2016,ALLA,2.96,3.0,2.92,2.94,0.0,8525401,25179250,232621680,1880842190.0,1880842190.0,2.956,,,,,15282870.4,,
11/21/2016,ALLA,2.96,3.08,2.96,3.02,2.72,24303524,73254260,212947150,1954096450.0,1954096450.0,2.94,,,,,14337001.8,,
11/22/2016,ALLA,3.02,3.04,2.98,2.98,-1.32,6678700,20072900,183519530,1974169350.0,1974169350.0,2.956,,,,,12299365.0,,
11/23/2016,ALLA,3.0,3.02,2.94,2.98,0.0,4679601,13983920,152966970,1988153270.0,1988153270.0,2.964,,,,,10236845.2,,
11/24/2016,ALLA,3.02,3.18,3.02,3.14,5.37,50224138,156608200,289098530,2144761470.0,2144761470.0,3.012,3.0866666666666664,,,,18882272.8,,
11/25/2016,ALLA,3.12,3.14,3.06,3.06,-2.55,13319307,41364530,305283810,2186126000.0,2186126000.0,3.0360000000000005,3.0566666666666666,,,,19841054.0,,
11/28/2016,ALLA,3.08,3.14,3.06,3.1,1.31,11913606,36979210,269008760,925448080.0,2223105210.0,3.052,3.0316666666666667,,,,17363070.4,35.71428571428572,35.71428571428572
11/29/2016,ALLA,3.14,3.28,3.12,3.22,3.87,51376313,165347360,414283220,879222880.0,2388452570.0,3.1,3.0233333333333334,,,,26302593.0,35.71428571428572,35.71428571428572
11/30/2016,ALLA,3.24,3.3,3.16,3.16,-1.86,29136874,94343060,494642360,834575120.0,2482795630.0,3.136,3.0283333333333338,,,,31194047.6,35.71428571428572,35.71428571428572
12/1/2016,ALLA,3.2,3.22,3.14,3.16,0.0,10146075,32301680,370335840,773948010.0,2515097310.0,3.14,3.0499999999999994,,,,23178435.0,35.71428571428572,35.71428571428572
12/2/2016,ALLA,3.16,3.18,3.04,3.06,-3.16,10307700,31755290,360726600,756202780.0,2546852600.0,3.14,3.06,,,,22576113.6,35.71428571428572,35.71428571428572
12/6/2016,ALLA,3.06,3.1,3.06,3.1,1.31,1813300,5577940,329325330,717244240.0,2552430540.0,3.14,3.0766666666666667,,,,20556052.4,42.857142857142854,37.14285714285715
12/7/2016,ALLA,3.1,3.16,3.06,3.14,1.29,7311600,22829840,186807810,719597440.0,2575260380.0,3.124,3.0933333333333333,,,,11743109.8,42.857142857142854,38.57142857142858
