Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
7/4/2016,ALT,8.5,8.65,7.35,7.55,60.64,441232210,3590358320,3590358320,3590358320.0,3590358320.0,7.55,,,,,441232210.0,,
7/5/2016,ALT,7.6,8.8,7.6,8.8,16.56,397104155,3274344570,6864702890,6864702890.0,6864702890.0,8.175,,,,,419168182.5,,
7/6/2016,ALT,8.9,9.15,8.55,8.75,-0.57,283706936,2525335280,9390038170,9390038170.0,9390038170.0,8.366666666666667,,,,,374014433.6666667,,
7/7/2016,ALT,8.8,8.9,8.35,8.35,-4.57,87753842,763596380,10153634550,10153634550.0,10153634550.0,8.3625,,,,,302449285.75,,
7/8/2016,ALT,8.3,8.55,8.0,8.0,-4.19,65725957,547327600,10700962150,10700962150.0,10700962150.0,8.290000000000001,,,,,255104620.0,,
7/11/2016,ALT,8.2,8.3,8.0,8.05,0.62,48043250,391413810,7502017640,11092375960.0,11092375960.0,8.39,,,,,176466828.0,,
7/12/2016,ALT,8.1,8.15,7.55,7.55,-6.21,37269811,293211470,4520884540,11385587430.0,11385587430.0,8.14,,,,,104499959.2,,
7/13/2016,ALT,7.7,7.85,7.35,7.45,-1.32,25660484,194675910,2190225170,11580263340.0,11580263340.0,7.880000000000001,,,,,52890668.8,,
7/14/2016,ALT,7.5,7.55,7.35,7.35,-1.34,12949100,96379320,1523008110,11676642660.0,11676642660.0,7.68,,,,,37929720.4,,
7/15/2016,ALT,7.4,7.9,7.35,7.7,4.76,40289244,312276960,1287957470,11988919620.0,11988919620.0,7.62,,,,,32842377.8,,
7/20/2016,ALT,7.55,8.05,7.5,8.05,4.55,14572500,115076460,1011620120,12103996080.0,12103996080.0,7.62,,,,,26148227.8,,
7/21/2016,ALT,8.05,8.05,7.75,7.8,-3.11,5788406,45824690,764233340,12149820770.0,12149820770.0,7.67,7.949999999999999,,,,19851946.8,,
7/22/2016,ALT,7.8,7.9,7.65,7.7,-1.28,2494800,19302200,588859630,12169122970.0,12169122970.0,7.720000000000001,7.9624999999999995,,,,15218810.0,,
7/25/2016,ALT,7.85,7.95,7.7,7.75,0.65,3764060,29471750,521952060,8608236400.0,12198594720.0,7.8,7.875000000000001,,,,13381802.0,42.857142857142854,42.857142857142854
7/26/2016,ALT,7.85,7.85,7.65,7.75,0.0,3039901,23535090,233210190,5357426920.0,12222129810.0,7.81,7.791666666666668,,,,5931933.4,35.71428571428572,39.28571428571429
7/27/2016,ALT,7.7,7.8,7.65,7.7,-0.65,2029400,15652470,133786200,2847744110.0,12237782280.0,7.74,7.737500000000001,,,,3423313.4,28.57142857142857,35.714285714285715
7/28/2016,ALT,7.7,8.0,7.7,7.95,3.25,6710200,52935020,140896530,2137082750.0,12290717300.0,7.7700000000000005,7.733333333333334,,,,3607672.2,35.71428571428572,35.71428571428572
7/29/2016,ALT,7.9,8.35,7.9,8.25,3.77,17705225,145249270,266843600,1735004420.0,12435966570.0,7.88,7.75,,,,6649757.2,42.857142857142854,37.14285714285715
8/1/2016,ALT,8.3,8.45,8.1,8.25,0.0,10662122,88126540,325498390,1431717150.0,12524093110.0,7.9799999999999995,7.808333333333334,,,,8029369.6,42.857142857142854,37.142857142857146
8/2/2016,ALT,8.25,8.4,8.15,8.15,-1.21,7378693,60958010,362921310,1199463690.0,12585051120.0,8.059999999999999,7.866666666666667,,,,8897128.0,35.71428571428572,37.142857142857146
8/3/2016,ALT,8.15,8.2,7.95,8.15,0.0,5706844,46013360,393282200,1050801140.0,12631064480.0,8.15,7.9333333333333345,,,,9632616.8,35.71428571428572,38.57142857142858
8/4/2016,ALT,8.15,8.2,7.95,8.0,-1.84,3540400,28594830,368942010,983016650.0,12659659310.0,8.16,7.958333333333335,,,,8998656.8,35.71428571428572,38.57142857142858
8/5/2016,ALT,8.05,8.15,7.95,8.05,0.62,2455200,19770180,243462920,690509870.0,12679429490.0,8.12,7.958333333333335,,,,5948651.8,42.857142857142854,38.57142857142858
8/8/2016,ALT,8.1,8.45,8.1,8.45,4.97,9059001,75412220,230748600,650845630.0,12754841710.0,8.16,8.012500000000001,,,,5628027.6,42.857142857142854,38.57142857142858
8/9/2016,ALT,8.5,8.6,8.25,8.35,-1.18,6843600,57733800,227524390,662754740.0,12812575510.0,8.2,8.066666666666665,,,,5521009.0,35.71428571428572,38.57142857142858
8/10/2016,ALT,8.45,8.45,8.3,8.45,1.2,3363000,28203340,209714370,671655880.0,12840778850.0,8.26,8.124999999999998,8.013461538461538,0.12920227920227845,0.12920227920227845,5052240.2,42.857142857142854,40.00000000000001
8/11/2016,ALT,8.45,8.45,8.1,8.1,-4.14,6305800,51997480,233117020,694181610.0,12892776330.0,8.28,8.154166666666667,8.034615384615384,0.10637464387464313,0.11778846153846079,5605320.2,42.857142857142854,41.42857142857143
8/15/2016,ALT,8.0,8.2,7.8,7.85,-3.09,4380300,34928770,248275610,705575290.0,12927705100.0,8.239999999999998,8.166666666666666,7.9980769230769235,0.13084045584045523,0.12213912630579227,5990340.2,35.71428571428572,40.00000000000001
8/16/2016,ALT,7.75,7.9,7.65,7.7,-1.91,5615590,43425030,216288420,733347850.0,12971130130.0,8.09,8.145833333333332,7.957692307692307,0.13863960113960072,0.12626424501424438,5301658.0,35.71428571428572,38.57142857142858
8/17/2016,ALT,7.65,7.75,7.55,7.75,0.65,3627300,27612500,186167120,708025330.0,12998742630.0,7.970000000000001,8.104166666666666,7.934615384615384,0.1287393162393169,0.12675925925925888,4658398.0,42.857142857142854,40.00000000000001
8/18/2016,ALT,7.9,7.9,7.8,7.9,1.94,5117100,40180760,198144540,602956820.0,13038923390.0,7.859999999999999,8.075,7.93076923076923,0.1195868945868952,0.12483618233618224,5009218.0,42.857142857142854,40.00000000000001
8/19/2016,ALT,7.9,7.95,7.65,7.8,-1.27,2663292,20694790,166841850,535525070.0,13059618180.0,7.8,8.045833333333334,7.921153846153846,0.0958333333333341,0.12272792022792042,4280716.4,35.71428571428572,38.57142857142858
8/22/2016,ALT,7.8,7.8,7.65,7.7,-1.28,2470190,19102890,151015970,493669950.0,13078721070.0,7.7700000000000005,8.008333333333335,7.926923076923075,0.050783475783478416,0.10671652421652507,3898694.4,35.71428571428572,38.57142857142858
8/23/2016,ALT,7.75,8.05,7.7,7.9,2.6,8514004,67304500,174895440,514961090.0,13146025570.0,7.81,8.000000000000002,7.944230769230769,0.043660968660970134,0.08772079772079895,4478377.2,42.857142857142854,40.00000000000001
8/24/2016,ALT,7.9,8.3,7.9,8.2,3.8,23826322,194200860,341483800,680567120.0,9749868110.0,7.9,8.012500000000001,7.976923076923076,0.04789886039886149,0.07155270655270787,8518181.6,50.0,41.42857142857143
8/25/2016,ALT,8.25,8.35,8.05,8.25,0.61,7489803,61560100,362863140,722357040.0,6537083640.0,7.969999999999999,7.995833333333334,7.998076923076923,0.01819800569800556,0.05127492877492994,8992722.2,57.14285714285714,44.28571428571429
8/26/2016,ALT,8.3,8.3,8.1,8.1,-1.82,5314970,43435380,385603730,690380200.0,4055183740.0,8.03,7.9750000000000005,8.0,-0.013176638176638278,0.029472934472935464,9523057.8,50.0,47.142857142857146
8/29/2016,ALT,8.3,9.0,8.2,9.0,11.11,87575680,762870100,1129370940,1395516500.0,4054457460.0,8.290000000000001,8.020833333333332,8.046153846153846,0.05466524216524071,0.030249287749287923,26544155.8,50.0,50.0
8/30/2016,ALT,9.0,9.15,8.65,8.75,-2.78,58235660,522289550,1584355990,1889602710.0,4029419410.0,8.459999999999999,8.075,8.08653846153846,0.0431623931623939,0.030149572649572676,36488487.0,50.0,51.42857142857142
8/31/2016,ALT,8.8,9.1,8.6,9.1,4.0,41914000,371552510,1761707640,2209157740.0,4009558110.0,8.64,8.179166666666665,8.138461538461538,0.11114672364672273,0.04279914529914493,40106022.6,50.0,51.42857142857142
9/1/2016,ALT,9.2,9.3,8.75,8.75,-3.85,57485100,520126250,2220273790,2694355220.0,4236472890.0,8.74,8.266666666666666,8.176923076923076,0.12165242165242063,0.06349002849002794,50105082.0,50.0,50.0
9/2/2016,ALT,8.75,8.85,8.25,8.75,0.0,26721910,228538650,2405377060,2879468840.0,4270335630.0,8.870000000000001,8.35,8.217307692307692,0.15477207977207996,0.09707977207977159,54386470.0,50.0,50.0
9/5/2016,ALT,8.5,8.7,6.15,8.0,-8.57,17654850,141391200,1783898160,2993247540.0,4315347510.0,8.67,8.358333333333333,8.219230769230768,0.10021367521367708,0.10618945868945887,40402304.0,50.0,50.0
9/6/2016,ALT,8.0,8.1,7.8,8.0,0.0,6985200,55746360,1317354970,3008813140.0,4058816910.0,8.52,8.375,8.209615384615383,0.12321937321937604,0.12220085470085529,30152212.0,42.857142857142854,48.57142857142857
9/7/2016,ALT,8.05,8.15,7.9,7.9,-1.25,6169950,49526430,995328890,3037644780.0,3993266880.0,8.28,8.391666666666667,8.196153846153846,0.14180911680911912,0.12833333333333458,23003402.0,35.71428571428572,45.714285714285715
9/8/2016,ALT,7.8,7.85,7.15,7.5,-5.06,10536305,78870280,554072920,3097412170.0,4026312470.0,8.03,8.358333333333334,8.171153846153846,0.10484330484330506,0.12497150997151145,13613643.0,35.71428571428572,42.85714285714286
9/9/2016,ALT,7.3,7.55,7.2,7.45,-0.67,4039846,29597100,355131370,3059704770.0,4036607370.0,7.7700000000000005,8.295833333333334,8.14423076923077,0.07289886039886007,0.10859686609686747,9077230.2,35.71428571428572,40.00000000000001
9/12/2016,ALT,7.3,7.65,7.3,7.5,0.67,9472320,70923000,284663170,2936426910.0,4078058620.0,7.669999999999999,8.233333333333334,8.125,0.0418091168091177,0.0969159544159556,7440724.2,35.71428571428572,37.14285714285715
9/13/2016,ALT,7.65,7.65,7.45,7.5,0.0,3123710,23596290,252513100,2898463100.0,4078119820.0,7.57,8.183333333333334,8.103846153846153,0.019088319088320205,0.07608974358974444,6668426.2,28.57142857142857,34.28571428571429
9/14/2016,ALT,7.5,7.65,7.45,7.65,2.0,2462620,18638090,221624760,2873665810.0,4081105440.0,7.5200000000000005,8.070833333333335,8.073076923076924,-0.035648148148148096,0.04059829059829099,5926960.2,28.57142857142857,32.857142857142854
9/15/2016,ALT,7.7,7.9,7.7,7.75,1.31,4453981,34950900,177705380,2145746610.0,4063121320.0,7.57,7.987500000000001,8.05,-0.07681623931623971,0.004266381766382032,4710495.4,35.71428571428572,32.85714285714286
9/16/2016,ALT,7.9,7.9,7.75,7.8,0.65,895018,6992610,155100890,1630449670.0,3924864660.0,7.639999999999999,7.879166666666666,8.024999999999999,-0.14134615384615312,-0.0385826210826206,4081529.8,35.71428571428572,32.85714285714286
9/19/2016,ALT,7.85,8.2,7.85,8.15,4.49,3406207,27491900,111669790,1286389060.0,3864230020.0,7.7700000000000005,7.829166666666667,8.026923076923078,-0.15751424501424616,-0.07844729344729337,2868307.2,42.857142857142854,34.28571428571429
9/20/2016,ALT,8.1,8.1,7.8,7.9,-3.07,3864600,30631800,118705300,796894610.0,3833903810.0,7.85,7.758333333333334,8.028846153846153,-0.23917378917378862,-0.13009971509971513,3016485.2,35.71428571428572,35.714285714285715
9/21/2016,ALT,7.9,8.0,7.9,7.95,0.63,1142000,9097610,109164820,577453570.0,3796988060.0,7.910000000000001,7.754166666666667,8.038461538461538,-0.24761396011395842,-0.1724928774928772,2752361.2,42.857142857142854,38.57142857142858
9/22/2016,ALT,7.95,8.1,7.95,8.0,0.63,1811300,14528300,88742220,450590670.0,3782921530.0,7.959999999999999,7.754166666666667,8.048076923076923,-0.25252849002848965,-0.2076353276353272,2223825.0,50.0,41.42857142857143
9/23/2016,ALT,8.1,8.1,7.9,7.9,-1.25,854100,6787030,88536640,401631340.0,3769938380.0,7.9799999999999995,7.754166666666667,8.048076923076923,-0.260505698005697,-0.23146723646723597,2215641.4,50.0,44.28571428571429
9/26/2016,ALT,8.0,8.05,7.95,8.05,1.9,2255600,18062780,79107520,370167690.0,3712588940.0,7.959999999999999,7.8,8.05769230769231,-0.21866096866097084,-0.2436965811965809,1985520.0,57.14285714285714,47.142857142857146
9/27/2016,ALT,8.05,8.05,7.95,8.0,-0.62,2223010,17776220,66251940,309073630.0,3672631360.0,7.980000000000001,7.845833333333332,8.069230769230773,-0.19455128205128602,-0.2347720797720804,1657202.0,57.14285714285714,51.42857142857142
9/28/2016,ALT,8.0,8.15,7.95,8.0,0.0,3904500,31252140,88406470,310728670.0,3675680160.0,7.99,7.8875,8.073076923076924,-0.16285612535612426,-0.21782051282051357,2209702.0,57.14285714285714,54.28571428571429
9/29/2016,ALT,8.0,8.05,7.85,7.85,-1.88,3019000,23895080,97773250,263700750.0,3647577760.0,7.960000000000001,7.916666666666667,8.059615384615386,-0.13767806267806382,-0.1948504273504284,2451242.0,57.14285714285714,55.71428571428571
9/30/2016,ALT,7.8,7.85,7.5,7.55,-3.82,8678500,65941400,156927620,306045860.0,3678590390.0,7.889999999999999,7.908333333333332,8.03269230769231,-0.14373219373219648,-0.17149572649572828,4016122.0,50.0,55.71428571428571
10/3/2016,ALT,7.55,7.65,7.4,7.45,-1.32,3823400,28836790,167701630,316244560.0,3664002150.0,7.7700000000000005,7.883333333333333,8.007692307692308,-0.14971509971510066,-0.15770655270655426,4329682.0,50.0,54.28571428571429
10/4/2016,ALT,7.45,7.6,7.4,7.45,0.0,4892998,36561530,186486940,317855190.0,3672951180.0,7.659999999999999,7.854166666666667,7.948076923076924,-0.11919515669515679,-0.1426353276353284,4863679.6,42.857142857142854,51.42857142857142
10/5/2016,ALT,7.5,7.85,7.5,7.85,5.37,6894640,53181820,208416620,364044400.0,3685952240.0,7.63,7.829166666666667,7.913461538461539,-0.07638888888888928,-0.1253418803418814,5461707.6,42.857142857142854,48.57142857142857
10/6/2016,ALT,8.0,8.05,7.8,7.8,-0.64,7030000,55547400,240068940,392099900.0,3720804850.0,7.619999999999999,7.820833333333333,7.863461538461539,-0.0411324786324796,-0.10603276353276456,6263907.6,35.71428571428572,44.28571428571429
10/7/2016,ALT,7.9,8.0,7.8,7.85,0.64,3878900,30639820,204767360,392107920.0,3732341780.0,7.68,7.812499999999999,7.828846153846154,-0.012143874643875563,-0.07971509971510038,5303987.6,35.71428571428572,41.42857142857143
10/10/2016,ALT,7.25,7.5,7.15,7.3,-7.01,10462804,76655750,252586320,459666060.0,3741693030.0,7.65,7.754166666666666,7.773076923076923,-0.053739316239315826,-0.060519943019943415,6631868.4,35.71428571428572,38.57142857142858
10/11/2016,ALT,7.4,7.4,6.8,7.1,-2.74,7318906,51823430,267848220,496961190.0,3599315600.0,7.58,7.687499999999999,7.738461538461538,-0.09405270655270659,-0.055491452991453374,7117050.0,28.57142857142857,35.71428571428572
10/12/2016,ALT,6.9,7.05,5.95,6.65,-6.34,13638200,87194290,301860690,577368450.0,3624949790.0,7.339999999999999,7.570833333333333,7.686538461538462,-0.18059116809116915,-0.07633190883190935,8465762.0,21.42857142857143,31.428571428571434
10/13/2016,ALT,6.4,6.55,6.0,6.4,-3.76,7091600,44310520,290623810,603616190.0,3625824930.0,7.06,7.4375,7.628846153846154,-0.25993589743589673,-0.12009259259259278,8478082.0,21.42857142857143,28.571428571428577
10/14/2016,ALT,6.7,7.3,6.5,7.3,14.06,15461800,106682850,366666840,692522820.0,2969637680.0,6.949999999999998,7.379166666666666,7.621153846153846,-0.2303774928774942,-0.1637393162393165,10794662.0,21.42857142857143,25.714285714285715
10/17/2016,ALT,7.4,7.8,7.4,7.7,5.48,12140401,92147620,382158710,753418300.0,2539495750.0,7.029999999999999,7.366666666666667,7.630769230769231,-0.21794871794871806,-0.19658119658119694,11130181.4,28.57142857142857,24.285714285714285
10/18/2016,ALT,7.65,7.7,7.5,7.6,-1.3,4182200,31796480,362131760,761319700.0,2199739720.0,7.13,7.370833333333333,7.634615384615386,-0.2259615384615392,-0.22296296296296347,10502840.2,28.57142857142857,24.285714285714285
10/19/2016,ALT,7.6,7.75,7.55,7.65,0.66,5771300,44349790,319287260,739728090.0,1723963260.0,7.33,7.3875,7.640384615384615,-0.21321225071224958,-0.22948717948717956,8929460.2,35.71428571428572,27.142857142857146
