Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,AMARIN,10.5,10.5,10.3,10.4,0.0,3300,35000,656000,3536000.0,29703000.0,10.4,,,,,3300.0,,
1/6/2015,AMARIN,10.4,10.4,10.2,10.2,-1.92,10530,108000,475000,2639000.0,27813000.0,10.3,,,,,6915.0,,
1/7/2015,AMARIN,10.3,10.3,10.3,10.3,0.98,4050,42000,303000,2005000.0,26024000.0,10.3,,,,,5960.0,,
1/8/2015,AMARIN,10.3,10.3,10.2,10.3,0.0,51101,523000,804000,2442000.0,24858000.0,10.3,,,,,17245.25,,
1/9/2015,AMARIN,10.2,10.3,10.2,10.3,0.0,8550,87000,795000,2500000.0,23903000.0,10.3,,,,,15506.2,,
1/12/2015,AMARIN,10.3,10.3,10.1,10.3,0.0,13100,133000,893000,2501000.0,22442000.0,10.280000000000001,,,,,17466.2,,
1/13/2015,AMARIN,10.2,10.2,10.1,10.2,-0.97,15997,162000,947000,1836000.0,22028000.0,10.280000000000001,,,,,18559.6,,
1/14/2015,AMARIN,10.2,10.2,10.2,10.2,0.0,19610,200000,1105000,1929000.0,21212000.0,10.26,,,,,21671.6,,
1/15/2015,AMARIN,10.2,10.3,10.1,10.2,0.0,48940,495000,1077000,2406000.0,21378000.0,10.24,,,,,21239.4,,
1/16/2015,AMARIN,10.1,10.1,9.95,9.95,-2.45,122000,1220000,2210000,3337000.0,21831000.0,10.169999999999998,,,,,43929.4,,
1/19/2015,AMARIN,10.0,10.0,9.9,9.95,0.0,103000,1023000,3100000,4146000.0,22231000.0,10.1,,,,,61909.4,,
1/20/2015,AMARIN,9.95,9.95,9.9,9.95,0.0,84230,838000,3776000,4962000.0,22656000.0,10.05,10.187500000000002,,,,75556.0,,
1/21/2015,AMARIN,10.0,10.0,9.95,10.0,0.5,27400,273000,3849000,5139000.0,22445000.0,10.01,10.154166666666669,,,,77114.0,,
1/22/2015,AMARIN,9.95,10.0,9.9,9.95,-0.5,47000,467000,3821000,5571000.0,21469000.0,9.959999999999999,10.133333333333335,,,,76726.0,14.285714285714292,14.285714285714292
1/23/2015,AMARIN,9.95,10.0,9.9,9.95,0.0,58610,583000,3184000,6046000.0,21932000.0,9.959999999999999,10.104166666666668,,,,64048.0,14.285714285714292,14.285714285714292
1/26/2015,AMARIN,9.95,10.0,9.95,9.95,0.0,44340,441000,2602000,6445000.0,21474000.0,9.959999999999999,10.075000000000001,,,,52316.0,14.285714285714292,14.285714285714292
1/27/2015,AMARIN,10.0,10.2,10.0,10.2,2.51,73843,745000,2509000,6667000.0,22105000.0,10.01,10.066666666666668,,,,50238.6,14.285714285714292,14.285714285714292
1/28/2015,AMARIN,10.2,10.3,10.1,10.3,0.98,60513,622000,2858000,7202000.0,20107000.0,10.069999999999999,10.066666666666668,,,,56861.2,21.42857142857143,15.714285714285719
1/29/2015,AMARIN,10.3,10.4,10.1,10.3,0.0,130075,1344000,3735000,8413000.0,14276000.0,10.14,10.075000000000001,,,,73476.2,21.42857142857143,17.142857142857146
1/30/2015,AMARIN,10.5,10.6,10.3,10.4,0.97,161000,1684000,4836000,9935000.0,15876000.0,10.23,10.091666666666667,,,,93954.2,28.57142857142857,20.000000000000004
2/2/2015,AMARIN,10.4,10.5,10.3,10.5,0.96,45400,474000,4869000,10209000.0,15141000.0,10.34,10.116666666666667,,,,94166.2,35.71428571428572,24.28571428571429
2/3/2015,AMARIN,10.3,10.7,10.0,10.4,-0.95,225803,2342000,6466000,12056000.0,17342000.0,10.379999999999999,10.154166666666667,,,,124558.2,35.71428571428572,28.571428571428577
2/4/2015,AMARIN,10.6,10.6,10.1,10.4,0.0,261459,2682000,8526000,13518000.0,19019000.0,10.4,10.191666666666668,,,,164747.4,35.71428571428572,31.428571428571434
2/5/2015,AMARIN,10.3,10.5,10.2,10.5,0.96,176440,1833000,9015000,14328000.0,20176000.0,10.44,10.2375,,,,174020.4,42.857142857142854,35.714285714285715
2/6/2015,AMARIN,10.6,10.7,10.3,10.6,0.95,185031,1953000,9284000,15443000.0,22043000.0,10.48,10.2875,,,,178826.6,50.0,40.00000000000001
2/9/2015,AMARIN,10.6,10.7,10.4,10.7,0.94,183705,1950000,10760000,17120000.0,23964000.0,10.52,10.35,10.246153846153845,0.12407407407407334,0.12407407407407334,206487.6,57.14285714285714,44.28571428571429
2/10/2015,AMARIN,10.8,10.9,10.6,10.8,0.93,400555,4294000,12712000,20947000.0,28126000.0,10.6,10.420833333333333,10.261538461538462,0.17774216524216335,0.15090811965811834,241438.0,57.14285714285714,48.57142857142857
