Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,AMATA,15.7,16.1,15.7,16.1,2.55,2205751,35315000,165822000,681922000.0,2481879000.0,16.1,,,,,2205751.0,,,35315000.0,0.0
1/6/2015,AMATA,15.9,16.2,15.6,16.1,0.0,3142220,50177000,159289000,605198000.0,2475202000.0,16.1,,,,,2673985.5,,,42746000.0,0.0
1/7/2015,AMATA,16.2,16.2,15.9,16.1,0.0,1455600,23393000,170232000,493835000.0,2394217000.0,16.1,,,,,2267857.0,,,36295000.0,0.0
1/8/2015,AMATA,16.1,16.7,16.1,16.7,3.73,5590130,92331000,254720000,504471000.0,2446182000.0,16.25,,,,,3098425.25,,,50304000.0,0.0
1/9/2015,AMATA,16.7,16.8,16.4,16.7,0.0,6645401,110555000,311771000,542357000.0,2537677000.0,16.34,,,,,3807820.4,,,62354200.0,0.0
1/12/2015,AMATA,16.8,16.8,16.5,16.6,-0.6,3299700,54976000,331432000,562378000.0,2564041000.0,16.440000000000005,,,,,4026610.2,,,66286400.0,0.0
1/13/2015,AMATA,16.6,16.7,16.4,16.6,0.0,2759900,45789000,327044000,600808000.0,2581946000.0,16.54,,,,,3950146.2,,,65408800.0,0.0
1/14/2015,AMATA,16.6,16.7,16.3,16.4,-1.2,3369900,55667000,359318000,617888000.0,2586527000.0,16.6,,,,,4333006.2,,,71863600.0,0.0
1/15/2015,AMATA,16.5,16.7,16.4,16.6,1.22,1099100,18204000,285191000,616914000.0,2566837000.0,16.580000000000002,,,,,3434800.2,,,57038200.0,0.0
1/16/2015,AMATA,16.4,16.7,16.4,16.6,0.0,3054304,50572000,225208000,610776000.0,2603095000.0,16.560000000000002,,,,,2716580.8,,,45041600.0,0.0
1/19/2015,AMATA,16.7,16.8,16.5,16.5,-0.6,5068923,84270000,254502000,682596000.0,2632804000.0,16.54,,,,,3070425.4,,,50900400.0,0.0
1/20/2015,AMATA,16.5,16.7,16.3,16.3,-1.21,2200934,36447000,245160000,711200000.0,2616730000.0,16.479999999999997,16.441666666666666,,,,2958632.2,,,49032000.0,0.0
1/21/2015,AMATA,16.2,16.4,16.2,16.3,0.0,1810727,29410000,218903000,687106000.0,2631550000.0,16.46,16.458333333333336,,,,2646797.6,,,43780600.0,0.0
1/22/2015,AMATA,16.3,16.9,16.3,16.8,3.07,4864514,81363000,282062000,733154000.0,2685998000.0,16.5,16.51666666666667,,,,3399880.4,28.57142857142857,28.57142857142857,56412400.0,0.0
1/23/2015,AMATA,17.0,17.2,16.8,17.0,1.19,9654196,164399000,395889000,847376000.0,2803409000.0,16.58,16.59166666666667,,,,4719858.8,28.57142857142857,28.57142857142857,79177800.0,0.0
1/26/2015,AMATA,17.0,17.1,16.8,16.8,-1.18,3420010,57843000,369462000,881826000.0,2575775000.0,16.64,16.600000000000005,,,,4390076.2,28.57142857142857,28.57142857142857,73892400.0,0.0
1/27/2015,AMATA,16.9,17.1,16.7,16.7,-0.6,5948862,100863000,433878000,890358000.0,2643875000.0,16.720000000000002,16.6,,,,5139661.8,28.57142857142857,28.57142857142857,86775600.0,0.0
1/28/2015,AMATA,16.8,17.1,16.8,17.0,1.8,3514100,59487000,463955000,839290000.0,2431480000.0,16.86,16.633333333333333,,,,5480336.4,28.57142857142857,28.57142857142857,92791000.0,0.0
1/29/2015,AMATA,17.0,17.2,16.8,16.8,-1.18,2593202,44000000,426592000,828314000.0,2190246000.0,16.86,16.650000000000002,,,,5026074.0,28.57142857142857,28.57142857142857,85318400.0,0.0
1/30/2015,AMATA,16.8,17.0,16.6,16.6,-1.19,3627500,60771000,322964000,843296000.0,2154211000.0,16.78,16.666666666666668,,,,3820734.8,28.57142857142857,28.57142857142857,64592800.0,0.0
2/2/2015,AMATA,16.6,17.4,16.5,17.1,3.01,11904109,203775000,468896000,991404000.0,2186420000.0,16.839999999999996,16.708333333333332,,,,5517554.6,35.714285714285715,30.0,93779200.0,0.0
2/3/2015,AMATA,17.1,17.3,17.1,17.3,1.17,5759215,99186000,467219000,1072386000.0,2205400000.0,16.96,16.766666666666666,,,,5479625.2,42.857142857142854,32.857142857142854,93443800.0,0.0
2/4/2015,AMATA,17.4,17.4,17.2,17.3,0.0,8911132,154639000,562371000,1176453000.0,2233138000.0,17.020000000000003,16.833333333333336,,,,6559031.6,35.714285714285715,34.285714285714285,112474200.0,0.0
2/5/2015,AMATA,17.3,17.4,17.1,17.3,0.0,6455113,111517000,629888000,1203700000.0,2209899000.0,17.119999999999994,16.916666666666668,,,,7331413.8,35.714285714285715,35.714285714285715,125977600.0,0.0
2/6/2015,AMATA,17.3,18.1,17.1,18.0,4.05,20903153,371452000,940569000,1538705000.0,2499656000.0,17.4,17.058333333333334,,,,10786544.4,42.857142857142854,38.571428571428584,188113800.0,0.0
2/9/2015,AMATA,18.2,18.9,18.0,18.2,1.11,28906448,533266000,1270060000,2042561000.0,2960253000.0,17.62,17.175,16.788461538461544,0.4396723646723615,0.4396723646723615,14187012.2,50.0,41.42857142857143,254012000.0,0.0
2/10/2015,AMATA,18.2,18.8,18.2,18.7,2.75,13638838,253349000,1424223000,2214547000.0,3178647000.0,17.9,17.316666666666666,16.888461538461545,0.5068376068375997,0.4732549857549806,15762936.8,57.14285714285714,44.28571428571429,284844600.0,0.0
2/11/2015,AMATA,18.9,18.9,18.2,18.8,0.53,6141448,114716000,1384300000,2164864000.0,3286004000.0,18.2,17.48333333333333,16.992307692307698,0.5596866096866009,0.5020655270655207,15209000.0,57.14285714285714,48.57142857142857,276860000.0,0.0
2/12/2015,AMATA,18.8,18.8,18.5,18.6,-1.06,8626409,160629000,1433412000,2267650000.0,3408046000.0,18.46,17.641666666666666,17.088461538461544,0.5886752136752058,0.523717948717942,15643259.2,50.0,51.42857142857142,286682400.0,0.0
2/13/2015,AMATA,18.7,18.8,18.5,18.5,-0.54,4290721,79971000,1141931000,2246758000.0,3468839000.0,18.56,17.766666666666666,17.15769230769231,0.6223646723646681,0.5434472934472871,12320772.8,50.0,52.85714285714285,228386200.0,0.0
2/16/2015,AMATA,18.6,18.6,18.2,18.4,-0.54,3453564,63526000,672191000,2250797000.0,3475655000.0,18.6,17.900000000000006,17.223076923076924,0.6666666666666679,0.5888461538461485,7230196.0,50.0,52.85714285714285,134438200.0,0.0
2/17/2015,AMATA,18.3,18.6,18.0,18.0,-2.17,3384700,61727000,480569000,2268524000.0,3524932000.0,18.46,18.01666666666668,17.276923076923076,0.6836182336182368,0.6242022792022759,5179368.4,42.857142857142854,50.0,96113800.0,0.0
2/18/2015,AMATA,18.6,18.7,18.4,18.4,2.22,7607404,141121000,506974000,2348874000.0,3658210000.0,18.380000000000006,18.125000000000004,17.346153846153847,0.7430911680911692,0.6608831908831896,5472559.6,50.0,48.57142857142857,101394800.0,2.0
2/19/2015,AMATA,18.6,18.8,18.4,18.6,1.09,3239411,60441000,406786000,2205540000.0,3665147000.0,18.380000000000006,18.233333333333334,17.430769230769233,0.7723646723646773,0.6976210826210838,4395160.0,57.14285714285714,50.0,81357200.0,0.0
2/20/2015,AMATA,18.7,18.8,18.6,18.7,0.54,1241000,23184000,349999000,2129538000.0,3653016000.0,18.42,18.35,17.51153846153846,0.8042735042734996,0.7340028490028502,3785215.8,57.14285714285714,51.42857142857142,69999800.0,0.0
2/23/2015,AMATA,18.8,18.8,18.4,18.5,-1.07,2062610,38209000,324682000,2013108000.0,3641048000.0,18.44,18.45,17.584615384615386,0.8052706552706539,0.7617236467236473,3507025.0,50.0,51.42857142857142,64936400.0,0.0
2/24/2015,AMATA,18.4,18.8,18.2,18.6,0.54,6064702,112496000,375451000,2014087000.0,3730151000.0,18.56,18.5,17.665384615384614,0.7807692307692307,0.7811538461538461,4043025.4,57.14285714285714,54.28571428571429,75090200.0,0.0
2/25/2015,AMATA,18.5,18.6,18.2,18.6,0.0,4432400,81785000,316115000,1724420000.0,3719605000.0,18.6,18.533333333333328,17.75384615384616,0.7270655270655233,0.777948717948717,3408024.6,57.14285714285714,55.71428571428571,63223000.0,0.0
2/26/2015,AMATA,18.5,18.6,18.1,18.2,-2.15,6312907,115402000,371076000,1306556000.0,3724452000.0,18.520000000000003,18.491666666666664,17.826923076923073,0.5922364672364644,0.7419230769230744,4022723.8,50.0,54.28571428571429,74215200.0,0.0
2/27/2015,AMATA,18.4,18.6,18.2,18.6,2.2,2525056,46708000,394600000,1099915000.0,3716184000.0,18.5,18.475,17.896153846153847,0.5459401709401703,0.6902564102564085,4279535.0,50.0,52.85714285714285,78920000.0,0.0
3/2/2015,AMATA,18.5,18.6,18.3,18.5,-0.54,1603800,29628000,386019000,1014827000.0,3700023000.0,18.5,18.466666666666665,17.953846153846158,0.4774928774928746,0.6247008547008527,4187773.0,42.857142857142854,51.42857142857142,77203800.0,0.0
3/3/2015,AMATA,18.6,18.6,18.2,18.2,-1.62,2029900,37304000,310827000,891502000.0,3681660000.0,18.42,18.441666666666666,18.007692307692302,0.38254985754986137,0.5450569800569788,3380812.6,35.714285714285715,47.14285714285714,62165400.0,0.0
3/5/2015,AMATA,18.5,18.5,17.5,17.9,-1.65,6726927,119932000,348974000,931463000.0,3783388000.0,18.28,18.4,18.053846153846152,0.2806267806267826,0.4557692307692306,3839718.0,35.714285714285715,42.85714285714286,69794800.0,0.0
3/6/2015,AMATA,17.8,18.4,17.7,18.0,0.56,2781310,50118000,283690000,918055000.0,3782934000.0,18.24,18.4,18.092307692307692,0.2529914529914521,0.3879202279202282,3133398.6,42.857142857142854,41.42857142857143,56738000.0,0.0
3/9/2015,AMATA,18.0,18.0,17.7,17.8,-1.11,1433415,25543000,262525000,881871000.0,3724207000.0,18.08,18.35,18.130769230769232,0.15911680911680648,0.3105555555555554,2915070.4,42.857142857142854,40.00000000000001,52505000.0,0.0
3/10/2015,AMATA,17.7,18.0,17.3,17.6,-1.12,6096860,106638000,339535000,847388000.0,3794398000.0,17.9,18.26666666666668,18.169230769230765,0.03703703703703809,0.22246438746438807,3813682.4,42.857142857142854,40.00000000000001,67907000.0,0.0
3/11/2015,AMATA,17.4,17.7,17.1,17.5,-0.57,3598004,62393000,364624000,849340000.0,3827381000.0,17.76,18.166666666666668,18.184615384615384,-0.0698005698005737,0.13199430199430112,4127303.2,35.714285714285715,40.00000000000001,72924800.0,0.0
3/12/2015,AMATA,17.6,17.8,17.3,17.3,-1.14,4714472,83016000,327708000,909172000.0,3829034000.0,17.64,18.066666666666666,18.184615384615384,-0.1703703703703745,0.041794871794869695,3724812.2,28.57142857142857,38.57142857142857,65541600.0,0.0
3/13/2015,AMATA,17.4,17.4,16.9,17.0,-1.73,3765236,64498000,342088000,935461000.0,3729133000.0,17.44,17.933333333333334,18.173076923076927,-0.29643874643874923,-0.06809116809117058,3921597.4,21.42857142857143,34.285714285714285,68417600.0,0.0
3/16/2015,AMATA,16.8,17.0,16.6,16.7,-1.76,2456929,41239000,357784000,864204000.0,3712529000.0,17.220000000000002,17.775000000000006,18.15,-0.4329772079772063,-0.18650997150997312,4126300.2,21.42857142857143,30.0,71556800.0,0.0
3/17/2015,AMATA,16.7,16.8,16.5,16.6,-0.6,4382205,73107000,324253000,855526000.0,3684773000.0,17.02,17.641666666666666,18.096153846153847,-0.5039173789173823,-0.2947008547008572,3783369.2,14.285714285714292,24.28571428571429,64850600.0,0.0
3/18/2015,AMATA,16.6,17.1,16.6,16.9,1.81,1372304,23158000,285018000,763282000.0,3648444000.0,16.9,17.5,18.04615384615385,-0.5535612535612557,-0.3914529914529936,3338229.2,21.42857142857143,21.42857142857143,57003600.0,0.0
3/19/2015,AMATA,17.1,17.2,17.0,17.1,1.18,3454402,59095000,261097000,775669000.0,3663539000.0,16.860000000000007,17.383333333333333,17.984615384615385,-0.5793447293447258,-0.4732478632478639,3086215.2,28.57142857142857,21.42857142857143,52219400.0,0.0
