Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
6/30/2015,AMATAR,10.2,10.7,10.1,10.2,2.0,8120500,83017000,83017000,83017000.0,83017000.0,10.2,,,,,8120500.0,,
7/2/2015,AMATAR,10.3,10.7,10.3,10.4,1.96,3349900,35052000,118069000,118069000.0,118069000.0,10.3,,,,,5735200.0,,
7/3/2015,AMATAR,10.5,10.6,10.5,10.6,1.92,1827800,19324000,137393000,137393000.0,137393000.0,10.4,,,,,4432733.333333333,,
7/6/2015,AMATAR,10.7,10.7,10.5,10.6,0.0,789800,8365000,145758000,145758000.0,145758000.0,10.450000000000001,,,,,3522000.0,,
7/7/2015,AMATAR,10.6,11.0,10.6,11.0,3.77,1480900,15935000,161693000,161693000.0,161693000.0,10.56,,,,,3113780.0,,
7/8/2015,AMATAR,11.0,11.1,10.9,11.0,0.0,2129500,23414000,102090000,185107000.0,185107000.0,10.72,,,,,1915580.0,,
7/9/2015,AMATAR,11.0,11.0,10.9,11.0,0.0,303900,3340000,70378000,188447000.0,188447000.0,10.84,,,,,1306380.0,,
7/10/2015,AMATAR,11.0,11.1,10.9,11.1,0.91,269900,2970000,54024000,191417000.0,191417000.0,10.940000000000001,,,,,994800.0,,
7/13/2015,AMATAR,11.1,11.2,11.0,11.0,-0.9,1546300,17170000,62829000,208587000.0,208587000.0,11.02,,,,,1146100.0,,
7/14/2015,AMATAR,11.1,11.2,11.1,11.1,0.91,187100,2092000,48986000,210679000.0,210679000.0,11.040000000000001,,,,,887340.0,,
7/15/2015,AMATAR,11.2,11.2,11.1,11.2,0.9,89305,1000000,26572000,211679000.0,211679000.0,11.080000000000002,,,,,479301.0,,
7/16/2015,AMATAR,11.2,11.2,11.1,11.2,0.0,601601,6717000,29949000,218396000.0,218396000.0,11.120000000000001,10.866666666666667,,,,538841.2,,
7/17/2015,AMATAR,11.1,11.1,10.8,10.9,-2.68,994500,10892000,37871000,229288000.0,229288000.0,11.08,10.924999999999999,,,,683761.2,,
7/20/2015,AMATAR,11.0,11.1,11.0,11.0,0.92,129400,1425000,22126000,147696000.0,230713000.0,11.08,10.975,,,,400381.2,57.14285714285714,57.14285714285714
7/21/2015,AMATAR,11.0,11.3,10.9,10.9,-0.91,1753000,19482000,39516000,132126000.0,250195000.0,11.04,11.0,,,,713561.2,50.0,53.57142857142857
7/22/2015,AMATAR,11.0,11.0,10.9,10.9,0.0,511600,5584000,44100000,118386000.0,255779000.0,10.98,11.025,,,,798020.2,42.857142857142854,50.0
7/23/2015,AMATAR,10.9,11.0,10.9,10.9,0.0,263100,2893000,40276000,112914000.0,258672000.0,10.919999999999998,11.016666666666667,,,,730320.0,35.71428571428572,46.42857142857143
