Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,AMC,2.58,2.6,2.58,2.58,0.0,71600,185000,4690000,13937000.0,76331000.0,2.58,,,,,71600.0,,,185000.0,0.0
1/6/2015,AMC,2.58,2.6,2.56,2.6,0.78,297000,766000,4828000,11241000.0,73871000.0,2.59,,,,,184300.0,,,475500.0,0.0
1/7/2015,AMC,2.6,2.68,2.58,2.62,0.77,831000,2191000,4868000,11879000.0,74558000.0,2.6,,,,,399866.66666666674,,,1047333.3333333336,0.0
1/8/2015,AMC,2.64,2.64,2.6,2.64,0.76,623500,1635000,5367000,11816000.0,74400000.0,2.61,,,,,455775.0,,,1194250.0,0.0
1/9/2015,AMC,2.7,2.76,2.68,2.68,1.52,719300,1946000,6723000,13022000.0,74758000.0,2.6239999999999997,,,,,508480.0,,,1344600.0,0.0
1/12/2015,AMC,2.72,2.72,2.64,2.64,-1.49,565800,1501000,8039000,13933000.0,74430000.0,2.636,,,,,607320.0,,,1607800.0,0.0
1/13/2015,AMC,2.64,2.74,2.62,2.7,2.27,1026900,2773000,10046000,16141000.0,75332000.0,2.656,,,,,753300.0,,,2009200.0,0.0
1/14/2015,AMC,2.76,2.78,2.64,2.68,-0.74,1094900,2970000,10825000,18897000.0,75944000.0,2.668,,,,,806080.0,,,2165000.0,0.0
1/15/2015,AMC,2.7,2.7,2.68,2.68,0.0,117000,314000,9504000,18786000.0,72596000.0,2.676,,,,,704780.0,,,1900800.0,0.0
1/16/2015,AMC,2.68,2.7,2.66,2.7,0.75,81100,216000,7774000,18374000.0,49560000.0,2.68,,,,,577140.0,,,1554800.0,0.0
1/19/2015,AMC,2.7,2.7,2.68,2.68,-0.74,74100,199000,6472000,16422000.0,42707000.0,2.688,,,,,478800.0,,,1294400.0,0.0
1/20/2015,AMC,2.72,2.72,2.68,2.72,1.49,572900,1547000,5246000,16833000.0,42433000.0,2.692,2.66,,,,388000.0,,,1049200.0,0.0
1/21/2015,AMC,2.74,3.08,2.68,3.0,10.29,21117641,62561000,64837000,78804000.0,103056000.0,2.7560000000000002,2.6950000000000003,,,,4392548.2,,,12967400.0,0.0
1/22/2015,AMC,3.04,3.12,2.88,2.9,-3.33,16693300,50321000,114844000,128940000.0,151787000.0,2.8000000000000003,2.72,,,,7707808.2,57.14285714285714,57.14285714285714,22968800.0,0.0
1/23/2015,AMC,3.04,3.1,2.94,2.94,1.38,6732520,20359000,134987000,148533000.0,171174000.0,2.8480000000000003,2.746666666666666,,,,9038092.2,64.28571428571428,60.71428571428571,26997400.0,0.0
1/26/2015,AMC,2.94,2.94,2.84,2.86,-2.72,1753500,5058000,139846000,151400000.0,174951000.0,2.884,2.765,,,,9373972.2,57.14285714285714,59.52380952380952,27969200.0,0.0
