Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
8/22/2017,APEX,0.41,0.42,0.41,0.41,0.0,1331100,545830,545830,545830.0,545830.0,0.41,,,,,1331100.0,,
8/23/2017,APEX,0.4,0.42,0.4,0.41,0.0,3831900,1569580,2115410,2115410.0,2115410.0,0.41,,,,,2581500.0,,
8/24/2017,APEX,0.42,0.42,0.4,0.41,0.0,2144800,879380,2994790,2994790.0,2994790.0,0.41,,,,,2435933.3333333335,,
8/25/2017,APEX,0.41,0.48,0.41,0.44,7.32,75685450,34234860,37229650,37229650.0,37229650.0,0.4175,,,,,20748312.5,,
8/28/2017,APEX,0.45,0.46,0.44,0.45,2.27,10506600,4716420,41946070,41946070.0,41946070.0,0.42400000000000004,,,,,18699970.0,,
8/29/2017,APEX,0.45,0.46,0.44,0.44,-2.22,6792900,3017450,44417690,44963520.0,44963520.0,0.43,,,,,19792330.0,,
8/30/2017,APEX,0.44,0.45,0.43,0.44,0.0,4644900,2041900,44890010,47005420.0,47005420.0,0.43600000000000005,,,,,19954930.0,,
8/31/2017,APEX,0.45,0.45,0.43,0.44,0.0,3486400,1533820,45544450,48539240.0,48539240.0,0.442,,,,,20223250.0,,
9/1/2017,APEX,0.44,0.45,0.43,0.44,0.0,4682700,2060360,13369950,50599600.0,50599600.0,0.442,,,,,6022700.0,,
9/4/2017,APEX,0.45,0.48,0.45,0.46,4.55,25094803,11578160,20231690,62177760.0,62177760.0,0.44400000000000006,,,,,8940340.6,,
9/5/2017,APEX,0.47,0.48,0.46,0.46,0.0,18287201,8553700,25767940,70731460.0,70731460.0,0.44800000000000006,,,,,11239200.8,,
9/6/2017,APEX,0.46,0.46,0.45,0.45,-2.17,8197000,3740480,27466520,74471940.0,74471940.0,0.45,0.4375,,,,11949620.8,,
9/7/2017,APEX,0.46,0.47,0.46,0.46,2.22,4878397,2245260,28177960,76717200.0,76717200.0,0.454,0.44166666666666665,,,,12228020.2,,
9/8/2017,APEX,0.46,0.47,0.45,0.45,-2.17,4087490,1879070,27996670,78050440.0,78596270.0,0.45600000000000007,0.445,,,,12108978.2,28.57142857142857,28.57142857142857
9/11/2017,APEX,0.46,0.46,0.45,0.45,0.0,2661902,1213390,17631900,77694250.0,79809660.0,0.454,0.4483333333333333,,,,7622398.0,28.57142857142857,28.57142857142857
9/12/2017,APEX,0.45,0.46,0.45,0.45,0.0,1522900,688480,9766680,77503350.0,80498140.0,0.45200000000000007,0.4491666666666667,,,,4269537.8,28.57142857142857,28.57142857142857
9/13/2017,APEX,0.46,0.47,0.44,0.46,2.22,10140000,4628510,10654710,47897000.0,85126650.0,0.454,0.45,,,,4658137.8,35.71428571428572,30.357142857142858
9/14/2017,APEX,0.45,0.46,0.45,0.45,-2.17,895200,403960,8813410,43584540.0,85530610.0,0.45200000000000007,0.4508333333333334,,,,3861498.4,28.57142857142857,30.0
9/15/2017,APEX,0.45,0.48,0.45,0.46,2.22,32758100,13141380,20075720,53708470.0,98671990.0,0.454,0.45250000000000007,,,,9595620.4,28.57142857142857,30.0
9/18/2017,APEX,0.46,0.47,0.46,0.46,0.0,3817203,1755920,20618250,53422490.0,100427910.0,0.45600000000000007,0.4541666666666668,,,,9826680.6,28.57142857142857,30.0
9/19/2017,APEX,0.46,0.47,0.46,0.46,0.0,2714101,1248550,21178320,53137220.0,101676460.0,0.458,0.45583333333333337,,,,10064920.8,28.57142857142857,30.0
9/20/2017,APEX,0.46,0.47,0.46,0.46,0.0,8104601,3728370,20278180,54805230.0,105404830.0,0.458,0.45583333333333337,,,,9657841.0,28.57142857142857,28.571428571428566
9/21/2017,APEX,0.46,0.51,0.46,0.5,8.7,79452408,39279190,59153410,82506260.0,144684020.0,0.46799999999999997,0.4591666666666667,,,,25369282.6,35.71428571428572,30.0
9/22/2017,APEX,0.51,0.51,0.49,0.5,0.0,17451848,8712450,54724480,82665010.0,153396470.0,0.476,0.4633333333333334,,,,22308032.2,28.57142857142857,30.0
9/25/2017,APEX,0.51,0.56,0.51,0.54,8.0,70125402,37714190,90682750,116638720.0,191110660.0,0.492,0.47000000000000003,,,,35569672.0,35.71428571428572,31.428571428571434
9/26/2017,APEX,0.54,0.55,0.51,0.51,-5.56,38515500,20198710,109632910,134592170.0,211309370.0,0.502,0.47500000000000003,0.45615384615384635,0.020242165242165044,0.020242165242165044,42729951.8,35.71428571428572,32.85714285714286
9/27/2017,APEX,0.51,0.53,0.5,0.51,0.0,23240600,11936760,117841300,144649860.0,223246130.0,0.5119999999999999,0.48,0.4600000000000002,0.02091168091168072,0.02057692307692288,45757151.6,28.57142857142857,32.857142857142854
9/28/2017,APEX,0.52,0.52,0.51,0.51,0.0,3565100,1823790,80385900,145260260.0,225069920.0,0.514,0.48499999999999993,0.46384615384615385,0.021581196581196505,0.020911680911680757,30579690.0,28.57142857142857,31.428571428571434
9/29/2017,APEX,0.52,0.52,0.5,0.51,0.0,7301595,3723020,75396470,148294800.0,228792940.0,0.516,0.4891666666666666,0.4676923076923077,0.021545584045583988,0.021070156695156564,28549639.4,28.57142857142857,31.428571428571434
10/2/2017,APEX,0.52,0.52,0.5,0.51,0.0,13851000,7065860,44748140,150732150.0,235858800.0,0.51,0.4941666666666666,0.47038461538461535,0.023283475783475727,0.021512820512820396,17294759.0,28.57142857142857,30.0
10/3/2017,APEX,0.51,0.53,0.51,0.52,1.96,35522213,18353610,42903040,168681800.0,254212410.0,0.512,0.49916666666666654,0.47307692307692306,0.02581908831908819,0.022628205128205025,16696101.6,28.57142857142857,28.571428571428566
10/4/2017,APEX,0.52,0.54,0.52,0.53,1.92,21510259,11354880,42321160,166895300.0,265567290.0,0.516,0.505,0.4765384615384614,0.02834757834757845,0.024115384615384573,16350033.4,35.71428571428572,30.0
