Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
3/24/2017,APX,2.12,2.2,0.95,0.96,0.0,873546515,1213462430,1213462430,1213462430.0,1213462430.0,0.96,,,,,873546515.0,,
3/27/2017,APX,2.12,2.2,0.95,0.96,0.0,873546515,1213462430,2426924860,2426924860.0,2426924860.0,0.96,,,,,873546515.0,,
3/28/2017,APX,1.0,1.01,0.69,0.73,-23.96,1045188140,825239940,3252164800,3252164800.0,3252164800.0,0.8833333333333333,,,,,930760390.0,,
3/29/2017,APX,0.76,0.86,0.68,0.83,13.7,1276636321,1009235450,4261400250,4261400250.0,4261400250.0,0.87,,,,,1017229372.75,,
3/30/2017,APX,0.81,0.81,0.75,0.77,-7.23,435115698,341942820,4603343070,4603343070.0,4603343070.0,0.85,,,,,900806637.8,,
3/31/2017,APX,0.77,0.77,0.71,0.71,-7.79,252298510,185321150,3575201790,4788664220.0,4788664220.0,0.8,,,,,776557036.8,,
4/3/2017,APX,0.72,0.73,0.7,0.71,0.0,96067758,68984310,2430723670,4857648530.0,4857648530.0,0.75,,,,,621061285.4,,
4/4/2017,APX,0.71,0.71,0.68,0.68,-4.23,135852071,94335690,1699819420,4951984220.0,4951984220.0,0.74,,,,,439194071.6,,
4/5/2017,APX,0.69,0.7,0.64,0.65,-4.41,115643037,77315210,767899180,5029299430.0,5029299430.0,0.704,,,,,206995414.8,,
4/7/2017,APX,0.66,0.67,0.63,0.65,0.0,140036971,91559860,517516220,5120859290.0,5120859290.0,0.6799999999999999,,,,,147979669.4,,
4/10/2017,APX,0.65,0.66,0.62,0.63,-3.08,59029613,37451530,369646600,5158310820.0,5158310820.0,0.6639999999999999,,,,,109325890.0,,
4/11/2017,APX,0.63,0.63,0.6,0.61,-3.17,52439601,32185800,332848090,5190496620.0,5190496620.0,0.6439999999999999,0.7408333333333333,,,,100600258.6,,
4/12/2017,APX,0.61,0.66,0.61,0.62,1.64,170391650,108210480,346722880,5298707100.0,5298707100.0,0.632,0.7125,,,,107508174.4,,
4/17/2017,APX,0.62,0.63,0.6,0.61,-1.61,55702206,34117570,303525240,4119362240.0,5332824670.0,0.624,0.6833333333333335,,,,95520008.2,14.285714285714292,14.285714285714292
