Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,AQ-W3,0.21,0.22,0.21,0.21,0.0,8421647,1774000,15895000,103866000.0,664517000.0,0.21,,,,,8421647.0,,,1774000.0,0.0
1/6/2015,AQ-W3,0.21,0.23,0.21,0.22,4.76,26163842,5679000,15456000,78354000.0,633813000.0,0.215,,,,,17292744.5,,,3726500.0,0.0
1/7/2015,AQ-W3,0.22,0.22,0.21,0.22,0.0,13966205,3069000,14076000,66119000.0,617898000.0,0.21666666666666667,,,,,16183898.0,,,3507333.333333333,0.0
1/8/2015,AQ-W3,0.22,0.22,0.21,0.21,-4.55,20764878,4477000,16989000,67850000.0,535874000.0,0.215,,,,,17329143.0,,,3749750.0,0.0
1/9/2015,AQ-W3,0.21,0.22,0.2,0.21,0.0,88515100,18850000,33849000,78993000.0,534671000.0,0.214,,,,,31566334.4,,,6769800.0,0.0
1/12/2015,AQ-W3,0.21,0.21,0.18,0.18,-14.29,103858514,20390000,52465000,82071000.0,542146000.0,0.20800000000000002,,,,,50653707.8,,,10493000.0,0.0
1/13/2015,AQ-W3,0.18,0.2,0.18,0.19,5.56,59995726,11286000,58072000,89786000.0,544792000.0,0.202,,,,,57420084.6,,,11614400.0,0.0
1/14/2015,AQ-W3,0.19,0.2,0.18,0.19,0.0,18687902,3574000,58577000,86705000.0,536305000.0,0.196,,,,,58364424.0,,,11715400.0,0.0
1/15/2015,AQ-W3,0.18,0.2,0.18,0.19,0.0,18735503,3536000,57636000,86756000.0,531167000.0,0.192,,,,,57958549.0,,,11527200.0,0.0
1/16/2015,AQ-W3,0.19,0.19,0.18,0.19,0.0,2178776,414000,39200000,81052000.0,527309000.0,0.188,,,,,40691284.2,,,7840000.0,0.0
1/19/2015,AQ-W3,0.19,0.2,0.18,0.19,0.0,12571723,2390000,21200000,78993000.0,519610000.0,0.19,,,,,22433926.0,,,4240000.0,0.0
1/20/2015,AQ-W3,0.19,0.19,0.18,0.18,-5.26,51422200,9263000,19177000,86692000.0,494805000.0,0.188,0.19833333333333333,,,,20719220.8,,,3835400.0,0.0
1/21/2015,AQ-W3,0.18,0.18,0.17,0.17,-5.56,27403739,4846000,20449000,89548000.0,472933000.0,0.184,0.195,,,,22462388.2,,,4089800.0,0.0
1/22/2015,AQ-W3,0.17,0.18,0.17,0.17,0.0,17321018,2977000,19890000,90751000.0,399918000.0,0.18000000000000002,0.1908333333333333,,,,22179491.2,14.285714285714292,14.285714285714292,3978000.0,0.0
1/23/2015,AQ-W3,0.18,0.18,0.17,0.17,0.0,13421443,2293000,21769000,87365000.0,356757000.0,0.17600000000000002,0.18666666666666665,,,,24428024.6,14.285714285714292,14.285714285714292,4353800.0,0.0
1/26/2015,AQ-W3,0.17,0.18,0.16,0.16,-5.88,40605402,6699000,26078000,90995000.0,325439000.0,0.17,0.1825,,,,30034760.4,7.142857142857139,11.904761904761909,5215600.0,0.0
1/27/2015,AQ-W3,0.16,0.17,0.16,0.16,0.0,29131856,4669000,21484000,91187000.0,314888000.0,0.166,0.17833333333333332,,,,25576691.6,7.142857142857139,10.714285714285717,4296800.0,0.0
1/28/2015,AQ-W3,0.16,0.17,0.15,0.16,0.0,27982253,4477000,21115000,76814000.0,303966000.0,0.16399999999999998,0.17666666666666664,,,,25692394.4,7.142857142857139,10.0,4223000.0,0.0
1/29/2015,AQ-W3,0.16,0.19,0.16,0.18,12.5,78838441,14195000,32333000,70619000.0,291692000.0,0.166,0.17583333333333329,,,,37995879.0,14.285714285714292,10.0,6466600.0,0.0
1/30/2015,AQ-W3,0.19,0.2,0.18,0.2,11.11,90294356,17269000,47309000,76602000.0,273142000.0,0.172,0.17666666666666664,,,,53370461.6,21.42857142857143,11.428571428571427,9461800.0,0.0
2/2/2015,AQ-W3,0.21,0.23,0.21,0.21,5.0,194007170,41531000,82141000,114559000.0,301583000.0,0.182,0.17833333333333332,,,,84050815.2,21.42857142857143,14.285714285714285,16428200.0,0.0
2/3/2015,AQ-W3,0.22,0.22,0.2,0.21,0.0,38990069,8191000,85663000,119214000.0,293941000.0,0.192,0.17999999999999994,,,,86022457.8,21.42857142857143,17.142857142857142,17132600.0,0.0
2/4/2015,AQ-W3,0.21,0.21,0.19,0.2,-4.76,46145706,9236000,90422000,128036000.0,271986000.0,0.2,0.18083333333333326,,,,89655148.4,21.42857142857143,20.000000000000004,18084400.0,0.0
2/5/2015,AQ-W3,0.2,0.2,0.18,0.19,-5.0,50172688,9538000,85765000,135184000.0,266220000.0,0.202,0.18166666666666667,,,,83921997.8,21.42857142857143,21.42857142857143,17153000.0,0.0
2/6/2015,AQ-W3,0.19,0.2,0.19,0.19,0.0,40503405,7696000,76192000,133617000.0,271170000.0,0.2,0.18333333333333326,,,,73963807.6,21.42857142857143,21.42857142857143,15238400.0,0.0
2/9/2015,AQ-W3,0.19,0.2,0.18,0.18,-5.26,26731945,5026000,39687000,133797000.0,268489000.0,0.194,0.18416666666666667,0.18961538461538469,-0.005377492877492979,-0.005377492877492979,40508762.6,21.42857142857143,21.42857142857143,7937400.0,0.0
2/10/2015,AQ-W3,0.19,0.19,0.18,0.18,0.0,23699500,4274000,35770000,135094000.0,255451000.0,0.188,0.185,0.18846153846153849,-0.003603988603988667,-0.004490740740740823,37450648.8,21.42857142857143,21.42857142857143,7154000.0,0.0
2/11/2015,AQ-W3,0.19,0.2,0.18,0.19,5.56,53742728,10205000,36739000,143006000.0,262085000.0,0.18600000000000005,0.1875,0.18730769230769234,0.0003774928774928077,-0.0028679962013296125,38970053.2,28.57142857142857,22.857142857142854,7347800.0,2.0
2/12/2015,AQ-W3,0.19,0.19,0.18,0.19,0.0,11751677,2223000,29424000,138530000.0,257653000.0,0.18600000000000005,0.19,0.1861538461538461,0.0035612535612535297,-0.001260683760683827,31285851.0,28.57142857142857,24.285714285714285,5884800.0,0.0
2/13/2015,AQ-W3,0.19,0.19,0.18,0.18,-5.26,9599038,1802000,23530000,135663000.0,255970000.0,0.184,0.19166666666666665,0.18500000000000005,0.005242165242165198,3.988603988597794e-05,25104977.6,28.57142857142857,25.71428571428571,4706000.0,0.0
2/16/2015,AQ-W3,0.19,0.19,0.18,0.19,5.56,6399989,1205000,19709000,132391000.0,251057000.0,0.18600000000000005,0.1925,0.18423076923076925,0.007457264957264898,0.002606837606837553,21038586.4,35.714285714285715,28.57142857142857,3941800.0,0.0
2/17/2015,AQ-W3,0.18,0.19,0.18,0.18,-5.26,42813307,7708000,23143000,125904000.0,254316000.0,0.18600000000000005,0.19083333333333333,0.18423076923076925,0.0052492877492877075,0.004377492877492828,24861347.8,35.714285714285715,31.428571428571434,4628600.0,2.0
2/18/2015,AQ-W3,0.17,0.19,0.17,0.19,5.56,51329888,9673000,22611000,118308000.0,262425000.0,0.18600000000000005,0.18916666666666665,0.18423076923076925,0.004636752136752104,0.0052293447293446866,24378779.8,35.714285714285715,32.85714285714286,4522200.0,0.0
2/19/2015,AQ-W3,0.18,0.19,0.18,0.18,-5.26,9903029,1796000,22184000,78573000.0,262231000.0,0.184,0.18666666666666665,0.18384615384615385,0.0020797720797720303,0.004933048433048387,24009050.2,28.57142857142857,32.857142857142854,4436800.0,0.0
2/20/2015,AQ-W3,0.19,0.19,0.18,0.18,0.0,9104161,1706000,22088000,72088000.0,262163000.0,0.184,0.185,0.18346153846153845,0.0010256410256409831,0.004089743589743544,23910074.8,21.42857142857143,31.428571428571434,4417600.0,0.0
2/23/2015,AQ-W3,0.18,0.19,0.18,0.19,5.56,24478900,4642000,25525000,67494000.0,261126000.0,0.184,0.185,0.18346153846153848,0.001823361823361791,0.002962962962962923,27525857.0,28.57142857142857,30.0,5105000.0,0.0
2/24/2015,AQ-W3,0.2,0.2,0.18,0.18,-5.26,23023433,4354000,22171000,62310000.0,262411000.0,0.184,0.18416666666666667,0.18307692307692308,0.0006766381766381557,0.0020484330484330125,23567882.2,28.57142857142857,28.57142857142857,4434200.0,0.0
2/25/2015,AQ-W3,0.19,0.2,0.19,0.19,5.56,94279866,18568000,31066000,73182000.0,276502000.0,0.184,0.185,0.18346153846153848,0.001823361823361791,0.00148575498575495,32157877.8,35.714285714285715,28.57142857142857,6213200.0,2.0
2/26/2015,AQ-W3,0.2,0.2,0.19,0.19,0.0,46550360,8856000,38126000,77012000.0,266508000.0,0.18600000000000005,0.1858333333333333,0.18423076923076925,0.0018162393162392547,0.001433048433048395,39487344.0,35.714285714285715,30.0,7625200.0,2.0
2/27/2015,AQ-W3,0.19,0.2,0.18,0.18,-5.26,12716189,2388000,38808000,75126000.0,248506000.0,0.18600000000000005,0.185,0.18461538461538465,-4.2735042735109197e-05,0.0012193732193731765,40209749.6,35.714285714285715,32.85714285714286,7761600.0,0.0
3/2/2015,AQ-W3,0.18,0.19,0.17,0.17,-5.56,35834657,6443000,40609000,71364000.0,243663000.0,0.182,0.18333333333333326,0.18461538461538465,-0.0022507122507123,0.0004045584045583584,42480901.0,35.714285714285715,34.285714285714285,8121800.0,0.0
3/3/2015,AQ-W3,0.18,0.18,0.16,0.16,-5.88,58687110,10026000,46281000,79167000.0,250115000.0,0.17800000000000002,0.18166666666666664,0.18461538461538465,-0.004458689458689519,-0.0006225071225071765,49613636.4,28.57142857142857,34.285714285714285,9256200.0,0.0
3/5/2015,AQ-W3,0.17,0.17,0.16,0.16,0.0,28839457,4722000,32435000,82087000.0,251301000.0,0.172,0.1791666666666666,0.18461538461538465,-0.006574074074074149,-0.0023019943019943643,36525554.6,28.57142857142857,32.857142857142854,6487000.0,0.0
3/6/2015,AQ-W3,0.16,0.18,0.16,0.17,6.25,26457258,4474000,28053000,85356000.0,255361000.0,0.168,0.17833333333333332,0.18500000000000005,-0.006837606837606869,-0.004032763532763589,32506934.2,35.714285714285715,32.85714285714286,5610600.0,0.0
3/9/2015,AQ-W3,0.17,0.17,0.16,0.16,-5.88,13978003,2318000,27983000,79966000.0,255289000.0,0.16399999999999998,0.17583333333333329,0.18423076923076925,-0.009038461538461606,-0.005831908831908888,32759297.0,28.57142857142857,31.428571428571434,5596600.0,0.0
3/10/2015,AQ-W3,0.17,0.17,0.16,0.16,0.0,2057768,347000,21887000,70640000.0,246373000.0,0.162,0.1741666666666666,0.18269230769230774,-0.009024216524216616,-0.007186609686609752,26003919.2,28.57142857142857,30.0,4377400.0,0.0
