Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,Money5
7/10/2019,ARIN,1.63,1.67,1.34,1.43,-20.56,183715017,275848830,275848830,275848830.0,275848830.0,275848830.0
7/11/2019,ARIN,1.45,1.48,1.3,1.3,-9.09,49885752,69491030,345339860,345339860.0,345339860.0,172669930.0
7/12/2019,ARIN,1.32,1.33,1.13,1.16,-10.77,51726736,62532330,407872190,407872190.0,407872190.0,135957396.66666666
7/15/2019,ARIN,1.16,1.16,1.08,1.11,-4.31,27409844,30474510,438346700,438346700.0,438346700.0,109586675.0
7/17/2019,ARIN,1.12,1.21,1.12,1.18,6.31,49728895,58585200,496931900,496931900.0,496931900.0,99386380.0
7/18/2019,ARIN,1.19,1.23,1.15,1.16,-1.69,42925943,50827650,271910720,547759550.0,547759550.0,54382144.0
7/19/2019,ARIN,1.17,1.2,1.14,1.14,-1.72,35047620,40824450,243244140,588584000.0,588584000.0,48648828.0
7/22/2019,ARIN,1.14,1.16,1.08,1.09,-4.39,27151326,30273500,210985310,618857500.0,618857500.0,42197062.0
7/23/2019,ARIN,1.1,1.1,0.99,0.99,-9.17,29551500,30716610,211227410,649574110.0,649574110.0,42245482.0
7/24/2019,ARIN,0.99,1.01,0.99,0.99,0.0,12921708,12879320,165521530,662453430.0,662453430.0,33104306.0
7/25/2019,ARIN,1.0,1.03,0.98,0.98,-1.01,15669800,15714640,130408520,678168070.0,678168070.0,26081704.0
7/26/2019,ARIN,0.99,1.0,0.95,0.96,-2.04,8289450,8040910,97624980,686208980.0,686208980.0,19524996.0
7/30/2019,ARIN,0.97,0.98,0.94,0.94,-2.08,5071688,4836500,72187980,691045480.0,691045480.0,14437596.0
7/31/2019,ARIN,0.94,0.94,0.89,0.91,-3.19,11609910,10636620,52107990,425833270.0,701682100.0,10421598.0
8/1/2019,ARIN,0.92,0.92,0.88,0.88,-3.3,6399200,5735150,44963820,362077390.0,707417250.0,8992764.0
8/2/2019,ARIN,0.88,0.88,0.81,0.82,-6.82,14935701,12452290,41701470,311997350.0,719869540.0,8340294.0
8/5/2019,ARIN,0.83,0.83,0.8,0.82,0.0,5531700,4505480,38166040,286028320.0,724375020.0,7633208.0
8/6/2019,ARIN,0.81,0.91,0.8,0.9,9.76,32611031,28605590,61935130,256048710.0,752980610.0,12387026.0
8/7/2019,ARIN,0.94,0.96,0.9,0.9,0.0,26548221,24609910,75908420,229830970.0,777590520.0,15181684.0
8/8/2019,ARIN,0.9,0.9,0.86,0.86,-4.44,7903200,6893770,77067040,195900290.0,784484290.0,15413408.0
8/9/2019,ARIN,0.86,0.87,0.81,0.81,-5.81,5105826,4288560,68903310,169915350.0,788772850.0,13780662.0
8/13/2019,ARIN,0.81,0.86,0.8,0.81,0.0,6561480,5476160,69873990,144674900.0,794249010.0,13974798.0
8/14/2019,ARIN,0.83,0.84,0.8,0.8,-1.23,3921001,3186160,44454560,134981740.0,797435170.0,8890912.0
