Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,ASIA,87.75,87.75,87.75,87.75,-1.4,501,44000,618000,2787000.0,10610000.0,87.75,,,,,501.0,,,44000.0,0.0
1/6/2015,ASIA,88.0,88.5,88.0,88.5,0.85,200,18000,564000,2229000.0,9656000.0,88.125,,,,,350.5,,,31000.0,0.0
1/7/2015,ASIA,87.75,88.75,85.5,88.25,-0.28,4100,356000,727000,2418000.0,9403000.0,88.16666666666669,,,,,1600.333333333333,,,139333.33333333337,0.0
1/8/2015,ASIA,88.0,90.75,88.0,90.75,2.83,4600,413000,858000,2638000.0,9214000.0,88.8125,,,,,2350.25,,,207750.0,0.0
1/9/2015,ASIA,90.75,90.75,90.75,90.75,0.0,1000,91000,922000,2676000.0,8742000.0,89.2,,,,,2080.2,,,184400.0,0.0
1/12/2015,ASIA,90.75,91.0,90.75,91.0,0.28,4100,372000,1250000,3013000.0,8953000.0,89.85,,,,,2800.0,,,250000.0,0.0
1/13/2015,ASIA,90.0,91.5,90.0,91.5,0.55,2800,254000,1486000,3170000.0,9047000.0,90.45,,,,,3320.0,,,297200.0,0.0
1/14/2015,ASIA,90.0,90.0,90.0,90.0,-1.64,100,9000,1139000,2637000.0,8953000.0,90.8,,,,,2520.0,,,227800.0,0.0
1/16/2015,ASIA,90.0,91.0,90.0,91.0,1.11,6400,581000,1216000,2640000.0,9062000.0,90.85,,,,,2880.0,,,261400.0,0.0
1/19/2015,ASIA,90.0,93.0,90.0,92.0,1.1,900,82000,926000,2529000.0,9144000.0,91.1,,,,,2860.0,,,259600.0,0.0
1/20/2015,ASIA,93.5,93.5,92.25,92.75,0.82,600,56000,728000,2303000.0,9088000.0,91.45,,,,,2160.0,,,196400.0,0.0
1/21/2015,ASIA,91.0,92.5,91.0,92.5,-0.27,400,37000,756000,2313000.0,8506000.0,91.65,90.5625,,,,1680.0,,,153000.0,0.0
1/22/2015,ASIA,91.0,92.25,90.5,92.25,-0.27,600,55000,811000,2324000.0,8542000.0,92.1,90.9375,,,,1780.0,,,162200.0,0.0
1/26/2015,ASIA,91.25,91.5,89.75,90.0,-2.44,11010,993000,1141000,2943000.0,8765000.0,91.9,91.0625,,,,2702.0,50.0,50.0,244600.0,0.0
1/27/2015,ASIA,90.0,90.25,89.5,90.0,0.0,7304,654000,1739000,3184000.0,9055000.0,91.5,91.20833333333331,,,,3982.8,50.0,50.0,359000.0,0.0
1/28/2015,ASIA,90.0,90.0,89.75,89.75,-0.28,502,45000,1747000,3138000.0,9091000.0,90.9,91.125,,,,3963.2,42.857142857142854,47.61904761904761,356800.0,0.0
1/29/2015,ASIA,90.0,90.25,90.0,90.0,0.28,2200,198000,1890000,2964000.0,8945000.0,90.4,91.0625,,,,4323.2,50.0,48.214285714285715,389000.0,0.0
1/30/2015,ASIA,90.0,90.0,89.75,90.0,0.0,1600,144000,2034000,2854000.0,8301000.0,89.95,90.97916666666669,,,,4523.2,42.857142857142854,47.14285714285714,406800.0,0.0
2/2/2015,ASIA,90.0,90.0,90.0,90.0,0.0,500,45000,1086000,2890000.0,7343000.0,89.95,90.85416666666669,,,,2421.2,42.857142857142854,45.714285714285715,217200.0,0.0
2/3/2015,ASIA,92.0,92.0,89.0,90.0,0.0,3401,306000,738000,3196000.0,7496000.0,89.95,90.85416666666669,,,,1640.6,35.714285714285715,42.85714285714286,147600.0,0.0
2/4/2015,ASIA,90.0,90.0,89.75,89.75,-0.28,3000,270000,963000,2885000.0,7190000.0,89.95,90.75,,,,2140.2,28.57142857142857,40.0,192600.0,0.0
2/5/2015,ASIA,89.75,91.0,88.0,91.0,1.39,7401,669000,1434000,3472000.0,7692000.0,90.15,90.66666666666669,,,,3180.4,35.714285714285715,37.142857142857146,286800.0,0.0
2/6/2015,ASIA,90.0,90.0,89.75,89.75,-1.37,1701,153000,1443000,3569000.0,7652000.0,90.1,90.41666666666669,,,,3200.6,28.57142857142857,34.285714285714285,288600.0,0.0
2/9/2015,ASIA,89.75,93.0,89.75,90.0,0.28,9200,845000,2243000,4377000.0,8444000.0,90.1,90.20833333333331,,,,4940.6,28.57142857142857,31.428571428571434,448600.0,0.0
2/10/2015,ASIA,91.0,91.0,90.0,90.0,0.0,4400,397000,2334000,4719000.0,8806000.0,90.1,90.02083333333331,,,,5140.4,21.42857142857143,28.57142857142857,466800.0,0.0
