Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,ASP,4.08,4.2,4.04,4.16,1.96,7828639,32413000,86672000,389042000.0,1312570000.0,4.16,,,,,7828639.0,,
1/6/2015,ASP,4.12,4.14,4.1,4.12,-0.96,6894800,28396000,98837000,317284000.0,1317445000.0,4.140000000000001,,,,,7361719.5,,
1/7/2015,ASP,4.16,4.3,4.14,4.2,1.94,10473038,44372000,136025000,299602000.0,1342769000.0,4.16,,,,,8398825.666666666,,
1/8/2015,ASP,4.26,4.3,4.24,4.28,1.9,5933236,25326000,154091000,279183000.0,1354033000.0,4.19,,,,,7782428.25,,
1/9/2015,ASP,4.34,4.34,4.3,4.3,0.47,6032747,26063000,156570000,273872000.0,1369704000.0,4.212000000000001,,,,,7432492.0,,
1/12/2015,ASP,4.32,4.34,4.26,4.26,-0.93,5418792,23319000,147476000,276976000.0,1344202000.0,4.232000000000001,,,,,6950522.6,,
1/13/2015,ASP,4.28,4.3,4.26,4.28,0.47,3613903,15462000,134542000,265272000.0,1330090000.0,4.264,,,,,6294343.2,,
1/14/2015,ASP,4.32,4.32,4.28,4.3,0.47,4051840,17401000,107571000,274882000.0,1316754000.0,4.284000000000001,,,,,5010103.6,,
1/15/2015,ASP,4.3,4.32,4.28,4.3,0.0,3894400,16750000,98995000,283761000.0,1316774000.0,4.288,,,,,4602336.4,,
1/16/2015,ASP,4.28,4.32,4.26,4.28,-0.47,3271101,14015000,86947000,281545000.0,1310118000.0,4.284000000000001,,,,,4050007.2,,
1/19/2015,ASP,4.28,4.32,4.28,4.3,0.47,5942698,25539000,89167000,299900000.0,1195964000.0,4.292,,,,,4154788.4,,
1/20/2015,ASP,4.32,4.34,4.3,4.34,0.93,5225167,22577000,96282000,315217000.0,1167977000.0,4.304,4.259999999999999,,,,4477041.2,,
1/21/2015,ASP,4.34,4.34,4.32,4.32,-0.46,2856300,12357000,91238000,303990000.0,1165287000.0,4.308,4.273333333333334,,,,4237933.2,,
1/22/2015,ASP,4.34,4.36,4.32,4.34,0.46,6224205,27018000,101506000,298595000.0,1180110000.0,4.316000000000001,4.291666666666667,,,,4703894.2,64.28571428571428,64.28571428571428
1/23/2015,ASP,4.36,4.5,4.34,4.46,2.76,16774840,74347000,161838000,344546000.0,1217266000.0,4.352,4.3133333333333335,,,,7404642.0,64.28571428571428,64.28571428571428
1/26/2015,ASP,4.5,4.5,4.46,4.48,0.45,20396381,91441000,227740000,391615000.0,1275708000.0,4.388,4.329999999999999,,,,10295378.6,71.42857142857143,66.66666666666667
1/27/2015,ASP,4.5,4.6,4.48,4.58,2.23,15067634,68779000,273942000,435068000.0,1292783000.0,4.436,4.353333333333333,,,,12263872.0,71.42857142857143,67.85714285714286
1/28/2015,ASP,4.6,4.68,4.58,4.62,0.87,11050653,51171000,312756000,460176000.0,1273088000.0,4.496,4.383333333333334,,,,13902742.6,71.42857142857143,68.57142857142858
1/29/2015,ASP,4.66,4.66,4.56,4.58,-0.87,6090410,28007000,313745000,464864000.0,1245490000.0,4.544,4.408333333333333,,,,13875983.6,64.28571428571428,68.57142857142858
1/30/2015,ASP,4.62,4.62,4.36,4.4,-3.93,28663931,127076000,366474000,576478000.0,1326552000.0,4.531999999999999,4.416666666666666,,,,16253801.8,64.28571428571428,68.57142857142857
2/2/2015,ASP,4.36,4.4,4.32,4.4,0.0,17399846,75901000,350934000,634978000.0,1250854000.0,4.516,4.425,,,,15654494.8,57.14285714285714,65.71428571428571
2/3/2015,ASP,4.42,4.46,4.42,4.44,0.91,9892088,43885000,326040000,662113000.0,1248244000.0,4.488,4.438333333333333,,,,14619385.6,57.14285714285714,62.85714285714285
2/4/2015,ASP,4.48,4.5,4.42,4.44,0.0,6830403,30409000,305278000,678507000.0,1178499000.0,4.452,4.45,,,,13775335.6,57.14285714285714,60.0
2/5/2015,ASP,4.44,4.46,4.42,4.44,0.0,3160701,14019000,291290000,666987000.0,1130464000.0,4.424000000000001,4.458333333333333,,,,13189393.8,57.14285714285714,58.57142857142857
2/6/2015,ASP,4.44,4.46,4.42,4.46,0.45,3294560,14636000,178850000,659046000.0,1099355000.0,4.436000000000001,4.47,,,,8115519.6,57.14285714285714,57.14285714285713
2/9/2015,ASP,4.46,4.46,4.4,4.42,-0.9,4954401,21904000,124853000,668593000.0,1089885000.0,4.44,4.476666666666666,4.365384615384615,0.09851851851851823,0.09851851851851823,5626430.6,50.0,55.71428571428571
2/10/2015,ASP,4.42,4.44,4.4,4.44,0.45,2447860,10823000,91791000,652398000.0,1080493000.0,4.4399999999999995,4.475,4.376153846153846,0.08873219373219321,0.09362535612535572,4137585.0,57.14285714285714,55.71428571428571
2/11/2015,ASP,4.42,4.46,4.4,4.4,-0.9,5351450,23687000,85069000,601738000.0,1077014000.0,4.432,4.468333333333333,4.386923076923077,0.06992877492877358,0.085726495726495,3841794.4,50.0,54.28571428571429
2/12/2015,ASP,4.4,4.5,4.4,4.46,1.36,6823621,30370000,101420000,540667000.0,1099593000.0,4.436,4.458333333333333,4.396923076923077,0.056994301994302,0.07854344729344676,4574378.4,50.0,52.857142857142854
2/13/2015,ASP,4.48,4.48,4.44,4.46,0.0,5104189,22771000,109555000,494659000.0,1114493000.0,4.436,4.445,4.403846153846153,0.039301994301995435,0.0706951566951565,4936304.2,42.857142857142854,50.0
2/16/2015,ASP,4.48,4.48,4.42,4.46,0.0,3834009,17084000,104735000,460572000.0,1115346000.0,4.444000000000001,4.4350000000000005,4.409999999999998,0.025142450142451978,0.056019943019943244,4712225.8,35.71428571428572,47.142857142857146
2/17/2015,ASP,4.46,4.46,4.42,4.44,-0.45,3048400,13524000,107436000,446089000.0,1121686000.0,4.444000000000001,4.4383333333333335,4.416923076923076,0.019957264957266574,0.042264957264957916,4832333.8,28.57142857142857,41.42857142857143
2/18/2015,ASP,4.42,4.46,4.42,4.46,0.45,1001816,4458000,88207000,323471000.0,1118884000.0,4.456,4.443333333333334,4.423846153846153,0.019373219373221673,0.03215384615384753,3962407.0,35.71428571428572,38.57142857142858
2/19/2015,ASP,4.46,4.48,4.44,4.48,0.45,5206099,23259000,81096000,270829000.0,1118559000.0,4.46,4.446666666666666,4.430769230769229,0.0173789173789185,0.024230769230770832,3638902.6,42.857142857142854,37.14285714285715
2/20/2015,ASP,4.5,4.5,4.44,4.48,0.0,8830131,39539000,97864000,266483000.0,1125685000.0,4.464,4.45,4.4376923076923065,0.013789173789175102,0.019128205128206767,4384091.0,42.857142857142854,37.142857142857146
2/23/2015,ASP,4.46,4.52,4.46,4.48,0.0,4960702,22294000,103074000,258368000.0,1119583000.0,4.468,4.453333333333334,4.445384615384614,0.009487179487181585,0.01599715099715269,4609429.6,35.71428571428572,37.142857142857146
2/24/2015,ASP,4.48,4.5,4.46,4.48,0.0,4400291,19682000,109232000,264031000.0,1094893000.0,4.476000000000001,4.455000000000001,4.452307692307692,0.0044871794871808035,0.012903133903135532,4879807.8,35.71428571428572,38.57142857142858
2/25/2015,ASP,4.5,4.5,4.46,4.48,0.0,6830724,30525000,135299000,279920000.0,1100092000.0,4.48,4.460000000000002,4.457692307692307,0.0037321937321959098,0.00977492877493038,6045589.4,35.71428571428572,38.57142857142858
2/26/2015,ASP,4.48,4.48,4.32,4.38,-2.23,23411653,102365000,214405000,360381000.0,1176394000.0,4.46,4.455000000000001,4.459999999999999,-0.010612535612533947,0.004176638176639891,9686700.2,28.57142857142857,35.71428571428572
2/27/2015,ASP,4.36,4.44,4.34,4.4,0.46,11843733,52264000,227130000,401822000.0,1205339000.0,4.444,4.455000000000001,4.462307692307691,-0.01115384615384496,-0.0008119658119641216,10289420.6,35.71428571428572,34.28571428571429
3/2/2015,ASP,4.38,4.4,4.36,4.38,-0.45,9584810,41976000,246812000,420111000.0,1231853000.0,4.424,4.448333333333333,4.4592307692307696,-0.015541310541311582,-0.005817663817662755,11214242.2,28.57142857142857,32.857142857142854
3/3/2015,ASP,4.4,4.4,4.36,4.36,-0.46,9950605,43595000,270725000,433336000.0,1258047000.0,4.4,4.44,4.454615384615385,-0.01991452991453002,-0.01069800569800492,12324305.0,28.57142857142857,31.428571428571434
3/5/2015,ASP,4.38,4.4,4.34,4.38,0.46,9883453,43218000,283418000,453783000.0,1284515000.0,4.38,4.433333333333334,4.446923076923077,-0.0168376068376066,-0.014811965811965422,12934850.8,28.57142857142857,30.0
3/6/2015,ASP,4.38,4.4,4.36,4.4,0.46,9082013,39822000,220875000,476521000.0,1310322000.0,4.384,4.430000000000001,4.43846153846154,-0.010227920227920961,-0.014735042735042825,10068922.8,35.71428571428572,31.428571428571434
3/9/2015,ASP,4.16,4.18,4.12,4.16,-5.45,10790225,44834000,213445000,507831000.0,1329617000.0,4.336,4.405,4.422307692307693,-0.0355698005698013,-0.019618233618234095,9858221.2,35.71428571428572,31.428571428571434
3/10/2015,ASP,4.16,4.16,4.06,4.08,-1.92,13459735,55456000,226925000,558829000.0,1362496000.0,4.276000000000001,4.371666666666667,4.41,-0.058760683760683996,-0.028262108262108575,10633206.2,35.71428571428572,32.85714285714286
3/11/2015,ASP,4.06,4.1,4.02,4.1,0.49,8762077,35467000,218797000,571037000.0,1385606000.0,4.224000000000001,4.339999999999999,4.398461538461539,-0.07327635327635473,-0.03893447293447352,10395500.6,35.71428571428572,34.28571428571429
3/12/2015,ASP,4.1,4.2,4.06,4.18,1.95,8733476,36138000,211717000,567636000.0,1394726000.0,4.184,4.315,4.388461538461538,-0.07878917378917283,-0.051324786324786764,10165505.2,35.71428571428572,35.71428571428572
3/13/2015,ASP,4.2,4.2,4.1,4.12,-1.44,3575630,14808000,186703000,560150000.0,1335187000.0,4.128,4.284999999999999,4.376153846153846,-0.0975641025641032,-0.0687920227920232,9064228.6,35.71428571428572,35.71428571428572
3/16/2015,ASP,4.08,4.1,4.06,4.1,-0.49,5802236,23666000,165535000,564134000.0,1267412000.0,4.116,4.253333333333333,4.363076923076923,-0.11384615384615326,-0.0844472934472936,8066630.8,35.71428571428572,35.71428571428572
3/17/2015,ASP,4.1,4.12,4.04,4.04,-1.46,3708201,15120000,125199000,548729000.0,1213753000.0,4.108,4.2250000000000005,4.346923076923077,-0.127649572649573,-0.0982250712250714,6116324.0,35.71428571428572,35.71428571428572
3/18/2015,ASP,4.06,4.12,4.04,4.1,1.49,4189837,17129000,106861000,463493000.0,1179711000.0,4.108,4.2,4.334615384615384,-0.13262108262108185,-0.11009401709401682,5201876.0,42.857142857142854,37.14285714285715
3/19/2015,ASP,4.14,4.18,4.12,4.14,0.98,8429532,34916000,105639000,446145000.0,1186620000.0,4.1,4.180000000000001,4.323076923076924,-0.13566951566951513,-0.12147008547008528,5141087.2,50.0,40.00000000000001
3/20/2015,ASP,4.18,4.18,4.06,4.08,-1.45,4882830,19997000,110828000,424166000.0,1079541000.0,4.0920000000000005,4.156666666666667,4.310769230769231,-0.14880341880341863,-0.13171794871794837,5402527.2,42.857142857142854,41.42857142857143
3/23/2015,ASP,4.1,4.12,4.02,4.06,-0.49,5533325,22465000,109627000,403036000.0,1026105000.0,4.084,4.13,4.295384615384615,-0.15871794871794886,-0.1406923076923075,5348745.0,42.857142857142854,42.85714285714286
3/24/2015,ASP,4.06,4.06,3.92,3.98,-1.97,12702311,50443000,144950000,410261000.0,1032663000.0,4.072,4.095,4.276923076923078,-0.17762108262108356,-0.1506866096866096,7147567.0,42.857142857142854,44.28571428571429
3/25/2015,ASP,3.98,4.0,3.96,4.0,0.5,5318200,21186000,149007000,391625000.0,1023440000.0,4.052,4.081666666666666,4.259230769230769,-0.1709259259259266,-0.15834757834757857,7373239.6,42.857142857142854,44.28571428571429
3/26/2015,ASP,3.96,4.0,3.94,3.96,-1.0,5446360,21618000,135709000,368409000.0,1031039000.0,4.016,4.071666666666666,4.240769230769231,-0.16548433048433075,-0.16431054131054168,6776605.2,35.71428571428572,41.42857142857143
3/27/2015,ASP,3.94,3.94,3.88,3.9,-1.52,7008595,27319000,143031000,340272000.0,1043722000.0,3.9799999999999995,4.055,4.219230769230769,-0.16443019943020065,-0.1674358974358981,7201758.2,35.71428571428572,40.0
3/30/2015,ASP,3.9,3.9,3.82,3.82,-2.05,6064770,23355000,143921000,328160000.0,1045173000.0,3.932,4.0249999999999995,4.193846153846154,-0.17269230769230814,-0.17023076923076993,7308047.2,35.71428571428572,38.57142857142858
4/1/2015,ASP,3.86,3.9,3.84,3.88,0.52,6189700,23923000,117401000,315945000.0,1058273000.0,3.912,4.005,4.17076923076923,-0.16346153846153832,-0.1673988603988609,6005525.0,35.71428571428572,37.14285714285715
4/2/2015,ASP,3.88,3.94,3.88,3.92,1.03,5575100,21883000,118098000,323020000.0,1056469000.0,3.8959999999999995,3.99,4.149230769230769,-0.15301994301994215,-0.163817663817664,6056905.0,35.71428571428572,35.71428571428572
4/3/2015,ASP,3.94,3.94,3.88,3.92,0.0,2776729,10859000,107339000,310213000.0,1036958000.0,3.8879999999999995,3.9800000000000004,4.127692307692308,-0.1415384615384614,-0.15902849002849012,5522978.8,35.71428571428572,35.71428571428572
4/7/2015,ASP,3.94,3.94,3.9,3.92,0.0,6402950,25111000,105131000,320204000.0,1039298000.0,3.8920000000000003,3.9650000000000003,4.1061538461538465,-0.13428774928774878,-0.15299999999999975,5401849.8,35.71428571428572,35.71428571428572
4/8/2015,ASP,3.94,3.96,3.9,3.9,-0.51,6037030,23683000,105459000,326758000.0,1045897000.0,3.908,3.9450000000000003,4.087692307692308,-0.13571225071225035,-0.1456039886039882,5396301.8,35.71428571428572,35.71428571428572
4/9/2015,ASP,3.92,3.94,3.9,3.94,1.03,1706503,6677000,88213000,298519000.0,1039050000.0,3.9200000000000004,3.933333333333333,4.07,-0.12601139601139666,-0.13811396011395988,4499662.4,35.71428571428572,35.71428571428572
4/10/2015,ASP,3.94,3.96,3.9,3.96,0.51,3781401,14870000,81200000,293392000.0,1049462000.0,3.928,3.9250000000000003,4.053846153846154,-0.11650997150997089,-0.1308119658119656,4140922.6,35.71428571428572,35.71428571428572
4/16/2015,ASP,3.98,4.02,3.96,3.98,0.51,9461310,37778000,108119000,308705000.0,1063981000.0,3.94,3.9249999999999994,4.039230769230769,-0.10138176638176599,-0.12278062678062654,5477838.8,42.857142857142854,37.14285714285715
4/17/2015,ASP,4.0,4.04,3.96,4.04,1.51,6635170,26690000,109698000,284952000.0,1051132000.0,3.964,3.928333333333333,4.026153846153846,-0.081666666666667,-0.11225641025641017,5524282.8,50.0,40.00000000000001
4/20/2015,ASP,4.08,4.1,4.02,4.08,0.99,4670823,19015000,105030000,282781000.0,1047853000.0,4.0,3.9383333333333326,4.013846153846154,-0.058618233618233706,-0.09683760683760685,5251041.4,57.14285714285714,44.28571428571429
4/21/2015,ASP,4.08,4.1,4.08,4.1,0.49,5795510,23722000,122075000,284885000.0,1051893000.0,4.032000000000001,3.955,4.0115384615384615,-0.04078347578347552,-0.07979202279202262,6068842.8,57.14285714285714,48.57142857142857
4/22/2015,ASP,4.1,4.1,4.04,4.04,-1.46,2716908,11037000,118242000,268603000.0,1032405000.0,4.048,3.973333333333333,4.01,-0.02863247863247853,-0.06221652421652415,5855944.2,57.14285714285714,52.857142857142854
4/23/2015,ASP,4.02,4.08,4.02,4.04,0.0,669050,2710000,83174000,247958000.0,932750000.0,4.0600000000000005,3.986666666666667,4.0076923076923086,-0.015213675213676225,-0.0449829059829062,4097492.2,57.14285714285714,55.71428571428571
4/24/2015,ASP,4.06,4.08,3.98,4.04,0.0,2825919,11391000,67875000,235426000.0,891877000.0,4.06,3.9966666666666666,4.002307692307693,-0.0017663817663828851,-0.029002849002849374,3335642.0,57.14285714285714,57.14285714285713
4/27/2015,ASP,4.04,4.06,4.0,4.04,0.0,1245200,5013000,53873000,218556000.0,854914000.0,4.052,4.006666666666667,3.9992307692307705,0.009544159544158326,-0.015370370370370968,2650517.4,50.0,55.71428571428571
4/28/2015,ASP,4.02,4.02,3.96,3.98,-1.49,3647314,14538000,44689000,222235000.0,825857000.0,4.0280000000000005,4.011666666666666,3.994615384615386,0.013262108262106498,-0.004561253561254563,2220878.2,42.857142857142854,52.857142857142854
4/29/2015,ASP,3.96,4.0,3.96,4.0,0.5,2612702,10397000,44049000,207521000.0,793036000.0,4.0200000000000005,4.02,3.9930769230769245,0.023333333333331208,0.005831908831907384,2200037.0,50.0,51.42857142857142
4/30/2015,ASP,4.0,4.0,3.94,3.94,-1.5,5478900,21747000,63086000,205585000.0,774961000.0,4.000000000000001,4.02,3.9869230769230777,0.024245014245013685,0.013723646723645367,3162007.0,50.0,50.0
5/6/2015,ASP,3.96,3.98,3.94,3.96,0.51,3405520,13467000,65162000,212375000.0,743594000.0,3.9839999999999995,4.02,3.980000000000001,0.032250712250710745,0.02052706552706409,3277927.2,57.14285714285714,50.0
5/7/2015,ASP,3.98,3.98,3.92,3.94,-0.51,8612501,33893000,94042000,231398000.0,722031000.0,3.964,4.016666666666667,3.974615384615385,0.03282051282051235,0.025182336182334897,4751387.4,50.0,50.0
5/8/2015,ASP,3.94,3.98,3.92,3.96,0.51,3982502,15779000,95283000,209399000.0,702343000.0,3.9599999999999995,4.009999999999999,3.970769230769231,0.03233618233618074,0.028997150997149744,4818425.0,50.0,51.42857142857142
5/11/2015,ASP,3.98,4.02,3.96,4.0,1.01,1968734,7876000,92762000,190585000.0,674081000.0,3.96,4.003333333333333,3.971538461538461,0.029173789173789988,0.030165242165241503,4689631.4,50.0,51.42857142857142
5/12/2015,ASP,4.0,4.0,3.94,3.96,-1.0,5439297,21594000,92609000,193164000.0,680867000.0,3.964,3.9916666666666667,3.9699999999999993,0.017535612535612977,0.02882336182336136,4681710.8,42.857142857142854,50.0
5/13/2015,ASP,3.98,4.0,3.96,4.0,1.01,2125441,8460000,87602000,177902000.0,665661000.0,3.972,3.9883333333333337,3.9715384615384606,0.016481481481482874,0.025669515669515787,4425695.0,42.857142857142854,47.142857142857146
5/14/2015,ASP,4.0,4.0,3.94,3.98,-0.5,5905561,23436000,77145000,190301000.0,673977000.0,3.9799999999999995,3.983333333333334,3.9746153846153836,0.00780626780626914,0.020666666666667145,3884307.0,35.71428571428572,44.28571428571429
