Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,Money5
3/13/2018,B-W3,0.01,0.01,0.01,0.01,0.0,1230000,12300,12300,12300.0,12300.0,12300.0
3/14/2018,B-W3,0.01,0.01,0.01,0.01,0.0,3154000,31540,43840,43840.0,43840.0,21920.0
3/20/2018,B-W3,0.01,0.01,0.01,0.01,0.0,3247600,32480,64020,76320.0,76320.0,25440.0
3/27/2018,B-W3,0.01,0.01,0.01,0.01,0.0,740000,7400,7400,83720.0,83720.0,20930.0
3/29/2018,B-W3,0.01,0.01,0.01,0.01,0.0,1430010,14300,21700,98020.0,98020.0,19604.0
4/19/2018,B-W3,0.01,0.01,0.01,0.01,0.0,1509000,15090,15090,29390.0,113110.0,20162.0
6/26/2018,B-W3,0.01,0.01,0.01,0.01,0.0,700000,7000,7000,7000.0,7000.0,15254.0
7/13/2018,B-W3,0.01,0.01,0.01,0.01,0.0,1000500,10000,10000,10000.0,17000.0,10758.0
7/18/2018,B-W3,0.01,0.01,0.01,0.01,0.0,5000000,50000,60000,60000.0,67000.0,19278.0
7/23/2018,B-W3,0.01,0.01,0.01,0.01,0.0,339020,3390,53390,63390.0,70390.0,17096.0
9/6/2018,B-W3,0.01,0.01,0.01,0.01,0.0,10000000,100000,100000,100000.0,153390.0,34078.0
9/10/2018,B-W3,0.01,0.01,0.01,0.01,0.0,206600,2070,102070,102070.0,105460.0,33092.0
9/19/2018,B-W3,0.01,0.01,0.01,0.01,0.0,117600,1180,1180,103250.0,103250.0,31328.0
10/5/2018,B-W3,,,,,0.0,66225700,662260,662260,663440.0,765510.0,153780.0
2/6/2019,B-W3,0.01,0.01,0.01,0.01,0.0,9610000,96100,96100,96100.0,96100.0,172322.0
2/7/2019,B-W3,0.01,0.01,0.01,0.01,0.0,2258040,22580,118680,118680.0,118680.0,156838.0
3/1/2019,B-W3,0.01,0.01,0.01,0.01,0.0,100133,1000,1000,1000.0,119680.0,156624.0
3/5/2019,B-W3,0.01,0.01,0.01,0.01,0.0,100000,1000,2000,2000.0,120680.0,156588.0
7/12/2019,B-W3,0.01,0.01,0.01,0.01,0.0,1500000,15000,15000,15000.0,15000.0,27136.0
7/19/2019,B-W3,0.01,0.01,0.01,0.01,0.0,200000,2000,17000,17000.0,17000.0,8316.0
7/24/2019,B-W3,0.01,0.01,0.01,0.01,0.0,100000,1000,3000,18000.0,18000.0,4000.0
