Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
2/28/2018,B-WORK,10.9,11.0,10.2,10.6,6.0,28485900,306128270,306128270,306128270.0,306128270.0,10.6,,,,,28485900.0,,,306128270.0,0.0
3/2/2018,B-WORK,10.6,10.6,10.5,10.5,-0.94,3003701,31545950,337674220,337674220.0,337674220.0,10.55,,,,,15744800.5,,,168837110.0,0.0
3/5/2018,B-WORK,10.5,10.7,10.3,10.5,0.0,2215207,23116430,360790650,360790650.0,360790650.0,10.533333333333333,,,,,11234936.0,,,120263550.0,0.0
3/6/2018,B-WORK,10.5,10.5,10.4,10.4,-0.95,789230,8211500,369002150,369002150.0,369002150.0,10.5,,,,,8623509.5,,,92250537.5,0.0
3/7/2018,B-WORK,10.4,10.5,10.4,10.4,0.0,4283400,44718270,413720420,413720420.0,413720420.0,10.48,,,,,7755487.6,,,82744084.0,0.0
3/8/2018,B-WORK,10.4,10.5,10.4,10.4,0.0,960000,10001320,117593470,423721740.0,423721740.0,10.44,,,,,2250307.6,,,23518694.0,0.0
3/9/2018,B-WORK,10.5,10.5,10.4,10.4,0.0,731863,7632930,93680450,431354670.0,431354670.0,10.419999999999998,,,,,1795940.0,,,18736090.0,0.0
3/13/2018,B-WORK,10.4,10.5,10.4,10.4,-0.95,144703,1515920,72079940,432870590.0,432870590.0,10.4,,,,,1381839.2,,,14415988.0,0.0
3/14/2018,B-WORK,10.4,10.5,10.4,10.4,0.0,295100,3069850,66938290,435940440.0,435940440.0,10.4,,,,,1283013.2,,,13387658.0,0.0
3/15/2018,B-WORK,10.4,10.5,10.4,10.5,0.96,1027700,10787730,33007750,446728170.0,446728170.0,10.42,,,,,631873.2,,,6601550.0,0.0
3/16/2018,B-WORK,10.5,10.6,10.5,10.5,0.0,471100,4967710,27974140,451695880.0,451695880.0,10.44,,,,,534093.2,,,5594828.0,0.0
3/19/2018,B-WORK,10.6,10.6,10.5,10.5,0.0,283700,3004020,23345230,454699900.0,454699900.0,10.46,10.458333333333334,,,,444460.6,,,4669046.0,0.0
3/20/2018,B-WORK,10.5,10.6,10.5,10.5,0.0,226210,2391980,24221290,457091880.0,457091880.0,10.48,10.45,,,,460762.0,,,4844258.0,0.0
3/21/2018,B-WORK,10.6,10.6,10.5,10.6,0.95,1039700,10917770,32069210,161881380.0,468009650.0,10.52,10.458333333333332,,,,609682.0,21.42857142857143,21.42857142857143,6413842.0,0.0
3/22/2018,B-WORK,10.6,10.6,10.5,10.5,-0.94,807100,8494670,29776150,138830100.0,476504320.0,10.52,10.458333333333334,,,,565562.0,14.285714285714292,17.857142857142858,5955230.0,0.0
3/23/2018,B-WORK,10.4,10.5,10.4,10.5,0.0,492400,5167500,29975940,120881170.0,481671820.0,10.52,10.466666666666667,,,,569822.0,14.285714285714292,16.66666666666667,5995188.0,0.0
3/26/2018,B-WORK,10.5,10.5,10.4,10.5,0.0,140400,1474180,28446100,114143850.0,483146000.0,10.52,10.475,,,,541162.0,14.285714285714292,16.071428571428573,5689220.0,0.0
3/27/2018,B-WORK,10.5,10.5,10.4,10.4,-0.95,125600,1317800,27371920,70743380.0,484463800.0,10.5,10.475,,,,521040.0,14.285714285714292,15.714285714285722,5474384.0,0.0
3/28/2018,B-WORK,10.4,10.5,10.4,10.5,0.96,23000,240310,16694460,60982370.0,484704110.0,10.48,10.483333333333333,,,,317700.0,21.42857142857143,15.714285714285722,3338892.0,0.0
3/29/2018,B-WORK,10.4,10.5,10.4,10.5,0.0,869000,9124230,17324020,62473670.0,493828340.0,10.48,10.491666666666667,,,,330080.0,21.42857142857143,17.142857142857142,3464804.0,0.0
3/30/2018,B-WORK,10.5,10.5,10.4,10.4,-0.95,165900,1730650,13887170,62688400.0,495558990.0,10.46,10.491666666666667,,,,264780.0,21.42857142857143,18.571428571428573,2777434.0,0.0
4/2/2018,B-WORK,10.4,10.5,10.4,10.5,0.96,216200,2248590,14661580,61867140.0,497807580.0,10.46,10.491666666666667,,,,279940.0,28.57142857142857,21.42857142857143,2932316.0,0.0
4/4/2018,B-WORK,10.5,10.6,10.4,10.5,0.0,3240300,34168320,47512100,85247730.0,531975900.0,10.48,10.491666666666667,,,,902880.0,28.57142857142857,24.285714285714285,9502420.0,0.0
4/5/2018,B-WORK,10.4,10.5,10.4,10.5,0.0,176700,1846130,49117920,82126150.0,533822030.0,10.48,10.491666666666667,,,,933620.0,21.42857142857143,24.285714285714285,9823584.0,0.0
4/9/2018,B-WORK,10.5,10.5,10.4,10.5,0.0,83000,869860,40863550,79991990.0,534691890.0,10.48,10.491666666666667,,,,776420.0,21.42857142857143,24.285714285714285,8172710.0,0.0
4/10/2018,B-WORK,10.5,10.5,10.4,10.5,0.0,241300,2523600,41656500,80123610.0,537215490.0,10.5,10.483333333333333,10.476923076923075,0.0072649572649581265,0.0072649572649581265,791500.0,21.42857142857143,24.285714285714285,8331300.0,0.0
