Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
3/13/2018,B,0.88,0.88,0.85,0.86,-1.15,4024775,3478430,3478430,3478430.0,3478430.0,0.86,,,,,4024775.0,,,3478430.0,0.0
3/14/2018,B,0.85,0.85,0.82,0.84,-2.33,9185936,7653670,11132100,11132100.0,11132100.0,0.85,,,,,6605355.5,,,5566050.0,0.0
3/15/2018,B,0.83,0.85,0.82,0.84,0.0,2601283,2162670,13294770,13294770.0,13294770.0,0.8466666666666667,,,,,5270664.666666667,,,4431590.0,0.0
3/16/2018,B,0.84,0.84,0.83,0.83,-1.19,1705892,1420590,14715360,14715360.0,14715360.0,0.8425,,,,,4379471.5,,,3678840.0,0.0
3/19/2018,B,0.83,0.89,0.83,0.86,3.61,4533735,3875860,18591220,18591220.0,18591220.0,0.8460000000000001,,,,,4410324.2,,,3718244.0,0.0
3/20/2018,B,0.87,0.92,0.86,0.89,3.49,8594300,7732000,22844790,26323220.0,26323220.0,0.852,,,,,5324229.2,,,4568958.0,0.0
3/21/2018,B,0.89,0.94,0.89,0.89,0.0,12904936,11764900,26956020,38088120.0,38088120.0,0.8619999999999999,,,,,6068029.2,,,5391204.0,0.0
3/22/2018,B,0.9,0.92,0.88,0.92,3.37,1823966,1642570,26435920,39730690.0,39730690.0,0.8780000000000001,,,,,5912565.8,,,5287184.0,0.0
3/23/2018,B,0.9,0.9,0.89,0.89,-3.26,1018553,910630,25925960,40641320.0,40641320.0,0.89,,,,,5775098.0,,,5185192.0,0.0
3/26/2018,B,0.9,0.9,0.89,0.89,0.0,478301,428260,22478360,41069580.0,41069580.0,0.8960000000000001,,,,,4964011.2,,,4495672.0,0.0
3/27/2018,B,0.89,0.91,0.89,0.9,1.12,1679400,1520450,16266810,42590030.0,42590030.0,0.898,,,,,3581031.2,,,3253362.0,0.0
3/28/2018,B,0.9,0.9,0.88,0.88,-2.22,1129433,1012390,5514300,43602420.0,43602420.0,0.8960000000000001,0.8741666666666666,,,,1225930.6,,,1102860.0,0.0
3/29/2018,B,0.89,0.89,0.88,0.88,0.0,737783,653330,4525060,44255750.0,44255750.0,0.8880000000000001,0.8758333333333334,,,,1008694.0,,,905012.0,0.0
3/30/2018,B,0.88,0.9,0.88,0.89,1.14,1582300,1412790,5027220,42190110.0,45668540.0,0.8879999999999999,0.88,,,,1121443.4,35.714285714285715,35.714285714285715,1005444.0,0.0
4/2/2018,B,0.89,0.89,0.88,0.88,-1.12,696500,617580,5216540,35154020.0,46286120.0,0.8860000000000001,0.8833333333333334,,,,1165083.2,35.714285714285715,35.714285714285715,1043308.0,0.0
4/4/2018,B,0.89,0.89,0.85,0.86,-1.15,2362408,2029860,5725950,35021210.0,48315980.0,0.8779999999999999,0.8858333333333334,,,,1301684.8,35.714285714285715,35.714285714285715,1145190.0,0.0
4/5/2018,B,0.86,0.87,0.85,0.86,0.0,291700,249870,4963430,33850490.0,48565850.0,0.8740000000000001,0.8858333333333334,,,,1134138.2,35.714285714285715,35.714285714285715,992686.0,0.0
4/9/2018,B,0.86,0.87,0.85,0.85,-1.16,145217,124490,4434590,30099120.0,48690340.0,0.868,0.8824999999999998,,,,1015625.0,35.714285714285715,35.714285714285715,886918.0,0.0
4/10/2018,B,0.87,0.87,0.85,0.85,0.0,831833,708380,3730180,23075500.0,49398720.0,0.86,0.8791666666666665,,,,865531.6,28.57142857142857,34.285714285714285,746036.0,0.0
4/11/2018,B,0.86,0.86,0.85,0.85,0.0,550671,471780,3584380,11782380.0,49870500.0,0.8539999999999999,0.8733333333333334,,,,836365.8,21.42857142857143,31.428571428571434,716876.0,0.0
4/12/2018,B,0.86,0.86,0.85,0.85,0.0,312316,266710,1821230,10406520.0,50137210.0,0.852,0.87,,,,426347.4,21.42857142857143,28.571428571428577,364246.0,0.0
4/17/2018,B,0.85,0.86,0.85,0.85,0.0,449167,385390,1956750,9881280.0,50522600.0,0.85,0.8666666666666667,,,,457840.8,14.285714285714292,24.28571428571429,391350.0,0.0
4/18/2018,B,0.86,0.87,0.85,0.85,0.0,911833,781880,2614140,10234900.0,51304480.0,0.85,0.8624999999999998,,,,611164.0,14.285714285714292,20.000000000000004,522828.0,0.0
4/19/2018,B,0.85,0.88,0.85,0.87,2.35,1312534,1134800,3040560,9849250.0,52439280.0,0.8539999999999999,0.8616666666666665,,,,707304.2,21.42857142857143,18.571428571428573,608112.0,0.0
4/20/2018,B,0.87,0.87,0.86,0.86,-1.15,801502,692770,3261550,9529630.0,53132050.0,0.8560000000000001,0.8599999999999998,,,,757470.4,14.285714285714292,17.142857142857142,652310.0,0.0
4/23/2018,B,0.87,0.88,0.85,0.88,2.33,974501,847070,3841910,9723370.0,53979120.0,0.8619999999999999,0.8591666666666665,0.8680769230769234,-0.006588319088319361,-0.006588319088319361,889907.4,21.42857142857143,17.142857142857142,768382.0,0.0
4/24/2018,B,0.89,0.89,0.87,0.87,-1.14,1228001,1078460,4534980,9389040.0,55057580.0,0.866,0.8583333333333333,0.8684615384615386,-0.008447293447293558,-0.0075178062678064594,1045674.2,21.42857142857143,18.571428571428573,906996.0,0.0
4/25/2018,B,0.88,0.88,0.85,0.85,-2.3,1615545,1388420,5141520,10159880.0,56446000.0,0.866,0.8574999999999999,0.8688461538461539,-0.011103988603988868,-0.008713200379867262,1186416.6,14.285714285714292,18.571428571428573,1028304.0,0.0
4/26/2018,B,0.86,0.86,0.85,0.86,1.18,198867,169520,4176240,8299540.0,56615520.0,0.8640000000000001,0.8574999999999999,0.8696153846153847,-0.01101851851851865,-0.009289529914530107,963683.2,21.42857142857143,18.571428571428573,835248.0,0.0
4/27/2018,B,0.86,0.88,0.85,0.87,1.16,1173501,1016140,4499610,9065810.0,57631660.0,0.866,0.8591666666666665,0.8711538461538463,-0.010235042735042943,-0.009478632478632676,1038083.0,28.57142857142857,21.42857142857143,899922.0,0.0
4/30/2018,B,0.88,0.88,0.85,0.85,-2.3,917233,783480,4436020,9724800.0,58415140.0,0.86,0.8591666666666665,0.8707692307692307,-0.011474358974359113,-0.010455840455840628,1026629.4,28.57142857142857,22.857142857142854,887204.0,0.0
