Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
10/18/2018,BGC,12.5,12.9,11.2,11.8,15.69,364274469,4479035330,4479035330,4479035330.0,4479035330.0,11.8,,,,,364274469.0,,,4479035330.0,0.0
10/19/2018,BGC,11.8,12.3,11.6,12.3,4.24,76669817,919081260,5398116590,5398116590.0,5398116590.0,12.05,,,,,220472143.0,,,2699058295.0,0.0
10/22/2018,BGC,12.3,12.7,12.0,12.0,-2.44,74775043,923149820,6321266410,6321266410.0,6321266410.0,12.033333333333333,,,,,171906443.0,,,2107088803.3333333,0.0
10/24/2018,BGC,11.9,12.2,11.7,11.8,-1.67,35861030,428578710,6749845120,6749845120.0,6749845120.0,11.975,,,,,137895089.75,,,1687461280.0,0.0
10/25/2018,BGC,11.7,12.5,11.6,12.5,5.93,44430540,538088560,7287933680,7287933680.0,7287933680.0,12.080000000000002,,,,,119202179.8,,,1457586736.0,0.0
10/29/2018,BGC,12.4,12.6,12.3,12.6,3.28,23652011,293883980,3102782330,7581817660.0,7581817660.0,12.24,,,,,51077688.2,,,620556466.0,0.0
10/30/2018,BGC,12.7,13.3,12.7,13.3,5.56,78923658,1022580430,3206281500,8604398090.0,8604398090.0,12.44,,,,,51528456.4,,,641256300.0,0.0
10/31/2018,BGC,13.4,13.6,12.9,13.0,-2.26,62133311,825218770,3108350450,9429616860.0,9429616860.0,12.64,,,,,49000110.0,,,621670090.0,0.0
11/1/2018,BGC,12.9,13.3,12.7,13.1,0.77,42718583,555389450,3235161190,9985006310.0,9985006310.0,12.9,,,,,50371620.6,,,647032238.0,0.0
11/2/2018,BGC,13.1,13.5,12.9,13.0,-0.76,48124256,636405950,3333478580,10621412260.0,10621412260.0,13.0,,,,,51110363.8,,,666695716.0,0.0
11/5/2018,BGC,12.9,13.0,12.8,12.9,-0.77,8190570,105664680,3145259280,10727076940.0,10727076940.0,13.06,,,,,48018075.6,,,629051856.0,0.0
11/6/2018,BGC,12.9,13.2,12.9,13.0,0.78,19170605,250248170,2372927020,10977325110.0,10977325110.0,13.0,12.608333333333333,,,,36067465.0,,,474585404.0,0.0
11/7/2018,BGC,13.1,13.1,12.3,12.4,-4.62,24242717,304167980,1851876230,11281493090.0,11281493090.0,12.88,12.658333333333333,,,,28489346.2,,,370375246.0,0.0
11/8/2018,BGC,12.5,12.6,11.8,11.8,-4.84,19962035,242599990,1539086770,7045057750.0,11524093080.0,12.62,12.616666666666667,,,,23938036.6,50.0,50.0,307817354.0,0.0
11/9/2018,BGC,11.8,12.3,11.8,12.1,2.54,8703329,105048010,1007728830,6231024500.0,11629141090.0,12.44,12.625,,,,16053851.2,50.0,50.0,201545766.0,0.0
11/12/2018,BGC,12.1,12.3,11.8,11.9,-1.65,6559418,78721270,980785420,5386595950.0,11707862360.0,12.24,12.633333333333335,,,,15727620.8,42.857142857142854,47.61904761904761,196157084.0,0.0
11/13/2018,BGC,11.8,12.1,11.8,11.9,0.0,3002616,35896140,766433390,4993913380.0,11743758500.0,12.02,12.583333333333336,,,,12494023.0,42.857142857142854,46.42857142857143,153286678.0,0.0
