Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
7/19/2017,BGRIM,17.0,17.2,16.5,16.9,5.62,254965338,4307418170,4307418170,4307418170.0,4307418170.0,16.9,,,,,254965338.0,,,4307418170.0,0.0
7/20/2017,BGRIM,16.9,18.3,16.8,18.0,6.51,204816889,3623558180,7930976350,7930976350.0,7930976350.0,17.45,,,,,229891113.5,,,3965488175.0,0.0
7/21/2017,BGRIM,18.0,19.0,17.9,18.9,5.0,206460657,3821360450,11752336800,11752336800.0,11752336800.0,17.933333333333334,,,,,222080961.3333333,,,3917445600.0,0.0
7/24/2017,BGRIM,19.2,19.4,18.5,18.7,-1.06,131820186,2500959800,14253296600,14253296600.0,14253296600.0,18.125,,,,,199515767.5,,,3563324150.0,0.0
7/25/2017,BGRIM,18.8,18.8,18.1,18.2,-2.67,64792642,1187481090,15440777690,15440777690.0,15440777690.0,18.14,,,,,172571142.4,,,3088155538.0,0.0
7/26/2017,BGRIM,18.3,18.9,18.2,18.8,3.3,76505636,1419921430,12553280950,16860699120.0,16860699120.0,18.52,,,,,136879202.0,,,2510656190.0,0.0
7/27/2017,BGRIM,18.6,18.7,18.1,18.3,-2.66,38032236,698864850,9628587620,17559563970.0,17559563970.0,18.58,,,,,103522271.4,,,1925717524.0,0.0
7/31/2017,BGRIM,18.3,18.4,18.0,18.3,0.0,29828022,542257640,6349484810,18101821610.0,18101821610.0,18.46,,,,,68195744.4,,,1269896962.0,0.0
8/2/2017,BGRIM,18.2,18.6,18.1,18.3,0.55,33374076,612940850,4461465860,18714762460.0,18714762460.0,18.38,,,,,48506522.4,,,892293172.0,0.0
8/4/2017,BGRIM,18.1,18.4,18.0,18.1,0.0,19060199,346630180,3620614950,19061392640.0,19061392640.0,18.360000000000007,,,,,39360033.8,,,724122990.0,0.0
8/7/2017,BGRIM,18.2,18.2,17.4,17.4,-3.87,47306536,837461280,3038154800,19898853920.0,19898853920.0,18.08,,,,,33520213.8,,,607630960.0,0.0
