Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
3/3/2015,BIG,3.98,4.3,1.9,2.24,-55.2,1071621575,3254435000,3254435000,3254435000.0,3254435000.0,2.24,,,,,1071621575.0,,,3254435000.0,0.0
3/5/2015,BIG,2.1,2.34,1.65,1.78,-20.54,477996355,933454000,4187889000,4187889000.0,4187889000.0,2.01,,,,,774808965.0,,,2093944500.0,0.0
3/6/2015,BIG,1.83,1.93,1.73,1.74,-2.25,293424069,536526000,4724415000,4724415000.0,4724415000.0,1.92,,,,,614347333.0,,,1574805000.0,0.0
3/9/2015,BIG,1.73,1.8,1.7,1.72,-1.15,130947931,228680000,4953095000,4953095000.0,4953095000.0,1.87,,,,,493497482.5,,,1238273750.0,0.0
3/10/2015,BIG,1.75,1.96,1.72,1.87,8.72,562846012,1050233000,6003328000,6003328000.0,6003328000.0,1.8700000000000003,,,,,507367188.4,,,1200665600.0,0.0
3/11/2015,BIG,1.9,1.92,1.77,1.77,-5.35,177026874,328432000,3077325000,6331760000.0,6331760000.0,1.7760000000000002,,,,,328448248.2,,,615465000.0,0.0
3/12/2015,BIG,1.76,1.76,1.64,1.64,-7.34,64276592,110169000,2254040000,6441929000.0,6441929000.0,1.7480000000000002,,,,,245704295.6,,,450808000.0,0.0
3/13/2015,BIG,1.67,1.69,1.5,1.5,-8.54,45788317,73398000,1790912000,6515327000.0,6515327000.0,1.7,,,,,196177145.2,,,358182400.0,0.0
3/16/2015,BIG,1.43,1.43,1.21,1.26,-16.0,16533600,21725000,1583957000,6537052000.0,6537052000.0,1.608,,,,,173294279.0,,,316791400.0,0.0
3/17/2015,BIG,1.27,1.3,1.08,1.1,-12.7,18683600,22049000,555773000,6559101000.0,6559101000.0,1.454,,,,,64461796.6,,,111154600.0,0.0
3/18/2015,BIG,1.06,1.25,1.03,1.24,12.73,52122000,62093000,289434000,6621194000.0,6621194000.0,1.348,,,,,39480821.8,,,57886800.0,0.0
3/19/2015,BIG,1.22,1.25,1.06,1.12,-9.68,27971700,32366000,211631000,6653560000.0,6653560000.0,1.244,1.5816666666666668,,,,32219843.4,,,42326200.0,0.0
3/20/2015,BIG,1.12,1.18,1.07,1.14,1.79,25789300,28973000,167206000,6682533000.0,6682533000.0,1.1720000000000002,1.4900000000000002,,,,28220040.0,,,33441200.0,0.0
3/23/2015,BIG,1.13,1.17,1.08,1.08,-5.26,10568700,11904000,157385000,3440002000.0,6694437000.0,1.136,1.4316666666666666,,,,27027060.0,21.42857142857143,21.42857142857143,31477000.0,0.0
3/24/2015,BIG,1.08,1.1,0.97,1.02,-5.56,10122200,10297000,145633000,2516845000.0,6704734000.0,1.12,1.3716666666666668,,,,25314780.0,21.42857142857143,21.42857142857143,29126600.0,0.0
3/25/2015,BIG,1.02,1.06,1.0,1.02,0.0,11924900,12461000,96001000,1992780000.0,6717195000.0,1.0759999999999998,1.3133333333333332,,,,17275360.0,21.42857142857143,21.42857142857143,19200200.0,0.0
3/26/2015,BIG,1.01,1.06,0.99,1.0,-1.96,12664700,12990000,76625000,1777090000.0,6730185000.0,1.052,1.2408333333333332,,,,14213960.0,21.42857142857143,21.42857142857143,15325000.0,0.0
3/27/2015,BIG,1.0,1.01,0.96,1.0,0.0,6484400,6350000,54002000,733207000.0,6736535000.0,1.024,1.1766666666666663,,,,10352980.0,21.42857142857143,21.42857142857143,10800400.0,0.0
3/30/2015,BIG,1.0,1.02,0.99,1.01,1.0,4747200,4782000,46880000,409557000.0,6741317000.0,1.01,1.1241666666666663,,,,9188680.0,21.42857142857143,21.42857142857143,9376000.0,0.0
4/1/2015,BIG,1.0,1.08,1.0,1.06,4.95,28391600,29662000,66245000,329050000.0,6770979000.0,1.018,1.0875,,,,12842560.0,28.57142857142857,22.857142857142854,13249000.0,0.0
4/2/2015,BIG,1.05,1.05,1.02,1.04,-1.89,10900300,11256000,65040000,266908000.0,6782235000.0,1.022,1.0691666666666666,,,,12637640.0,28.57142857142857,24.285714285714285,13008000.0,0.0
4/3/2015,BIG,1.04,1.16,1.03,1.15,10.58,86946300,95602000,147652000,340785000.0,6877837000.0,1.052,1.0733333333333337,,,,27493960.0,35.714285714285715,27.142857142857146,29530400.0,0.0
4/7/2015,BIG,1.13,1.14,1.09,1.11,-3.48,18320500,20388000,161690000,339124000.0,6898225000.0,1.074,1.0624999999999998,,,,29861180.0,35.714285714285715,30.0,32338000.0,0.0
4/8/2015,BIG,1.11,1.12,1.05,1.07,-3.6,9999712,10700000,167608000,287731000.0,6908925000.0,1.0859999999999999,1.0583333333333331,,,,30911682.4,35.714285714285715,32.85714285714286,33521600.0,0.0
4/9/2015,BIG,1.07,1.11,1.05,1.09,1.87,5034501,5453000,143399000,260818000.0,6914378000.0,1.092,1.0541666666666667,,,,26240262.6,35.714285714285715,34.285714285714285,28679800.0,0.0
4/10/2015,BIG,1.08,1.1,1.06,1.09,0.0,2504501,2705000,134848000,234550000.0,6917083000.0,1.102,1.055,1.3023076923076926,-0.2261965811965813,-0.2261965811965813,24561102.8,35.714285714285715,35.714285714285715,26969600.0,0.0
4/16/2015,BIG,1.1,1.15,1.07,1.12,2.75,11167900,12516000,51762000,235162000.0,6929599000.0,1.0959999999999999,1.0633333333333332,1.259230769230769,-0.17686609686609667,-0.20153133903133905,9405422.8,35.714285714285715,35.714285714285715,10352400.0,2.0
4/17/2015,BIG,1.13,1.14,1.11,1.11,-0.89,7799200,8761000,40135000,233626000.0,6938360000.0,1.0959999999999999,1.070833333333333,1.2334615384615384,-0.1474572649572652,-0.1835066476733144,7301162.8,35.714285714285715,35.714285714285715,8027000.0,2.0
4/20/2015,BIG,1.11,1.14,1.09,1.12,0.9,7466400,8323000,37758000,229488000.0,6946683000.0,1.1059999999999999,1.0808333333333335,1.2096153846153843,-0.11611823361823335,-0.16665954415954415,6794500.4,42.857142857142854,37.142857142857146,7551600.0,2.0
