Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,BROCK,2.28,2.28,2.26,2.26,0.89,38500,88000,3187000,12947000.0,77650000.0,2.26,,,,,38500.0,,
1/6/2015,BROCK,2.3,2.34,2.26,2.3,1.77,407000,939000,2473000,10502000.0,76465000.0,2.28,,,,,222750.0,,
1/7/2015,BROCK,2.2,2.3,2.2,2.24,-2.61,564633,1259000,2464000,11515000.0,75614000.0,2.2666666666666666,,,,,336711.0,,
1/8/2015,BROCK,2.28,2.28,2.24,2.26,0.89,277500,630000,3094000,11988000.0,74547000.0,2.2649999999999997,,,,,321908.25,,
1/9/2015,BROCK,2.26,2.72,2.26,2.7,19.47,10176177,26054000,28970000,37780000.0,99891000.0,2.3519999999999994,,,,,2292762.0,,
1/12/2015,BROCK,3.0,3.4,2.7,2.74,1.48,39757704,122333000,151215000,158204000.0,217742000.0,2.448,,,,,10236602.8,,
1/13/2015,BROCK,2.78,2.84,2.56,2.64,-3.65,7739974,21280000,171556000,179289000.0,237812000.0,2.5160000000000005,,,,,11703197.6,,
1/14/2015,BROCK,2.62,2.64,2.44,2.44,-7.58,3216800,8093000,178390000,184662000.0,245608000.0,2.556,,,,,12233631.0,,
1/15/2015,BROCK,2.5,2.84,2.46,2.64,8.2,17710100,47979000,225739000,231754000.0,293380000.0,2.632,,,,,15720151.0,,
1/16/2015,BROCK,2.68,3.2,2.68,2.86,8.33,37946801,111560000,311245000,341661000.0,404457000.0,2.664,,,,,21274275.8,,
1/19/2015,BROCK,2.96,3.7,2.96,3.7,29.37,180817161,624925000,813837000,965318000.0,997774000.0,2.8560000000000003,,,,,49486167.2,,
1/20/2015,BROCK,4.12,4.8,3.78,3.96,7.03,96431782,422523000,1215080000,1387841000.0,1415307000.0,3.12,2.728333333333333,,,,67224528.8,,
1/21/2015,BROCK,3.5,3.74,3.0,3.3,-16.67,72334197,237485000,1444472000,1625148000.0,1651482000.0,3.2920000000000003,2.815,,,,81048008.2,,
