Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
7/12/2016,BSM-W2,0.16,0.24,0.16,0.22,0.0,386342017,77890380,77890380,77890380.0,77890380.0,0.22,,,,,386342017.0,,,77890380.0,0.0
7/13/2016,BSM-W2,0.23,0.26,0.15,0.17,-22.73,240580015,48899850,126790230,126790230.0,126790230.0,0.195,,,,,313461016.0,,,63395115.0,0.0
7/14/2016,BSM-W2,0.17,0.22,0.16,0.19,11.76,193540757,37394730,164184960,164184960.0,164184960.0,0.19333333333333336,,,,,273487596.3333333,,,54728320.0,0.0
7/15/2016,BSM-W2,0.2,0.2,0.17,0.18,-5.26,44207444,8197360,172382320,172382320.0,172382320.0,0.19,,,,,216167558.25,,,43095580.0,0.0
7/20/2016,BSM-W2,0.18,0.19,0.17,0.18,0.0,9564296,1722050,174104370,174104370.0,174104370.0,0.188,,,,,174846905.8,,,34820874.0,0.0
7/21/2016,BSM-W2,0.18,0.19,0.17,0.17,-5.56,12559976,2219950,98433940,176324320.0,176324320.0,0.17800000000000002,,,,,100090497.6,,,19686788.0,0.0
7/22/2016,BSM-W2,0.17,0.18,0.16,0.16,-5.88,29418600,4967030,54501120,181291350.0,181291350.0,0.17600000000000002,,,,,57858214.6,,,10900224.0,0.0
7/25/2016,BSM-W2,0.17,0.18,0.16,0.17,6.25,15253978,2531370,19637760,183822720.0,183822720.0,0.172,,,,,22200858.8,,,3927552.0,0.0
7/26/2016,BSM-W2,0.17,0.17,0.16,0.17,0.0,3593633,590140,12030540,184412860.0,184412860.0,0.17,,,,,14078096.6,,,2406108.0,0.0
7/27/2016,BSM-W2,0.16,0.18,0.16,0.16,-5.88,15237701,2570930,12879420,186983790.0,186983790.0,0.166,,,,,15212777.6,,,2575884.0,0.0
7/28/2016,BSM-W2,0.17,0.18,0.16,0.16,0.0,20707654,3517040,14176510,190500830.0,190500830.0,0.16399999999999998,,,,,16842313.2,,,2835302.0,0.0
7/29/2016,BSM-W2,0.17,0.18,0.17,0.17,6.25,6708700,1140480,10349960,191641310.0,191641310.0,0.166,0.17499999999999996,,,,12300333.2,,,2069992.0,0.0
8/1/2016,BSM-W2,0.17,0.18,0.16,0.16,-5.88,1066477,176250,7994840,191817560.0,191817560.0,0.16399999999999998,0.16999999999999996,,,,9462833.0,,,1598968.0,0.0
8/2/2016,BSM-W2,0.16,0.17,0.16,0.16,0.0,815210,130520,7535220,114057700.0,191948080.0,0.162,0.16916666666666666,,,,8907148.4,21.42857142857143,21.42857142857143,1507044.0,0.0
8/3/2016,BSM-W2,0.16,0.17,0.16,0.16,0.0,7070500,1131480,6095770,66289330.0,193079560.0,0.162,0.16666666666666666,,,,7273708.2,21.42857142857143,21.42857142857143,1219154.0,0.0
8/4/2016,BSM-W2,0.17,0.17,0.16,0.16,0.0,1447900,236120,2814850,29130720.0,193315680.0,0.162,0.16499999999999995,,,,3421757.4,21.42857142857143,21.42857142857143,562970.0,0.0
8/5/2016,BSM-W2,0.16,0.16,0.16,0.16,0.0,2432663,389230,2063600,21322590.0,193704910.0,0.16,0.1633333333333333,,,,2566550.0,14.285714285714292,19.642857142857142,412720.0,0.0
8/8/2016,BSM-W2,0.16,0.17,0.16,0.16,0.0,4720578,755290,2642640,20355830.0,194460200.0,0.16,0.16249999999999998,,,,3297370.2,14.285714285714292,18.571428571428573,528528.0,0.0
8/9/2016,BSM-W2,0.16,0.16,0.15,0.15,-6.25,1088900,167740,2679860,18303620.0,194627940.0,0.158,0.16166666666666665,,,,3352108.2,14.285714285714292,17.142857142857142,535972.0,0.0
8/10/2016,BSM-W2,0.15,0.16,0.14,0.15,0.0,9764200,1463180,3011560,14799770.0,196091120.0,0.156,0.15999999999999998,,,,3890848.2,14.285714285714292,15.714285714285722,602312.0,0.0
8/11/2016,BSM-W2,0.15,0.17,0.14,0.16,6.67,27127116,4273950,7049390,16542350.0,200365070.0,0.156,0.15916666666666665,,,,9026691.4,21.42857142857143,15.714285714285722,1409878.0,0.0
8/15/2016,BSM-W2,0.16,0.16,0.15,0.15,-6.25,4159689,664090,7324250,16616300.0,201029160.0,0.154,0.1583333333333333,,,,9372096.6,14.285714285714292,15.714285714285722,1464850.0,0.0
8/16/2016,BSM-W2,0.16,0.16,0.15,0.15,0.0,9628922,1451640,8020600,15497010.0,202480800.0,0.152,0.15749999999999995,,,,10353765.4,14.285714285714292,15.714285714285722,1604120.0,0.0
