Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,BTS-W3,1.32,1.33,1.29,1.31,0.0,2731733,3568000,26278000,337409000.0,3824926000.0,1.31,,,,,2731733.0,,
1/6/2015,BTS-W3,1.31,1.45,1.31,1.4,6.87,40274670,56762000,73191000,311979000.0,3071589000.0,1.355,,,,,21503201.5,,
1/7/2015,BTS-W3,1.41,1.42,1.39,1.41,0.71,13099762,18454000,87785000,294169000.0,2603623000.0,1.3733333333333333,,,,,18702055.0,,
1/8/2015,BTS-W3,1.42,1.43,1.4,1.42,0.71,17830077,25231000,107728000,286818000.0,2002042000.0,1.385,,,,,18484060.5,,
1/9/2015,BTS-W3,1.43,1.48,1.4,1.42,0.0,38424803,55479000,159494000,296512000.0,1769064000.0,1.392,,,,,22472209.0,,
1/12/2015,BTS-W3,1.44,1.47,1.43,1.43,0.7,30291990,43784000,199710000,281123000.0,1630741000.0,1.416,,,,,27984260.4,,
1/13/2015,BTS-W3,1.44,1.48,1.42,1.44,0.7,44511533,64529000,207477000,323953000.0,1534712000.0,1.424,,,,,28831633.0,,
1/14/2015,BTS-W3,1.45,1.47,1.42,1.42,-1.39,26702841,38610000,227633000,345635000.0,1450279000.0,1.4259999999999997,,,,,31552248.8,,
1/15/2015,BTS-W3,1.42,1.43,1.39,1.41,-0.7,17517502,24646000,227048000,353773000.0,1341870000.0,1.424,,,,,31489733.8,,
1/16/2015,BTS-W3,1.4,1.41,1.39,1.39,-1.42,7454816,10387000,181956000,354311000.0,1251986000.0,1.418,,,,,25295736.4,,
1/19/2015,BTS-W3,1.41,1.42,1.34,1.35,-2.88,25764908,35263000,173435000,385714000.0,1201478000.0,1.402,,,,,24390320.0,,
1/20/2015,BTS-W3,1.36,1.38,1.3,1.32,-2.22,27607484,36803000,145709000,417229000.0,1170779000.0,1.3780000000000001,1.3933333333333333,,,,21009510.2,,
1/21/2015,BTS-W3,1.32,1.34,1.3,1.32,0.0,14238656,18886000,125985000,432402000.0,1160959000.0,1.358,1.3941666666666668,,,,18516673.2,,
1/22/2015,BTS-W3,1.32,1.36,1.31,1.34,1.52,22036146,29288000,130627000,458122000.0,1135363000.0,1.344,1.3891666666666669,,,,19420402.0,42.857142857142854,42.857142857142854
1/23/2015,BTS-W3,1.34,1.37,1.32,1.33,-0.75,38386210,51822000,172062000,453182000.0,1136474000.0,1.332,1.3825,,,,25606680.8,42.857142857142854,42.857142857142854
1/26/2015,BTS-W3,1.34,1.35,1.33,1.34,0.75,13237464,17698000,154497000,452426000.0,1136435000.0,1.33,1.3758333333333335,,,,23101192.0,42.857142857142854,42.857142857142854
1/27/2015,BTS-W3,1.34,1.36,1.34,1.36,1.49,27710240,37511000,155205000,464706000.0,1159490000.0,1.338,1.3708333333333333,,,,23121743.2,42.857142857142854,42.857142857142854
1/28/2015,BTS-W3,1.36,1.37,1.32,1.32,-2.94,13202952,17628000,153947000,426855000.0,1136731000.0,1.338,1.3616666666666666,,,,22914602.4,35.71428571428572,41.42857142857143
1/29/2015,BTS-W3,1.33,1.34,1.32,1.32,0.0,9342133,12426000,137085000,395497000.0,1087753000.0,1.334,1.3516666666666666,,,,20375799.8,35.71428571428572,40.0
1/30/2015,BTS-W3,1.32,1.34,1.29,1.32,0.0,13281834,17368000,102631000,348336000.0,1082424000.0,1.3320000000000003,1.3433333333333335,,,,15354924.6,28.57142857142857,37.142857142857146
2/2/2015,BTS-W3,1.31,1.31,1.28,1.29,-2.27,11487214,14851000,99784000,324577000.0,1028631000.0,1.322,1.3333333333333333,,,,15004874.6,21.42857142857143,32.85714285714287
2/3/2015,BTS-W3,1.27,1.32,1.27,1.31,1.55,11544273,14969000,77242000,314900000.0,979804000.0,1.312,1.3266666666666667,,,,11771681.2,28.57142857142857,30.0
2/4/2015,BTS-W3,1.32,1.33,1.27,1.28,-2.29,19885099,25594000,85208000,330107000.0,923206000.0,1.304,1.3208333333333335,,,,13108110.6,28.57142857142857,28.571428571428573
2/5/2015,BTS-W3,1.29,1.32,1.27,1.29,0.78,16217071,20961000,93743000,315805000.0,907903000.0,1.298,1.3183333333333334,,,,14483098.2,35.71428571428572,28.571428571428573
2/6/2015,BTS-W3,1.31,1.31,1.28,1.28,-0.78,12287013,15869000,92244000,294871000.0,891190000.0,1.29,1.315,,,,14284134.0,35.71428571428572,30.0
2/9/2015,BTS-W3,1.29,1.3,1.28,1.28,0.0,17954188,23026000,100419000,299011000.0,868431000.0,1.288,1.3099999999999998,1.35,-0.03943019943019954,-0.03943019943019954,15577528.8,35.71428571428572,32.85714285714286
2/10/2015,BTS-W3,1.3,1.43,1.3,1.38,7.81,90026132,125211000,210661000,394934000.0,934469000.0,1.302,1.3141666666666667,1.3526923076923079,-0.030420227920228138,-0.03492521367521384,31273900.6,42.857142857142854,35.714285714285715
2/11/2015,BTS-W3,1.41,1.43,1.36,1.38,0.0,26307135,36681000,221748000,379793000.0,949451000.0,1.322,1.3174999999999997,1.3519230769230772,-0.026887464387465032,-0.032245963912630904,32558307.8,35.71428571428572,37.14285714285715
2/12/2015,BTS-W3,1.39,1.4,1.34,1.35,-2.17,27868150,37736000,238523000,399831000.0,970259000.0,1.334,1.3166666666666667,1.3496153846153847,-0.027849002849003046,-0.03114672364672394,34888523.6,35.71428571428572,37.14285714285715
