Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
6/16/2016,BWG-W4,0.31,0.46,0.28,0.4,0.0,772477144,296723490,296723490,296723490.0,296723490.0,0.4,,,,,772477144.0,,,296723490.0,0.0
6/17/2016,BWG-W4,0.42,0.72,0.39,0.7,75.0,1216996539,662985860,959709350,959709350.0,959709350.0,0.55,,,,,994736841.5,,,479854675.0,0.0
6/20/2016,BWG-W4,0.73,0.95,0.72,0.89,27.14,1215477059,1041163130,2000872480,2000872480.0,2000872480.0,0.6633333333333334,,,,,1068316914.0,,,666957493.3333334,0.0
6/21/2016,BWG-W4,0.94,0.95,0.86,0.89,0.0,562462775,512296930,2513169410,2513169410.0,2513169410.0,0.7200000000000001,,,,,941853379.25,,,628292352.5,0.0
6/22/2016,BWG-W4,0.89,0.91,0.8,0.85,-4.49,268735115,235712060,2748881470,2748881470.0,2748881470.0,0.7460000000000001,,,,,807229726.4,,,549776294.0,0.0
6/23/2016,BWG-W4,0.85,0.86,0.76,0.76,-10.59,155630691,126641250,2578799230,2875522720.0,2875522720.0,0.818,,,,,683860435.8,,,515759846.0,0.0
6/24/2016,BWG-W4,0.67,0.82,0.67,0.75,-1.32,374315200,287734640,2203548010,3163257360.0,3163257360.0,0.828,,,,,515324168.0,,,440709602.0,0.0
6/27/2016,BWG-W4,0.77,0.81,0.76,0.77,2.67,60608352,47743170,1210128050,3211000530.0,3211000530.0,0.8039999999999999,,,,,284350426.6,,,242025610.0,0.0
6/28/2016,BWG-W4,0.77,0.79,0.76,0.78,1.3,22938633,17818980,715650100,3228819510.0,3228819510.0,0.782,,,,,176445598.2,,,143130020.0,0.0
6/29/2016,BWG-W4,0.78,0.78,0.7,0.72,-7.69,23333329,17208930,497146970,3246028440.0,3246028440.0,0.7559999999999999,,,,,127365241.0,,,99429394.0,0.0
6/30/2016,BWG-W4,0.72,0.76,0.72,0.76,5.56,20219000,15050910,385556630,3261079350.0,3261079350.0,0.7559999999999999,,,,,100282902.8,,,77111326.0,0.0
7/4/2016,BWG-W4,0.76,0.82,0.76,0.81,6.58,81444103,65108620,162930610,3326187970.0,3326187970.0,0.768,0.7566666666666667,,,,41708683.4,,,32586122.0,0.0
7/5/2016,BWG-W4,0.82,0.83,0.75,0.77,-4.94,45446958,36086000,151273440,3362273970.0,3362273970.0,0.768,0.7875,,,,38676404.6,,,30254688.0,0.0
7/6/2016,BWG-W4,0.76,0.76,0.68,0.71,-7.79,82395016,58041960,191496420,3123592440.0,3420315930.0,0.754,0.7883333333333334,,,,50567681.2,42.857142857142854,42.857142857142854,38299284.0,0.0
7/7/2016,BWG-W4,0.71,0.72,0.69,0.7,-1.41,20894513,14752050,189039540,2475358630.0,3435067980.0,0.75,0.7725,,,,50079918.0,42.857142857142854,42.857142857142854,37807908.0,0.0
7/8/2016,BWG-W4,0.7,0.71,0.67,0.69,-1.43,9790113,6714490,180703120,1440909990.0,3441782470.0,0.736,0.7558333333333332,,,,47994140.6,35.714285714285715,40.476190476190474,36140624.0,0.0
7/11/2016,BWG-W4,0.7,0.71,0.68,0.69,0.0,8398757,5810560,121405060,934423620.0,3447593030.0,0.7120000000000001,0.7424999999999998,,,,33385071.4,28.57142857142857,37.5,24281012.0,0.0
7/12/2016,BWG-W4,0.69,0.7,0.67,0.67,-2.9,23182142,15923990,101243050,714635550.0,3463517020.0,0.6920000000000001,0.7349999999999999,,,,28932108.2,28.57142857142857,35.714285714285715,20248610.0,0.0
7/13/2016,BWG-W4,0.67,0.71,0.63,0.71,5.97,39478993,26912450,70113540,614906750.0,3490429470.0,0.6920000000000001,0.7316666666666668,,,,20348903.6,35.714285714285715,34.285714285714285,14022708.0,0.0
7/14/2016,BWG-W4,0.71,0.73,0.69,0.69,-2.82,16214594,11468620,66830110,338640730.0,3501898090.0,0.69,0.7249999999999998,,,,19412919.8,35.714285714285715,32.85714285714286,13366022.0,0.0
7/15/2016,BWG-W4,0.69,0.7,0.68,0.7,1.45,9418899,6531950,66647570,297429510.0,3508430040.0,0.6920000000000001,0.7183333333333333,,,,19338677.0,42.857142857142854,34.285714285714285,13329514.0,0.0
7/20/2016,BWG-W4,0.7,0.71,0.69,0.69,-1.43,14067664,9856340,70693350,289466870.0,3518286380.0,0.6920000000000001,0.7158333333333333,,,,20472458.4,35.714285714285715,35.714285714285715,14138670.0,0.0
7/21/2016,BWG-W4,0.69,0.7,0.68,0.68,-1.45,7177798,4925520,59694880,277183460.0,3523211900.0,0.6940000000000001,0.7091666666666666,,,,17271589.6,28.57142857142857,35.714285714285715,11938976.0,0.0
7/22/2016,BWG-W4,0.69,0.7,0.68,0.69,1.47,2984713,2054880,34837310,264187430.0,3525266780.0,0.6900000000000001,0.6991666666666666,,,,9972733.6,35.714285714285715,35.714285714285715,6967462.0,0.0
7/25/2016,BWG-W4,0.69,0.7,0.67,0.67,-2.9,4187162,2841200,26209890,201920010.0,3528107980.0,0.6859999999999999,0.6908333333333333,,,,7567247.2,28.57142857142857,34.285714285714285,5241978.0,0.0
7/26/2016,BWG-W4,0.67,0.69,0.67,0.67,0.0,2099952,1421840,21099780,167255850.0,3529529820.0,0.6799999999999999,0.6875,0.7234615384615384,-0.03469373219373206,-0.03469373219373206,6103457.8,21.42857142857143,30.0,4219956.0,0.0
7/27/2016,BWG-W4,0.67,0.71,0.67,0.7,4.48,26198856,18393880,29637320,127607770.0,3547923700.0,0.682,0.6874999999999999,0.735,-0.04298433048433048,-0.03883903133903127,8529696.2,28.57142857142857,28.57142857142857,5927464.0,0.0
7/28/2016,BWG-W4,0.7,0.74,0.7,0.74,5.71,25113437,18263140,42974940,131118860.0,3566186840.0,0.6940000000000001,0.6916666666666665,0.7365384615384615,-0.037692307692307685,-0.038456790123456736,12116824.0,35.714285714285715,30.0,8594988.0,2.0
