Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,CBG,33.25,33.5,32.75,33.0,-1.49,606602,20047000,124250000,736899000.0,16476011000.0,33.0,,,,,606602.0,,
1/6/2015,CBG,32.25,32.5,31.0,31.25,-5.3,2062300,65652000,158325000,615355000.0,16541663000.0,32.125,,,,,1334451.0,,
1/7/2015,CBG,31.25,31.5,29.25,30.25,-3.2,8869201,267089000,399876000,766867000.0,16808752000.0,31.5,,,,,3846034.3333333335,,
1/8/2015,CBG,30.25,31.25,30.25,31.25,3.31,5676100,175455000,562314000,895356000.0,16984207000.0,31.4375,,,,,4303550.75,,
1/9/2015,CBG,31.25,31.25,30.5,30.75,-1.6,988100,30440000,558683000,876947000.0,17014647000.0,31.3,,,,,3640460.6,,
1/12/2015,CBG,30.75,32.0,30.75,31.75,3.25,2497460,78986000,617622000,938672000.0,17093633000.0,31.05,,,,,4018632.2,,
1/13/2015,CBG,31.75,32.75,31.5,32.75,3.15,1560161,49965000,601935000,923309000.0,17143598000.0,31.35,,,,,3918204.4,,
1/14/2015,CBG,32.75,33.0,31.75,32.25,-1.53,5074450,163150000,497996000,992779000.0,17306748000.0,31.75,,,,,3159254.2,,
1/15/2015,CBG,32.0,32.5,31.5,32.5,0.78,1927505,61716000,384257000,1016703000.0,9178790000.0,32.0,,,,,2409535.2,,
1/16/2015,CBG,32.25,32.5,32.0,32.25,-0.77,526410,16965000,370782000,1002091000.0,8269068000.0,32.3,,,,,2317197.2,,
1/19/2015,CBG,32.75,34.5,32.75,34.25,6.2,21447304,718643000,1010439000,1695196000.0,8256427000.0,32.8,,,,,6107166.0,,
1/20/2015,CBG,34.5,34.5,33.25,33.75,-1.46,10736811,362725000,1323199000,2044904000.0,8034795000.0,33.0,32.166666666666664,,,,7942496.0,,
1/21/2015,CBG,33.75,33.75,32.75,33.5,-0.74,7116904,237463000,1397512000,2248296000.0,8026409000.0,33.25,32.208333333333336,,,,8350986.8,,
1/22/2015,CBG,33.5,34.25,33.5,34.0,1.49,7768200,263577000,1599373000,2491826000.0,7203481000.0,33.55,32.4375,,,,9519125.8,42.857142857142854,42.857142857142854
1/23/2015,CBG,34.5,34.5,34.0,34.0,0.0,4815563,164868000,1747276000,2591042000.0,5976482000.0,33.9,32.75,,,,10376956.4,42.857142857142854,42.857142857142854
1/26/2015,CBG,34.0,34.0,32.0,34.0,0.0,5576940,183865000,1212498000,2507818000.0,4591653000.0,33.85,32.979166666666664,,,,7202883.6,42.857142857142854,42.857142857142854
1/27/2015,CBG,33.75,34.25,33.0,33.25,-2.21,2850704,95915000,945688000,2428278000.0,4407440000.0,33.75,33.1875,,,,5625662.2,42.857142857142854,42.857142857142854
1/28/2015,CBG,33.0,34.0,33.0,34.0,2.26,3587202,120520000,828745000,2518358000.0,4309987000.0,33.85,33.375,,,,4919721.8,42.857142857142854,42.857142857142854
1/29/2015,CBG,34.0,35.5,33.5,34.0,0.0,12244503,423100000,988268000,2862472000.0,4524783000.0,33.85,33.479166666666664,,,,5814982.4,42.857142857142854,42.857142857142854
1/30/2015,CBG,34.25,34.5,34.0,34.5,1.47,3967702,136264000,959664000,2948771000.0,4531568000.0,33.95,33.666666666666664,,,,5645410.2,42.857142857142854,42.857142857142854
2/2/2015,CBG,34.25,34.75,33.75,34.0,-1.45,2647233,90237000,866036000,2875858000.0,4507070000.0,33.95,33.791666666666664,,,,5059468.8,35.71428571428572,41.42857142857143
2/3/2015,CBG,34.25,34.5,33.75,33.75,-0.74,2896431,98688000,868809000,2912830000.0,4542182000.0,34.05,33.916666666666664,,,,5068614.2,35.71428571428572,40.0
2/4/2015,CBG,34.0,34.5,33.5,33.75,0.0,3034539,103027000,851316000,2998892000.0,4458013000.0,34.0,33.875,,,,4958081.6,28.57142857142857,37.142857142857146
2/5/2015,CBG,33.75,34.0,33.5,33.5,-0.74,3275303,110225000,538441000,2390474000.0,4452661000.0,33.9,33.854166666666664,,,,3164241.6,28.57142857142857,34.28571428571429
2/6/2015,CBG,33.75,34.25,33.25,34.0,1.49,6009112,203833000,606010000,2231582000.0,4609528000.0,33.8,33.895833333333336,,,,3572523.6,28.57142857142857,31.428571428571434
2/9/2015,CBG,34.0,34.25,33.75,33.75,-0.74,2202200,74724000,590497000,2068843000.0,4635403000.0,33.75,33.875,33.07692307692308,0.7289886039885971,0.7289886039885971,3483517.0,28.57142857142857,30.0
2/10/2015,CBG,33.75,35.0,33.5,35.0,3.7,6950921,238801000,730610000,2044067000.0,4856943000.0,34.0,33.958333333333336,33.15384615384615,0.8279914529914549,0.778490028490026,4294415.0,35.71428571428572,30.0
2/11/2015,CBG,35.25,35.25,34.25,35.0,0.0,5339104,185788000,813371000,2064987000.0,4977403000.0,34.25,34.041666666666664,33.29807692307692,0.7649572649572676,0.7739791073124399,4755328.0,28.57142857142857,30.0
2/12/2015,CBG,34.75,36.25,34.5,35.75,2.14,12132100,433910000,1137056000,2315032000.0,5317633000.0,34.7,34.25,33.50961538461539,0.8051994301994227,0.7817841880341856,6526687.4,35.71428571428572,31.428571428571434
2/13/2015,CBG,36.0,36.0,34.75,34.75,-2.8,3089105,109233000,1042456000,2328350000.0,5389074000.0,34.85,34.3125,33.64423076923077,0.6536680911680932,0.7561609686609672,5942686.0,35.71428571428572,32.85714285714286
2/16/2015,CBG,34.75,35.0,34.0,34.25,-1.44,1800001,61806000,1029538000,2269636000.0,5419303000.0,34.95,34.333333333333336,33.77884615384615,0.5067663817663899,0.7117165242165256,5862246.2,35.71428571428572,34.28571428571429
2/17/2015,CBG,34.5,34.75,33.5,33.75,-1.46,1175800,40007000,830744000,1886543000.0,5433772000.0,34.7,34.270833333333336,33.85576923076923,0.3427706552706553,0.6146723646723657,4707222.0,28.57142857142857,32.857142857142854
2/18/2015,CBG,34.0,34.0,33.75,33.75,0.0,1552900,52486000,697442000,1802765000.0,5473241000.0,34.45,34.25,33.89423076923077,0.28952991452991483,0.5195868945868952,3949981.2,28.57142857142857,32.857142857142854
2/19/2015,CBG,33.5,34.75,33.5,34.0,0.74,3238900,110966000,374498000,1823494000.0,5550136000.0,34.1,34.270833333333336,33.96153846153846,0.2647792022792075,0.41150284900285217,2171341.2,28.57142857142857,31.428571428571434
2/20/2015,CBG,34.0,34.25,33.5,33.75,-0.74,1542100,52158000,317423000,1776964000.0,5582247000.0,33.9,34.270833333333336,34.00961538461539,0.2003205128205181,0.32083333333333713,1861940.2,28.57142857142857,30.0
2/23/2015,CBG,33.5,34.0,33.5,34.0,0.74,1272851,42827000,298444000,1716764000.0,5559422000.0,33.85,34.3125,34.07692307692308,0.19319800569800805,0.25811965811966076,1756510.2,35.71428571428572,30.0
2/24/2015,CBG,34.0,34.0,33.5,33.5,-1.47,1611203,54213000,312650000,1660752000.0,5346546000.0,33.8,34.270833333333336,34.04807692307692,0.14476495726496097,0.2185185185185219,1843590.8,35.71428571428572,31.428571428571434
2/25/2015,CBG,33.75,34.25,33.5,34.0,1.49,2922200,98664000,358828000,1555583000.0,5269755000.0,33.85,34.291666666666664,34.05769230769231,0.19337606837606813,0.19928774928775256,2117450.8,42.857142857142854,34.28571428571429
2/26/2015,CBG,34.25,34.25,33.25,33.25,-2.21,1831700,61433000,309295000,1542292000.0,5300748000.0,33.7,34.145833333333336,34.04807692307692,0.019052706552713516,0.15014245014245375,1836010.8,35.71428571428572,35.714285714285715
2/27/2015,CBG,34.5,35.5,34.0,34.75,4.51,9945101,345414000,602551000,1648905000.0,5567176000.0,33.9,34.125,34.07692307692308,0.09437321937321741,0.1289529914529936,3516611.0,42.857142857142854,38.57142857142858
3/2/2015,CBG,34.75,36.75,34.5,36.5,5.04,16559237,596821000,1156545000,2059938000.0,6114032000.0,34.4,34.1875,34.17307692307692,0.19782763532764136,0.12987891737892027,6573888.2,42.857142857142854,40.00000000000001
3/3/2015,CBG,36.75,36.75,35.5,35.75,-2.05,4520409,163655000,1265987000,1789683000.0,6114537000.0,34.85,34.270833333333336,34.24038461538461,0.14618945868946298,0.13016381766382068,7155729.4,42.857142857142854,41.42857142857143
3/5/2015,CBG,35.75,37.5,35.5,37.5,4.9,8584651,315859000,1483182000,1996309000.0,6368680000.0,35.55,34.541666666666664,34.40384615384615,0.3636039886039839,0.16420940170940385,8288219.6,42.857142857142854,41.42857142857143
3/6/2015,CBG,37.5,38.25,36.75,38.25,2.0,7479014,281457000,1703206000,2215960000.0,6633172000.0,36.55,34.916666666666664,34.56730769230769,0.5893874643874568,0.2782763532763525,9417682.4,50.0,44.285714285714285
3/9/2015,CBG,38.0,39.25,37.75,38.75,1.31,7825106,301280000,1659072000,2477233000.0,6215809000.0,37.35,35.333333333333336,34.75,0.8126780626780672,0.4219373219373225,8993683.4,57.14285714285714,47.14285714285714
3/10/2015,CBG,39.0,39.0,36.75,36.75,-5.16,5614669,212514000,1274765000,2637261000.0,6065598000.0,37.4,35.5625,34.83653846153846,0.766915954415957,0.5357549857549856,6804769.8,57.14285714285714,50.0
3/11/2015,CBG,36.75,37.25,36.0,37.25,1.36,4471000,163594000,1274704000,2689889000.0,5991729000.0,37.7,35.854166666666664,34.96153846153846,0.9378561253561273,0.6940883190883185,6794888.0,64.28571428571428,54.28571428571429
3/12/2015,CBG,37.75,40.25,37.5,39.25,5.37,15069801,585114000,1543959000,3222845000.0,6313266000.0,38.05,36.291666666666664,35.17307692307692,1.2717236467236503,0.8757122507122517,8091918.0,64.28571428571428,58.57142857142857
3/13/2015,CBG,39.25,39.25,38.25,38.75,-1.27,7934401,306935000,1569437000,3486953000.0,6455333000.0,38.15,36.729166666666664,35.36538461538461,1.4239672364672344,1.0426282051282072,8182995.4,64.28571428571428,61.42857142857142
3/16/2015,CBG,39.0,39.0,36.75,38.0,-1.94,5338301,200236000,1468393000,3632976000.0,6471704000.0,38.0,37.0625,35.53846153846154,1.485933048433047,1.1772792022792031,7685634.4,57.14285714285714,61.42857142857142
3/17/2015,CBG,38.0,38.0,36.0,36.25,-4.61,4718420,173224000,1429103000,3707536000.0,6549013000.0,37.9,37.3125,35.625,1.4777421652421623,1.3194444444444442,7506384.6,57.14285714285714,61.42857142857142
3/18/2015,CBG,36.25,37.5,36.25,37.25,2.76,2503900,92610000,1358119000,3738713000.0,6521103000.0,37.9,37.520833333333336,35.75961538461539,1.609152421652425,1.4537037037037037,7112964.6,57.14285714285714,60.0
3/19/2015,CBG,37.5,38.25,37.25,37.75,1.34,5273401,198689000,971694000,3591988000.0,6296692000.0,37.6,37.625,35.86538461538461,1.639245014245013,1.5272079772079763,5153684.6,64.28571428571428,60.0
3/20/2015,CBG,37.25,38.5,36.5,38.5,1.99,2916710,110109000,774868000,3105276000.0,6270537000.0,37.55,37.854166666666664,36.0,1.7683404558404447,1.5960826210826184,4150146.4,64.28571428571428,60.0
3/23/2015,CBG,38.75,39.5,37.5,38.0,-1.3,6629805,253949000,828581000,3195570000.0,6434249000.0,37.55,37.895833333333336,36.08653846153846,1.6835826210826212,1.6356125356125333,4408447.2,57.14285714285714,60.0
