Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,CCP,5.7,5.8,5.65,5.7,0.88,327100,1872000,21595000,108419000.0,550227000.0,5.7,,,,,327100.0,,,1872000.0,0.0
1/6/2015,CCP,5.65,5.8,5.6,5.75,0.88,621971,3559000,20195000,87902000.0,522735000.0,5.725,,,,,474535.5,,,2715500.0,0.0
1/7/2015,CCP,5.75,6.1,5.75,6.05,5.22,2762511,16540000,30368000,93367000.0,507166000.0,5.833333333333332,,,,,1237194.0,,,7323666.666666668,0.0
1/8/2015,CCP,6.15,6.15,6.05,6.1,0.83,2054870,12498000,38013000,98361000.0,506808000.0,5.9,,,,,1441613.0,,,8617250.0,0.0
1/9/2015,CCP,6.1,6.1,6.0,6.0,-1.64,1441536,8684000,43153000,97656000.0,507715000.0,5.92,,,,,1441597.6,,,8630600.0,0.0
1/12/2015,CCP,6.05,6.1,5.95,6.0,0.0,1162278,7000000,48281000,95520000.0,495902000.0,5.98,,,,,1608633.2,,,9656200.0,0.0
1/13/2015,CCP,6.0,6.05,6.0,6.0,0.0,753390,4521000,49243000,91214000.0,482438000.0,6.0299999999999985,,,,,1634917.0,,,9848600.0,0.0
1/14/2015,CCP,6.1,6.4,6.05,6.2,3.33,12616732,78580000,111283000,159104000.0,543816000.0,6.0600000000000005,,,,,3605761.2,,,22256600.0,0.0
1/15/2015,CCP,6.2,6.35,6.1,6.2,0.0,4231936,26365000,125150000,179342000.0,556606000.0,6.08,,,,,4041174.4,,,25030000.0,0.0
1/16/2015,CCP,6.2,6.25,6.15,6.2,0.0,1221999,7529000,123995000,181912000.0,541325000.0,6.119999999999999,,,,,3997267.0,,,24799000.0,0.0
1/19/2015,CCP,6.25,6.6,6.2,6.5,4.84,18338039,117905000,234900000,293450000.0,587739000.0,6.22,,,,,7432419.2,,,46980000.0,0.0
1/20/2015,CCP,6.6,6.65,6.5,6.5,0.0,11177500,73347000,303726000,361944000.0,635585000.0,6.32,6.100000000000001,,,,9517241.2,,,60745200.0,0.0
1/21/2015,CCP,6.5,6.75,6.4,6.65,2.31,12971294,86133000,311279000,444533000.0,691288000.0,6.4099999999999975,6.179166666666667,,,,9588153.6,,,62255800.0,0.0
1/22/2015,CCP,6.75,6.8,6.65,6.7,0.75,9205638,61873000,346787000,504534000.0,741762000.0,6.5100000000000025,6.258333333333334,,,,10582894.0,57.14285714285714,57.14285714285714,69357400.0,0.0
