Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,CEN,4.44,4.58,4.4,4.48,0.45,7177001,32068000,1540295000,1908897000.0,2363039000.0,4.48,,,,,7177001.0,,
1/6/2015,CEN,4.52,4.96,4.44,4.94,10.27,39208207,187156000,1716054000,2021915000.0,2467199000.0,4.710000000000001,,,,,23192604.0,,
1/7/2015,CEN,4.86,4.9,4.66,4.82,-2.43,11137402,52998000,1763352000,2060618000.0,2488996000.0,4.746666666666667,,,,,19174203.333333332,,
1/8/2015,CEN,4.8,4.86,4.76,4.8,-0.41,5390988,25922000,1275619000,2059769000.0,2421662000.0,4.760000000000001,,,,,15728399.5,,
1/9/2015,CEN,4.76,5.05,4.7,4.9,2.08,21148645,104223000,402367000,2066575000.0,2515862000.0,4.788000000000001,,,,,16812448.6,,
1/12/2015,CEN,4.84,4.98,4.82,4.88,-0.41,6257500,30664000,400963000,2009999000.0,2534723000.0,4.868,,,,,16628548.4,,
1/13/2015,CEN,4.86,4.86,4.72,4.76,-2.46,4998200,23863000,237670000,2005682000.0,2552717000.0,4.832000000000001,,,,,9786547.0,,
1/14/2015,CEN,4.78,4.78,4.48,4.58,-3.78,8047800,37110000,221782000,2020655000.0,2579895000.0,4.783999999999999,,,,,9168626.6,,
1/15/2015,CEN,4.6,4.6,4.52,4.54,-0.87,1863800,8487000,204347000,2010718000.0,2578878000.0,4.732,,,,,8463189.0,,
1/16/2015,CEN,4.4,4.56,4.4,4.56,0.44,2545600,11429000,111553000,2010750000.0,2582447000.0,4.664,,,,,4742580.0,,
1/19/2015,CEN,4.56,4.76,4.56,4.68,2.63,3568300,16673000,97562000,2021723000.0,2594144000.0,4.624,,,,,4204740.0,,
1/20/2015,CEN,4.74,4.74,4.56,4.64,-0.85,2685800,12497000,86196000,1520565000.0,2599085000.0,4.6,4.715000000000001,,,,3742260.0,,
1/21/2015,CEN,4.64,4.68,4.48,4.5,-3.02,2859000,12992000,62078000,556082000.0,2586822000.0,4.584,4.716666666666667,,,,2704500.0,,
1/22/2015,CEN,4.5,4.6,4.44,4.52,0.44,2433700,11005000,64596000,535019000.0,2578726000.0,4.58,4.6816666666666675,,,,2818480.0,42.857142857142854,42.857142857142854
1/23/2015,CEN,4.6,4.6,4.38,4.44,-1.77,5205600,23125000,76292000,370988000.0,2596461000.0,4.556,4.6499999999999995,,,,3350480.0,35.71428571428572,39.28571428571429
1/26/2015,CEN,4.4,4.4,4.12,4.3,-3.15,3549600,15235000,74854000,333225000.0,2595506000.0,4.48,4.608333333333333,,,,3346740.0,28.57142857142857,35.714285714285715
1/27/2015,CEN,4.32,4.32,4.22,4.28,-0.47,948302,4043000,66400000,311346000.0,2588413000.0,4.408,4.556666666666666,,,,2999240.4,28.57142857142857,33.92857142857143
1/28/2015,CEN,4.22,4.3,4.22,4.26,-0.47,1492609,6376000,59784000,213499000.0,2580689000.0,4.360000000000001,4.505,,,,2725962.2,28.57142857142857,32.857142857142854
1/29/2015,CEN,4.26,4.44,4.24,4.4,3.29,2706100,11793000,60572000,194628000.0,2575683000.0,4.336,4.474999999999999,,,,2780442.2,28.57142857142857,30.0
1/30/2015,CEN,4.42,4.42,4.3,4.3,-2.27,2317600,10047000,47494000,180812000.0,2577481000.0,4.308000000000001,4.451666666666666,,,,2202842.2,28.57142857142857,28.571428571428566
2/2/2015,CEN,4.3,4.38,4.28,4.36,1.4,706500,3055000,35314000,146757000.0,2558150000.0,4.319999999999999,4.4366666666666665,,,,1634222.2,35.71428571428572,30.0
2/3/2015,CEN,4.36,4.46,4.34,4.38,0.46,1900400,8335000,39606000,146605000.0,2525925000.0,4.34,4.421666666666667,,,,1824641.8,42.857142857142854,32.857142857142854
2/4/2015,CEN,4.4,4.4,4.32,4.34,-0.91,1583200,6895000,40125000,142071000.0,2458682000.0,4.356,4.3933333333333335,,,,1842760.0,42.857142857142854,35.714285714285715
2/5/2015,CEN,4.34,4.4,4.32,4.38,0.92,1300100,5646000,33978000,131044000.0,2450033000.0,4.351999999999999,4.371666666666667,,,,1561560.0,42.857142857142854,38.57142857142857
