Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,CGD-W3,0.85,0.85,0.82,0.82,-4.65,46191340,38732000,311835000,1038772000.0,7459636000.0,0.82,,,,,46191340.0,,
1/6/2015,CGD-W3,0.81,0.84,0.78,0.81,-1.22,52436182,42517000,326126000,1016326000.0,7038256000.0,0.815,,,,,49313761.0,,
1/7/2015,CGD-W3,0.82,0.84,0.8,0.81,0.0,23996603,19677000,127427000,992969000.0,6341135000.0,0.8133333333333334,,,,,40874708.333333336,,
1/8/2015,CGD-W3,0.82,0.91,0.82,0.89,9.88,160788534,140354000,251297000,1065981000.0,5917524000.0,0.8325,,,,,70853164.75,,
1/9/2015,CGD-W3,0.89,0.92,0.86,0.87,-2.25,52022281,45796000,287076000,973870000.0,5413263000.0,0.8400000000000001,,,,,67086988.0,,
1/12/2015,CGD-W3,0.87,0.89,0.85,0.85,-2.3,27837706,24162000,272506000,889746000.0,5160067000.0,0.8460000000000001,,,,,63416261.2,,
1/13/2015,CGD-W3,0.85,0.86,0.83,0.83,-2.35,21204863,17916000,247905000,750365000.0,4936741000.0,0.85,,,,,57169997.4,,
1/14/2015,CGD-W3,0.86,0.94,0.86,0.9,8.43,263993598,240685000,468913000,908589000.0,4893451000.0,0.868,,,,,105169396.4,,
1/15/2015,CGD-W3,0.91,0.93,0.88,0.89,-1.11,81582933,73792000,402351000,916734000.0,4588320000.0,0.868,,,,,89328276.2,,
1/16/2015,CGD-W3,0.89,0.89,0.85,0.86,-3.37,47969297,41803000,398358000,930311000.0,4514743000.0,0.866,,,,,88517679.4,,
1/19/2015,CGD-W3,0.85,0.88,0.84,0.85,-1.16,44594566,38055000,412251000,749990000.0,4470521000.0,0.866,,,,,91869051.4,,
1/20/2015,CGD-W3,0.85,0.86,0.82,0.82,-3.53,23638930,19742000,414077000,753248000.0,3825851000.0,0.8640000000000001,0.85,,,,92355864.8,,
1/21/2015,CGD-W3,0.83,0.83,0.79,0.8,-2.44,33790248,27322000,200714000,770553000.0,2871512000.0,0.844,0.8483333333333335,,,,46315194.8,,
