Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
2/16/2015,CGH-W1,0.6,0.83,0.59,0.83,0.0,615034813,446724000,446724000,446724000.0,446724000.0,0.83,,,,,615034813.0,,,446724000.0,0.0
2/17/2015,CGH-W1,0.87,1.04,0.79,1.04,25.3,489629742,438191000,884915000,884915000.0,884915000.0,0.935,,,,,552332277.5,,,442457500.0,0.0
2/18/2015,CGH-W1,1.03,1.05,0.88,0.89,-14.42,124243326,123643000,1008558000,1008558000.0,1008558000.0,0.92,,,,,409635960.3333333,,,336186000.0,0.0
2/19/2015,CGH-W1,0.89,0.96,0.89,0.92,3.37,41546249,38245000,1046803000,1046803000.0,1046803000.0,0.92,,,,,317613532.5,,,261700750.0,0.0
2/20/2015,CGH-W1,0.91,0.92,0.85,0.85,-7.61,14579311,12977000,1059780000,1059780000.0,1059780000.0,0.9059999999999999,,,,,257006688.2,,,211956000.0,0.0
2/23/2015,CGH-W1,0.86,1.02,0.86,0.93,9.41,93393211,90087000,703143000,1149867000.0,1149867000.0,0.926,,,,,152678367.8,,,140628600.0,0.0
2/24/2015,CGH-W1,0.92,1.02,0.92,0.93,0.0,82697670,80978000,345930000,1230845000.0,1230845000.0,0.904,,,,,71291953.4,,,69186000.0,0.0
2/25/2015,CGH-W1,0.95,0.96,0.93,0.94,1.08,24106325,22774000,245061000,1253619000.0,1253619000.0,0.914,,,,,51264553.2,,,49012200.0,0.0
2/26/2015,CGH-W1,0.96,0.96,0.93,0.93,-1.06,12844712,12123000,218939000,1265742000.0,1265742000.0,0.9159999999999999,,,,,45524245.8,,,43787800.0,0.0
2/27/2015,CGH-W1,0.94,0.99,0.93,0.96,3.23,27583192,26586000,232548000,1292328000.0,1292328000.0,0.938,,,,,48125022.0,,,46509600.0,0.0
3/2/2015,CGH-W1,0.97,0.97,0.9,0.9,-6.25,15549885,14752000,157213000,1307080000.0,1307080000.0,0.932,,,,,32556356.8,,,31442600.0,0.0
3/3/2015,CGH-W1,0.91,0.92,0.75,0.75,-16.67,12634525,10747000,86982000,1317827000.0,1317827000.0,0.8960000000000001,0.9058333333333332,,,,18543727.8,,,17396400.0,0.0
3/5/2015,CGH-W1,0.75,0.8,0.74,0.76,1.33,8032100,6137000,70345000,1323964000.0,1323964000.0,0.86,0.9,,,,15328882.8,,,14069000.0,0.0
3/6/2015,CGH-W1,0.77,0.79,0.76,0.76,0.0,5927657,4583000,62805000,881823000.0,1328547000.0,0.826,0.8766666666666666,,,,13945471.8,42.857142857142854,42.857142857142854,12561000.0,0.0
3/9/2015,CGH-W1,0.77,0.81,0.76,0.81,6.58,11654974,9221000,45440000,452853000.0,1337768000.0,0.7959999999999999,0.87,,,,10759828.2,50.0,46.42857142857143,9088000.0,0.0
3/10/2015,CGH-W1,0.82,0.82,0.76,0.76,-6.17,4495141,3554000,34242000,332764000.0,1341322000.0,0.768,0.8566666666666668,,,,8548879.4,42.857142857142854,45.23809523809525,6848400.0,0.0
3/11/2015,CGH-W1,0.78,0.81,0.76,0.8,5.26,2962629,2318000,25813000,296837000.0,1343640000.0,0.7779999999999999,0.8525,,,,6614500.2,50.0,46.42857142857143,5162600.0,0.0
3/12/2015,CGH-W1,0.79,0.83,0.79,0.82,2.5,6747394,5457000,25133000,289317000.0,1349097000.0,0.7899999999999999,0.8433333333333334,,,,6357559.0,50.0,47.14285714285714,5026600.0,0.0
3/13/2015,CGH-W1,0.83,0.83,0.78,0.78,-4.88,2132599,1716000,22266000,200946000.0,1350813000.0,0.7939999999999999,0.8308333333333334,,,,5598547.4,50.0,48.57142857142857,4453200.0,0.0
3/16/2015,CGH-W1,0.79,0.79,0.73,0.73,-6.41,2510166,1903000,14948000,121871000.0,1352716000.0,0.778,0.8133333333333331,,,,3769585.8,42.857142857142854,47.14285714285714,2989600.0,0.0
3/17/2015,CGH-W1,0.73,0.75,0.71,0.73,0.0,2616310,1901000,13295000,100998000.0,1354617000.0,0.772,0.7966666666666667,,,,3393819.6,42.857142857142854,47.14285714285714,2659000.0,0.0
3/18/2015,CGH-W1,0.73,0.75,0.71,0.74,1.37,1394598,1017000,11994000,89892000.0,1355634000.0,0.76,0.7783333333333334,,,,3080213.4,42.857142857142854,45.714285714285715,2398800.0,0.0
3/19/2015,CGH-W1,0.76,0.76,0.72,0.72,-2.7,786500,578000,7115000,63884000.0,1356212000.0,0.74,0.7633333333333335,,,,1888034.6,42.857142857142854,44.28571428571429,1423000.0,0.0
3/20/2015,CGH-W1,0.73,0.73,0.7,0.7,-2.78,454361,322000,5721000,49454000.0,1356534000.0,0.7240000000000001,0.7591666666666668,,,,1552387.0,35.714285714285715,41.42857142857143,1144200.0,0.0
3/23/2015,CGH-W1,0.71,0.71,0.68,0.69,-1.43,1039699,722000,4540000,39429000.0,1357256000.0,0.716,0.7533333333333333,,,,1258293.6,35.714285714285715,40.0,908000.0,0.0
3/24/2015,CGH-W1,0.68,0.68,0.63,0.67,-2.9,2312532,1537000,4176000,34829000.0,1358793000.0,0.7040000000000001,0.7458333333333332,0.8207692307692308,-0.07543447293447303,-0.07543447293447303,1197538.0,35.714285714285715,38.571428571428584,835200.0,0.0
3/25/2015,CGH-W1,0.65,0.73,0.65,0.68,1.49,1676502,1161000,4320000,31407000.0,1359954000.0,0.6920000000000001,0.735,0.8150000000000001,-0.07846153846153847,-0.07694800569800575,1253918.8,35.714285714285715,37.142857142857146,864000.0,0.0
3/26/2015,CGH-W1,0.73,0.73,0.67,0.68,0.0,502167,345000,4087000,22531000.0,1360299000.0,0.684,0.7283333333333334,0.8011538461538462,-0.07128205128205134,-0.07505935422602095,1197052.2,35.714285714285715,35.714285714285715,817400.0,0.0
3/27/2015,CGH-W1,0.67,0.68,0.65,0.66,-2.94,479352,318000,4083000,19295000.0,1360617000.0,0.6759999999999999,0.7166666666666667,0.7923076923076924,-0.07455840455840458,-0.07493411680911685,1202050.4,28.57142857142857,34.285714285714285,816600.0,0.0
