Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/6/2015,CHARAN,51.0,51.0,51.0,51.0,-1.92,200,10000,26000,2891000.0,5416000.0,51.0,,,,,200.0,,
1/7/2015,CHARAN,51.0,51.0,51.0,51.0,0.0,100,5000,26000,2141000.0,5020000.0,51.0,,,,,150.0,,
1/8/2015,CHARAN,52.25,52.25,52.25,52.25,2.45,200,10000,30000,1615000.0,5030000.0,51.416666666666664,,,,,166.66666666666666,,
1/9/2015,CHARAN,52.0,52.0,52.0,52.0,-0.48,100,5000,30000,1502000.0,5035000.0,51.5625,,,,,150.0,,
1/12/2015,CHARAN,52.0,52.0,52.0,52.0,0.0,2200,114000,144000,250000.0,5128000.0,51.65,,,,,560.0,,
1/14/2015,CHARAN,52.0,54.0,52.0,54.0,3.85,1100,59000,188000,253000.0,5187000.0,52.25,,,,,740.0,,
1/15/2015,CHARAN,52.0,52.0,52.0,52.0,-3.7,400,21000,199000,240000.0,5097000.0,52.45,,,,,800.0,,
1/21/2015,CHARAN,51.5,53.75,51.5,53.75,3.37,300,16000,37000,240000.0,4970000.0,52.75,,,,,820.0,,
1/23/2015,CHARAN,53.75,53.75,53.75,53.75,0.0,100,5000,21000,235000.0,4886000.0,53.1,,,,,820.0,,
1/26/2015,CHARAN,52.5,52.5,52.5,52.5,-2.33,510,27000,48000,257000.0,4913000.0,53.2,,,,,482.0,,
1/28/2015,CHARAN,55.0,55.0,55.0,55.0,4.76,3100,170000,202000,412000.0,4435000.0,53.4,,,,,882.0,,
1/29/2015,CHARAN,55.0,56.0,55.0,56.0,1.82,10400,572000,774000,870000.0,5007000.0,54.2,52.9375,,,,2882.0,,
2/2/2015,CHARAN,55.0,55.0,55.0,55.0,-1.79,5000,275000,1017000,1086000.0,5250000.0,54.45,53.270833333333336,,,,3822.0,,
2/3/2015,CHARAN,55.0,55.0,55.0,55.0,0.0,200,11000,1028000,1076000.0,4365000.0,54.7,53.604166666666664,,,,3842.0,35.71428571428572,35.71428571428572
2/4/2015,CHARAN,53.25,56.0,53.0,55.0,0.0,4400,235000,1093000,1311000.0,4416000.0,55.2,53.833333333333336,,,,4620.0,35.71428571428572,35.71428571428572
2/5/2015,CHARAN,58.0,58.0,55.0,55.0,0.0,200,11000,532000,1322000.0,3672000.0,55.2,54.083333333333336,,,,4040.0,35.71428571428572,35.71428571428572
2/6/2015,CHARAN,56.0,58.0,56.0,58.0,5.45,4300,247000,779000,1569000.0,3383000.0,55.6,54.583333333333336,,,,2820.0,35.71428571428572,35.71428571428572
2/9/2015,CHARAN,60.0,60.0,58.5,58.5,0.86,200,12000,516000,1565000.0,3277000.0,56.3,54.958333333333336,,,,1860.0,42.857142857142854,37.14285714285715
2/13/2015,CHARAN,58.0,58.0,58.0,58.0,-0.85,500,29000,41000,1562000.0,1850000.0,56.9,55.458333333333336,,,,1920.0,42.857142857142854,38.57142857142858
2/18/2015,CHARAN,57.0,57.0,57.0,57.0,-1.72,100,6000,35000,826000.0,1845000.0,57.3,55.729166666666664,,,,1060.0,35.71428571428572,38.57142857142858
2/19/2015,CHARAN,57.0,57.0,57.0,57.0,0.0,100,6000,41000,557000.0,1846000.0,57.7,56.0,,,,1040.0,35.71428571428572,38.57142857142858
2/20/2015,CHARAN,55.0,56.0,55.0,56.0,-1.75,602,33000,45000,579000.0,1879000.0,57.3,56.291666666666664,,,,300.4,28.57142857142857,37.142857142857146
2/23/2015,CHARAN,72.0,72.75,72.0,72.75,29.91,111289,8085000,8130000,8429000.0,9954000.0,60.15,57.770833333333336,,,,22518.2,35.71428571428572,35.71428571428572
2/24/2015,CHARAN,79.0,79.0,68.0,71.0,-2.41,229600,16990000,25120000,25408000.0,26939000.0,62.75,59.020833333333336,,,,68338.2,35.71428571428572,34.28571428571429
2/25/2015,CHARAN,70.75,71.25,68.0,68.25,-3.87,38300,2652000,27766000,27813000.0,29581000.0,65.0,60.125,,,,75978.2,28.57142857142857,32.857142857142854
2/26/2015,CHARAN,67.75,68.75,67.75,68.75,0.73,23200,1582000,29342000,29383000.0,31158000.0,67.35,61.270833333333336,56.94230769230769,4.604522792022792,4.604522792022792,80598.2,28.57142857142857,31.428571428571434
2/27/2015,CHARAN,69.25,70.75,69.25,70.75,2.91,26200,1834000,31143000,31217000.0,32878000.0,70.3,62.583333333333336,57.70192307692308,5.171296296296298,4.887909544159545,85717.8,35.71428571428572,32.85714285714286
3/2/2015,CHARAN,70.75,71.5,69.5,70.75,0.0,16400,1155000,24213000,32372000.0,34033000.0,69.9,63.895833333333336,58.46153846153846,5.578525641025642,5.1181149097815775,66740.0,35.71428571428572,32.85714285714286
3/3/2015,CHARAN,70.5,71.5,70.5,71.25,0.71,4300,305000,7528000,32677000.0,34279000.0,69.95,65.0,59.19230769230769,5.876068376068382,5.307603276353278,21680.0,42.857142857142854,34.28571428571429
3/5/2015,CHARAN,70.25,71.75,69.0,70.5,-1.05,13500,946000,5822000,33594000.0,35204000.0,70.4,66.0,59.90384615384615,6.003561253561259,5.446794871794874,16720.0,42.857142857142854,37.142857142857146
3/6/2015,CHARAN,71.0,71.5,70.5,71.0,0.71,49600,3520000,7760000,37114000.0,38724000.0,70.85,67.08333333333333,60.63461538461539,6.283475783475772,5.78258547008547,22000.0,42.857142857142854,40.00000000000001
3/9/2015,CHARAN,71.75,78.0,71.75,75.0,5.63,92432,6919000,12845000,44033000.0,45643000.0,71.7,68.58333333333333,61.44230769230769,7.123931623931618,6.1731125356125345,35246.4,42.857142857142854,41.42857142857143
3/10/2015,CHARAN,75.75,76.75,75.0,75.0,0.0,28900,2185000,13875000,46212000.0,47828000.0,72.55,70.08333333333333,62.32692307692308,7.574074074074055,6.5722222222222175,37746.4,42.857142857142854,42.857142857142854
3/11/2015,CHARAN,75.0,75.75,75.0,75.0,0.0,17205,1294000,14864000,47500000.0,49106000.0,73.3,71.66666666666667,63.14423076923077,8.157051282051285,7.0284188034187975,40327.4,42.857142857142854,42.857142857142854
3/12/2015,CHARAN,75.25,75.5,74.75,75.0,0.0,17400,1307000,15225000,48774000.0,50413000.0,74.2,71.85416666666667,63.96153846153846,7.558938746438741,7.339494301994295,41107.4,42.857142857142854,42.857142857142854
3/13/2015,CHARAN,75.75,76.0,73.0,75.0,0.0,44101,3302000,15007000,43991000.0,53710000.0,75.0,72.1875,64.82692307692308,7.039707977207968,7.490740740740733,40007.6,42.857142857142854,42.857142857142854
3/16/2015,CHARAN,76.0,76.0,73.0,73.0,-2.67,27037,2021000,10109000,29022000.0,55704000.0,74.6,72.58333333333333,65.51923076923077,6.574074074074076,7.380769230769225,26928.6,35.71428571428572,41.42857142857143
3/17/2015,CHARAN,75.0,75.0,73.5,73.5,0.68,11814,878000,8802000,27248000.0,56582000.0,74.3,72.97916666666667,66.1923076923077,6.325676638176645,7.131089743589743,23511.4,42.857142857142854,41.42857142857143
3/18/2015,CHARAN,74.5,74.75,74.5,74.75,1.7,7801,582000,8090000,26248000.0,56994000.0,74.25,73.3125,66.95192307692308,6.004095441595439,6.700498575498574,21630.6,50.0,42.857142857142854
3/19/2015,CHARAN,74.5,75.5,73.5,74.75,0.0,18300,1368000,8151000,25782000.0,57790000.0,74.2,73.64583333333333,67.71153846153847,5.582799145299134,6.305270655270652,21810.6,42.857142857142854,42.85714285714286
3/20/2015,CHARAN,75.0,75.0,73.5,73.5,-1.67,10000,746000,5595000,25373000.0,58536000.0,73.9,73.83333333333333,68.42307692307692,4.98290598290599,5.893910256410257,14990.4,35.71428571428572,41.42857142857143
