Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
6/6/2018,CHEWA-W1,0.1,0.12,0.09,0.09,0.0,52339203,5176800,5176800,5176800.0,5176800.0,0.09,,,,,52339203.0,,
6/7/2018,CHEWA-W1,0.1,0.12,0.09,0.09,0.0,30601200,3084460,8261260,8261260.0,8261260.0,0.09,,,,,41470201.5,,
6/8/2018,CHEWA-W1,0.09,0.1,0.08,0.09,0.0,15608500,1424990,9686250,9686250.0,9686250.0,0.09000000000000001,,,,,32849634.333333332,,
6/11/2018,CHEWA-W1,0.1,0.1,0.09,0.09,0.0,1359600,125750,9812000,9812000.0,9812000.0,0.09,,,,,24977125.75,,
6/12/2018,CHEWA-W1,0.1,0.1,0.09,0.09,0.0,3703300,336150,10148150,10148150.0,10148150.0,0.09,,,,,20722360.6,,
6/13/2018,CHEWA-W1,0.09,0.1,0.09,0.09,0.0,3219477,289950,5261300,10438100.0,10438100.0,0.09,,,,,10898415.4,,
6/14/2018,CHEWA-W1,0.08,0.09,0.08,0.08,-11.11,5931900,474560,2651400,10912660.0,10912660.0,0.088,,,,,5964555.4,,
6/15/2018,CHEWA-W1,0.08,0.09,0.08,0.08,0.0,2362700,189020,1415430,11101680.0,11101680.0,0.08600000000000001,,,,,3315395.4,,
6/18/2018,CHEWA-W1,0.08,0.08,0.07,0.08,0.0,416000,29430,1319110,11131110.0,11131110.0,0.084,,,,,3126675.4,,
6/19/2018,CHEWA-W1,0.07,0.08,0.07,0.08,0.0,6150400,430880,1413840,11561990.0,11561990.0,0.082,,,,,3616095.4,,
6/20/2018,CHEWA-W1,0.07,0.08,0.07,0.08,0.0,127900,9080,1132970,11571070.0,11571070.0,0.08,,,,,2997780.0,,
6/21/2018,CHEWA-W1,0.07,0.08,0.07,0.07,-12.5,1403900,98270,756680,11669340.0,11669340.0,0.078,0.08416666666666665,,,,2092180.0,,
6/22/2018,CHEWA-W1,0.07,0.07,0.06,0.07,0.0,1400500,98030,665690,11767370.0,11767370.0,0.076,0.08249999999999998,,,,1899740.0,,
6/23/2018,CHEWA-W1,0.07,0.08,0.07,0.08,14.29,610600,42750,679010,6633320.0,11810120.0,0.07600000000000001,0.08166666666666665,,,,1938660.0,7.142857142857139,7.142857142857139
6/25/2018,CHEWA-W1,0.07,0.08,0.07,0.08,14.29,610600,42750,290880,3591610.0,11852870.0,0.07600000000000001,0.08083333333333333,,,,830700.0,14.285714285714292,10.714285714285715
6/26/2018,CHEWA-W1,0.07,0.08,0.07,0.08,0.0,1386100,97030,378830,2263650.0,11949900.0,0.07600000000000001,0.07999999999999999,,,,1082340.0,14.285714285714292,11.904761904761907
