Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
4/5/2016,CHEWA,2.5,2.6,2.0,2.02,26.25,502427904,1227626950,1227626950,1227626950.0,1227626950.0,2.02,,,,,502427904.0,,
4/8/2016,CHEWA,1.8,1.81,1.69,1.73,-2.26,64624955,112753430,1340380380,1340380380.0,1340380380.0,1.875,,,,,283526429.5,,
4/11/2016,CHEWA,1.72,1.81,1.66,1.81,4.62,90383737,156744430,1497124810,1497124810.0,1497124810.0,1.8533333333333335,,,,,219145532.0,,
4/12/2016,CHEWA,1.81,1.84,1.76,1.76,-2.76,76817100,138732390,1635857200,1635857200.0,1635857200.0,1.83,,,,,183563424.0,,
4/18/2016,CHEWA,1.75,1.77,1.7,1.72,-2.27,36230401,62842520,1698699720,1698699720.0,1698699720.0,1.8080000000000003,,,,,154096819.4,,
4/19/2016,CHEWA,1.73,1.76,1.71,1.72,0.0,25151901,43599860,514672630,1742299580.0,1742299580.0,1.748,,,,,58641618.8,,
4/20/2016,CHEWA,1.73,1.78,1.72,1.73,0.58,31024053,54337710,456256910,1796637290.0,1796637290.0,1.748,,,,,51921438.4,,
4/21/2016,CHEWA,1.74,1.75,1.72,1.72,-0.58,9948105,17201680,316714160,1813838970.0,1813838970.0,1.73,,,,,35834312.0,,
4/22/2016,CHEWA,1.72,1.73,1.68,1.69,-1.74,10753800,18332470,196314240,1832171440.0,1832171440.0,1.716,,,,,22621652.0,,
4/25/2016,CHEWA,1.7,1.71,1.67,1.68,-0.59,6951600,11733370,145205090,1843904810.0,1843904810.0,1.7079999999999997,,,,,16765891.8,,
4/26/2016,CHEWA,1.68,1.71,1.66,1.68,0.0,23591000,39887990,141493220,1883792800.0,1883792800.0,1.7,,,,,16453711.6,,
4/27/2016,CHEWA,1.69,1.73,1.68,1.71,1.79,25281300,43121010,130276520,1926913810.0,1926913810.0,1.6960000000000002,1.7475000000000003,,,,15305161.0,,
4/29/2016,CHEWA,1.68,1.76,1.67,1.71,2.4,81662300,140984310,254059150,2067898120.0,2067898120.0,1.6939999999999997,1.721666666666667,,,,29648000.0,,
5/3/2016,CHEWA,1.72,1.72,1.67,1.68,-1.75,19379460,32732180,268458860,873003350.0,2100630300.0,1.6920000000000002,1.7175,,,,31373132.0,35.71428571428572,35.71428571428572
5/9/2016,CHEWA,1.68,1.68,1.59,1.62,-2.99,13748367,22337690,279063180,782587610.0,2122967990.0,1.6799999999999997,1.7016666666666669,,,,32732485.4,28.57142857142857,32.142857142857146
