Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/6/2015,CSR,55.0,55.0,55.0,55.0,-4.35,4600,253000,265000,416000.0,890000.0,55.0,,,,,4600.0,,
1/8/2015,CSR,55.0,55.0,55.0,55.0,0.0,101,6000,259000,321000.0,885000.0,55.0,,,,,2350.5,,
1/20/2015,CSR,53.0,54.0,53.0,54.0,-1.82,1400,75000,75000,334000.0,611000.0,54.666666666666664,,,,,2033.6666666666667,,
1/21/2015,CSR,55.75,56.0,55.75,56.0,3.7,600,34000,109000,368000.0,617000.0,55.0,,,,,1675.25,,
2/4/2015,CSR,57.0,57.0,57.0,57.0,1.79,100,6000,6000,115000.0,537000.0,55.4,,,,,1360.2,,
2/5/2015,CSR,57.5,58.0,57.5,58.0,1.75,700,40000,46000,155000.0,577000.0,56.0,,,,,580.2,,
2/6/2015,CSR,58.0,58.0,58.0,58.0,0.0,700,41000,87000,121000.0,517000.0,56.6,,,,,700.0,,
2/9/2015,CSR,58.5,58.5,58.5,58.5,0.86,200,12000,99000,99000.0,529000.0,57.5,,,,,460.0,,
2/11/2015,CSR,58.75,58.75,58.75,58.75,0.43,1100,65000,158000,164000.0,594000.0,58.05,,,,,560.0,,
2/12/2015,CSR,59.0,59.0,58.0,58.0,-1.28,600,35000,153000,199000.0,590000.0,58.25,,,,,660.0,,
2/16/2015,CSR,59.0,68.0,59.0,62.25,7.33,8300,528000,628000,727000.0,1107000.0,59.1,,,,,2180.0,,
2/17/2015,CSR,64.0,64.0,60.5,61.5,-1.2,1400,86000,714000,813000.0,1193000.0,59.8,57.666666666666664,,,,2320.0,,
2/18/2015,CSR,61.0,61.0,61.0,61.0,-0.81,1000,61000,710000,874000.0,1242000.0,60.3,58.166666666666664,,,,2480.0,,
2/19/2015,CSR,61.0,61.5,61.0,61.25,0.41,1100,67000,742000,941000.0,1309000.0,60.8,58.6875,,,,2480.0,50.0,50.0
2/20/2015,CSR,62.0,62.0,62.0,62.0,1.22,100,6000,748000,947000.0,1315000.0,61.6,59.354166666666664,,,,2380.0,57.14285714285714,53.57142857142857
2/23/2015,CSR,62.0,62.0,61.25,61.25,-1.21,200,12000,232000,953000.0,1074000.0,61.4,59.791666666666664,,,,760.0,57.14285714285714,54.76190476190476
2/24/2015,CSR,61.0,61.0,60.0,60.0,-2.04,500,30000,176000,943000.0,1104000.0,61.1,60.041666666666664,,,,580.0,57.14285714285714,55.357142857142854
2/25/2015,CSR,59.0,59.0,58.0,58.0,-3.33,700,41000,156000,943000.0,1139000.0,60.5,60.041666666666664,,,,520.0,50.0,54.28571428571429
3/2/2015,CSR,58.25,58.25,57.0,57.0,-1.72,6600,383000,454000,1249000.0,1522000.0,59.65,59.958333333333336,,,,1620.0,42.857142857142854,52.857142857142854
3/10/2015,CSR,55.5,55.5,55.5,55.5,-2.63,300,17000,17000,556000.0,1464000.0,58.35,59.708333333333336,,,,1660.0,35.71428571428572,48.57142857142857
3/11/2015,CSR,56.0,56.0,56.0,56.0,0.9,500,28000,45000,517000.0,1458000.0,57.3,59.479166666666664,,,,1720.0,42.857142857142854,45.714285714285715
3/13/2015,CSR,55.5,55.5,55.5,55.5,-0.89,500,28000,73000,527000.0,1486000.0,56.4,59.270833333333336,,,,1720.0,35.71428571428572,41.42857142857143
3/16/2015,CSR,55.5,55.5,55.5,55.5,0.0,600,33000,106000,530000.0,1519000.0,55.9,58.708333333333336,,,,1700.0,28.57142857142857,37.142857142857146
3/17/2015,CSR,56.0,56.0,56.0,56.0,0.9,1101,62000,151000,551000.0,1581000.0,55.7,58.25,,,,600.2,35.71428571428572,35.71428571428572
3/20/2015,CSR,57.0,58.0,57.0,58.0,3.57,400,23000,118000,191000.0,1604000.0,56.2,58.0,,,,620.2,35.71428571428572,35.71428571428572
3/23/2015,CSR,58.0,58.0,57.0,57.0,-1.72,1100,64000,149000,255000.0,1668000.0,56.4,57.645833333333336,57.92307692307692,-0.30822649572648686,-0.30822649572648686,740.2,35.71428571428572,34.28571428571429
