Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,DCON-W1,9.0,9.3,9.0,9.0,-1.1,15107,136000,697000,1533000.0,13341000.0,9.0,,,,,15107.0,,
1/6/2015,DCON-W1,9.0,9.1,9.0,9.0,0.0,36500,329000,828000,1385000.0,13569000.0,9.0,,,,,25803.5,,
1/7/2015,DCON-W1,9.0,9.5,9.0,9.1,1.11,36800,335000,1108000,1653000.0,13790000.0,9.033333333333333,,,,,29469.0,,
1/8/2015,DCON-W1,9.5,10.0,9.25,9.45,3.85,117000,1114000,1971000,2743000.0,13451000.0,9.1375,,,,,51351.75,,
1/9/2015,DCON-W1,9.65,10.9,9.65,10.0,5.82,292920,3091000,5005000,5710000.0,15741000.0,9.309999999999999,,,,,99665.4,,
1/12/2015,DCON-W1,10.8,11.1,10.2,10.6,6.0,127900,1389000,6258000,7051000.0,16575000.0,9.629999999999999,,,,,122224.0,,
1/13/2015,DCON-W1,10.6,10.8,10.3,10.8,1.89,15000,157000,6086000,7154000.0,16725000.0,9.99,,,,,117924.0,,
1/14/2015,DCON-W1,10.9,11.0,10.8,10.8,0.0,16020,175000,5926000,7329000.0,16708000.0,10.329999999999998,,,,,113768.0,,
1/15/2015,DCON-W1,10.6,10.6,10.4,10.4,-3.7,14940,156000,4968000,7443000.0,16542000.0,10.52,,,,,93356.0,,
1/16/2015,DCON-W1,10.3,10.6,10.2,10.2,-1.92,13000,133000,2010000,7378000.0,16559000.0,10.559999999999999,,,,,37372.0,,
1/19/2015,DCON-W1,10.2,10.2,10.1,10.1,-0.98,44000,447000,1068000,7770000.0,16583000.0,10.46,,,,,20592.0,,
1/20/2015,DCON-W1,10.2,10.2,9.7,9.7,-3.96,67000,666000,1577000,8185000.0,16693000.0,10.24,9.929166666666667,,,,30992.0,,
1/21/2015,DCON-W1,9.7,9.7,9.05,9.4,-3.09,119100,1104000,2506000,9232000.0,17567000.0,9.96,9.9625,,,,51608.0,,
1/22/2015,DCON-W1,9.3,11.3,9.3,10.1,7.45,247112,2596000,4946000,11692000.0,18765000.0,9.9,10.054166666666667,,,,98042.4,42.857142857142854,42.857142857142854
1/23/2015,DCON-W1,10.2,10.7,9.9,9.9,-1.98,94118,954000,5767000,12317000.0,19299000.0,9.84,10.120833333333332,,,,114266.0,42.857142857142854,42.857142857142854
1/26/2015,DCON-W1,10.5,10.5,10.0,10.3,4.04,23600,242000,5562000,12224000.0,19448000.0,9.88,10.191666666666666,,,,110186.0,50.0,45.23809523809524
1/27/2015,DCON-W1,10.4,10.4,10.0,10.0,-2.91,60300,610000,5506000,11720000.0,19692000.0,9.940000000000001,10.191666666666666,,,,108846.0,42.857142857142854,44.642857142857146
1/28/2015,DCON-W1,10.0,10.0,10.0,10.0,0.0,6800,68000,4470000,8697000.0,15678000.0,10.059999999999999,10.141666666666667,,,,86386.0,35.71428571428572,42.85714285714286
1/29/2015,DCON-W1,10.0,10.9,10.0,10.8,8.0,58147,613000,2487000,7921000.0,15868000.0,10.2,10.141666666666667,,,,48593.0,35.71428571428572,41.42857142857143
1/30/2015,DCON-W1,11.1,11.8,10.8,11.3,4.63,390820,4483000,6016000,12247000.0,20341000.0,10.48,10.183333333333334,,,,107933.4,35.71428571428572,40.00000000000001
2/2/2015,DCON-W1,11.8,12.0,11.3,11.7,3.54,95602,1138000,6912000,13210000.0,21339000.0,10.76,10.291666666666666,,,,122333.8,35.71428571428572,37.14285714285715
2/3/2015,DCON-W1,12.1,12.2,11.5,11.5,-1.71,118421,1415000,7717000,14469000.0,22748000.0,11.059999999999999,10.4,,,,133958.0,35.71428571428572,35.71428571428572
2/4/2015,DCON-W1,11.5,11.7,11.4,11.4,-0.87,34320,394000,8043000,14730000.0,22665000.0,11.34,10.508333333333335,,,,139462.0,35.71428571428572,35.71428571428572
2/5/2015,DCON-W1,11.1,12.0,11.1,11.9,4.39,21800,252000,7682000,14535000.0,22850000.0,11.559999999999999,10.691666666666668,,,,132192.6,42.857142857142854,37.14285714285715
2/6/2015,DCON-W1,12.0,12.0,11.4,11.4,-4.2,29000,336000,3535000,14205000.0,23162000.0,11.58,10.858333333333334,,,,59828.6,42.857142857142854,38.57142857142858
2/9/2015,DCON-W1,11.6,11.6,11.4,11.4,0.0,14000,160000,2557000,13261000.0,23198000.0,11.52,10.966666666666669,10.39423076923077,0.5646011396011392,0.5646011396011392,43508.2,42.857142857142854,40.00000000000001
2/10/2015,DCON-W1,11.0,12.7,11.0,12.4,8.77,334700,4047000,5189000,14712000.0,27197000.0,11.7,11.175000000000002,10.525000000000002,0.6995726495726498,0.6320868945868945,86764.0,50.0,42.85714285714286
2/11/2015,DCON-W1,12.7,12.8,11.8,11.9,-4.03,237460,2878000,7673000,16636000.0,30021000.0,11.8,11.308333333333335,10.636538461538462,0.6692307692307704,0.6444681861348531,127392.0,42.857142857142854,44.285714285714285
2/12/2015,DCON-W1,11.9,13.0,11.7,12.7,6.72,292160,3688000,11109000,20082000.0,33709000.0,11.959999999999999,11.533333333333337,10.775000000000002,0.7952279202279211,0.6821581196581201,181464.0,50.0,45.714285714285715
2/13/2015,DCON-W1,12.6,12.6,11.9,12.1,-4.72,147800,1799000,12572000,21271000.0,35466000.0,12.100000000000001,11.708333333333334,10.87692307692308,0.8010683760683754,0.7059401709401711,205224.0,42.857142857142854,45.714285714285715
2/16/2015,DCON-W1,12.8,12.8,12.1,12.3,1.65,180280,2262000,14674000,23465000.0,37530000.0,12.280000000000001,11.833333333333336,10.965384615384618,0.84088319088319,0.7611965811965813,238480.0,50.0,47.142857142857146
2/17/2015,DCON-W1,12.3,13.3,12.3,13.1,6.5,469720,6059000,16686000,28911000.0,43534000.0,12.42,11.983333333333334,11.061538461538465,0.9425925925925895,0.8098005698005692,265484.0,57.14285714285714,48.57142857142857
2/18/2015,DCON-W1,13.0,13.8,13.0,13.8,5.34,260560,3521000,17329000,27949000.0,46804000.0,12.8,12.158333333333333,11.176923076923078,1.039672364672363,0.8838888888888878,270104.0,57.14285714285714,51.42857142857142
2/19/2015,DCON-W1,13.9,14.0,13.6,13.8,0.0,142020,1965000,15606000,28776000.0,48712000.0,13.02,12.350000000000001,11.292307692307695,1.0950142450142426,0.9438461538461521,240076.0,50.0,51.42857142857142
2/20/2015,DCON-W1,13.7,14.2,13.7,14.0,1.45,216940,3024000,16831000,30385000.0,51600000.0,13.4,12.566666666666665,11.430769230769233,1.1660968660968631,1.0168518518518497,253904.0,50.0,52.857142857142854
2/23/2015,DCON-W1,14.4,14.4,13.8,13.8,-1.43,124700,1762000,16331000,31753000.0,53033000.0,13.7,12.725,11.569230769230769,1.1559116809116805,1.0798575498575478,242788.0,50.0,52.857142857142854
2/24/2015,DCON-W1,13.8,14.1,13.7,13.9,0.72,42300,590000,10862000,32091000.0,53288000.0,13.860000000000003,12.933333333333335,11.715384615384616,1.2048433048433047,1.1323076923076907,157304.0,57.14285714285714,52.857142857142854
2/25/2015,DCON-W1,13.9,13.9,13.3,13.7,-1.44,70600,966000,8307000,32721000.0,53140000.0,13.84,13.125,11.86923076923077,1.2086182336182318,1.1660968660968645,119312.0,50.0,51.42857142857142
2/26/2015,DCON-W1,13.7,13.7,13.2,13.7,0.0,39100,527000,6869000,33088000.0,50576000.0,13.820000000000002,13.233333333333333,12.034615384615385,1.1471509971509963,1.1765242165242153,98728.0,50.0,51.42857142857142
2/27/2015,DCON-W1,13.5,13.6,13.2,13.2,-3.65,165000,2209000,6054000,31250000.0,51396000.0,13.660000000000002,13.341666666666663,12.153846153846153,1.0885327635327613,1.161011396011395,88340.0,50.0,51.42857142857142
3/2/2015,DCON-W1,12.5,13.2,11.9,11.9,-9.85,198600,2432000,6724000,30804000.0,53671000.0,13.280000000000001,13.274999999999999,12.23076923076923,0.857193732193732,1.1012678062678052,103120.0,42.857142857142854,50.0
3/3/2015,DCON-W1,12.0,12.2,11.5,11.9,0.0,46902,547000,6681000,27663000.0,54043000.0,12.879999999999999,13.258333333333335,12.292307692307691,0.7861111111111132,1.017521367521367,104040.4,42.857142857142854,47.142857142857146
3/5/2015,DCON-W1,11.5,11.9,11.1,11.1,-6.72,44700,503000,6218000,26367000.0,54390000.0,12.36,13.158333333333333,12.334615384615386,0.59850427350427,0.8954985754985746,98860.4,35.71428571428572,44.28571428571429
3/6/2015,DCON-W1,11.3,11.8,11.3,11.8,6.31,6100,71000,5762000,24176000.0,54328000.0,11.98,13.050000000000002,12.403846153846153,0.4985754985755033,0.7657834757834759,92260.4,42.857142857142854,42.85714285714286
3/9/2015,DCON-W1,11.4,11.8,11.2,11.7,-0.85,10200,117000,3670000,18234000.0,53998000.0,11.680000000000001,12.875000000000002,12.43846153846154,0.3104700854700848,0.6101709401709406,61300.4,35.71428571428572,40.0
3/10/2015,DCON-W1,11.8,11.8,11.5,11.6,-0.85,8300,97000,1335000,14810000.0,53429000.0,11.620000000000001,12.691666666666668,12.450000000000001,0.13668091168091223,0.4660683760683767,23240.4,28.57142857142857,37.142857142857146
3/11/2015,DCON-W1,11.7,11.7,11.4,11.7,0.86,6900,80000,868000,12925000.0,52405000.0,11.579999999999998,12.5,12.450000000000001,-0.017521367521368347,0.3053418803418804,15240.0,28.57142857142857,34.28571428571429
3/12/2015,DCON-W1,11.9,13.5,11.4,11.5,-1.71,153340,1821000,2186000,11722000.0,51630000.0,11.66,12.308333333333332,12.450000000000001,-0.195655270655271,0.1465099715099722,36968.0,28.57142857142857,32.857142857142854
3/13/2015,DCON-W1,11.4,11.6,11.3,11.3,-1.74,97440,1113000,3228000,11073000.0,51789000.0,11.559999999999999,12.091666666666667,12.446153846153845,-0.39138176638176425,-0.03148148148148131,55236.0,21.42857142857143,28.571428571428573
3/16/2015,DCON-W1,11.3,11.3,11.0,11.2,-0.88,44700,497000,3608000,10980000.0,52044000.0,11.459999999999999,11.883333333333333,12.419230769230769,-0.5507122507122517,-0.20371794871794863,62136.0,21.42857142857143,25.71428571428571
3/17/2015,DCON-W1,10.9,11.0,10.5,10.5,-6.25,58285,627000,4138000,10641000.0,52061000.0,11.24,11.616666666666667,12.384615384615385,-0.8001424501424523,-0.39108262108262154,72133.0,14.285714285714292,22.857142857142858
3/18/2015,DCON-W1,10.7,10.7,10.5,10.5,0.0,97000,1021000,5079000,11135000.0,53014000.0,11.0,11.391666666666666,12.349999999999998,-0.9584757834757838,-0.5792735042735047,90153.0,14.285714285714292,20.000000000000004
3/19/2015,DCON-W1,10.5,10.5,10.4,10.5,0.0,74500,781000,4039000,9707000.0,53182000.0,10.8,11.275,12.276923076923074,-0.9895299145299106,-0.7380484330484325,74385.0,14.285714285714292,17.142857142857146
3/20/2015,DCON-W1,10.5,10.5,10.3,10.3,-1.9,60000,624000,3550000,7899000.0,49323000.0,10.6,11.141666666666666,12.215384615384615,-1.0613247863247874,-0.8720370370370372,66897.0,14.285714285714292,15.714285714285719
3/23/2015,DCON-W1,10.3,10.3,9.7,9.7,-5.83,145900,1451000,4504000,8803000.0,49636000.0,10.3,11.024999999999999,12.099999999999998,-1.1010683760683762,-0.9821082621082621,87137.0,14.285714285714292,14.285714285714292
3/24/2015,DCON-W1,9.6,9.7,9.4,9.5,-2.06,64800,616000,4493000,8916000.0,48837000.0,10.1,10.833333333333334,12.0,-1.1866096866096854,-1.0594017094017087,88440.0,14.285714285714292,14.285714285714292
3/25/2015,DCON-W1,9.4,9.6,9.4,9.6,1.05,29700,282000,3754000,9127000.0,48725000.0,9.92,10.658333333333333,11.896153846153847,-1.230555555555556,-1.1138176638176631,74980.0,21.42857142857143,15.714285714285719
3/26/2015,DCON-W1,9.6,9.9,9.6,9.65,0.52,66700,644000,3617000,9654000.0,49117000.0,9.75,10.495833333333334,11.76346153846154,-1.2412037037037056,-1.1641524216524222,73420.0,21.42857142857143,17.142857142857146
3/27/2015,DCON-W1,9.65,9.65,9.45,9.45,-2.07,7400,71000,3064000,9628000.0,48852000.0,9.579999999999998,10.308333333333334,11.596153846153847,-1.2608974358974354,-1.2040669515669518,62900.0,21.42857142857143,18.571428571428577
3/30/2015,DCON-W1,9.45,9.6,9.45,9.6,1.59,135700,1293000,2906000,10841000.0,49985000.0,9.56,10.15,11.434615384615386,-1.2333333333333325,-1.230519943019943,60860.0,28.57142857142857,21.42857142857143
4/1/2015,DCON-W1,10.4,10.6,10.4,10.5,2.94,23000,242000,2532000,9262000.0,46180000.0,9.76,10.083333333333334,11.3,-1.0933048433048427,-1.2118589743589745,52500.0,28.57142857142857,24.285714285714285
4/2/2015,DCON-W1,10.5,11.1,10.5,10.6,0.95,48900,532000,2782000,8681000.0,43834000.0,9.96,10.033333333333333,11.176923076923078,-1.0136752136752154,-1.1684829059829063,56340.0,35.71428571428572,27.142857142857146
4/3/2015,DCON-W1,10.9,11.0,10.5,10.5,-0.94,58300,628000,2766000,8812000.0,40774000.0,10.129999999999999,10.033333333333333,11.046153846153846,-0.9005698005697997,-1.1003561253561251,54660.0,35.71428571428572,30.0
4/7/2015,DCON-W1,10.9,10.9,10.6,10.8,2.86,9300,100000,2795000,8285000.0,39075000.0,10.4,10.058333333333332,10.934615384615386,-0.7522079772079824,-0.9986182336182345,55040.0,42.857142857142854,34.28571428571429
4/8/2015,DCON-W1,10.6,10.8,10.1,10.7,-0.93,19000,199000,1701000,7463000.0,37012000.0,10.620000000000001,10.075,10.819230769230767,-0.6392450142450148,-0.879800569800571,31700.0,42.857142857142854,37.142857142857146
4/9/2015,DCON-W1,10.6,10.6,10.3,10.3,-3.74,26900,281000,1740000,6963000.0,31234000.0,10.580000000000002,10.075,10.707692307692307,-0.5678774928774928,-0.774715099715101,32480.0,42.857142857142854,40.00000000000001
4/10/2015,DCON-W1,10.1,10.4,10.1,10.4,0.97,1200,12000,1220000,6351000.0,27725000.0,10.54,10.133333333333335,10.649999999999999,-0.4571225071225058,-0.6634045584045591,22940.0,50.0,42.85714285714286
4/16/2015,DCON-W1,10.8,10.8,10.8,10.8,3.85,27400,296000,888000,5196000.0,26056000.0,10.6,10.241666666666667,10.607692307692306,-0.2943732193732185,-0.5421652421652429,16760.0,57.14285714285714,47.14285714285714
4/17/2015,DCON-W1,10.9,10.9,10.8,10.8,0.0,27900,302000,1090000,4882000.0,23334000.0,10.6,10.341666666666667,10.596153846153847,-0.19907407407407618,-0.4315384615384616,20480.0,57.14285714285714,50.0
4/20/2015,DCON-W1,10.2,10.3,10.2,10.3,-4.63,36340,371000,1262000,4971000.0,21943000.0,10.520000000000001,10.395833333333334,10.538461538461538,-0.13970797720797634,-0.3316310541310539,23948.0,57.14285714285714,52.857142857142854
4/21/2015,DCON-W1,10.4,10.5,10.3,10.4,0.97,30600,319000,1300000,4646000.0,21672000.0,10.54,10.475,10.488461538461538,-0.01844729344729501,-0.22174501424501436,24688.0,57.14285714285714,55.71428571428571
4/22/2015,DCON-W1,10.4,10.4,10.3,10.3,-0.96,14000,144000,1432000,4719000.0,20850000.0,10.520000000000001,10.533333333333333,10.43846153846154,0.06923076923076721,-0.11647435897435976,27248.0,50.0,55.71428571428571
4/23/2015,DCON-W1,10.2,10.3,10.1,10.1,-1.94,32000,325000,1461000,3751000.0,20648000.0,10.379999999999999,10.5,10.37692307692308,0.08205128205127998,-0.04118945868946007,28168.0,50.0,54.28571428571429
4/24/2015,DCON-W1,10.3,10.3,10.1,10.1,0.0,57100,583000,1742000,4092000.0,19022000.0,10.24,10.458333333333332,10.323076923076927,0.09665242165241494,0.017955840455838156,34008.0,42.857142857142854,51.42857142857142
