Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
8/14/2015,DCORP-W1,17.0,17.0,16.1,16.8,4.35,800,13000,13000,13000.0,13000.0,16.8,,,,,800.0,,,13000.0,0.0
8/17/2015,DCORP-W1,16.5,16.8,15.3,16.2,-3.57,9800,157000,170000,170000.0,170000.0,16.5,,,,,5300.0,,,85000.0,0.0
8/18/2015,DCORP-W1,15.6,16.2,15.4,15.4,-4.94,85301,1334000,1504000,1504000.0,1504000.0,16.133333333333333,,,,,31967.0,,,501333.33333333326,0.0
8/19/2015,DCORP-W1,16.1,16.1,16.1,16.1,4.55,1800,29000,1533000,1533000.0,1533000.0,16.125,,,,,24425.25,,,383250.0,0.0
8/20/2015,DCORP-W1,16.1,16.1,16.0,16.0,-0.62,20700,332000,1865000,1865000.0,1865000.0,16.1,,,,,23680.2,,,373000.0,0.0
8/21/2015,DCORP-W1,16.0,16.2,16.0,16.0,0.0,52700,848000,2700000,2713000.0,2713000.0,15.94,,,,,34060.2,,,540000.0,0.0
8/24/2015,DCORP-W1,15.6,15.6,14.0,14.0,-12.5,107750,1605000,4148000,4318000.0,4318000.0,15.5,,,,,53650.2,,,829600.0,0.0
8/25/2015,DCORP-W1,14.5,15.4,13.6,15.4,10.0,130900,1900000,4714000,6218000.0,6218000.0,15.5,,,,,62770.0,,,942800.0,0.0
8/26/2015,DCORP-W1,15.4,16.0,15.1,15.9,3.25,59601,924000,5609000,7142000.0,7142000.0,15.46,,,,,74330.2,,,1121800.0,0.0
8/27/2015,DCORP-W1,16.1,16.4,15.9,16.2,1.89,194700,3135000,8412000,10277000.0,10277000.0,15.5,,,,,109130.2,,,1682400.0,0.0
8/28/2015,DCORP-W1,16.3,16.3,15.5,15.5,-4.32,71800,1157000,8721000,11434000.0,11434000.0,15.4,,,,,112950.2,,,1744200.0,0.0
8/31/2015,DCORP-W1,15.8,16.1,15.6,16.1,3.87,45000,715000,7831000,12149000.0,12149000.0,15.82,15.8,,,,100400.2,,,1566200.0,0.0
9/1/2015,DCORP-W1,15.9,15.9,15.5,15.5,-3.73,28201,443000,6374000,12592000.0,12592000.0,15.84,15.691666666666668,,,,79860.4,,,1274800.0,0.0
9/2/2015,DCORP-W1,16.0,16.0,15.7,15.9,2.58,346800,5466000,10916000,18045000.0,18058000.0,15.84,15.666666666666664,,,,137300.2,50.0,50.0,2183200.0,0.0
9/3/2015,DCORP-W1,16.1,16.5,16.1,16.3,2.52,354750,5779000,13560000,23667000.0,23837000.0,15.86,15.741666666666667,,,,169310.2,50.0,50.0,2712000.0,0.0
9/4/2015,DCORP-W1,16.0,16.0,16.0,16.0,-1.84,6200,99000,12502000,22432000.0,23936000.0,15.96,15.733333333333334,,,,156190.2,50.0,50.0,2500400.0,0.0
9/7/2015,DCORP-W1,16.0,16.0,15.5,15.8,-1.25,24300,384000,12171000,22787000.0,24320000.0,15.9,15.716666666666667,,,,152050.2,50.0,50.0,2434200.0,0.0
9/8/2015,DCORP-W1,16.0,16.0,15.4,15.9,0.63,147400,2336000,14064000,24791000.0,26656000.0,15.98,15.708333333333336,,,,175890.0,50.0,50.0,2812800.0,0.0
9/9/2015,DCORP-W1,15.8,15.8,15.8,15.8,-0.63,2000,32000,8630000,23975000.0,26688000.0,15.96,15.858333333333334,,,,106930.0,50.0,50.0,1726000.0,0.0
9/10/2015,DCORP-W1,15.9,15.9,15.7,15.7,-0.63,19000,300000,3151000,22670000.0,26988000.0,15.84,15.883333333333335,,,,39780.0,50.0,50.0,630200.0,0.0
9/11/2015,DCORP-W1,15.9,15.9,15.7,15.8,0.64,112200,1782000,4834000,22552000.0,28770000.0,15.8,15.875,,,,60980.0,57.14285714285714,51.42857142857142,966800.0,0.0
9/14/2015,DCORP-W1,15.5,15.5,15.5,15.5,-1.9,200,3000,4453000,21631000.0,28773000.0,15.74,15.816666666666668,,,,56160.0,50.0,51.42857142857142,890600.0,0.0
9/15/2015,DCORP-W1,15.1,15.1,15.1,15.1,-2.58,7100,107000,2224000,18603000.0,28880000.0,15.579999999999998,15.783333333333333,,,,28100.0,42.857142857142854,50.0,444800.0,0.0
9/16/2015,DCORP-W1,15.0,15.0,14.3,15.0,-0.66,58500,877000,3069000,18323000.0,29757000.0,15.419999999999998,15.691666666666668,,,,39400.0,35.714285714285715,47.14285714285714,613800.0,0.0
9/17/2015,DCORP-W1,15.1,15.5,14.8,15.5,3.33,46100,696000,3465000,18304000.0,30453000.0,15.38,15.691666666666665,,,,44820.0,42.857142857142854,45.714285714285715,693000.0,0.0
9/18/2015,DCORP-W1,14.9,15.0,14.9,15.0,-3.23,20000,299000,1982000,18160000.0,30752000.0,15.22,15.616666666666667,15.707692307692303,-0.1334757834757827,-0.1334757834757827,26380.0,35.714285714285715,41.42857142857143,396400.0,0.0
9/21/2015,DCORP-W1,15.0,15.6,14.8,15.6,4.0,124700,1910000,3889000,14604000.0,32662000.0,15.24,15.558333333333332,15.661538461538465,-0.0922364672364715,-0.1128561253561271,51280.0,42.857142857142854,40.00000000000001,777800.0,0.0
9/22/2015,DCORP-W1,15.5,15.5,15.5,15.5,-0.64,72600,1125000,4907000,9950000.0,33787000.0,15.32,15.516666666666666,15.634615384615385,-0.11054131054131487,-0.11208452041785637,64380.0,35.714285714285715,38.571428571428584,981400.0,0.0
9/23/2015,DCORP-W1,14.9,14.9,14.8,14.8,-4.52,30000,445000,4475000,10296000.0,34232000.0,15.28,15.433333333333335,15.611538461538467,-0.215527065527068,-0.13794515669515928,58680.0,28.57142857142857,37.142857142857146,895000.0,0.0
9/28/2015,DCORP-W1,15.3,15.3,15.3,15.3,3.38,200,3000,1573000,7547000.0,34235000.0,15.24,15.383333333333335,15.580769230769231,-0.18945868945868932,-0.1482478632478653,49500.0,35.714285714285715,35.714285714285715,756400.0,0.0
9/30/2015,DCORP-W1,15.0,15.0,14.3,14.3,-6.54,15200,218000,221000,5683000.0,34453000.0,15.1,15.258333333333335,15.515384615384619,-0.3144586894586929,-0.18444444444444733,48540.0,35.714285714285715,35.714285714285715,740200.0,0.0
10/1/2015,DCORP-W1,14.4,14.4,14.3,14.3,0.0,20000,287000,508000,5967000.0,34727000.0,14.84,15.141666666666673,15.450000000000005,-0.3526353276353298,-0.23652421652421896,27600.0,28.57142857142857,32.857142857142854,415600.0,0.0
10/2/2015,DCORP-W1,14.3,14.9,14.3,14.9,4.2,18148,269000,777000,6129000.0,34839000.0,14.720000000000002,15.066666666666668,15.484615384615385,-0.4002849002849036,-0.2944729344729368,16709.6,35.714285714285715,32.85714285714286,244400.0,0.0
