Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
12/26/2017,DDD,99.0,100.0,80.25,85.0,60.38,65253154,5799353480,5799353480,5799353480.0,5799353480.0,85.0,,,,,65253154.0,,,5799353480.0,0.0
12/27/2017,DDD,85.75,85.75,81.5,82.0,-3.53,10998990,911722770,6711076250,6711076250.0,6711076250.0,83.5,,,,,38126072.0,,,3355538125.0,0.0
12/28/2017,DDD,82.0,86.75,81.75,83.75,2.13,13268572,1121133460,7832209710,7832209710.0,7832209710.0,83.58333333333333,,,,,29840238.66666667,,,2610736570.0,0.0
12/29/2017,DDD,84.5,89.75,83.0,88.5,5.67,16855906,1474297780,9306507490,9306507490.0,9306507490.0,84.8125,,,,,26594155.5,,,2326626872.5,0.0
1/3/2018,DDD,90.0,95.75,88.5,95.0,7.34,17082197,1576976000,10883483490,10883483490.0,10883483490.0,86.85,,,,,24691763.8,,,2176696698.0,0.0
1/4/2018,DDD,92.5,97.0,91.5,94.5,-0.53,7490532,708708610,5792838620,11592192100.0,11592192100.0,88.75,,,,,13139239.4,,,1158567724.0,0.0
1/5/2018,DDD,94.5,96.25,94.25,94.25,-0.26,2488823,236724050,5117839900,11828916150.0,11828916150.0,91.2,,,,,11437206.0,,,1023567980.0,0.0
1/8/2018,DDD,93.25,93.75,90.5,92.0,-2.39,1698080,157103820,4153810260,11986019970.0,11986019970.0,92.85,,,,,9123107.6,,,830762052.0,0.0
1/9/2018,DDD,93.0,94.75,91.0,94.75,2.99,794553,73786830,2753299310,12059806800.0,12059806800.0,94.1,,,,,5910837.0,,,550659862.0,0.0
1/10/2018,DDD,94.75,95.25,88.0,91.0,-3.96,3749773,341856910,1518180220,12401663710.0,12401663710.0,93.3,,,,,3244352.2,,,303636044.0,0.0
1/12/2018,DDD,93.25,103.0,92.75,103.0,10.16,6369755,629860800,1439332410,13031524510.0,13031524510.0,95.0,,,,,3020196.8,,,287866482.0,0.0
1/15/2018,DDD,102.0,105.0,97.5,99.0,-3.88,3650932,367753440,1570361800,13399277950.0,13399277950.0,95.95,91.89583333333331,,,,3252618.6,,,314072360.0,0.0
1/16/2018,DDD,99.0,104.0,93.0,102.0,3.03,3993362,393230980,1806488960,13792508930.0,13792508930.0,97.95,93.3125,,,,3711675.0,,,361297792.0,0.0
1/17/2018,DDD,100.0,108.5,99.75,106.0,3.92,2778614,292620660,2025322790,8285776110.0,14085129590.0,100.2,95.3125,,,,4108487.2,57.14285714285714,57.14285714285714,405064558.0,0.0
1/18/2018,DDD,107.5,108.0,103.5,106.0,0.0,1037053,109243700,1792709580,7483297040.0,14194373290.0,103.2,97.16666666666669,,,,3565943.2,50.0,53.57142857142857,358541916.0,0.0
1/19/2018,DDD,111.0,114.0,107.5,113.0,6.6,3210398,357932840,1520781620,6720096420.0,14552306130.0,105.2,99.20833333333331,,,,2934071.8,57.14285714285714,54.76190476190475,304156324.0,0.0
1/22/2018,DDD,111.5,113.0,108.5,112.0,-0.88,953124,105307190,1258335370,5351105830.0,14657613320.0,107.8,100.625,,,,2394510.2,50.0,53.57142857142857,251667074.0,0.0
1/23/2018,DDD,112.5,112.5,105.5,109.0,-2.68,1883903,203864990,1068969380,3977994820.0,14861478310.0,109.2,101.83333333333331,,,,1972618.4,42.857142857142854,51.42857142857142,213793876.0,0.0
1/24/2018,DDD,109.0,110.0,105.5,110.0,0.92,840414,90388580,866737300,3359674790.0,14951866890.0,110.0,103.14583333333331,,,,1584978.4,42.857142857142854,48.57142857142857,173347460.0,0.0
1/25/2018,DDD,110.5,112.5,108.5,109.5,-0.45,984648,108908160,866401760,3231858900.0,15060775050.0,110.7,104.60416666666669,,,,1574497.4,42.857142857142854,47.14285714285714,173280352.0,0.0
1/26/2018,DDD,110.5,110.5,107.0,109.0,-0.46,615360,66557400,575026320,3141312480.0,15127332450.0,109.9,105.79166666666669,,,,1055489.8,42.857142857142854,44.28571428571429,115005264.0,0.0
1/29/2018,DDD,108.0,112.5,108.0,112.5,3.21,521106,57817410,527536540,3125343060.0,15185149860.0,110.0,107.58333333333331,,,,969086.2,50.0,44.28571428571429,105507308.0,0.0
1/30/2018,DDD,112.0,116.0,109.0,111.5,-0.89,1504813,168494870,492166420,2951981020.0,15353644730.0,110.5,108.29166666666669,,,,893268.2,42.857142857142854,44.28571428571429,98433284.0,0.0
