Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,DEMCO-W6,2.98,3.06,2.94,2.94,0.68,424800,1272000,2007000,9288000.0,230696000.0,2.94,,,,,424800.0,,,1272000.0,0.0
1/6/2015,DEMCO-W6,2.94,3.06,2.94,2.98,1.36,44600,134000,2103000,7719000.0,226565000.0,2.96,,,,,234700.0,,,703000.0,0.0
1/7/2015,DEMCO-W6,3.04,3.04,3.0,3.04,2.01,30950,94000,1868000,6279000.0,219320000.0,2.986666666666667,,,,,166783.33333333337,,,500000.0,0.0
1/8/2015,DEMCO-W6,3.0,3.14,3.0,3.02,-0.66,182950,563000,2271000,5811000.0,214257000.0,2.995,,,,,170825.0,,,515750.0,0.0
1/9/2015,DEMCO-W6,3.04,3.12,3.04,3.12,3.31,229300,707000,2770000,5860000.0,214173000.0,3.0200000000000005,,,,,182520.0,,,554000.0,0.0
1/12/2015,DEMCO-W6,3.12,3.26,3.12,3.22,3.21,288625,926000,2424000,5493000.0,213956000.0,3.076,,,,,155285.0,,,484800.0,0.0
1/13/2015,DEMCO-W6,3.22,3.3,3.06,3.24,0.62,172350,558000,2848000,5296000.0,214030000.0,3.128,,,,,180835.0,,,569600.0,0.0
1/14/2015,DEMCO-W6,3.3,3.32,3.18,3.18,-1.85,612700,2006000,4760000,7087000.0,211581000.0,3.156,,,,,297185.0,,,952000.0,0.0
1/15/2015,DEMCO-W6,3.28,3.3,3.1,3.1,-2.52,68737,219000,4416000,7214000.0,209948000.0,3.1719999999999997,,,,,274342.4,,,883200.0,0.0
1/16/2015,DEMCO-W6,3.22,3.22,3.12,3.2,3.23,35142,110000,3819000,7286000.0,148804000.0,3.188,,,,,235510.8,,,763800.0,0.0
1/19/2015,DEMCO-W6,3.18,3.26,3.1,3.1,-3.12,98450,310000,3203000,7267000.0,102561000.0,3.1639999999999997,,,,,197475.8,,,640600.0,0.0
1/20/2015,DEMCO-W6,3.16,3.2,3.04,3.06,-1.29,143050,440000,3085000,7547000.0,94408000.0,3.128,3.1,,,,191615.8,,,617000.0,0.0
1/21/2015,DEMCO-W6,3.1,3.12,3.06,3.06,0.0,49325,152000,1231000,7491000.0,89284000.0,3.104,3.1100000000000008,,,,78940.8,,,246200.0,0.0
1/22/2015,DEMCO-W6,3.12,3.18,3.08,3.1,1.31,156100,488000,1500000,6707000.0,85704000.0,3.104,3.120000000000001,,,,96413.4,57.14285714285714,57.14285714285714,300000.0,0.0
1/23/2015,DEMCO-W6,3.1,3.14,3.1,3.1,0.0,78200,244000,1634000,6817000.0,79619000.0,3.084,3.125,,,,105025.0,50.0,53.57142857142857,326800.0,0.0
1/26/2015,DEMCO-W6,3.08,3.08,2.98,2.98,-3.87,234000,708000,2032000,7431000.0,54413000.0,3.06,3.121666666666666,,,,132135.0,42.857142857142854,50.0,406400.0,0.0
1/27/2015,DEMCO-W6,3.0,3.34,3.0,3.28,10.07,1091775,3566000,5158000,10434000.0,42047000.0,3.104,3.135,,,,321880.0,42.857142857142854,48.214285714285715,1031600.0,0.0
1/28/2015,DEMCO-W6,3.34,3.34,3.14,3.14,-4.27,320325,1028000,6034000,10755000.0,33586000.0,3.12,3.1283333333333334,,,,376080.0,42.857142857142854,47.14285714285714,1206800.0,0.0
1/29/2015,DEMCO-W6,3.28,3.28,3.14,3.16,0.64,154357,491000,6037000,10320000.0,29989000.0,3.132,3.1216666666666675,,,,375731.4,42.857142857142854,44.28571428571429,1207400.0,0.0
1/30/2015,DEMCO-W6,3.24,3.28,3.1,3.1,-1.9,124100,397000,6190000,10159000.0,26782000.0,3.132,3.115,,,,384911.4,35.714285714285715,41.42857142857143,1238000.0,0.0
2/2/2015,DEMCO-W6,3.2,3.34,3.16,3.3,6.45,982100,3228000,8710000,11381000.0,26851000.0,3.196,3.1316666666666664,,,,534531.4,35.714285714285715,40.0,1742000.0,0.0
2/3/2015,DEMCO-W6,3.36,3.36,3.24,3.24,-1.82,224800,739000,5883000,11901000.0,26396000.0,3.188,3.135,,,,361136.4,35.714285714285715,38.571428571428584,1176600.0,0.0
2/4/2015,DEMCO-W6,3.26,3.28,3.18,3.18,-1.85,271300,880000,5735000,12671000.0,25573000.0,3.196,3.141666666666667,,,,351331.4,35.714285714285715,37.142857142857146,1147000.0,0.0
2/5/2015,DEMCO-W6,3.2,3.24,3.14,3.16,-0.63,236317,753000,5997000,13114000.0,24792000.0,3.196,3.15,,,,367723.4,28.57142857142857,34.285714285714285,1199400.0,0.0
2/6/2015,DEMCO-W6,3.18,3.2,3.16,3.16,0.0,152300,485000,6085000,13159000.0,24246000.0,3.208,3.1583333333333328,,,,373363.4,28.57142857142857,32.857142857142854,1217000.0,0.0
2/9/2015,DEMCO-W6,3.16,3.16,3.1,3.1,-1.9,117200,367000,3224000,13374000.0,23955000.0,3.168,3.1583333333333337,3.125384615384616,0.025854700854700763,0.025854700854700763,200383.4,28.57142857142857,31.428571428571434,644800.0,0.0
2/10/2015,DEMCO-W6,3.06,3.16,3.04,3.08,-0.65,45000,138000,2623000,13024000.0,22800000.0,3.136,3.1566666666666667,3.130769230769231,0.017863247863247892,0.021858974358974333,164423.4,28.57142857142857,30.0,524600.0,0.0
2/11/2015,DEMCO-W6,3.1,3.1,3.06,3.08,0.0,46500,143000,1886000,12923000.0,22188000.0,3.116,3.165,3.1346153846153846,0.02135327635327621,0.021690408357074958,119463.4,21.42857142857143,27.142857142857146,377200.0,0.0
2/12/2015,DEMCO-W6,3.08,3.14,3.06,3.06,-0.65,111800,345000,1478000,12560000.0,22318000.0,3.096,3.146666666666667,3.1353846153846154,0.003532763532763994,0.017150997150997216,94560.0,21.42857142857143,25.71428571428571,295600.0,0.0
2/13/2015,DEMCO-W6,3.08,3.1,3.04,3.06,0.0,74150,228000,1221000,9222000.0,22454000.0,3.076,3.140000000000001,3.1369230769230763,-0.0035327635327626616,0.013014245014245241,78930.0,21.42857142857143,24.285714285714285,244200.0,0.0
2/16/2015,DEMCO-W6,3.06,3.12,3.06,3.08,0.65,40800,125000,979000,8319000.0,22541000.0,3.072,3.1333333333333333,3.1353846153846154,-0.006153846153846398,0.006612535612535808,63650.0,21.42857142857143,22.857142857142854,195800.0,0.0
2/17/2015,DEMCO-W6,3.12,3.22,3.06,3.06,-0.65,39400,122000,963000,7950000.0,22334000.0,3.0680000000000005,3.1299999999999994,3.12923076923077,-0.004871794871796009,0.0020655270655270284,62530.0,21.42857142857143,21.42857142857143,192600.0,0.0
2/18/2015,DEMCO-W6,3.08,3.08,2.96,2.96,-3.27,524075,1573000,2393000,9126000.0,23747000.0,3.0439999999999996,3.1016666666666666,3.1184615384615384,-0.026851851851851904,-0.007575498575498595,158045.0,14.285714285714292,20.000000000000004,478600.0,0.0
2/19/2015,DEMCO-W6,3.08,3.08,2.86,2.88,-2.7,662100,1931000,3979000,7829000.0,25470000.0,3.008,3.0716666666666663,3.1069230769230765,-0.04793447293447306,-0.017868945868946006,268105.0,14.285714285714292,18.571428571428573,795800.0,0.0
2/20/2015,DEMCO-W6,2.84,2.92,2.8,2.82,-2.08,583525,1653000,5404000,8743000.0,25851000.0,2.96,3.0416666666666665,3.0961538461538454,-0.06813390313390189,-0.03078917378917385,369980.0,7.142857142857139,15.714285714285715,1080800.0,0.0
