Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
7/19/2017,DIGI,0.15,0.16,0.14,0.15,-6.25,6604433,995850,995850,995850.0,995850.0,0.15,,,,,6604433.0,,
7/20/2017,DIGI,0.15,0.16,0.15,0.15,0.0,3619358,548970,1544820,1544820.0,1544820.0,0.15,,,,,5111895.5,,
7/21/2017,DIGI,0.15,0.16,0.15,0.15,0.0,5629801,869050,2413870,2413870.0,2413870.0,0.15,,,,,5284530.666666667,,
7/24/2017,DIGI,0.15,0.16,0.15,0.15,0.0,10705100,1605880,4019750,4019750.0,4019750.0,0.15,,,,,6639673.0,,
7/25/2017,DIGI,0.16,0.19,0.15,0.17,13.33,86578469,15018700,19038450,19038450.0,19038450.0,0.154,,,,,22627432.2,,
7/26/2017,DIGI,0.86,0.88,0.79,0.79,-7.06,7026938,5927200,23969800,24965650.0,24965650.0,0.28200000000000003,,,,,22711933.2,,
7/27/2017,DIGI,0.79,0.8,0.65,0.73,-7.59,7294442,5232750,28653580,30198400.0,30198400.0,0.398,,,,,23446950.0,,
7/31/2017,DIGI,0.74,0.76,0.74,0.74,1.37,464481,344370,28128900,30542770.0,30542770.0,0.516,,,,,22413886.0,,
8/2/2017,DIGI,0.74,0.75,0.74,0.74,0.0,571573,423000,26946020,30965770.0,30965770.0,0.634,,,,,20387180.6,,
8/4/2017,DIGI,0.75,0.77,0.75,0.75,0.0,786707,596750,12524070,31562520.0,31562520.0,0.75,,,,,3228828.2,,
8/7/2017,DIGI,0.75,0.75,0.74,0.74,-1.33,394854,293700,6890570,31856220.0,31856220.0,0.74,,,,,1902411.4,,
8/8/2017,DIGI,0.74,0.74,0.73,0.73,-1.35,586660,430330,2088150,32286550.0,32286550.0,0.74,0.4991666666666667,,,,560855.0,,
8/9/2017,DIGI,0.74,0.75,0.73,0.73,0.0,668544,490260,2234040,32776810.0,32776810.0,0.738,0.5475,,,,601667.6,,
8/10/2017,DIGI,0.73,0.75,0.73,0.73,0.0,482920,353670,2164710,32134630.0,33130480.0,0.736,0.5958333333333333,,,,583937.0,14.285714285714292,14.285714285714292
8/11/2017,DIGI,0.73,0.73,0.71,0.71,-2.74,892920,643930,2211890,32229590.0,33774410.0,0.728,0.6425000000000002,,,,605179.6,14.285714285714292,14.285714285714292
8/15/2017,DIGI,0.7,0.72,0.7,0.7,-1.41,721895,508160,2426350,31868700.0,34282570.0,0.72,0.6883333333333335,,,,670587.8,14.285714285714292,14.285714285714292
8/17/2017,DIGI,0.67,0.68,0.64,0.64,-4.48,1723140,1131050,3127070,31393870.0,35413620.0,0.7020000000000001,0.7275000000000001,,,,897883.8,14.285714285714292,14.285714285714292
8/18/2017,DIGI,0.63,0.63,0.6,0.61,-4.69,5145049,3133890,5770700,19509060.0,38547510.0,0.6779999999999999,0.7125,,,,1793184.8,14.285714285714292,14.285714285714292
8/21/2017,DIGI,0.6,0.62,0.6,0.61,0.0,1145241,696670,6113700,14278530.0,39244180.0,0.6539999999999999,0.7025,,,,1925649.0,7.142857142857139,12.857142857142861
8/22/2017,DIGI,0.61,0.62,0.6,0.6,-1.64,750559,456090,5925860,9501870.0,39700270.0,0.6319999999999999,0.6908333333333334,,,,1897176.8,7.142857142857139,11.42857142857143
8/23/2017,DIGI,0.6,0.61,0.57,0.58,-3.33,1618401,952450,6370150,10109950.0,40652720.0,0.608,0.6774999999999999,,,,2076478.0,7.142857142857139,10.0
8/24/2017,DIGI,0.58,0.75,0.56,0.75,29.31,73874343,52660170,57899270,62347120.0,93312890.0,0.63,0.6774999999999999,,,,16506718.6,7.142857142857139,8.57142857142857
8/25/2017,DIGI,0.74,0.94,0.73,0.85,13.33,160066919,135937380,190702760,197687750.0,229250270.0,0.678,0.6866666666666666,,,,47491092.6,14.285714285714292,8.57142857142857
8/28/2017,DIGI,0.85,0.88,0.82,0.84,-1.18,36359949,31115780,221121870,228509830.0,260366050.0,0.724,0.6958333333333333,,,,54534034.2,14.285714285714292,10.0
8/29/2017,DIGI,0.84,0.85,0.82,0.83,-1.19,12592740,10523520,231189300,238603020.0,270889570.0,0.77,0.7041666666666666,,,,56902470.4,14.285714285714292,11.42857142857143
8/30/2017,DIGI,0.84,0.96,0.84,0.91,9.64,96415580,88466280,318703130,326579040.0,359355850.0,0.836,0.7191666666666666,0.6184615384615384,0.10846866096866103,0.10846866096866103,75861906.2,21.42857142857143,14.285714285714288
