Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
7/25/2018,DIMET-W2,0.14,0.21,0.13,0.2,0.0,182789099,31894040,31894040,31894040.0,31894040.0,0.2,,,,,182789099.0,,,31894040.0,0.0
7/26/2018,DIMET-W2,0.21,0.26,0.2,0.2,0.0,161048500,36531300,68425340,68425340.0,68425340.0,0.2,,,,,171918799.5,,,34212670.0,0.0
7/31/2018,DIMET-W2,0.2,0.22,0.18,0.19,-5.0,38259200,7650410,76075750,76075750.0,76075750.0,0.19666666666666668,,,,,127365599.66666669,,,25358583.33333333,0.0
8/1/2018,DIMET-W2,0.19,0.21,0.16,0.17,-10.53,35529400,6609940,82685690,82685690.0,82685690.0,0.19000000000000009,,,,,104406549.75,,,20671422.5,0.0
8/2/2018,DIMET-W2,0.17,0.18,0.16,0.17,0.0,19531000,3320200,86005890,86005890.0,86005890.0,0.18600000000000005,,,,,87431439.8,,,17201178.0,0.0
8/3/2018,DIMET-W2,0.18,0.19,0.17,0.17,0.0,13325700,2345000,56456850,88350890.0,88350890.0,0.18000000000000002,,,,,53538760.0,,,11291370.0,0.0
8/6/2018,DIMET-W2,0.17,0.17,0.15,0.15,-11.76,9575600,1521150,21446700,89872040.0,89872040.0,0.17,,,,,23244180.0,,,4289340.0,0.0
8/7/2018,DIMET-W2,0.15,0.16,0.14,0.15,0.0,4842700,709790,14506080,90581830.0,90581830.0,0.162,,,,,16560880.0,,,2901216.0,0.0
8/8/2018,DIMET-W2,0.15,0.17,0.14,0.15,0.0,17122300,2639780,10535920,93221610.0,93221610.0,0.158,,,,,12879460.0,,,2107184.0,0.0
8/9/2018,DIMET-W2,0.16,0.16,0.14,0.15,0.0,7871100,1183940,8399660,94405550.0,94405550.0,0.154,,,,,10547480.0,,,1679932.0,0.0
8/10/2018,DIMET-W2,0.15,0.15,0.13,0.13,-13.33,13211671,1810060,7864720,96215610.0,96215610.0,0.146,,,,,10524674.2,,,1572944.0,0.0
8/14/2018,DIMET-W2,0.13,0.15,0.12,0.14,7.69,23213000,3182180,9525750,99397790.0,99397790.0,0.14400000000000002,0.16416666666666666,,,,13252154.2,,,1905150.0,0.0
