Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,DNA,14.6,16.4,14.6,15.6,4.0,3780601,59463000,513795000,2536432000.0,5872342000.0,15.6,,,,,3780601.0,,,59463000.0,0.0
1/6/2015,DNA,15.4,16.0,15.1,15.1,-3.21,8894601,138071000,605025000,2583932000.0,5576966000.0,15.35,,,,,6337601.0,,,98767000.0,0.0
1/7/2015,DNA,15.1,15.8,15.1,15.1,0.0,1245619,19182000,599439000,2522170000.0,5482197000.0,15.266666666666666,,,,,4640273.666666667,,,72238666.66666667,0.0
1/8/2015,DNA,15.3,15.8,14.8,14.9,-1.32,2793400,42019000,315585000,1896201000.0,5432480000.0,15.175,,,,,4178555.25,,,64683750.0,0.0
1/9/2015,DNA,15.0,15.2,14.2,14.4,-3.36,4775700,70017000,328752000,1424251000.0,5389160000.0,15.02,,,,,4297984.2,,,65750400.0,0.0
1/12/2015,DNA,14.9,16.9,13.8,16.9,17.36,9099500,134635000,403924000,1209902000.0,5436493000.0,15.28,,,,,5361764.0,,,80784800.0,0.0
1/13/2015,DNA,17.3,17.7,16.6,17.0,0.59,13416550,229949000,495802000,1264595000.0,5414647000.0,15.66,,,,,6266153.8,,,99160400.0,0.0
1/14/2015,DNA,17.2,17.2,16.5,16.6,-2.35,4779337,80325000,556945000,1315636000.0,5320984000.0,15.960000000000004,,,,,6972897.4,,,111389000.0,0.0
1/15/2015,DNA,16.6,16.9,16.1,16.1,-3.01,2543500,41704000,556630000,1269697000.0,5246508000.0,16.2,,,,,6922917.4,,,111326000.0,0.0
1/16/2015,DNA,16.0,16.7,15.5,15.5,-3.73,3997710,63806000,550419000,1286662000.0,5272511000.0,16.419999999999998,,,,,6767319.4,,,110083800.0,0.0
1/19/2015,DNA,15.7,15.9,14.7,14.9,-3.87,2412301,36530000,452314000,1298424000.0,5277512000.0,16.020000000000003,,,,,5429879.6,,,90462800.0,0.0
1/20/2015,DNA,15.0,15.1,14.1,14.2,-4.7,15898312,231037000,453402000,1203588000.0,5467445000.0,15.46,15.525,,,,5926232.0,,,90680400.0,0.0
1/21/2015,DNA,14.3,14.9,14.2,14.4,1.41,18020951,261991000,635068000,1408729000.0,5323420000.0,15.02,15.425,,,,8574554.8,,,127013600.0,0.0
1/22/2015,DNA,14.6,14.6,14.0,14.2,-1.39,1904183,27095000,620459000,1376361000.0,4696953000.0,14.639999999999995,15.35,,,,8446691.4,28.57142857142857,28.57142857142857,124091800.0,0.0
1/23/2015,DNA,14.1,14.2,13.7,13.8,-2.82,1794100,24877000,581530000,1263167000.0,4583838000.0,14.3,15.241666666666667,,,,8005969.4,21.42857142857143,25.0,116306000.0,0.0
1/26/2015,DNA,13.7,14.0,13.0,13.2,-4.35,2240907,30015000,575015000,1274000000.0,4478033000.0,13.96,15.1,,,,7971690.6,21.42857142857143,23.809523809523807,115003000.0,0.0
1/27/2015,DNA,13.0,13.1,11.8,12.1,-8.33,4475703,54920000,398898000,1286901000.0,4321081000.0,13.54,14.908333333333333,,,,5687168.8,21.42857142857143,23.214285714285715,79779600.0,0.0
1/28/2015,DNA,12.2,13.7,12.2,12.5,3.31,2878601,37408000,174315000,1254292000.0,4261942000.0,13.160000000000002,14.541666666666664,,,,2658698.8,28.57142857142857,24.285714285714285,34863000.0,0.0
1/29/2015,DNA,12.8,13.0,12.1,12.4,-0.8,3065977,38169000,185389000,1157826000.0,4232746000.0,12.8,14.158333333333333,,,,2891057.6,28.57142857142857,24.285714285714285,37077800.0,0.0
1/30/2015,DNA,12.6,13.4,12.5,12.5,0.81,6117600,79229000,239741000,1007106000.0,4286219000.0,12.54,13.816666666666668,,,,3755757.6,28.57142857142857,25.71428571428571,47948200.0,0.0
2/2/2015,DNA,12.7,13.1,12.3,12.7,1.6,4873800,61659000,271385000,988440000.0,4292878000.0,12.44,13.533333333333333,,,,4282336.2,28.57142857142857,27.142857142857146,54277000.0,0.0
2/3/2015,DNA,2.9,3.28,2.74,3.12,22.83,209918984,657402000,873867000,1604138000.0,4896472000.0,10.643999999999998,12.501666666666665,,,,45370992.4,35.714285714285715,30.0,174773400.0,0.0
2/4/2015,DNA,3.04,3.16,2.82,2.88,-7.69,32388480,96229000,932688000,1636561000.0,4902130000.0,8.719999999999999,11.5,,,,51272968.2,35.714285714285715,31.428571428571434,186537600.0,0.0
2/5/2015,DNA,2.84,2.94,2.68,2.94,2.08,22593701,63630000,958149000,1663661000.0,4884816000.0,6.8279999999999985,10.561666666666667,,,,55178513.0,42.857142857142854,34.285714285714285,191629800.0,0.0
2/6/2015,DNA,3.0,3.0,2.84,2.86,-2.72,13898500,40052000,918972000,1472676000.0,4256880000.0,4.9,9.6,,,,56734693.0,42.857142857142854,37.142857142857146,183794400.0,0.0
2/9/2015,DNA,2.86,2.88,2.5,2.5,-12.59,14877700,40123000,897436000,1250808000.0,3755036000.0,2.86,8.625,12.246153846153845,-3.841524216524215,-3.841524216524215,58735473.0,42.857142857142854,40.00000000000001,179487200.0,0.0
2/10/2015,DNA,2.52,2.56,2.38,2.4,-4.0,9941300,24148000,264182000,1247861000.0,3430200000.0,2.716,7.675,11.738461538461536,-4.183262108262106,-4.0123931623931615,18739936.2,35.714285714285715,40.00000000000001,52836400.0,0.0
2/11/2015,DNA,2.4,2.64,2.4,2.46,2.5,24417603,61384000,229337000,1284368000.0,3316328000.0,2.632,6.78,11.252307692307687,-4.4856410256410255,-4.170142450142449,17145760.8,42.857142857142854,41.42857142857143,45867400.0,0.0
2/12/2015,DNA,2.48,2.54,2.38,2.52,2.44,19734300,48692000,214399000,1303045000.0,3335736000.0,2.548,5.9816666666666665,10.768461538461537,-4.708361823361824,-4.304697293447292,16573880.6,50.0,42.857142857142854,42879800.0,0.0
2/13/2015,DNA,2.54,2.56,2.46,2.52,0.0,6143801,15352000,189699000,1263477000.0,3263445000.0,2.48,5.15,10.29230769230769,-4.9711965811965815,-4.437997150997151,15022940.8,50.0,44.28571428571429,37939800.0,0.0
2/16/2015,DNA,2.5,2.54,2.42,2.46,-2.38,7545300,18699000,168275000,1244768000.0,3235303000.0,2.472,4.321666666666667,9.833076923076923,-5.251666666666669,-4.720025641025641,13556460.8,50.0,45.714285714285715,33655000.0,0.0
2/17/2015,DNA,2.46,2.48,2.34,2.42,-1.63,18504800,44304000,188431000,1250903000.0,3254839000.0,2.476,3.4816666666666682,9.276153846153848,-5.449957264957267,-4.9733646723646725,15269160.8,42.857142857142854,47.14285714285714,37686200.0,0.0
2/18/2015,DNA,2.36,2.46,2.24,2.4,-0.83,32721775,77108000,204155000,1248782000.0,3006074000.0,2.464,2.623333333333333,8.714615384615389,-5.657891737891741,-5.2078148148148165,16929995.2,42.857142857142854,47.14285714285714,40831000.0,0.0
