Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
6/20/2018,DOD,10.6,14.7,9.85,14.7,58.06,331278050,3897893820,3897893820,3897893820.0,3897893820.0,14.7,,,,,331278050.0,,,3897893820.0,0.0
6/21/2018,DOD,14.8,15.9,11.5,12.9,-12.24,317831718,4660207260,8558101080,8558101080.0,8558101080.0,13.8,,,,,324554884.0,,,4279050540.0,0.0
6/22/2018,DOD,13.3,13.4,11.4,11.7,-9.3,70743207,877907750,9436008830,9436008830.0,9436008830.0,13.1,,,,,239950991.66666663,,,3145336276.6666665,0.0
6/23/2018,DOD,11.6,13.3,11.4,13.3,13.68,65868502,821609900,10257618730,10257618730.0,10257618730.0,13.15,,,,,196430369.25,,,2564404682.5,0.0
6/25/2018,DOD,11.6,13.3,11.4,13.3,13.68,65868502,821609900,11079228630,11079228630.0,11079228630.0,13.179999999999998,,,,,170317995.8,,,2215845726.0,0.0
6/26/2018,DOD,13.3,14.5,12.7,13.6,2.26,136070738,1871070430,9052405240,12950299060.0,12950299060.0,12.96,,,,,131276533.4,,,1810481048.0,0.0
6/27/2018,DOD,13.7,14.5,13.5,13.9,2.21,87568934,1230873540,5623071520,14181172600.0,14181172600.0,13.16,,,,,85223976.6,,,1124614304.0,0.0
6/28/2018,DOD,13.9,14.1,13.3,13.3,-4.32,42408714,583118230,5328282000,14764290830.0,14764290830.0,13.48,,,,,79557078.0,,,1065656400.0,0.0
6/29/2018,DOD,13.5,13.6,12.1,12.2,-8.27,38674433,500997640,5007669740,15265288470.0,15265288470.0,13.26,,,,,74118264.2,,,1001533948.0,0.0
7/2/2018,DOD,12.5,13.4,12.4,13.4,9.84,28268788,367033980,4553093820,15632322450.0,15632322450.0,13.28,,,,,66598321.4,,,910618764.0,0.0
7/3/2018,DOD,13.4,13.7,12.8,13.2,-1.49,39133038,519912650,3201936040,16152235100.0,16152235100.0,13.2,,,,,47210781.4,,,640387208.0,0.0
7/4/2018,DOD,13.1,13.4,12.8,12.9,-2.27,17798985,232566120,2203628620,16384801220.0,16384801220.0,13.0,13.199999999999998,,,,33256791.6,,,440725724.0,0.0
7/5/2018,DOD,12.8,12.9,11.8,12.0,-6.98,22265475,272904110,1893414500,16657705330.0,16657705330.0,12.739999999999998,12.975,,,,29228143.8,,,378682900.0,0.0
7/6/2018,DOD,12.2,12.8,12.1,12.6,5.0,22156079,275491510,1667908370,13035303020.0,16933196840.0,12.82,12.95,,,,25924473.0,50.0,50.0,333581674.0,0.0
7/9/2018,DOD,12.7,13.2,12.6,12.9,2.38,21408338,276791920,1577666310,8651887680.0,17209988760.0,12.72,13.050000000000002,,,,24552383.0,50.0,50.0,315533262.0,0.0
7/10/2018,DOD,13.0,13.3,12.8,13.2,2.33,17075864,223635490,1281389150,7997615420.0,17433624250.0,12.72,13.041666666666664,,,,20140948.2,57.14285714285714,52.38095238095239,256277830.0,0.0
7/11/2018,DOD,13.1,13.6,12.4,12.4,-6.06,42838870,554679500,1603502530,7730685020.0,17988303750.0,12.62,12.966666666666667,,,,25148925.2,57.14285714285714,53.57142857142857,320700506.0,0.0
7/12/2018,DOD,12.5,12.6,12.3,12.5,0.81,9561570,119646690,1450245110,7028721810.0,18107950440.0,12.72,12.875,,,,22608144.2,57.14285714285714,54.28571428571429,290049022.0,0.0
7/13/2018,DOD,12.7,13.1,12.7,12.7,1.6,12704471,163016100,1337769700,5320667480.0,18270966540.0,12.74,12.775,,,,20717822.6,57.14285714285714,55.71428571428571,267553940.0,0.0
7/16/2018,DOD,12.8,12.8,12.5,12.5,-1.57,6245288,79022430,1140000210,4168816370.0,18349988970.0,12.66,12.708333333333336,,,,17685212.6,50.0,55.71428571428571,228000042.0,0.0
7/17/2018,DOD,12.6,12.6,12.2,12.4,-0.8,4482118,55588850,971953570,3641286990.0,18405577820.0,12.499999999999998,12.725,,,,15166463.4,42.857142857142854,52.85714285714285,194390714.0,0.0
7/18/2018,DOD,12.7,13.1,12.6,13.1,5.65,13420631,173015440,590289510,3313304790.0,18578593260.0,12.64,12.7,,,,9282815.6,50.0,51.42857142857142,118057902.0,0.0
7/19/2018,DOD,13.0,13.3,12.9,13.0,-0.76,12391275,162562490,633205310,3108833300.0,18741155750.0,12.74,12.683333333333335,,,,9848756.6,50.0,50.0,126641062.0,0.0
7/20/2018,DOD,13.1,13.8,13.0,13.4,3.08,40273963,541291770,1011480980,3130212420.0,19282447520.0,12.88,12.725,,,,15362655.0,50.0,48.57142857142857,202296196.0,0.0
7/23/2018,DOD,13.4,13.6,13.1,13.5,0.75,28343691,380267410,1312725960,3277913710.0,19662714930.0,13.080000000000002,12.85,,,,19782335.6,57.14285714285714,50.0,262545192.0,0.0
7/24/2018,DOD,13.8,14.4,13.7,13.8,2.22,49213445,690242700,1947379810,3695252300.0,20352957630.0,13.36,12.95,13.015384615384615,0.00726495726496168,0.00726495726496168,28728601.0,64.28571428571428,54.28571428571429,389475962.0,0.0
7/25/2018,DOD,13.8,14.0,13.6,13.9,0.72,16794928,231946150,2006310520,3651706940.0,20584903780.0,13.52,13.033333333333333,12.984615384615385,0.11424501424501445,0.06075498575498805,29403460.4,71.42857142857143,58.57142857142857,401262104.0,0.0
7/26/2018,DOD,13.9,14.1,13.8,13.9,0.0,9309600,129733760,1973481790,3504648780.0,20714637540.0,13.7,13.091666666666667,13.023076923076921,0.12799145299145387,0.08316714150047666,28787125.4,64.28571428571428,61.42857142857142,394696358.0,0.0
7/31/2018,DOD,14.0,14.2,13.8,13.8,-0.72,11002310,153754960,1585944980,3434768250.0,20868392500.0,13.78,13.208333333333336,13.103846153846149,0.14394586894587216,0.09836182336182553,22932794.8,57.14285714285714,62.85714285714285,317188996.0,0.0
8/1/2018,DOD,13.8,14.1,13.8,13.9,0.72,8842905,123311780,1328989350,3003400530.0,20991704280.0,13.860000000000005,13.325000000000005,13.126923076923076,0.22927350427350746,0.12454415954416193,19032637.6,57.14285714285714,62.85714285714285,265797870.0,0.0
8/2/2018,DOD,13.9,15.3,13.8,15.3,10.07,41497418,608041820,1246788470,3491795660.0,21599746100.0,14.16,13.54166666666667,13.203846153846152,0.4530626780626825,0.2137037037037061,17489432.2,64.28571428571428,62.85714285714285,249357694.0,0.0
8/3/2018,DOD,15.4,16.3,14.8,16.1,5.23,84899834,1329776570,2344618890,4658556130.0,22929522670.0,14.6,13.841666666666667,13.3,0.6816951566951595,0.3271937321937351,31110413.4,64.28571428571428,61.42857142857142,468923778.0,0.0
