Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,DTAC,95.75,96.5,95.25,95.5,-1.04,3423971,327283000,832587000,3682148000.0,13182116000.0,95.5,,,,,3423971.0,,
1/6/2015,DTAC,95.25,95.5,93.5,94.5,-1.05,4223085,398837000,1103155000,3472051000.0,13405633000.0,95.0,,,,,3823528.0,,
1/7/2015,DTAC,94.5,94.5,91.25,93.25,-1.32,10816277,1003151000,2007951000,3793222000.0,14145858000.0,94.41666666666667,,,,,6154444.333333333,,
1/8/2015,DTAC,93.25,94.0,92.0,93.75,0.54,5675850,528256000,2362727000,3927294000.0,14345364000.0,94.25,,,,,6034795.75,,
1/9/2015,DTAC,93.75,94.0,93.25,93.5,-0.27,3063843,286943000,2544470000,4021274000.0,14252509000.0,94.1,,,,,5440605.2,,
1/12/2015,DTAC,93.25,95.5,93.25,95.0,1.6,4362056,413342000,2630529000,4201493000.0,14489673000.0,94.0,,,,,5628222.2,,
1/13/2015,DTAC,94.25,95.75,93.75,95.25,0.26,2577615,244411000,2476103000,4268964000.0,14577719000.0,94.15,,,,,5299128.2,,
1/14/2015,DTAC,95.0,95.75,94.5,94.5,-0.79,3035068,288103000,1761055000,4294183000.0,13822022000.0,94.4,,,,,3742886.4,,
1/15/2015,DTAC,95.25,95.25,93.5,93.5,-1.06,2353499,222558000,1455357000,4218188000.0,12634008000.0,94.35,,,,,3078416.2,,
1/16/2015,DTAC,93.5,93.75,92.5,92.75,-0.8,3304976,307353000,1475767000,4397272000.0,12264654000.0,94.2,,,,,3126642.8,,
1/19/2015,DTAC,93.0,93.5,92.75,93.0,0.27,1543494,143848000,1206273000,4442765000.0,12159139000.0,93.8,,,,,2562930.4,,
1/20/2015,DTAC,93.0,93.5,91.5,92.0,-1.08,3367974,310459000,1272321000,4579744000.0,11764011000.0,93.15,93.875,,,,2721002.2,,
1/21/2015,DTAC,92.25,93.0,92.0,92.25,0.27,1121577,103639000,1087857000,4578183000.0,11414057000.0,92.7,93.60416666666667,,,,2338304.0,,
1/22/2015,DTAC,93.0,93.5,92.25,93.0,0.81,1635148,151904000,1017203000,4402804000.0,11346724000.0,92.6,93.47916666666667,,,,2194633.8,42.857142857142854,42.857142857142854
1/23/2015,DTAC,93.5,94.5,93.25,93.75,0.81,4935332,463172000,1173022000,4467139000.0,11445580000.0,92.8,93.52083333333333,,,,2520705.0,50.0,46.42857142857143
1/26/2015,DTAC,93.75,94.0,93.5,93.75,0.0,2485127,233086000,1262260000,3697074000.0,11062865000.0,92.95,93.52083333333333,,,,2709031.6,50.0,47.61904761904762
1/27/2015,DTAC,93.75,94.75,93.75,94.0,0.27,2360661,222628000,1174429000,3391446000.0,10819950000.0,93.35,93.5625,,,,2507569.0,57.14285714285714,50.0
1/28/2015,DTAC,94.5,95.5,94.0,95.0,1.06,3753833,355971000,1426761000,3460474000.0,10702052000.0,93.9,93.5625,,,,3034020.2,57.14285714285714,51.42857142857142
1/29/2015,DTAC,95.0,95.5,94.25,94.25,-0.79,1544824,146182000,1421039000,3193314000.0,10498546000.0,94.15,93.47916666666667,,,,3015955.4,57.14285714285714,54.28571428571429
1/30/2015,DTAC,94.5,94.75,93.0,94.0,-0.27,2958780,277711000,1235578000,3226614000.0,10467631000.0,94.2,93.4375,,,,2620645.0,50.0,54.28571428571429
2/2/2015,DTAC,93.0,93.5,92.25,92.5,-1.6,5423866,502758000,1505250000,3441269000.0,10532859000.0,93.95,93.35416666666667,,,,3208392.8,42.857142857142854,52.857142857142854
2/3/2015,DTAC,93.0,93.25,92.25,92.75,0.27,4656114,431525000,1714147000,3650236000.0,10717985000.0,93.7,93.35416666666667,,,,3667483.4,50.0,51.42857142857142
2/4/2015,DTAC,92.75,93.25,92.25,92.75,0.0,4395427,407476000,1765652000,3750359000.0,10516527000.0,93.25,93.33333333333333,,,,3795802.2,50.0,50.0
2/5/2015,DTAC,92.5,92.75,92.25,92.5,-0.27,2920017,270070000,1889540000,3876581000.0,10104617000.0,92.9,93.375,,,,4070840.8,50.0,48.57142857142857
2/6/2015,DTAC,92.5,92.75,91.5,91.75,-0.81,4647293,427094000,2038923000,3993216000.0,10137527000.0,92.45,93.33333333333333,,,,4408543.4,42.857142857142854,47.142857142857146
2/9/2015,DTAC,91.75,95.0,91.75,94.75,3.27,6253293,587533000,2123698000,4477110000.0,10532097000.0,92.9,93.47916666666667,93.59615384615384,-0.0069444444444428655,-0.0069444444444428655,4574428.8,50.0,48.57142857142857
2/10/2015,DTAC,95.0,96.75,95.0,96.25,1.58,7170401,689665000,2381838000,5014871000.0,10988639000.0,93.6,93.6875,93.625,0.26228632478633074,0.12767094017094394,5077286.2,50.0,48.57142857142857
2/11/2015,DTAC,94.75,95.25,93.5,94.5,-1.82,9831363,927092000,2901454000,5478791000.0,11738791000.0,93.95,93.75,93.625,0.17556980056980365,0.14363722697056383,6164473.4,42.857142857142854,47.142857142857146
2/12/2015,DTAC,94.0,94.25,92.5,93.0,-1.59,6845994,638454000,3269838000,5884159000.0,12114361000.0,94.05,93.66666666666667,93.61538461538461,-0.005698005697993835,0.10630341880342442,6949668.8,35.71428571428572,44.28571428571429
2/13/2015,DTAC,93.25,94.0,93.0,93.5,0.54,2838055,265507000,3108251000,5927038000.0,12081315000.0,94.4,93.54166666666667,93.60576923076923,-0.06267806267806009,0.07250712250712751,6587821.2,42.857142857142854,44.28571428571429
2/16/2015,DTAC,94.0,95.5,93.5,94.5,1.07,3835503,363098000,2883816000,5934165000.0,12316144000.0,94.35,93.5625,93.64423076923077,-0.0008903133903146454,0.07371794871795316,6104263.2,42.857142857142854,42.85714285714286
2/17/2015,DTAC,95.0,95.25,93.5,93.5,-1.06,2218540,209312000,2403463000,5997295000.0,12427101000.0,93.8,93.52083333333333,93.58653846153847,-0.0625,0.008760683760687015,5113891.0,35.71428571428572,40.00000000000001
2/18/2015,DTAC,94.5,94.75,93.75,94.75,1.34,1002013,94597000,1570968000,5814181000.0,12348218000.0,93.85,93.70833333333333,93.5673076923077,0.21367521367520226,0.01638176638176674,3348021.0,42.857142857142854,40.00000000000001
