Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,E-W2,0.44,0.44,0.38,0.38,-7.32,172200,67000,348000,1440000.0,20740000.0,0.38,,,,,172200.0,,
1/6/2015,E-W2,0.36,0.41,0.36,0.38,0.0,352200,133000,334000,1546000.0,13038000.0,0.38,,,,,262200.0,,
1/7/2015,E-W2,0.39,0.42,0.38,0.41,7.89,539900,216000,530000,1735000.0,11988000.0,0.38999999999999996,,,,,354766.6666666667,,
1/8/2015,E-W2,0.42,0.43,0.41,0.41,0.0,1798900,766000,1196000,2400000.0,11386000.0,0.39499999999999996,,,,,715800.0,,
1/9/2015,E-W2,0.41,0.41,0.4,0.4,-2.44,101000,41000,1223000,2422000.0,10636000.0,0.396,,,,,592840.0,,
1/12/2015,E-W2,0.41,0.43,0.41,0.43,7.5,105000,45000,1201000,2319000.0,8537000.0,0.406,,,,,579400.0,,
1/13/2015,E-W2,0.42,0.46,0.42,0.46,6.98,1160200,526000,1594000,2729000.0,8727000.0,0.422,,,,,741000.0,,
1/14/2015,E-W2,0.45,0.48,0.45,0.47,2.17,772000,363000,1741000,2469000.0,8560000.0,0.434,,,,,787420.0,,
1/15/2015,E-W2,0.48,0.48,0.45,0.45,-4.26,572034,260000,1235000,2698000.0,8664000.0,0.442,,,,,542046.8,,
1/16/2015,E-W2,0.44,0.5,0.44,0.47,4.44,5624800,2736000,3930000,5287000.0,11226000.0,0.45599999999999996,,,,,1646806.8,,
1/19/2015,E-W2,0.5,0.5,0.46,0.47,0.0,1569318,757000,4642000,6024000.0,11819000.0,0.46399999999999997,,,,,1939670.4,,
1/20/2015,E-W2,0.46,0.47,0.46,0.46,-2.13,79800,37000,4153000,5961000.0,9581000.0,0.46399999999999997,0.43249999999999994,,,,1723590.4,,
1/22/2015,E-W2,0.45,0.45,0.44,0.45,-2.17,157900,71000,3601000,5951000.0,9182000.0,0.45999999999999996,0.4383333333333333,,,,1600770.4,,
1/23/2015,E-W2,0.46,0.46,0.45,0.45,0.0,333300,150000,1015000,5968000.0,9223000.0,0.45999999999999996,0.44416666666666665,,,,1553023.6,35.71428571428572,35.71428571428572
1/26/2015,E-W2,0.45,0.45,0.41,0.41,-8.89,593000,258000,516000,6010000.0,8870000.0,0.44799999999999995,0.44416666666666665,,,,546663.6,35.71428571428572,35.71428571428572
1/27/2015,E-W2,0.35,0.45,0.35,0.44,7.32,127000,56000,535000,5300000.0,8534000.0,0.442,0.4466666666666667,,,,258200.0,42.857142857142854,38.0952380952381
1/29/2015,E-W2,0.44,0.44,0.44,0.44,0.0,10000,4000,468000,5218000.0,8317000.0,0.438,0.4500000000000001,,,,244240.0,35.71428571428572,37.50000000000001
1/30/2015,E-W2,0.46,0.46,0.46,0.46,4.55,10000,5000,323000,4697000.0,8077000.0,0.44000000000000006,0.45250000000000007,,,,214660.0,42.857142857142854,38.57142857142858
2/2/2015,E-W2,0.41,0.43,0.41,0.42,-8.7,237000,97000,162000,4431000.0,8049000.0,0.434,0.4491666666666667,,,,195400.0,42.857142857142854,40.00000000000001
2/3/2015,E-W2,0.38,0.42,0.38,0.4,-4.76,92000,37000,143000,4208000.0,7998000.0,0.43200000000000005,0.44333333333333336,,,,95200.0,35.71428571428572,40.00000000000001
2/4/2015,E-W2,0.44,0.44,0.36,0.36,-10.0,106000,40000,183000,1512000.0,8011000.0,0.41600000000000004,0.43583333333333335,,,,91000.0,28.57142857142857,37.142857142857146
2/5/2015,E-W2,0.42,0.42,0.36,0.36,0.0,181300,66000,245000,821000.0,8050000.0,0.4,0.4266666666666667,,,,125260.0,21.42857142857143,34.28571428571429
2/6/2015,E-W2,0.42,0.42,0.38,0.38,5.56,150500,57000,297000,841000.0,8006000.0,0.384,0.4191666666666667,,,,153360.0,28.57142857142857,31.428571428571434
2/9/2015,E-W2,0.39,0.4,0.36,0.4,5.26,800400,298000,498000,1139000.0,8285000.0,0.38,0.4141666666666666,,,,266040.0,28.57142857142857,28.571428571428573
2/10/2015,E-W2,0.37,0.41,0.37,0.41,2.5,270400,105000,566000,1173000.0,8242000.0,0.382,0.4108333333333334,,,,301720.0,35.71428571428572,28.571428571428573
2/11/2015,E-W2,0.38,0.41,0.37,0.41,0.0,5400,2000,528000,1025000.0,8128000.0,0.392,0.4075,0.4223076923076924,-0.013511396011396115,-0.013511396011396115,281600.0,35.71428571428572,30.0
2/12/2015,E-W2,0.36,0.4,0.32,0.39,-4.88,140400,47000,509000,814000.0,7552000.0,0.39799999999999996,0.40583333333333327,0.42269230769230776,-0.016873219373219506,-0.01519230769230781,273420.0,35.71428571428572,32.85714285714286
2/13/2015,E-W2,0.39,0.4,0.37,0.37,-5.13,214000,83000,535000,841000.0,7604000.0,0.396,0.39999999999999997,0.4223076923076924,-0.023048433048433126,-0.017811016144349583,286120.0,35.71428571428572,34.28571428571429
2/16/2015,E-W2,0.38,0.39,0.38,0.39,5.41,16000,6000,243000,847000.0,7463000.0,0.394,0.3958333333333333,0.42153846153846164,-0.024266381766381906,-0.019424857549857663,129240.0,42.857142857142854,37.14285714285715
2/17/2015,E-W2,0.36,0.39,0.34,0.39,0.0,28235,11000,149000,854000.0,7454000.0,0.39,0.38999999999999996,0.4207692307692309,-0.028490028490028685,-0.021237891737891867,80807.0,35.71428571428572,37.14285714285715
2/18/2015,E-W2,0.35,0.38,0.35,0.38,-2.56,10100,4000,151000,853000.0,7358000.0,0.384,0.3866666666666667,0.42000000000000015,-0.0313960113960115,-0.024814814814814946,81747.0,35.71428571428572,37.14285714285715
2/19/2015,E-W2,0.38,0.38,0.35,0.35,-7.89,9000,3000,107000,759000.0,7347000.0,0.376,0.3825,0.41692307692307706,-0.034465811965812,-0.028333333333333443,55467.0,28.57142857142857,35.71428571428572
2/20/2015,E-W2,0.34,0.36,0.31,0.36,2.86,10100,4000,28000,726000.0,7284000.0,0.374,0.38250000000000006,0.4130769230769232,-0.03010683760683769,-0.029745014245014356,14687.0,35.71428571428572,35.71428571428572
2/25/2015,E-W2,0.35,0.38,0.32,0.38,5.56,87100,29000,36000,592000.0,6198000.0,0.372,0.3841666666666667,0.4096153846153847,-0.02389601139601144,-0.029670940170940262,28907.0,42.857142857142854,35.714285714285715
