Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,EARTH-W3,3.16,3.16,3.16,3.16,-5.39,1200,4000,96000,633000.0,7292000.0,3.16,,,,,1200.0,,
1/7/2015,EARTH-W3,3.16,3.16,3.16,3.16,0.0,3000,9000,32000,461000.0,7136000.0,3.16,,,,,2100.0,,
1/8/2015,EARTH-W3,3.24,3.24,3.24,3.24,2.53,3300,11000,43000,423000.0,6416000.0,3.186666666666667,,,,,2500.0,,
1/9/2015,EARTH-W3,3.3,3.3,3.3,3.3,1.85,2000,7000,31000,320000.0,5701000.0,3.215,,,,,2375.0,,
1/12/2015,EARTH-W3,3.2,3.2,3.2,3.2,-3.03,19700,63000,90000,363000.0,5566000.0,3.2119999999999997,,,,,5840.0,,
1/13/2015,EARTH-W3,3.2,3.2,3.0,3.16,-1.25,28000,85000,175000,358000.0,5508000.0,3.2119999999999997,,,,,11200.0,,
1/14/2015,EARTH-W3,3.2,3.2,3.2,3.2,1.27,32020,102000,268000,407000.0,4967000.0,3.22,,,,,17004.0,,
1/16/2015,EARTH-W3,3.12,3.24,3.06,3.06,-4.38,20500,64000,314000,366000.0,4844000.0,3.184,,,,,20444.0,,
1/19/2015,EARTH-W3,3.08,3.08,3.08,3.08,0.65,700,2000,253000,366000.0,4715000.0,3.14,,,,,20184.0,,
1/20/2015,EARTH-W3,3.1,3.14,3.04,3.14,1.95,6100,19000,187000,385000.0,4684000.0,3.128,,,,,17464.0,,
1/21/2015,EARTH-W3,3.1,3.12,3.1,3.12,-0.64,2200,7000,92000,373000.0,3653000.0,3.12,,,,,12304.0,,
1/23/2015,EARTH-W3,3.16,3.2,3.14,3.2,2.56,8000,25000,53000,394000.0,3127000.0,3.12,3.168333333333333,,,,7500.0,,
1/27/2015,EARTH-W3,3.24,3.24,3.1,3.1,-3.12,26000,82000,114000,456000.0,1722000.0,3.1279999999999997,3.1633333333333336,,,,8600.0,,
1/28/2015,EARTH-W3,2.42,3.2,2.42,3.16,1.94,26360,84000,191000,533000.0,1442000.0,3.144,3.163333333333334,,,,13732.0,50.0,50.0
2/2/2015,EARTH-W3,2.96,3.58,2.96,3.58,13.29,3100,9000,175000,292000.0,1246000.0,3.232,3.1916666666666664,,,,13132.0,57.14285714285714,53.57142857142857
2/3/2015,EARTH-W3,3.38,3.42,3.38,3.4,-5.03,155300,527000,620000,819000.0,1729000.0,3.2880000000000003,3.1999999999999997,,,,43752.0,57.14285714285714,54.76190476190476
2/4/2015,EARTH-W3,3.5,3.5,3.32,3.4,0.0,88100,295000,831000,1050000.0,1843000.0,3.3280000000000003,3.216666666666667,,,,59772.0,50.0,53.57142857142857
2/5/2015,EARTH-W3,3.3,3.44,3.3,3.38,-0.59,454000,1543000,2374000,2591000.0,3386000.0,3.3840000000000003,3.235,,,,145372.0,42.857142857142854,51.42857142857142
2/6/2015,EARTH-W3,3.46,3.5,3.44,3.5,3.55,137100,475000,2849000,3047000.0,3812000.0,3.4520000000000004,3.2600000000000002,,,,167520.0,50.0,51.42857142857142
2/9/2015,EARTH-W3,3.58,3.6,3.44,3.5,0.0,50450,176000,3016000,3216000.0,3878000.0,3.436,3.2966666666666664,,,,176990.0,50.0,50.0
2/10/2015,EARTH-W3,3.6,3.6,3.4,3.56,1.71,11400,40000,2529000,3256000.0,3898000.0,3.468,3.3366666666666664,,,,148210.0,50.0,48.57142857142857
2/11/2015,EARTH-W3,3.42,3.46,3.4,3.46,-2.81,19500,67000,2301000,3298000.0,3875000.0,3.4799999999999995,3.3633333333333333,,,,134490.0,50.0,48.57142857142857
2/12/2015,EARTH-W3,3.46,3.54,3.46,3.54,2.31,10000,35000,793000,3333000.0,3857000.0,3.5119999999999996,3.3983333333333334,,,,45690.0,50.0,50.0
2/13/2015,EARTH-W3,3.4,3.52,3.4,3.52,-0.56,16500,56000,374000,3307000.0,3879000.0,3.5159999999999996,3.4250000000000003,,,,21570.0,42.857142857142854,48.57142857142857
2/16/2015,EARTH-W3,3.4,3.5,3.4,3.5,-0.57,11020,38000,236000,3261000.0,3846000.0,3.5159999999999996,3.458333333333334,,,,13684.0,42.857142857142854,47.142857142857146
2/17/2015,EARTH-W3,3.3,3.48,3.3,3.48,-0.57,3000,10000,206000,3271000.0,3854000.0,3.5,3.485,3.3115384615384613,0.16021367521367536,0.16021367521367536,12004.0,35.71428571428572,44.28571428571429
2/18/2015,EARTH-W3,3.26,3.4,3.26,3.38,-2.87,18800,63000,202000,3334000.0,3917000.0,3.4840000000000004,3.4683333333333333,3.32,0.1302991452991451,0.14525641025641023,11864.0,35.71428571428572,41.42857142857143
2/20/2015,EARTH-W3,3.38,3.4,3.38,3.4,0.59,7900,27000,138000,2825000.0,3921000.0,3.4559999999999995,3.4683333333333333,3.3292307692307697,0.1233475783475777,0.1379534662867994,11444.0,35.71428571428572,38.57142857142858
2/23/2015,EARTH-W3,3.3,3.48,3.2,3.46,1.76,33700,110000,210000,2640000.0,4031000.0,3.444,3.473333333333333,3.3376923076923077,0.12452991452991435,0.13459757834757813,14884.0,35.71428571428572,37.14285714285715
2/24/2015,EARTH-W3,3.4,3.44,3.3,3.3,-4.62,24600,81000,281000,1178000.0,4103000.0,3.404,3.4666666666666663,3.3376923076923077,0.1061253561253559,0.12890313390313368,17600.0,35.71428571428572,35.71428571428572
2/25/2015,EARTH-W3,3.34,3.5,3.16,3.5,6.06,112000,355000,573000,1058000.0,4447000.0,3.408,3.4666666666666663,3.3492307692307692,0.11139601139601174,0.11913960113960095,39400.0,42.857142857142854,37.14285714285715
2/26/2015,EARTH-W3,3.24,3.34,3.14,3.14,-10.29,44000,141000,714000,1023000.0,4581000.0,3.3600000000000003,3.436666666666666,3.3484615384615384,0.058005698005697326,0.1046809116809114,44440.0,42.857142857142854,38.57142857142858
2/27/2015,EARTH-W3,3.22,3.26,3.22,3.26,3.82,9100,30000,717000,1013000.0,4548000.0,3.332,3.4116666666666666,3.350769230769231,0.04428774928774937,0.08886894586894574,44680.0,42.857142857142854,40.00000000000001
3/2/2015,EARTH-W3,3.04,3.4,3.0,3.08,-5.52,151200,455000,1062000,1401000.0,4918000.0,3.2560000000000002,3.3799999999999994,3.3515384615384614,0.002421652421652265,0.06444729344729332,68180.0,42.857142857142854,41.42857142857143
3/3/2015,EARTH-W3,3.02,3.02,2.5,2.8,-9.09,253800,694000,1675000,2060000.0,5510000.0,3.156,3.318333333333333,3.3407692307692307,-0.06212250712250755,0.03079772079772063,114020.0,35.71428571428572,41.42857142857143
3/5/2015,EARTH-W3,2.8,2.8,2.66,2.66,-5.0,102600,274000,1594000,2278000.0,5784000.0,2.9880000000000004,3.246666666666666,3.322307692307692,-0.11683760683760713,-0.014849002849003146,112140.0,35.71428571428572,40.0
3/6/2015,EARTH-W3,2.7,2.88,2.7,2.88,8.27,33200,91000,1544000,2331000.0,5811000.0,2.936,3.195,3.313076923076923,-0.13445868945868966,-0.053341880341880546,109980.0,35.71428571428572,38.57142857142858
3/9/2015,EARTH-W3,2.7,2.7,2.7,2.7,-6.25,5000,14000,1528000,2335000.0,5823000.0,2.8239999999999994,3.1300000000000003,3.293846153846154,-0.18601139601139627,-0.09940170940170967,109160.0,35.71428571428572,37.14285714285715
3/10/2015,EARTH-W3,2.7,2.7,2.7,2.7,0.0,4000,11000,1084000,2283000.0,5815000.0,2.7479999999999998,3.0733333333333337,3.278461538461538,-0.21971509971509917,-0.14382905982905997,79720.0,35.71428571428572,35.71428571428572
3/11/2015,EARTH-W3,2.76,2.76,2.76,2.76,2.22,1620,4000,394000,2287000.0,5812000.0,2.74,3.02,3.263076923076923,-0.24581196581196574,-0.1805669515669516,29284.0,42.857142857142854,37.14285714285715
3/12/2015,EARTH-W3,2.7,2.74,2.7,2.72,-1.45,34300,93000,213000,2353000.0,5905000.0,2.7520000000000002,2.9583333333333335,3.2299999999999995,-0.2705555555555552,-0.21131054131054122,15624.0,42.857142857142854,38.57142857142858
3/13/2015,EARTH-W3,2.74,2.74,2.72,2.74,0.74,14200,39000,161000,2282000.0,5919000.0,2.724,2.9116666666666666,3.2046153846153844,-0.28494301994301985,-0.24140740740740724,11824.0,42.857142857142854,40.00000000000001
3/16/2015,EARTH-W3,2.74,2.74,2.72,2.72,-0.73,30000,82000,229000,2283000.0,6001000.0,2.728,2.8466666666666662,3.178461538461538,-0.31732193732193714,-0.2676695156695154,16824.0,35.71428571428572,40.00000000000001
3/18/2015,EARTH-W3,2.78,2.8,2.78,2.8,0.72,5500,15000,229000,1802000.0,5850000.0,2.748,2.818333333333333,3.156153846153846,-0.3142592592592588,-0.2865783475783473,17124.0,42.857142857142854,41.42857142857143
3/19/2015,EARTH-W3,2.8,2.8,2.8,2.8,0.0,30000,84000,220000,1856000.0,5934000.0,2.7560000000000002,2.78,3.1292307692307686,-0.3217663817663814,-0.30176923076923046,22800.0,35.71428571428572,40.0
3/20/2015,EARTH-W3,2.72,2.8,2.72,2.8,0.0,22100,60000,241000,1461000.0,5994000.0,2.7720000000000007,2.7566666666666664,3.1023076923076918,-0.31658119658119643,-0.3109743589743587,20360.0,35.71428571428572,38.57142857142858
3/24/2015,EARTH-W3,2.9,2.9,2.54,2.88,2.86,1200,3000,162000,496000.0,5461000.0,2.8,2.7633333333333336,3.0761538461538454,-0.28034188034187935,-0.3100541310541306,17760.0,35.71428571428572,37.14285714285715
3/25/2015,EARTH-W3,2.66,2.86,2.64,2.64,-8.33,800,2000,149000,407000.0,5168000.0,2.784,2.7616666666666667,3.0446153846153843,-0.2716951566951562,-0.30092877492877446,11920.0,35.71428571428572,37.14285714285715
3/26/2015,EARTH-W3,2.66,2.66,2.66,2.66,0.76,500,1000,66000,394000.0,3626000.0,2.7560000000000002,2.7433333333333336,3.01076923076923,-0.25427350427350337,-0.28893162393162336,10920.0,42.857142857142854,37.14285714285715
3/27/2015,EARTH-W3,2.54,2.86,2.38,2.6,-2.26,96700,245000,251000,628000.0,3396000.0,2.716,2.735,2.975384615384615,-0.23334757834757802,-0.27124786324786265,24260.0,42.857142857142854,38.57142857142858
3/30/2015,EARTH-W3,2.62,2.88,2.6,2.6,0.0,60700,162000,413000,786000.0,3382000.0,2.6759999999999997,2.726666666666667,2.94076923076923,-0.20834757834757722,-0.24960113960113883,31980.0,35.71428571428572,38.57142857142858
4/1/2015,EARTH-W3,3.08,3.08,2.86,2.86,-1.38,102300,300000,710000,993000.0,3642000.0,2.6719999999999997,2.7350000000000008,2.916923076923076,-0.15847578347578217,-0.2252279202279194,52200.0,35.71428571428572,38.57142857142858
4/2/2015,EARTH-W3,2.96,3.0,2.96,2.98,4.2,54400,162000,870000,1116000.0,3737000.0,2.7399999999999998,2.7566666666666673,2.9015384615384607,-0.11632478632478493,-0.19415384615384515,62920.0,42.857142857142854,40.00000000000001
4/3/2015,EARTH-W3,2.98,2.98,2.98,2.98,0.0,3500,10000,879000,1044000.0,3712000.0,2.8040000000000003,2.776666666666667,2.885384615384616,-0.08444444444444521,-0.1601880341880335,63520.0,35.71428571428572,38.57142857142858
4/7/2015,EARTH-W3,2.92,2.92,2.92,2.92,-2.01,22100,65000,699000,1109000.0,3721000.0,2.868,2.7933333333333334,2.8646153846153846,-0.055897435897435344,-0.12469800569800497,48600.0,35.71428571428572,37.14285714285715
4/8/2015,EARTH-W3,2.82,2.82,2.82,2.82,-3.42,66426,187000,724000,1281000.0,3870000.0,2.912,2.7950000000000004,2.8461538461538463,-0.04537037037037006,-0.09210256410256354,49745.2,28.57142857142857,35.71428571428572
4/10/2015,EARTH-W3,2.84,2.84,2.84,2.84,0.71,800,2000,264000,1139000.0,3799000.0,2.908,2.7983333333333333,2.8207692307692303,-0.017450142450142092,-0.06389743589743553,29445.2,35.71428571428572,35.71428571428572
4/16/2015,EARTH-W3,2.8,3.1,2.8,3.08,8.45,23700,71000,325000,1210000.0,3870000.0,2.928,2.8216666666666668,2.818461538461538,0.023575498575499232,-0.035917378917378694,23305.2,35.71428571428572,34.28571428571429
4/17/2015,EARTH-W3,3.08,3.12,3.08,3.12,1.3,116300,360000,620000,1567000.0,4203000.0,2.9560000000000004,2.841666666666667,2.813076923076923,0.048675213675213325,-0.009293447293446989,45865.2,42.857142857142854,35.714285714285715
