Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
6/13/2016,EASON-W2,2.8,2.84,2.54,2.6,0.0,15257184,41991790,41991790,41991790.0,41991790.0,2.6,,,,,15257184.0,,,41991790.0,0.0
6/14/2016,EASON-W2,2.54,2.58,2.48,2.48,-4.62,1854204,4666920,46658710,46658710.0,46658710.0,2.54,,,,,8555694.0,,,23329355.0,0.0
6/15/2016,EASON-W2,2.48,2.72,2.42,2.56,3.23,2523467,6498700,53157410,53157410.0,53157410.0,2.546666666666667,,,,,6544951.666666668,,,17719136.666666668,0.0
6/16/2016,EASON-W2,2.56,2.64,2.56,2.62,2.34,1054434,2734380,55891790,55891790.0,55891790.0,2.5650000000000004,,,,,5172322.25,,,13972947.5,0.0
6/17/2016,EASON-W2,2.68,2.78,2.66,2.68,2.29,2538432,6883210,62775000,62775000.0,62775000.0,2.588,,,,,4645544.2,,,12555000.0,0.0
6/20/2016,EASON-W2,2.74,2.76,2.66,2.72,1.49,698736,1896270,22679480,64671270.0,64671270.0,2.612,,,,,1733854.6,,,4535896.0,0.0
6/21/2016,EASON-W2,2.74,2.78,2.68,2.68,-1.47,630600,1734870,19747430,66406140.0,66406140.0,2.652,,,,,1489133.8,,,3949486.0,0.0
6/22/2016,EASON-W2,2.66,2.9,2.66,2.78,3.73,3306026,9316270,22565000,75722410.0,75722410.0,2.696,,,,,1645645.6,,,4513000.0,0.0
6/23/2016,EASON-W2,2.78,2.84,2.72,2.72,-2.16,3145608,8771770,28602390,84494180.0,84494180.0,2.716,,,,,2063880.4,,,5720478.0,0.0
6/24/2016,EASON-W2,2.62,2.68,2.48,2.48,-8.82,1365365,3508990,25228170,88003170.0,88003170.0,2.676,,,,,1829267.0,,,5045634.0,0.0
6/27/2016,EASON-W2,2.5,2.58,2.5,2.54,2.42,518565,1316460,24648360,89319630.0,89319630.0,2.64,,,,,1793232.8,,,4929672.0,0.0
6/28/2016,EASON-W2,2.56,2.64,2.56,2.58,1.57,295765,766440,23679930,90086070.0,90086070.0,2.62,2.620000000000001,,,,1726265.8,,,4735986.0,0.0
