Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
7/13/2015,EGATIF,10.5,10.9,10.3,10.4,4.0,36925736,391213000,391213000,391213000.0,391213000.0,10.4,,,,,36925736.0,,
7/14/2015,EGATIF,10.5,10.5,10.2,10.2,-1.92,4157783,42737000,433950000,433950000.0,433950000.0,10.3,,,,,20541759.5,,
7/15/2015,EGATIF,10.2,10.3,10.1,10.2,0.0,3105400,31712000,465662000,465662000.0,465662000.0,10.266666666666667,,,,,14729639.666666666,,
7/16/2015,EGATIF,10.2,10.3,10.2,10.2,0.0,1882100,19200000,484862000,484862000.0,484862000.0,10.25,,,,,11517754.75,,
7/17/2015,EGATIF,10.2,10.2,10.1,10.1,-0.98,2248650,22928000,507790000,507790000.0,507790000.0,10.22,,,,,9663933.8,,
7/20/2015,EGATIF,10.2,10.2,10.1,10.1,0.0,1914200,19352000,135929000,527142000.0,527142000.0,10.16,,,,,2661626.6,,
7/21/2015,EGATIF,10.1,10.2,10.0,10.1,0.0,7338400,74118000,167310000,601260000.0,601260000.0,10.14,,,,,3297750.0,,
7/22/2015,EGATIF,10.1,10.1,10.0,10.1,0.0,1605700,16157000,151755000,617417000.0,617417000.0,10.120000000000001,,,,,2997810.0,,
7/23/2015,EGATIF,10.1,10.2,10.1,10.1,0.0,620200,6264000,138819000,623681000.0,623681000.0,10.1,,,,,2745430.0,,
7/24/2015,EGATIF,10.1,10.2,10.1,10.1,0.0,1370000,13838000,129729000,637519000.0,637519000.0,10.1,,,,,2569700.0,,
7/27/2015,EGATIF,10.1,10.2,10.0,10.1,0.0,2348200,23741000,134118000,661260000.0,661260000.0,10.1,,,,,2656500.0,,
7/28/2015,EGATIF,10.1,10.1,10.0,10.1,0.0,389510,3918000,63918000,665178000.0,665178000.0,10.1,10.149999999999997,,,,1266722.0,,
7/29/2015,EGATIF,10.1,10.1,10.0,10.0,-0.99,512400,5153000,52914000,670331000.0,670331000.0,10.08,10.116666666666665,,,,1048062.0,,
7/31/2015,EGATIF,10.1,10.2,10.0,10.1,1.0,1078400,10892000,57542000,290010000.0,681223000.0,10.08,10.108333333333333,,,,1139702.0,14.285714285714292,14.285714285714292
8/3/2015,EGATIF,10.1,10.2,10.1,10.1,0.0,653100,6602000,50306000,253875000.0,687825000.0,10.08,10.099999999999998,,,,996322.0,7.142857142857139,10.714285714285715
8/4/2015,EGATIF,10.1,10.2,10.1,10.2,0.99,1203000,12235000,38800000,234398000.0,700060000.0,10.1,10.1,,,,767282.0,14.285714285714292,11.904761904761907
8/5/2015,EGATIF,10.2,10.3,10.1,10.2,0.0,1937600,19765000,54647000,234963000.0,719825000.0,10.120000000000001,10.108333333333333,,,,1076900.0,14.285714285714292,12.500000000000004
8/6/2015,EGATIF,10.3,10.3,10.2,10.3,0.98,754600,7748000,57242000,219783000.0,727573000.0,10.179999999999998,10.124999999999998,,,,1125340.0,21.42857142857143,14.285714285714288
