Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
7/22/2016,EIC-W3,0.51,0.62,0.47,0.47,0.0,11461586,6268480,6268480,6268480.0,6268480.0,0.47,,,,,11461586.0,,
7/25/2016,EIC-W3,0.47,0.5,0.44,0.44,-6.38,646944,306160,6574640,6574640.0,6574640.0,0.45499999999999996,,,,,6054265.0,,
7/26/2016,EIC-W3,0.49,0.62,0.49,0.5,13.64,10222473,5634820,12209460,12209460.0,12209460.0,0.47,,,,,7443667.666666667,,
7/27/2016,EIC-W3,0.51,0.55,0.46,0.47,-6.0,2819150,1457280,13666740,13666740.0,13666740.0,0.47,,,,,6287538.25,,
7/28/2016,EIC-W3,0.49,0.54,0.47,0.47,0.0,4493200,2332630,15999370,15999370.0,15999370.0,0.4699999999999999,,,,,5928670.6,,
7/29/2016,EIC-W3,0.48,0.5,0.47,0.48,2.13,1077866,527770,10258660,16527140.0,16527140.0,0.472,,,,,3851926.6,,
8/1/2016,EIC-W3,0.5,0.5,0.44,0.44,-8.33,297285,136210,10088710,16663350.0,16663350.0,0.472,,,,,3781994.8,,
8/2/2016,EIC-W3,0.45,0.49,0.45,0.45,2.27,543000,254370,4708260,16917720.0,16917720.0,0.462,,,,,1846100.2,,
8/3/2016,EIC-W3,0.46,0.46,0.45,0.45,0.0,102350,46640,3297620,16964360.0,16964360.0,0.458,,,,,1302740.2,,
8/4/2016,EIC-W3,0.46,0.47,0.45,0.45,0.0,68000,31000,995990,16995360.0,16995360.0,0.454,,,,,417700.2,,
8/5/2016,EIC-W3,0.45,0.47,0.45,0.45,0.0,657671,300680,768900,17296040.0,17296040.0,0.44800000000000006,,,,,333661.2,,
8/8/2016,EIC-W3,0.45,0.47,0.45,0.45,0.0,292100,133620,766310,17429660.0,17429660.0,0.45,0.46,,,,332624.2,,
8/9/2016,EIC-W3,0.46,0.47,0.44,0.44,-2.22,313300,142230,654170,17571890.0,17571890.0,0.44800000000000006,0.4575000000000001,,,,286684.2,,
8/10/2016,EIC-W3,0.46,0.57,0.45,0.56,27.27,7721523,4079440,4686970,15382850.0,21651330.0,0.47000000000000003,0.4675000000000001,,,,1810518.8,28.57142857142857,28.57142857142857
8/11/2016,EIC-W3,0.53,0.59,0.52,0.52,-7.14,3092549,1709910,6365880,16786600.0,23361240.0,0.484,0.46916666666666673,,,,2415428.6,28.57142857142857,28.57142857142857
8/15/2016,EIC-W3,0.52,0.67,0.52,0.55,5.77,8306804,5022540,11087740,16174320.0,28383780.0,0.5040000000000001,0.47583333333333333,,,,3945255.2,35.71428571428572,30.952380952380953
8/16/2016,EIC-W3,0.57,0.57,0.52,0.53,-3.64,991300,535870,11489990,15252910.0,28919650.0,0.5200000000000001,0.4808333333333333,,,,4085095.2,28.57142857142857,30.357142857142858
8/17/2016,EIC-W3,0.55,0.64,0.53,0.55,3.77,9761558,5843550,17191310,18763830.0,34763200.0,0.542,0.48666666666666675,,,,5974746.8,35.71428571428572,31.428571428571434
8/18/2016,EIC-W3,0.56,0.59,0.55,0.56,1.82,1137300,644860,13756730,18880920.0,35408060.0,0.542,0.49666666666666676,,,,4657902.2,42.857142857142854,34.28571428571429
8/19/2016,EIC-W3,0.58,0.58,0.53,0.55,-1.79,908337,506990,12553810,19251700.0,35915050.0,0.548,0.505,,,,4221059.8,35.71428571428572,35.714285714285715
8/22/2016,EIC-W3,0.57,0.61,0.57,0.57,3.64,1629903,956910,8488180,19954240.0,36871960.0,0.552,0.515,,,,2885679.6,42.857142857142854,37.142857142857146
8/23/2016,EIC-W3,0.57,0.58,0.56,0.56,-1.75,355800,201560,8153870,20109160.0,37073520.0,0.558,0.5241666666666666,,,,2758579.6,35.71428571428572,38.57142857142858
8/24/2016,EIC-W3,0.57,0.58,0.57,0.57,1.79,148800,85590,2395910,20163750.0,37159110.0,0.562,0.5341666666666667,,,,836028.0,42.857142857142854,40.00000000000001
8/25/2016,EIC-W3,0.57,0.64,0.48,0.48,-15.79,4648866,2758010,4509060,22621080.0,39917120.0,0.546,0.5366666666666667,,,,1538341.2,42.857142857142854,40.00000000000001
8/26/2016,EIC-W3,0.49,0.54,0.49,0.51,6.25,959150,486930,4489000,22974390.0,40404050.0,0.5379999999999999,0.5425000000000001,,,,1548503.8,50.0,42.85714285714286
8/29/2016,EIC-W3,0.45,0.48,0.43,0.47,-7.84,161900,72530,3604620,22904690.0,40476580.0,0.518,0.535,0.4976923076923079,0.02935897435897422,0.02935897435897422,1254903.2,50.0,44.28571428571429
8/30/2016,EIC-W3,0.48,0.48,0.45,0.45,-4.26,50500,23700,3426760,18848950.0,40500280.0,0.496,0.5291666666666667,0.4969230769230771,0.023539886039885938,0.02644943019943008,1193843.2,50.0,47.142857142857146
8/31/2016,EIC-W3,0.46,0.48,0.45,0.48,6.67,84200,38230,3379400,17177270.0,40538510.0,0.4779999999999999,0.5233333333333333,0.49846153846153857,0.019572649572649536,0.02415716999050323,1180923.2,50.0,48.57142857142857
9/1/2016,EIC-W3,0.45,0.51,0.45,0.45,-6.25,2400,1110,622500,12155840.0,40539620.0,0.472,0.5166666666666667,0.4965384615384616,0.013319088319088346,0.02144764957264951,251630.0,50.0,50.0
9/5/2016,EIC-W3,0.45,0.45,0.31,0.45,0.0,22200,9980,73020,5786400.0,40549600.0,0.45999999999999996,0.5083333333333333,0.49576923076923074,0.006980056980056992,0.018554131054131007,64240.0,42.857142857142854,48.57142857142857
9/9/2016,EIC-W3,0.46,0.46,0.35,0.46,-4.17,2200,1000,10980,3477080.0,34282120.0,0.458,0.5000000000000001,0.49538461538461537,0.0010826210826211935,0.012898860398860401,32300.0,42.857142857142854,47.142857142857146
9/13/2016,EIC-W3,0.3,0.43,0.3,0.43,-6.52,3600,1110,2110,634590.0,28342250.0,0.454,0.49,0.49346153846153845,-0.007991452991452985,0.006592592592592617,22920.0,35.71428571428572,44.28571428571429
9/16/2016,EIC-W3,0.3,0.33,0.3,0.33,-26.67,10100,3030,4140,54460.0,24027600.0,0.42400000000000004,0.47,0.48923076923076925,-0.02897435897435896,-0.0031168091168090827,8100.0,28.57142857142857,40.0
9/19/2016,EIC-W3,0.49,0.49,0.33,0.48,45.45,6900,2560,6700,18790.0,23893950.0,0.43000000000000005,0.4633333333333334,0.49038461538461536,-0.02371794871794869,-0.010524216524216489,9000.0,35.71428571428572,37.142857142857146
9/20/2016,EIC-W3,0.4,0.4,0.36,0.36,-25.0,14000,5400,10990,23080.0,23644980.0,0.41200000000000003,0.44583333333333336,0.4869230769230769,-0.044893162393162434,-0.020898860398860374,7360.0,28.57142857142857,34.28571428571429
9/21/2016,EIC-W3,0.44,0.45,0.4,0.45,25.0,48100,20420,31410,43500.0,23618760.0,0.41000000000000003,0.44333333333333336,0.48692307692307685,-0.03982905982905971,-0.029081196581196556,16540.0,35.71428571428572,32.85714285714286
9/22/2016,EIC-W3,0.41,0.47,0.41,0.47,4.44,2500,1030,32440,34550.0,23588790.0,0.418,0.44,0.4876923076923077,-0.04176638176638181,-0.03583618233618232,16320.0,35.71428571428572,32.85714285714286
