Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,EMC-W4,0.59,0.61,0.57,0.59,1.72,11087200,6501000,33002000,213090000.0,1493239000.0,0.59,,,,,11087200.0,,,6501000.0,0.0
1/6/2015,EMC-W4,0.59,0.74,0.58,0.72,22.03,70396130,47187000,74711000,246099000.0,1382102000.0,0.655,,,,,40741665.0,,,26844000.0,0.0
1/7/2015,EMC-W4,0.68,0.68,0.64,0.65,-9.72,17504800,11606000,79723000,252571000.0,1286936000.0,0.6533333333333333,,,,,32996043.33333333,,,21764666.666666668,0.0
1/8/2015,EMC-W4,0.66,0.66,0.63,0.65,0.0,7366100,4696000,74805000,193297000.0,1146894000.0,0.6525,,,,,26588557.5,,,17497500.0,0.0
1/9/2015,EMC-W4,0.64,0.68,0.63,0.67,3.08,5931900,3921000,73911000,155468000.0,1092285000.0,0.6559999999999999,,,,,22457226.0,,,14782200.0,0.0
1/12/2015,EMC-W4,0.66,0.71,0.65,0.7,4.48,14720000,10113000,77523000,149667000.0,971031000.0,0.6779999999999999,,,,,23183786.0,,,15504600.0,0.0
1/13/2015,EMC-W4,0.69,0.69,0.67,0.69,-1.43,4644200,3157000,33493000,136558000.0,877402000.0,0.6719999999999999,,,,,10033400.0,,,6698600.0,0.0
1/14/2015,EMC-W4,0.69,0.69,0.66,0.68,-1.45,9388100,6422000,28309000,129107000.0,849528000.0,0.6779999999999999,,,,,8410060.0,,,5661800.0,0.0
1/15/2015,EMC-W4,0.67,0.68,0.65,0.67,-1.47,1417900,947000,24560000,121051000.0,784575000.0,0.682,,,,,7220420.0,,,4912000.0,0.0
1/16/2015,EMC-W4,0.65,0.66,0.63,0.65,-2.99,3164900,2059000,22698000,117632000.0,714231000.0,0.6779999999999999,,,,,6667020.0,,,4539600.0,0.0
1/19/2015,EMC-W4,0.65,0.68,0.64,0.66,1.54,3523205,2328000,14913000,113366000.0,588137000.0,0.67,,,,,4427661.0,,,2982600.0,0.0
1/20/2015,EMC-W4,0.66,0.68,0.66,0.67,1.52,5533900,3714000,15470000,107466000.0,531859000.0,0.6659999999999999,0.6666666666666666,,,,4605601.0,,,3094000.0,0.0
1/21/2015,EMC-W4,0.68,0.68,0.66,0.68,1.49,3226850,2164000,11212000,104815000.0,460614000.0,0.6659999999999999,0.6741666666666667,,,,3373351.0,,,2242400.0,0.0
1/22/2015,EMC-W4,0.68,0.69,0.66,0.67,-1.47,5175500,3516000,13781000,101830000.0,429430000.0,0.6659999999999999,0.67,,,,4124871.0,50.0,50.0,2756200.0,0.0
1/23/2015,EMC-W4,0.67,0.67,0.66,0.67,0.0,3245808,2168000,13890000,56811000.0,398932000.0,0.67,0.6716666666666667,,,,4141052.6,42.857142857142854,46.42857142857143,2778000.0,0.0
