Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
12/22/2016,EPCO-W2,0.7,0.87,0.68,0.82,0.0,47489863,37671350,37671350,37671350.0,37671350.0,0.82,,,,,47489863.0,,
12/23/2016,EPCO-W2,0.83,0.92,0.79,0.83,1.22,27921836,23574920,61246270,61246270.0,61246270.0,0.825,,,,,37705849.5,,
12/26/2016,EPCO-W2,0.84,1.01,0.84,0.91,9.64,47010926,43426180,104672450,104672450.0,104672450.0,0.8533333333333334,,,,,40807541.666666664,,
12/27/2016,EPCO-W2,0.91,0.92,0.87,0.87,-4.4,4104081,3638580,108311030,108311030.0,108311030.0,0.8575,,,,,31631676.5,,
12/28/2016,EPCO-W2,0.87,0.9,0.85,0.87,0.0,4249164,3680680,111991710,111991710.0,111991710.0,0.86,,,,,26155174.0,,
12/29/2016,EPCO-W2,0.88,0.9,0.87,0.9,3.45,819817,726500,75046860,112718210.0,112718210.0,0.876,,,,,16821164.8,,
12/30/2016,EPCO-W2,0.89,0.9,0.86,0.86,-4.44,2947790,2567640,54039580,115285850.0,115285850.0,0.882,,,,,11826355.6,,
1/4/2017,EPCO-W2,0.86,0.88,0.86,0.86,0.0,301716,262160,10875560,115548010.0,115548010.0,0.8720000000000001,,,,,2484513.6,,
1/5/2017,EPCO-W2,0.87,0.94,0.86,0.92,6.98,3851909,3469100,10706080,119017110.0,119017110.0,0.882,,,,,2434079.2,,
1/6/2017,EPCO-W2,0.95,1.0,0.88,0.91,-1.09,9444506,8893160,15918560,127910270.0,127910270.0,0.89,,,,,3473147.6,,
1/9/2017,EPCO-W2,0.92,0.92,0.9,0.91,0.0,848610,768250,15960310,128678520.0,128678520.0,0.892,,,,,3478906.2,,
1/10/2017,EPCO-W2,0.91,0.93,0.91,0.91,0.0,855602,778650,14171320,129457170.0,129457170.0,0.9019999999999999,0.8808333333333334,,,,3060468.6,,
1/11/2017,EPCO-W2,0.92,0.93,0.92,0.92,1.1,1978724,1826460,15735620,131283630.0,131283630.0,0.914,0.8891666666666667,,,,3395870.2,,
1/12/2017,EPCO-W2,0.92,0.92,0.92,0.92,0.0,630729,580270,12846790,94192550.0,131863900.0,0.914,0.8966666666666666,,,,2751634.2,35.71428571428572,35.71428571428572
1/13/2017,EPCO-W2,0.92,0.93,0.92,0.92,0.0,198966,184050,4137680,70801680.0,132047950.0,0.916,0.8975,,,,902526.2,35.71428571428572,35.71428571428572
1/16/2017,EPCO-W2,0.93,0.95,0.92,0.93,1.09,421481,393270,3762700,27768770.0,132441220.0,0.9199999999999999,0.9025,,,,817100.4,35.71428571428572,35.71428571428572
1/17/2017,EPCO-W2,0.95,0.95,0.93,0.93,0.0,2295496,2161110,5145160,26291300.0,134602330.0,0.924,0.9075000000000001,,,,1105079.2,28.57142857142857,33.92857142857143
1/18/2017,EPCO-W2,0.95,0.95,0.93,0.93,0.0,293188,274740,3593440,22885360.0,134877070.0,0.9259999999999999,0.91,,,,767972.0,28.57142857142857,32.857142857142854
1/19/2017,EPCO-W2,0.94,1.0,0.94,0.98,5.38,8165939,7919920,10933090,30078780.0,142796990.0,0.9380000000000001,0.9199999999999999,,,,2275014.0,35.71428571428572,32.85714285714286
1/20/2017,EPCO-W2,0.99,1.0,0.98,0.98,0.0,5570201,5511350,16260390,33022490.0,148308340.0,0.95,0.93,,,,3349261.0,28.57142857142857,31.428571428571434
1/23/2017,EPCO-W2,1.01,1.04,0.99,1.01,3.06,1253632,1269900,17137020,34030230.0,149578240.0,0.966,0.9375,,,,3515691.2,35.71428571428572,31.428571428571434
1/24/2017,EPCO-W2,1.02,1.02,0.99,1.0,-0.99,434730,432260,15408170,30993390.0,150010500.0,0.9800000000000001,0.945,,,,3143538.0,35.71428571428572,32.85714285714286
1/25/2017,EPCO-W2,0.98,1.0,0.98,0.98,-2.0,251785,247910,15381340,22348140.0,150258410.0,0.9899999999999999,0.9508333333333333,,,,3135257.4,28.57142857142857,32.857142857142854
1/26/2017,EPCO-W2,1.0,1.0,0.97,0.97,-1.02,500188,491380,7952800,22071270.0,150749790.0,0.9880000000000001,0.9558333333333334,,,,1602107.2,28.57142857142857,31.428571428571434
1/27/2017,EPCO-W2,0.95,0.96,0.95,0.95,-2.06,240159,229180,2670630,21521800.0,150978970.0,0.982,0.9583333333333334,,,,536098.8,28.57142857142857,31.428571428571434
1/31/2017,EPCO-W2,0.95,0.97,0.95,0.95,-1.04,536027,509420,1910150,20204760.0,151488390.0,0.9700000000000001,0.9608333333333333,0.9207692307692308,0.036232193732193885,0.036232193732193885,392577.8,28.57142857142857,30.0
2/1/2017,EPCO-W2,0.95,0.97,0.95,0.96,1.05,121979,117050,1594940,19741540.0,151605440.0,0.962,0.9641666666666667,0.9261538461538461,0.0348646723646725,0.03554843304843319,330027.6,28.57142857142857,28.571428571428566
2/2/2017,EPCO-W2,0.95,0.95,0.94,0.95,-1.04,123051,116880,1463910,19674370.0,151722320.0,0.9560000000000001,0.9658333333333333,0.9307692307692308,0.031203703703703733,0.03410018993352337,304280.8,28.57142857142857,28.571428571428566
2/3/2017,EPCO-W2,0.95,1.01,0.95,1.01,6.32,23608103,22992920,23965450,42274020.0,174715240.0,0.9639999999999999,0.9725,0.9346153846153846,0.038069800569800694,0.0350925925925927,4925863.8,35.71428571428572,30.0
2/6/2017,EPCO-W2,1.01,1.21,0.99,1.02,0.99,110663941,121179600,144915870,161292510.0,295894840.0,0.9780000000000001,0.9799999999999999,0.9403846153846154,0.03987179487179471,0.0360484330484331,27010620.2,35.71428571428572,31.428571428571434
2/7/2017,EPCO-W2,1.02,1.05,0.88,0.91,-10.78,35375306,34773390,179179840,195791160.0,330668230.0,0.97,0.9741666666666666,0.9419230769230769,0.024736467236467274,0.03374928774928778,33978476.0,35.71428571428572,32.85714285714286
2/8/2017,EPCO-W2,0.91,0.93,0.84,0.85,-6.59,7617433,6776380,185839170,194647620.0,337444610.0,0.9480000000000001,0.9633333333333334,0.9400000000000001,0.012564102564102453,0.029289173789173773,35477566.8,35.71428571428572,34.28571428571429
2/9/2017,EPCO-W2,0.85,0.86,0.82,0.82,-3.53,3659802,3060630,188782920,192196900.0,340505240.0,0.922,0.9475000000000001,0.9384615384615386,-0.0018019943019942364,0.022688034188034178,36184917.0,28.57142857142857,34.28571428571429
2/10/2017,EPCO-W2,0.81,0.83,0.81,0.82,0.0,1647905,1353000,167143000,192280000.0,341858240.0,0.884,0.9325,0.9369230769230771,-0.013069800569800671,0.012460113960113905,31792877.4,28.57142857142857,32.857142857142854
2/14/2017,EPCO-W2,0.82,0.83,0.76,0.78,-4.88,1601474,1275930,47239330,193123670.0,305462820.0,0.836,0.9158333333333334,0.9315384615384618,-0.025377492877493024,-0.000589743589743641,9980384.0,21.42857142857143,30.0
2/15/2017,EPCO-W2,0.78,0.82,0.76,0.77,-1.28,2735449,2152730,14618670,195028490.0,284040630.0,0.8079999999999998,0.8991666666666666,0.9261538461538462,-0.035292022792022815,-0.012595441595441658,3452412.6,21.42857142857143,27.142857142857146
2/16/2017,EPCO-W2,0.78,0.89,0.72,0.76,-1.3,22140445,17858520,25700810,212395630.0,258472970.0,0.79,0.8833333333333333,0.9203846153846155,-0.04414529914529919,-0.02393732193732199,6357015.0,21.42857142857143,24.285714285714285
