Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,EPG,6.8,7.3,6.7,7.2,5.88,101026400,711166000,6169215000,11882402000.0,11882402000.0,7.2,,,,,101026400.0,,
1/6/2015,EPG,7.1,7.2,7.05,7.05,-2.08,50945879,362906000,3876831000,12245308000.0,12245308000.0,7.125,,,,,75986139.5,,
1/7/2015,EPG,7.15,7.55,7.1,7.15,1.42,89252702,652181000,2653560000,12897489000.0,12897489000.0,7.133333333333333,,,,,80408327.0,,
1/8/2015,EPG,7.2,7.3,7.05,7.05,-1.4,41368300,295243000,2260941000,13192732000.0,13192732000.0,7.1125,,,,,70648320.25,,
1/9/2015,EPG,7.1,7.4,7.05,7.25,2.84,34377501,248981000,2270477000,13441713000.0,13441713000.0,7.140000000000001,,,,,63394156.4,,
1/12/2015,EPG,7.25,7.65,7.2,7.25,0.0,102295300,762888000,2322199000,14204601000.0,14204601000.0,7.15,,,,,63647936.4,,
1/13/2015,EPG,7.25,7.3,7.15,7.25,0.0,21938700,159198000,2118491000,14363799000.0,14363799000.0,7.19,,,,,57846500.6,,
1/14/2015,EPG,7.3,7.35,7.1,7.15,-1.38,16841300,121309000,1587619000,14485108000.0,14485108000.0,7.19,,,,,43364220.2,,
1/15/2015,EPG,7.2,7.3,7.15,7.25,1.4,12396330,89771000,1382147000,8861692000.0,14574879000.0,7.2299999999999995,,,,,37569826.2,,
1/16/2015,EPG,7.25,7.55,7.25,7.3,0.69,29184703,216121000,1349287000,6422523000.0,14791000000.0,7.239999999999999,,,,,36531266.6,,
1/19/2015,EPG,7.35,7.4,7.3,7.35,0.68,5118810,37580000,623979000,4584651000.0,14828580000.0,7.26,,,,,17095968.6,,
1/20/2015,EPG,7.4,7.55,7.35,7.4,0.68,21867700,162772000,627553000,4059561000.0,14991352000.0,7.289999999999999,7.220833333333332,,,,17081768.6,,
1/21/2015,EPG,7.45,7.8,7.45,7.6,2.7,74889400,571791000,1078035000,4391907000.0,15563143000.0,7.38,7.254166666666666,,,,28691388.6,,
1/22/2015,EPG,7.65,7.65,7.4,7.55,-0.66,33636101,253221000,1241485000,3933962000.0,15816364000.0,7.4399999999999995,7.295833333333333,,,,32939342.8,57.14285714285714,57.14285714285714
1/23/2015,EPG,7.6,7.6,7.5,7.55,0.0,12465300,93969000,1119333000,3665025000.0,15910333000.0,7.49,7.329166666666666,,,,29595462.2,50.0,53.57142857142857
1/26/2015,EPG,7.65,7.65,7.2,7.4,-1.99,25659031,188443000,1270196000,3201287000.0,16098776000.0,7.5,7.358333333333333,,,,33703506.4,50.0,52.38095238095238
1/27/2015,EPG,7.35,7.55,7.35,7.35,-0.68,11096221,82319000,1189743000,2988363000.0,16181095000.0,7.49,7.366666666666666,,,,31549210.6,42.857142857142854,50.0
1/28/2015,EPG,7.4,7.55,7.4,7.55,2.72,12640500,94742000,712694000,2834124000.0,16275837000.0,7.4799999999999995,7.391666666666666,,,,19099430.6,50.0,50.0
