Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,ERW,4.62,4.7,4.62,4.68,0.86,1940000,9069000,113399000,422721000.0,2104770000.0,4.68,,,,,1940000.0,,
1/6/2015,ERW,4.66,4.74,4.62,4.74,1.28,4659600,21819000,106779000,357595000.0,2109876000.0,4.71,,,,,3299800.0,,
1/7/2015,ERW,4.76,4.76,4.68,4.76,0.42,3503600,16533000,85633000,311882000.0,2101188000.0,4.726666666666667,,,,,3367733.3333333335,,
1/8/2015,ERW,4.8,4.8,4.74,4.78,0.42,3306502,15753000,81206000,289595000.0,2070751000.0,4.74,,,,,3352425.5,,
1/9/2015,ERW,4.8,4.8,4.76,4.76,-0.42,1552500,7410000,70584000,261160000.0,2048060000.0,4.744,,,,,2992440.4,,
1/12/2015,ERW,4.76,4.76,4.68,4.68,-1.68,2423840,11412000,72927000,247297000.0,1917510000.0,4.744,,,,,3089208.4,,
1/13/2015,ERW,4.66,4.76,4.66,4.76,1.71,3582350,16914000,68022000,238083000.0,1806313000.0,4.747999999999999,,,,,2873758.4,,
1/14/2015,ERW,4.76,4.82,4.72,4.72,-0.84,3802200,18093000,69582000,238860000.0,1783558000.0,4.739999999999999,,,,,2933478.4,,
1/15/2015,ERW,4.7,4.76,4.68,4.76,0.85,2382551,11263000,65092000,232596000.0,1765886000.0,4.736,,,,,2748688.2,,
1/16/2015,ERW,4.7,4.74,4.7,4.7,-1.26,1272200,5993000,63675000,210150000.0,1743985000.0,4.724,,,,,2692628.2,,
1/19/2015,ERW,4.7,4.72,4.66,4.68,-0.43,2182603,10218000,62481000,182689000.0,1740331000.0,4.724,,,,,2644380.8,,
1/20/2015,ERW,4.7,4.7,4.6,4.62,-1.28,3863300,17911000,63478000,180420000.0,1484086000.0,4.696,4.72,,,,2700570.8,,
1/21/2015,ERW,4.62,4.64,4.48,4.5,-2.6,12736300,57886000,103271000,220274000.0,1384140000.0,4.652,4.704999999999999,,,,4487390.8,,
1/22/2015,ERW,4.56,4.62,4.52,4.6,2.22,4895333,22367000,114375000,233572000.0,1343514000.0,4.62,4.6933333333333325,,,,4989947.2,50.0,50.0
1/23/2015,ERW,4.64,4.86,4.64,4.86,5.65,31048790,148953000,257335000,360706000.0,1411801000.0,4.651999999999999,4.701666666666666,,,,10945265.2,50.0,50.0
1/26/2015,ERW,4.86,4.96,4.76,4.9,0.82,16711511,81798000,328915000,425971000.0,1457784000.0,4.696000000000001,4.711666666666667,,,,13851046.8,50.0,50.0
1/27/2015,ERW,4.9,4.92,4.86,4.88,-0.41,5114985,24969000,335973000,435187000.0,1432592000.0,4.747999999999999,4.721666666666667,,,,14101383.8,42.857142857142854,48.214285714285715
1/28/2015,ERW,4.92,4.92,4.8,4.86,-0.41,9373802,45523000,323610000,473300000.0,1430749000.0,4.82,4.736666666666667,,,,13428884.2,35.71428571428572,45.714285714285715
1/29/2015,ERW,4.86,4.86,4.8,4.82,-0.82,2066360,9957000,311200000,471845000.0,1232801000.0,4.864,4.741666666666666,,,,12863089.6,35.71428571428572,42.85714285714286
1/30/2015,ERW,4.82,4.92,4.8,4.88,1.24,7350301,35791000,198038000,490722000.0,1112171000.0,4.868,4.755,,,,8123391.8,42.857142857142854,41.42857142857143
2/2/2015,ERW,4.84,4.86,4.76,4.8,-1.64,7059100,33958000,150198000,506587000.0,1066155000.0,4.848000000000001,4.758333333333334,,,,6192909.6,35.71428571428572,38.57142857142858
2/3/2015,ERW,4.78,4.8,4.72,4.78,-0.42,4538003,21614000,146843000,516938000.0,1058856000.0,4.828,4.765,,,,6077513.2,35.71428571428572,37.14285714285715
2/4/2015,ERW,4.8,4.84,4.7,4.72,-1.26,12675700,60382000,161702000,571327000.0,1032293000.0,4.8,4.7683333333333335,,,,6737892.8,28.57142857142857,35.71428571428572
